Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,20.481,20.481,20.024,20.211,1342579,0
1995-01-04,20.274,20.379,20.087,20.274,2046440,0
1995-01-05,20.211,20.274,20.128,20.128,1813094,0
1995-01-06,20.128,20.733,20.128,20.713,3730793,0
1995-01-09,20.566,20.983,20.566,20.92,2948388,0
1995-01-10,21.044,21.086,20.796,20.836,3111996,0
1995-01-11,20.836,20.836,20.295,20.777,4526609,0
1995-01-12,20.692,20.983,20.692,20.881,1905436,0
1995-01-13,20.983,21.086,20.92,21.064,2227671,0
1995-01-16,21.086,21.148,20.733,20.92,2511589,0
1995-01-17,20.859,20.859,20.566,20.587,1386261,0
1995-01-18,20.566,20.92,20.566,20.881,1553315,0
1995-01-19,20.836,20.941,20.652,20.652,1362888,0
1995-01-20,20.504,20.63,20.211,20.357,1596612,0
1995-01-23,20.295,20.44,20.232,20.379,1172459,0
1995-01-24,20.337,20.337,20.024,20.024,873597,0
1995-01-25,19.918,20.357,19.918,20.274,1390857,0
1995-01-26,20.211,20.295,19.94,19.981,665160,0
1995-01-27,19.981,19.981,19.146,19.146,2322695,0
1995-01-30,19.083,19.104,18.311,18.416,5090614,0
1995-01-31,18.604,18.833,18.519,18.687,3498217,0
1995-02-01,18.77,19.104,18.708,19.104,2435341,0
1995-02-02,19.188,19.293,18.959,19.168,1542588,0
1995-02-03,19.168,20.168,19.168,19.94,3867581,0
1995-02-06,19.814,19.814,19.021,19.021,2689757,0
1995-02-07,19.188,19.188,18.959,19.021,1760222,0
1995-02-08,18.959,18.959,18.416,18.541,2151039,0
1995-02-09,18.687,19.251,18.666,18.98,1603508,0
1995-02-10,19.021,19.125,18.959,19.083,992759,0
1995-02-13,19.083,19.125,18.98,19.125,453273,0
1995-02-14,19.104,19.439,19.083,19.23,1147172,0
1995-02-15,19.23,19.668,19.168,19.439,1217288,0
1995-02-16,19.48,19.731,19.376,19.731,1657536,0
1995-02-17,19.668,19.668,19.188,19.188,1167860,0
1995-02-21,19.293,19.647,19.188,19.647,1565576,0
1995-02-22,19.605,19.794,19.251,19.251,1100426,0
1995-02-23,19.544,19.605,19.376,19.522,983179,0
1995-02-24,19.584,19.584,19.168,19.251,852139,0
1995-02-27,19.251,19.439,18.604,18.77,935094,0
1995-02-28,18.708,18.708,18.311,18.541,1700831,0
1995-03-01,18.249,18.249,17.768,18.06,3175792,0
1995-03-02,18.06,18.478,17.832,18.311,2213112,0
1995-03-03,18.353,18.833,18.311,18.666,1970764,0
1995-03-06,18.416,18.416,17.934,18.123,1602742,0
1995-03-07,18.249,18.311,17.58,17.705,2373844,0
1995-03-08,17.768,18.123,17.768,18.06,1551783,0
1995-03-09,18.06,18.187,17.643,17.894,661712,0
1995-03-10,17.934,18.353,17.894,18.187,1490670,0
1995-03-13,18.311,18.353,17.768,18.123,1157324,0
1995-03-14,18.249,18.311,17.768,17.768,1170159,0
1995-03-15,17.768,18.123,17.538,18.123,1435111,0
1995-03-16,18.353,18.541,18.123,18.187,1528411,0
1995-03-17,18.249,18.249,17.832,17.894,1214988,0
1995-03-20,17.894,18.311,17.894,18.311,991034,0
1995-03-21,18.187,18.416,17.998,17.998,1502739,0
1995-03-22,17.934,19.083,17.934,19.021,2012336,0
1995-03-23,18.833,19.313,18.708,19.021,1577644,0
1995-03-24,19.48,19.731,19.376,19.439,2021532,0
1995-03-27,19.376,19.376,19.021,19.188,733936,0
1995-03-28,19.251,19.376,19.188,19.313,564006,0
1995-03-29,19.125,19.313,19.021,19.188,946397,0
1995-03-30,19.731,20.379,19.544,20.379,1976130,0
1995-03-31,20.253,20.253,19.668,19.731,1499483,0
1995-04-03,19.668,19.731,19.376,19.605,869190,0
1995-04-04,19.668,19.856,19.48,19.856,606345,0
1995-04-05,19.961,20.317,19.961,20.253,712864,0
1995-04-06,20.211,20.379,19.794,19.897,1117284,0
1995-04-07,19.897,20.317,19.731,19.897,1101383,0
1995-04-10,20.149,20.317,19.961,20.317,890073,0
1995-04-11,20.317,20.733,20.317,20.504,1656960,0
1995-04-12,20.44,20.504,20.211,20.253,1184912,0
1995-04-13,20.504,21.338,20.504,21.274,1964443,0
1995-04-17,21.338,21.338,20.671,20.671,1622285,0
1995-04-18,20.671,20.733,20.317,20.44,1184528,0
1995-04-19,20.566,21.003,20.504,20.859,987395,0
1995-04-20,20.796,20.983,20.733,20.983,1592207,0
1995-04-21,21.022,21.444,20.733,21.274,2207555,0
1995-04-24,21.212,22.179,21.148,21.694,2345107,0
1995-04-25,21.632,21.795,21.403,21.444,1666348,0
1995-04-26,21.338,21.444,20.92,20.983,1008659,0
1995-04-27,20.983,21.022,20.504,20.671,1165753,0
1995-04-28,20.733,21.338,20.63,21.338,1126671,0
1995-05-01,21.444,21.508,21.022,21.148,1112305,0
1995-05-02,21.022,21.572,21.022,21.381,880300,0
1995-05-03,21.381,21.923,21.381,21.795,1508487,0
1995-05-04,21.795,21.923,20.836,20.961,1652554,0
1995-05-05,21.022,21.022,19.876,19.876,2356219,0
1995-05-08,20.128,20.901,20.002,20.777,1346795,0
1995-05-09,20.777,20.901,20.419,20.545,1186060,0
1995-05-10,20.545,20.733,20.357,20.733,659030,0
1995-05-11,20.733,21.381,20.733,21.252,1012683,0
1995-05-12,21.19,22.443,21.148,22.281,2710257,0
1995-05-15,22.339,22.886,22.339,22.694,2168282,0
1995-05-16,22.63,22.821,22.403,22.443,1778995,0
1995-05-17,22.443,22.443,22.157,22.219,1390283,0
1995-05-18,22.092,22.219,21.795,21.859,1335301,0
1995-05-19,21.73,22.568,21.673,22.443,1238553,0
1995-05-22,22.339,22.886,22.339,22.886,1016320,0
1995-05-23,22.99,23.241,22.886,23.241,1644126,0
1995-05-24,23.241,23.344,22.821,22.99,1262883,0
1995-05-25,22.928,22.99,22.281,22.403,1313843,0
1995-05-26,22.281,22.403,21.859,22.339,787768,0
1995-05-30,22.503,22.694,21.859,22.281,1521132,0
1995-05-31,22.281,22.281,21.988,22.219,1175715,0
1995-06-01,22.157,22.403,21.923,22.092,1164221,0
1995-06-02,21.612,21.859,21.316,21.508,2355837,0
1995-06-05,21.316,22.339,21.252,22.028,1790299,0
1995-06-06,21.988,22.028,21.673,21.73,1078202,0
1995-06-07,21.859,21.859,21.673,21.73,1094677,0
1995-06-08,21.859,21.988,21.673,21.73,1517107,0
1995-06-09,21.795,21.795,21.381,21.381,1049656,0
1995-06-12,21.508,21.73,21.252,21.252,853479,0
1995-06-13,21.19,21.252,20.836,21.148,1990497,0
1995-06-14,21.148,21.444,21.086,21.252,1407332,0
1995-06-15,21.316,21.381,20.777,21.316,893521,0
1995-06-16,21.508,21.612,21.316,21.381,1858115,0
1995-06-19,21.316,22.157,21.148,22.092,1473428,0
1995-06-20,22.028,22.443,21.73,21.923,1609257,0
1995-06-21,21.988,22.339,21.988,22.339,1701789,0
1995-06-22,22.443,22.757,22.339,22.63,1635310,0
1995-06-23,22.694,22.886,22.63,22.63,966895,0
1995-06-26,22.757,22.99,22.63,22.694,932219,0
1995-06-27,22.694,23.052,22.568,22.63,1352349,0
1995-06-28,22.694,23.052,22.63,22.928,1210199,0
1995-06-29,23.18,23.299,22.821,23.18,997357,0
1995-06-30,23.406,24.073,23.406,23.949,1938579,0
1995-07-03,23.884,24.428,23.821,24.368,921491,0
1995-07-05,24.428,25.329,24.428,25.202,2982489,0
1995-07-06,25.267,26.165,25.139,26.035,3703589,0
1995-07-07,26.035,26.75,25.971,26.75,4535997,0
1995-07-10,26.705,26.808,25.909,26.035,3804934,0
1995-07-11,25.682,25.909,25.455,25.682,3110464,0
1995-07-12,25.869,27,25.869,26.705,3074447,0
1995-07-13,26.873,27.35,26.808,27.12,3578105,0
1995-07-14,27,27.709,26.808,27.35,2997241,0
1995-07-17,27.35,27.773,27.063,27.12,2315799,0
1995-07-18,27.16,27.16,26.64,26.705,1532624,0
1995-07-19,26.705,27,25.555,26.291,2010038,0
1995-07-20,26.291,26.578,26.035,26.229,2925591,0
1995-07-21,26.291,26.808,26.035,26.291,2579409,0
1995-07-24,26.291,26.291,25.682,25.869,1071495,0
1995-07-25,25.682,26.705,25.682,26.516,1721713,0
1995-07-26,26.516,27,26.394,26.394,1229549,0
1995-07-27,26.394,26.936,26.394,26.808,1201962,0
1995-07-28,27,27.474,27,27.16,1255605,0
1995-07-31,27.12,27.29,26.598,27.225,1078009,0
1995-08-01,27.16,27.16,26.705,26.75,944672,0
1995-08-02,26.75,27.043,26.558,26.75,1649105,0
1995-08-03,26.75,27.35,26.558,27.35,3499751,0
1995-08-04,27.391,27.516,27.098,27.16,1204644,0
1995-08-07,27.35,27.998,27.29,27.644,2162533,0
1995-08-08,27.58,27.58,27.16,27.58,1541437,0
1995-08-09,27.58,27.58,27.16,27.225,872447,0
1995-08-10,27.35,27.58,26.873,26.981,1422661,0
1995-08-11,26.981,27.35,26.916,27.225,1340472,0
1995-08-14,27.098,27.29,27.043,27.16,846010,0
1995-08-15,27.043,27.16,26.558,26.75,1496033,0
1995-08-16,26.75,27.935,26.685,27.935,2850491,0
1995-08-17,27.832,28.356,27.644,28.252,2932104,0
1995-08-18,28.356,28.666,27.709,27.872,2130923,0
1995-08-21,27.935,28.356,27.872,28.125,2147017,0
1995-08-22,28.061,28.666,27.872,28.666,1356182,0
1995-08-23,28.476,28.666,28.252,28.316,1759836,0
1995-08-24,28.356,28.356,27.935,27.998,812484,0
1995-08-25,28.061,28.252,27.935,28.189,651749,0
1995-08-28,28.316,28.414,27.872,28.125,634125,0
1995-08-29,28.125,28.54,27.935,28.54,802904,0
1995-08-30,28.476,28.476,28.125,28.316,1230697,0
1995-08-31,27.709,27.709,27.16,27.391,1959270,0
1995-09-01,27.16,27.391,27.16,27.29,1472852,0
1995-09-05,27.391,27.872,27.225,27.516,1398522,0
1995-09-06,27.644,27.872,27.58,27.709,745431,0
1995-09-07,27.773,27.773,27.391,27.709,706924,0
1995-09-08,27.644,28.061,27.516,27.935,1442010,0
1995-09-11,27.709,28.728,27.709,28.666,1231655,0
1995-09-12,28.728,28.728,28.414,28.666,1763669,0
1995-09-13,28.666,28.896,27.872,28.125,2795509,0
1995-09-14,27.998,28.125,27.773,27.998,1489521,0
1995-09-15,27.58,27.58,26.873,27.098,3111996,0
1995-09-18,26.873,26.916,26.207,26.431,2457565,0
1995-09-19,26.431,26.558,25.596,25.909,3376373,0
1995-09-20,26.077,26.077,25.537,25.66,1760028,0
1995-09-21,25.722,26.077,25.537,25.909,1949692,0
1995-09-22,25.433,25.596,25.371,25.495,2177669,0
1995-09-25,25.495,25.495,24.82,24.884,2044905,0
1995-09-26,24.948,25.053,24.408,24.469,2247978,0
1995-09-27,24.346,25.013,24.159,25.013,3167171,0
1995-09-28,25.118,25.495,25.013,25.306,1858692,0
1995-09-29,25.433,25.596,25.244,25.371,2082264,0
1995-10-02,25.433,25.433,24.948,25.118,1344687,0
1995-10-03,25.053,25.053,24.224,24.224,1916932,0
1995-10-04,24.287,24.287,23.635,23.74,2605654,0
1995-10-05,23.864,24.948,23.864,24.762,1535116,0
1995-10-06,26.142,26.271,25.306,25.495,3304531,0
1995-10-09,25.722,25.787,25.053,25.306,1459250,0
1995-10-10,25.053,25.971,24.948,25.495,2827503,0
1995-10-11,25.433,25.495,24.408,25.244,2775967,0
1995-10-12,25.013,25.053,24.346,24.574,3401663,0
1995-10-13,24.346,25.053,24.346,24.762,3439403,0
1995-10-16,24.82,25.371,24.82,25.371,2303535,0
