Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.2446,1.2446,1.2128,1.2294,28967264,0
1995-01-04,1.2361,1.2677,1.2361,1.2614,44253608,0
1995-01-05,1.2562,1.2614,1.2407,1.2446,20536941,0
1995-01-06,1.332,1.3807,1.3164,1.3447,300251742,0
1995-01-09,1.332,1.3407,1.3126,1.319,76438048,0
1995-01-10,1.3202,1.4085,1.3202,1.3987,171454628,0
1995-01-11,1.4012,1.5394,1.3663,1.4969,243694708,0
1995-01-12,1.4764,1.4856,1.4327,1.4534,153881867,0
1995-01-13,1.4764,1.4764,1.4216,1.4366,97993256,0
1995-01-16,1.4366,1.4486,1.4162,1.4243,52702655,0
1995-01-17,1.4243,1.4572,1.4123,1.4406,92061738,0
1995-01-18,1.4406,1.4598,1.4327,1.4598,35601539,0
1995-01-19,1.4572,1.4728,1.4406,1.4691,87651374,0
1995-01-20,1.5048,1.5048,1.3599,1.3638,278983903,0
1995-01-23,1.3407,1.3638,1.3126,1.3524,111146272,0
1995-01-24,1.3524,1.3575,1.3255,1.332,60823726,0
1995-01-25,1.2653,1.3447,1.2653,1.3112,144202170,0
1995-01-26,1.3089,1.3294,1.2562,1.2653,68713657,0
1995-01-27,1.2768,1.2933,1.2485,1.2768,83265993,0
1995-01-30,1.2844,1.2959,1.2768,1.2844,64306425,0
1995-01-31,1.2959,1.3089,1.2808,1.2933,59340073,0
1995-02-01,1.305,1.305,1.2768,1.2844,44166148,0
1995-02-02,1.2844,1.3407,1.2844,1.332,56775673,0
1995-02-03,1.3447,1.3486,1.2933,1.2959,89022599,0
1995-02-06,1.305,1.305,1.2653,1.2959,67776606,0
1995-02-07,1.2933,1.3126,1.2808,1.3075,56222820,0
1995-02-08,1.3126,1.3575,1.3089,1.355,112351936,0
1995-02-09,1.3486,1.405,1.3486,1.396,132579659,0
1995-02-10,1.396,1.4136,1.3894,1.4012,97877696,0
1995-02-13,1.3932,1.4243,1.3841,1.4012,79027423,0
1995-02-14,1.4012,1.4123,1.3638,1.3741,46187043,0
1995-02-15,1.3841,1.3932,1.3599,1.3626,51447017,0
1995-02-16,1.3807,1.3841,1.3638,1.3821,61014258,0
1995-02-17,1.373,1.3769,1.3599,1.3599,33964839,0
1995-02-21,1.3638,1.3689,1.3089,1.3126,84106220,0
1995-02-22,1.2998,1.3126,1.2844,1.3075,81829193,0
1995-02-23,1.3164,1.3407,1.2808,1.2859,87766944,0
1995-02-24,1.2844,1.2933,1.2321,1.2485,158632694,0
1995-02-27,1.2241,1.2485,1.2204,1.2241,74966884,0
1995-02-28,1.2321,1.2768,1.2167,1.2653,62182441,0
1995-03-01,1.273,1.2844,1.2626,1.2808,62594742,0
1995-03-02,1.2844,1.305,1.273,1.2808,74948150,0
1995-03-03,1.273,1.3025,1.2653,1.2883,40652230,0
1995-03-06,1.273,1.2808,1.2653,1.273,37013351,0
1995-03-07,1.2768,1.2768,1.2241,1.2267,42051547,0
1995-03-08,1.2407,1.2844,1.2089,1.2665,101757076,0
1995-03-09,1.2768,1.2933,1.2614,1.273,54851606,0
1995-03-10,1.2677,1.2933,1.2614,1.2653,38322103,0
1995-03-13,1.2677,1.2677,1.2167,1.2204,90846708,0
1995-03-14,1.2241,1.2241,1.1038,1.1206,202989393,0
1995-03-15,1.1371,1.1601,1.1167,1.1206,203854575,0
1995-03-16,1.1283,1.1526,1.1206,1.1283,88332295,0
1995-03-17,1.1371,1.1371,1.1167,1.1245,60139684,0
1995-03-20,1.1245,1.1399,1.1206,1.1283,52955655,0
1995-03-21,1.1371,1.1768,1.1283,1.1601,85161961,0
1995-03-22,1.1601,1.2653,1.1601,1.2192,133626031,0
1995-03-23,1.2128,1.2167,1.1833,1.1884,47436438,0
1995-03-24,1.1974,1.2128,1.1921,1.2089,35729589,0
1995-03-27,1.2037,1.2037,1.1718,1.1898,39824504,0
1995-03-28,1.1601,1.1642,1.0924,1.1014,192372645,0
1995-03-29,1.0886,1.1167,1.0847,1.1014,138570519,0
1995-03-30,1.1078,1.1371,1.1038,1.1331,76250634,0
1995-03-31,1.1245,1.1399,1.1128,1.1283,51103416,0
1995-04-03,1.1371,1.1449,1.1245,1.1371,43032322,0
1995-04-04,1.1449,1.1487,1.0757,1.0847,119417272,0
1995-04-05,1.0924,1.1128,1.0807,1.1128,73864294,0
1995-04-06,1.1921,1.2167,1.1371,1.1768,201583820,0
1995-04-07,1.1845,1.1884,1.1601,1.1768,82472624,0
1995-04-10,1.1808,1.1845,1.1563,1.1718,32852867,0
1995-04-11,1.1768,1.2128,1.1718,1.2089,59824201,0
1995-04-12,1.2241,1.2677,1.1974,1.2485,132389122,0
1995-04-13,1.2562,1.2562,1.2128,1.2241,48626504,0
1995-04-17,1.2204,1.2614,1.2128,1.2294,58234350,0
1995-04-18,1.2321,1.2361,1.2013,1.2013,64459467,0
1995-04-19,1.2013,1.2013,1.1399,1.1655,77927956,0
1995-04-20,1.1884,1.2321,1.1718,1.2037,91893088,0
1995-04-21,1.1921,1.2653,1.1884,1.2526,185910139,0
1995-04-24,1.2485,1.2677,1.2321,1.2485,75922672,0
1995-04-25,1.2526,1.2614,1.1921,1.2089,76313121,0
1995-04-26,1.2037,1.2407,1.1974,1.2241,64265812,0
1995-04-27,1.2321,1.2321,1.2089,1.2128,39006155,0
1995-04-28,1.2167,1.2294,1.2013,1.2241,54470544,0
1995-05-01,1.2241,1.2407,1.2167,1.2241,49629132,0
1995-05-02,1.2241,1.2294,1.2013,1.2204,33468197,0
1995-05-03,1.2241,1.2361,1.2167,1.2204,47070986,0
1995-05-04,1.2241,1.2768,1.2167,1.2321,84680938,0
1995-05-05,1.2407,1.2526,1.2204,1.2446,58009469,0
1995-05-08,1.2768,1.3126,1.273,1.2959,107919705,0
1995-05-09,1.2998,1.3255,1.2808,1.3202,90059600,0
1995-05-10,1.3294,1.3407,1.305,1.3269,76712922,0
1995-05-11,1.332,1.332,1.2933,1.3126,146029410,0
1995-05-12,1.3089,1.3987,1.2959,1.396,180703279,0
1995-05-15,1.3807,1.4012,1.3599,1.396,109700097,0
1995-05-16,1.3807,1.4216,1.3599,1.4012,92733301,0
1995-05-17,1.4012,1.4216,1.3932,1.4085,73386402,0
1995-05-18,1.4123,1.4123,1.3841,1.3894,103624912,0
1995-05-19,1.373,1.4012,1.3638,1.3689,89965886,0
1995-05-22,1.3599,1.4123,1.3524,1.4123,103712371,0
1995-05-23,1.4123,1.4216,1.3932,1.405,77156445,0
1995-05-24,1.4012,1.4162,1.373,1.3932,73811204,0
1995-05-25,1.3841,1.4085,1.3769,1.3894,50997228,0
1995-05-26,1.3769,1.3807,1.3524,1.3663,31947048,0
1995-05-30,1.3638,1.373,1.3294,1.3447,54767272,0
1995-05-31,1.3486,1.3486,1.3126,1.3307,44490999,0
1995-06-01,1.3407,1.3599,1.3366,1.3499,52074832,0
1995-06-02,1.3407,1.3575,1.3294,1.3486,29476369,0
1995-06-05,1.3575,1.3932,1.3486,1.3932,71018802,0
1995-06-06,1.396,1.4216,1.3932,1.4085,87923131,0
1995-06-07,1.4123,1.4123,1.3807,1.3807,34726957,0
1995-06-08,1.3894,1.3894,1.3486,1.3741,37966027,0
1995-06-09,1.396,1.4012,1.3807,1.3932,52046723,0
1995-06-12,1.4085,1.4243,1.405,1.4136,59155790,0
1995-06-13,1.4243,1.4282,1.405,1.4085,35123639,0
1995-06-14,1.405,1.405,1.3894,1.396,32921595,0
1995-06-15,1.396,1.4012,1.3894,1.396,25868743,0
1995-06-16,1.405,1.4085,1.3932,1.405,24878592,0
1995-06-19,1.405,1.4486,1.3932,1.4216,130946077,0
1995-06-20,1.4728,1.5289,1.4728,1.5175,205962945,0
1995-06-21,1.524,1.6045,1.4969,1.5815,174584363,0
1995-06-22,1.5687,1.5878,1.5561,1.5726,132167363,0
1995-06-23,1.561,1.5687,1.5289,1.561,64690593,0
1995-06-26,1.5443,1.5521,1.524,1.5408,42607532,0
1995-06-27,1.5175,1.5443,1.4856,1.4856,60545724,0
1995-06-28,1.4728,1.5213,1.4534,1.4919,74282829,0
1995-06-29,1.4856,1.5408,1.4728,1.5124,64856150,0
1995-06-30,1.5124,1.5329,1.4764,1.4869,46152687,0
1995-07-03,1.4882,1.5085,1.4803,1.5022,10985311,0
1995-07-05,1.5009,1.5329,1.4882,1.4882,49379247,0
1995-07-06,1.4882,1.5048,1.4651,1.5048,51340806,0
1995-07-07,1.5009,1.5766,1.4969,1.5561,107960298,0
1995-07-10,1.5561,1.5971,1.5408,1.5561,83087970,0
1995-07-11,1.5289,1.5561,1.5073,1.5085,59874171,0
1995-07-12,1.5124,1.5369,1.4764,1.5048,79149241,0
1995-07-13,1.5175,1.561,1.5085,1.524,98258746,0
1995-07-14,1.5175,1.5687,1.5048,1.561,77509413,0
1995-07-17,1.5647,1.5932,1.5561,1.5687,63072636,0
1995-07-18,1.5687,1.5866,1.5289,1.5408,71012549,0
1995-07-19,1.5048,1.5369,1.4406,1.4572,145307878,0
1995-07-20,1.4728,1.5175,1.4406,1.5073,92386589,0
1995-07-21,1.3769,1.4366,1.3769,1.4012,211360332,0
1995-07-24,1.4085,1.4572,1.4012,1.4534,59855445,0
1995-07-25,1.4728,1.4856,1.4598,1.4651,73492610,0
1995-07-26,1.4803,1.4803,1.4534,1.4534,47814386,0
1995-07-27,1.4572,1.5213,1.4572,1.4995,90687417,0
1995-07-28,1.4969,1.5124,1.4406,1.4572,72771078,0
1995-07-31,1.4572,1.4598,1.4327,1.4406,44209886,0
1995-08-01,1.4366,1.4366,1.3932,1.3932,58821563,0
1995-08-02,1.405,1.4406,1.4012,1.4216,76728542,0
1995-08-03,1.4123,1.4598,1.405,1.4406,59661789,0
1995-08-04,1.4406,1.4448,1.4012,1.4162,53633444,0
1995-08-07,1.4123,1.4282,1.3807,1.3894,54036376,0
1995-08-08,1.396,1.4012,1.3575,1.3599,65424628,0
1995-08-09,1.3638,1.4012,1.3599,1.3807,102912760,0
1995-08-10,1.3807,1.3841,1.3638,1.3689,45743520,0
1995-08-11,1.373,1.3807,1.3407,1.3795,57709606,0
1995-08-14,1.3769,1.4012,1.373,1.3894,46686804,0
1995-08-15,1.405,1.4123,1.3807,1.411,88647781,0
1995-08-16,1.4085,1.4243,1.396,1.4243,81610559,0
1995-08-17,1.4282,1.4572,1.4123,1.4282,68854215,0
1995-08-18,1.4366,1.4448,1.4012,1.4366,67254982,0
1995-08-21,1.4366,1.4534,1.4123,1.4123,75794616,0
1995-08-22,1.4216,1.4448,1.4123,1.4327,60530119,0
1995-08-23,1.4366,1.4691,1.4282,1.4572,70781403,0
1995-08-24,1.4598,1.4803,1.4572,1.4651,80298686,0
1995-08-25,1.4691,1.4691,1.4282,1.4327,37466258,0
1995-08-28,1.4366,1.4406,1.3769,1.3769,67779740,0
1995-08-29,1.3769,1.3841,1.3599,1.3807,88422870,0
1995-08-30,1.3841,1.4012,1.3807,1.3894,42801186,0
1995-08-31,1.3894,1.3932,1.3769,1.3769,24503772,0
1995-09-01,1.3769,1.3932,1.373,1.3741,27436742,0
1995-09-05,1.3932,1.3932,1.3689,1.3932,50191358,0
1995-09-06,1.405,1.4136,1.3932,1.4012,55988559,0
1995-09-07,1.4085,1.4509,1.4012,1.4327,73158384,0
1995-09-08,1.4327,1.4366,1.4243,1.4327,48742064,0
1995-09-11,1.4366,1.4572,1.4162,1.4162,48104879,0
1995-09-12,1.4243,1.4366,1.3638,1.3741,90987262,0
1995-09-13,1.373,1.3894,1.3447,1.3575,90009608,0
1995-09-14,1.3255,1.332,1.273,1.2808,153541409,0
1995-09-15,1.1974,1.2768,1.1371,1.1487,337996000,0
1995-09-18,1.1655,1.1795,1.1487,1.1744,173322466,0
1995-09-19,1.1768,1.1884,1.1563,1.1768,136658945,0
1995-09-20,1.1921,1.1974,1.1679,1.1718,89747228,0
1995-09-21,1.1679,1.2013,1.1655,1.1845,96865677,0
1995-09-22,1.1808,1.1921,1.1655,1.1871,111174393,0
1995-09-25,1.2241,1.2241,1.1974,1.2013,87907514,0
1995-09-26,1.2089,1.2128,1.1884,1.1974,69972420,0
