Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,19.422,19.422,18.872,18.872,1303148,0
1995-01-04,18.434,18.652,17.984,18.093,3329937,0
1995-01-05,18.324,18.541,17.655,18.434,2285399,0
1995-01-06,18.434,18.541,17.875,17.875,1617166,0
1995-01-09,17.984,18.206,17.875,18.093,1381054,0
1995-01-10,18.093,18.541,17.984,18.541,1625906,0
1995-01-11,18.652,19.641,18.541,19.641,3603520,0
1995-01-12,20.082,20.082,19.422,19.53,3075903,0
1995-01-13,19.31,19.31,19.093,19.31,916806,0
1995-01-16,18.982,19.202,18.982,18.982,959090,0
1995-01-17,19.202,19.422,19.093,19.202,1338114,0
1995-01-18,19.422,19.641,19.31,19.641,1547787,0
1995-01-19,19.422,19.75,19.422,19.641,1295720,0
1995-01-20,19.641,19.86,19.422,19.53,1831424,0
1995-01-23,19.422,19.422,18.872,19.093,999186,0
1995-01-24,19.093,19.093,18.761,18.982,608579,0
1995-01-25,18.982,18.982,18.541,18.541,1343575,0
1995-01-26,18.761,18.761,18.541,18.541,686154,0
1995-01-27,18.434,18.434,17.875,17.875,1330028,0
1995-01-30,17.875,18.093,17.765,17.875,1612358,0
1995-01-31,17.765,17.765,17.436,17.547,2540746,0
1995-02-01,18.093,18.206,17.765,17.765,2071907,0
1995-02-02,18.093,18.541,18.093,18.541,2155605,0
1995-02-03,18.434,18.541,18.206,18.434,1030983,0
1995-02-06,18.324,18.652,18.093,18.434,1685127,0
1995-02-07,18.324,18.434,18.093,18.093,1118828,0
1995-02-08,18.093,18.434,17.984,18.324,1832627,0
1995-02-09,18.541,18.761,18.434,18.761,1523310,0
1995-02-10,18.761,18.982,18.652,18.652,1009677,0
1995-02-13,18.652,18.761,18.434,18.652,870589,0
1995-02-14,18.761,18.872,18.541,18.541,739911,0
1995-02-15,18.761,18.872,18.652,18.872,1073594,0
1995-02-16,18.872,19.202,18.872,18.872,1184713,0
1995-02-17,19.31,19.53,19.202,19.202,2052021,0
1995-02-21,19.31,19.422,18.982,19.093,922815,0
1995-02-22,19.202,19.86,19.202,19.641,2118235,0
1995-02-23,19.641,19.75,19.31,19.31,1106918,0
1995-02-24,19.422,19.422,18.982,19.093,1521237,0
1995-02-27,18.982,19.31,18.872,19.202,836170,0
1995-02-28,19.202,19.422,19.202,19.202,718933,0
1995-03-01,19.202,19.202,18.541,18.541,1483538,0
1995-03-02,18.541,19.093,18.324,18.982,1681082,0
1995-03-03,18.872,19.202,18.541,18.541,1254530,0
1995-03-06,18.761,19.202,18.652,19.202,2265080,0
1995-03-07,19.53,20.751,19.422,20.528,6147328,0
1995-03-08,20.639,20.639,19.75,19.75,3398441,0
1995-03-09,19.971,20.309,19.86,20.309,2062514,0
1995-03-10,20.199,20.418,19.971,20.082,1341611,0
1995-03-13,20.528,20.639,20.418,20.528,2030499,0
1995-03-14,20.418,20.528,20.082,20.418,1240436,0
1995-03-15,20.639,20.859,20.528,20.859,2225966,0
1995-03-16,20.528,20.751,20.309,20.751,1777671,0
1995-03-17,20.639,21.078,20.418,20.751,2957902,0
1995-03-20,20.528,21.078,20.418,20.969,1449015,0
1995-03-21,20.969,21.298,20.639,20.751,1422030,0
1995-03-22,20.751,20.969,20.639,20.751,1140350,0
1995-03-23,20.859,21.078,20.751,21.078,1315824,0
1995-03-24,20.859,21.078,20.751,21.078,1647213,0
1995-03-27,20.969,21.188,20.859,21.078,714015,0
1995-03-28,20.969,21.188,20.528,21.188,1645135,0
1995-03-29,21.298,21.408,20.859,20.969,1458738,0
1995-03-30,21.078,22.076,20.969,21.736,4440347,0
1995-03-31,22.404,22.514,21.736,21.956,4221175,0
1995-04-03,22.076,22.184,21.847,22.076,1598376,0
1995-04-04,21.956,22.076,21.736,21.847,1264912,0
1995-04-05,21.956,22.404,21.847,22.404,2410397,0
1995-04-06,22.404,22.734,22.184,22.514,1808806,0
1995-04-07,22.514,22.514,22.076,22.184,1154665,0
1995-04-10,21.736,21.847,21.408,21.63,1267642,0
1995-04-11,21.63,21.847,21.516,21.63,1225901,0
1995-04-12,21.736,21.847,21.63,21.736,894408,0
1995-04-13,21.63,21.63,20.859,21.078,2735340,0
1995-04-17,21.516,22.076,21.298,21.847,2152869,0
1995-04-18,21.956,22.626,21.736,22.626,2709659,0
1995-04-19,22.626,22.957,22.297,22.404,3019961,0
1995-04-20,22.076,22.297,21.63,21.63,1894801,0
1995-04-21,21.516,22.076,21.408,21.956,2018806,0
1995-04-24,21.956,22.184,21.847,22.076,1048353,0
1995-04-25,21.956,22.184,21.847,22.076,1117846,0
1995-04-26,22.076,22.076,21.516,21.516,1594549,0
1995-04-27,21.516,21.847,21.516,21.847,1150297,0
1995-04-28,22.076,22.076,21.298,21.298,1533690,0
1995-05-01,21.516,21.847,21.516,21.736,885227,0
1995-05-02,21.736,22.076,21.516,21.63,1367502,0
1995-05-03,21.63,21.736,21.188,21.188,1413610,0
1995-05-04,21.298,21.736,21.188,21.63,1557072,0
1995-05-05,21.63,21.736,21.078,21.408,1483213,0
1995-05-08,21.298,21.516,21.078,21.298,904679,0
1995-05-09,20.969,20.969,20.418,20.639,2179424,0
1995-05-10,20.528,20.859,20.528,20.639,1555650,0
1995-05-11,20.528,20.751,20.082,20.199,1649832,0
1995-05-12,20.309,20.418,19.971,19.971,1286325,0
1995-05-15,20.082,20.751,20.082,20.639,1209730,0
1995-05-16,20.639,21.078,20.418,20.969,1391323,0
1995-05-17,20.751,21.516,20.751,21.408,1777995,0
1995-05-18,21.188,21.736,21.188,21.736,1595641,0
1995-05-19,21.516,21.63,21.188,21.188,774987,0
1995-05-22,21.078,21.298,20.751,20.859,928276,0
1995-05-23,20.859,21.516,20.751,21.408,1273106,0
1995-05-24,21.544,22.094,21.434,22.094,1530959,0
1995-05-25,22.213,22.542,22.094,22.094,2192638,0
1995-05-26,22.213,22.542,22.213,22.325,1110415,0
1995-05-30,22.432,22.432,21.984,22.213,1143737,0
1995-05-31,22.094,22.325,21.984,22.325,875396,0
1995-06-01,22.094,22.542,22.094,22.432,1362915,0
1995-06-02,22.325,22.432,21.875,22.094,1084737,0
1995-06-05,21.984,22.213,21.875,22.094,456052,0
1995-06-06,21.984,21.984,21.656,21.875,1099818,0
1995-06-07,21.875,22.432,21.875,22.325,1162090,0
1995-06-08,22.094,22.871,21.984,22.762,1184055,0
1995-06-09,22.651,23.092,22.432,22.762,1521671,0
1995-06-12,22.651,22.762,22.432,22.542,682552,0
1995-06-13,22.432,22.762,22.432,22.542,845458,0
1995-06-14,22.762,23.092,22.651,22.871,1425415,0
1995-06-15,23.092,23.76,22.983,23.31,3146925,0
1995-06-16,23.532,23.532,23.31,23.422,2225198,0
1995-06-19,23.532,23.869,23.532,23.76,1219566,0
1995-06-20,23.65,23.76,23.092,23.092,1216178,0
1995-06-21,23.092,23.201,22.762,22.871,1129318,0
1995-06-22,22.871,23.532,22.762,23.532,1340737,0
1995-06-23,23.422,23.65,23.31,23.31,686486,0
1995-06-26,22.983,23.201,22.762,22.871,772360,0
1995-06-27,22.871,22.871,22.651,22.871,853764,0
1995-06-28,22.871,22.871,22.432,22.432,963570,0
1995-06-29,22.432,22.762,22.432,22.651,853433,0
1995-06-30,22.651,22.651,22.213,22.325,1166684,0
1995-07-03,22.213,22.325,22.094,22.325,163672,0
1995-07-05,22.325,22.651,22.213,22.325,1044642,0
1995-07-06,22.432,23.092,22.432,23.092,1605693,0
1995-07-07,23.31,23.532,23.092,23.201,1646118,0
1995-07-10,23.31,23.532,23.092,23.31,845239,0
1995-07-11,23.201,23.76,23.092,23.76,1569419,0
1995-07-12,23.869,24.31,23.65,24.2,4204783,0
1995-07-13,24.089,24.31,23.31,23.31,1536309,0
1995-07-14,23.422,23.76,23.201,23.532,936907,0
1995-07-17,23.532,23.869,23.532,23.869,975589,0
1995-07-18,23.869,23.978,23.422,23.76,1056767,0
1995-07-19,23.869,24.2,22.871,23.422,2510915,0
