Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.65,3.71,3.59,3.6,6311200,0
1995-01-04,3.59,3.62,3.31,3.5,15775200,0
1995-01-05,3.8,3.86,3.62,3.63,25738400,0
1995-01-06,3.68,3.77,3.56,3.71,7888800,0
1995-01-09,3.74,3.8,3.68,3.75,5432000,0
1995-01-10,3.77,3.83,3.71,3.83,7388000,0
1995-01-11,3.83,3.86,3.74,3.77,3709600,0
1995-01-12,3.77,3.87,3.77,3.85,2497600,0
1995-01-13,3.87,3.87,3.75,3.81,2968000,0
1995-01-16,3.81,3.84,3.75,3.75,3592800,0
1995-01-17,3.75,4.02,3.75,3.96,17280800,0
1995-01-18,3.99,4.08,3.93,3.94,10196800,0
1995-01-19,3.93,3.94,3.77,3.81,5085600,0
1995-01-20,3.77,3.81,3.62,3.71,11177600,0
1995-01-23,3.65,3.71,3.56,3.71,7396000,0
1995-01-24,3.77,3.79,3.69,3.71,3125600,0
1995-01-25,3.62,3.75,3.56,3.65,13884000,0
1995-01-26,3.65,3.69,3.6,3.62,5008800,0
1995-01-27,3.69,3.71,3.6,3.65,3288800,0
1995-01-30,3.65,3.71,3.5,3.5,5348000,0
1995-01-31,3.5,3.62,3.47,3.52,6424800,0
1995-02-01,3.56,3.62,3.5,3.5,6148000,0
1995-02-02,3.54,3.65,3.54,3.62,4609600,0
1995-02-03,3.69,3.71,3.5,3.55,5249600,0
1995-02-06,3.5,3.62,3.47,3.58,5584800,0
1995-02-07,3.6,3.62,3.49,3.5,3236800,0
1995-02-08,3.5,3.62,3.5,3.62,3356000,0
1995-02-09,3.58,3.69,3.47,3.54,7534400,0
1995-02-10,3.54,3.93,3.54,3.9,17648000,0
1995-02-13,3.9,3.99,3.77,3.84,6169600,0
1995-02-14,3.87,3.99,3.84,3.9,4912800,0
1995-02-15,3.93,3.99,3.84,3.96,6548800,0
1995-02-16,3.99,4.24,3.99,4.21,20340800,0
1995-02-17,4.21,4.21,4.14,4.17,12722400,0
1995-02-21,4.14,4.38,4.14,4.37,17552000,0
1995-02-22,4.36,4.42,4.26,4.42,7975200,0
1995-02-23,4.38,4.42,4.26,4.34,7945600,0
1995-02-24,4.33,4.33,4.14,4.17,5149600,0
1995-02-27,4.14,4.24,4.11,4.11,3096000,0
1995-02-28,4.14,4.36,4.14,4.36,9036800,0
1995-03-01,4.33,4.45,4.29,4.29,10280000,0
1995-03-02,4.29,4.33,4.17,4.26,5300000,0
1995-03-03,4.29,4.36,4.24,4.36,8049600,0
1995-03-06,4.29,4.45,4.24,4.42,4016800,0
1995-03-07,4.38,4.47,4.24,4.29,5526400,0
1995-03-08,4.36,4.47,4.36,4.47,7195200,0
1995-03-09,4.45,4.57,4.45,4.54,5577600,0
1995-03-10,4.47,4.57,4.42,4.45,5394400,0
1995-03-13,4.38,4.45,4.36,4.36,4333600,0
1995-03-14,4.38,4.57,4.33,4.51,10568000,0
1995-03-15,4.51,4.57,4.42,4.54,4636000,0
1995-03-16,4.47,4.63,4.47,4.55,8729600,0
1995-03-17,4.6,4.63,4.51,4.63,5152000,0
1995-03-20,4.57,4.63,4.51,4.54,5719200,0
1995-03-21,4.51,4.57,4.38,4.38,6430400,0
1995-03-22,4.38,4.63,4.38,4.57,10256000,0
1995-03-23,4.6,4.78,4.6,4.72,13239200,0
1995-03-24,5.51,6.16,5.42,6.12,45504000,0
1995-03-27,6.06,6.09,5.72,5.75,23573600,0
1995-03-28,5.97,6.42,5.97,6.12,48444000,0
1995-03-29,6.21,6.21,5.82,5.88,20971200,0
1995-03-30,5.94,6.12,5.79,6.12,24256000,0
1995-03-31,6,6.25,5.92,6.04,13678400,0
1995-04-03,6,6.07,5.88,5.95,6315200,0
1995-04-04,5.95,5.97,5.83,5.88,3904800,0
1995-04-05,5.86,6.25,5.76,6.19,14613600,0
1995-04-06,6.22,6.25,5.86,5.88,10881600,0
1995-04-07,5.92,5.95,5.66,5.88,13385600,0
1995-04-10,5.92,6.22,5.88,6.19,15804000,0
1995-04-11,6.19,6.55,6.16,6.48,22697600,0
1995-04-12,6.53,6.64,6.5,6.54,10963200,0
1995-04-13,6.55,6.58,6.43,6.53,6923200,0
1995-04-17,6.53,6.58,6.22,6.22,7842400,0
1995-04-18,6.31,6.31,6.07,6.1,14107200,0
1995-04-19,6.16,6.16,5.86,6.1,8584800,0
1995-04-20,6.13,6.19,6.04,6.19,9952000,0
1995-04-21,6.16,6.53,6.1,6.37,12240800,0
1995-04-24,6.31,6.53,6.28,6.53,5488000,0
1995-04-25,6.5,6.89,6.43,6.84,16940800,0
1995-04-26,6.83,6.86,6.66,6.74,7135200,0
1995-04-27,6.71,7.01,6.71,6.89,13384800,0
1995-04-28,6.89,7.13,6.89,7.11,8979200,0
1995-05-01,7.08,7.17,7.01,7.08,8620800,0
1995-05-02,7.01,7.04,6.71,6.74,9386400,0
1995-05-03,6.71,6.83,6.58,6.74,8519200,0
1995-05-04,6.74,6.92,6.58,6.67,11449600,0
1995-05-05,6.67,6.77,6.46,6.55,7533600,0
1995-05-08,6.58,6.77,6.5,6.72,5561600,0
1995-05-09,6.71,6.83,6.53,6.64,9516000,0
1995-05-10,6.64,6.67,6.43,6.55,9828800,0
1995-05-11,6.55,6.8,6.53,6.77,9860800,0
1995-05-12,6.71,6.86,6.67,6.84,10642400,0
1995-05-15,6.89,7.01,6.83,6.92,9297600,0
1995-05-16,6.8,6.92,6.74,6.74,6111200,0
1995-05-17,6.74,6.98,6.6,6.95,10340000,0
1995-05-18,6.92,6.92,6.67,6.67,10738400,0
1995-05-19,6.64,6.67,6.53,6.58,8454400,0
1995-05-22,6.62,6.74,6.46,6.53,5842400,0
1995-05-23,6.55,7,6.55,6.92,10228800,0
1995-05-24,7.01,7.04,6.67,6.68,10044800,0
1995-05-25,6.67,6.8,6.55,6.74,7685600,0
1995-05-26,6.71,6.71,6.58,6.67,4001600,0
1995-05-30,6.58,6.62,6.43,6.5,9770400,0
1995-05-31,6.46,6.5,6.28,6.34,10809600,0
1995-06-01,6.34,6.55,6.34,6.39,7789600,0
1995-06-02,6.34,6.5,6.28,6.34,7388000,0
1995-06-05,6.53,6.71,6.43,6.64,14614400,0
1995-06-06,6.71,6.75,6.64,6.64,7297600,0
1995-06-07,6.67,6.67,6.53,6.53,3535200,0
1995-06-08,6.58,6.95,6.55,6.89,8523200,0
1995-06-09,6.89,7.08,6.86,7.04,6249600,0
1995-06-12,7.04,7.13,6.86,6.96,9449600,0
1995-06-13,7.04,7.11,6.93,7.11,11145600,0
1995-06-14,7.08,7.13,7.04,7.11,4611200,0
1995-06-15,7.08,7.44,7.08,7.29,11632800,0
1995-06-16,7.29,7.32,7.13,7.29,7749600,0
1995-06-19,7.29,7.66,7.29,7.59,10096000,0
1995-06-20,7.59,7.94,7.56,7.87,13187200,0
1995-06-21,7.87,7.87,7.71,7.73,12409600,0
1995-06-22,7.8,8.11,7.71,7.99,13988000,0
1995-06-23,7.53,7.53,7.25,7.47,53564800,0
1995-06-26,7.44,7.5,7.13,7.2,12982400,0
1995-06-27,7.17,7.17,6.8,6.83,14684000,0
1995-06-28,6.86,7.04,6.67,6.89,21410400,0
1995-06-29,6.92,7.17,6.89,7.12,12230400,0
1995-06-30,7.13,7.2,7.04,7.08,5694400,0
1995-07-03,7.13,7.13,7.08,7.11,1215200,0
1995-07-05,7.14,7.36,7.08,7.2,10592800,0
1995-07-06,7.26,7.29,7.14,7.18,4496000,0
1995-07-07,7.17,7.23,7.02,7.11,10011200,0
1995-07-10,7.11,7.21,6.99,6.99,6740000,0
1995-07-11,6.99,7.08,6.8,6.8,7158400,0
1995-07-12,6.92,7.02,6.83,6.97,9552800,0
1995-07-13,7.02,7.2,6.96,7.15,11291200,0
1995-07-14,7.05,7.33,7.05,7.29,6820800,0
1995-07-17,7.26,7.66,7.26,7.63,14440800,0
1995-07-18,7.62,7.62,7.29,7.43,14680000,0
1995-07-19,7.29,7.29,6.56,6.96,15918400,0
1995-07-20,6.99,7.17,6.8,7.16,7691200,0
1995-07-21,7.14,7.54,7.11,7.34,11143200,0
1995-07-24,7.38,7.6,7.36,7.54,5992800,0
1995-07-25,7.6,7.69,7.47,7.63,7892000,0
1995-07-26,7.67,7.84,7.63,7.75,7134400,0
1995-07-27,7.81,8.05,7.78,7.98,6971200,0
1995-07-28,8,8,7.57,7.6,7696800,0
1995-07-31,7.6,7.66,7.45,7.54,4540800,0
1995-08-01,7.54,7.57,7.29,7.42,8651200,0
1995-08-02,7.45,7.47,7.11,7.16,5901600,0
1995-08-03,6.92,7.08,6.83,6.85,12203200,0
1995-08-04,6.89,7.02,6.87,6.96,5932000,0
1995-08-07,7.02,7.07,6.96,6.99,5425600,0
1995-08-08,7,7.33,6.99,7.23,9177600,0
1995-08-09,7.4,7.42,7.17,7.21,9682400,0
1995-08-10,7.29,7.33,7.17,7.17,4096000,0
1995-08-11,7.23,7.26,7.08,7.14,2027200,0
1995-08-14,7.11,7.33,7.11,7.2,5692000,0
1995-08-15,7.2,7.23,7.08,7.23,7190400,0
1995-08-16,7.36,7.75,7.29,7.72,13251200,0
1995-08-17,7.69,7.84,7.54,7.66,8064800,0
1995-08-18,7.71,7.72,7.36,7.42,7472000,0
1995-08-21,7.45,7.5,7.11,7.14,7615200,0
1995-08-22,7.17,7.49,7.14,7.46,8278400,0
1995-08-23,7.47,7.63,7.37,7.6,11792800,0
1995-08-24,7.6,7.63,7.42,7.52,7223200,0
1995-08-25,7.5,7.54,7.17,7.18,10764000,0
1995-08-28,7.2,7.2,6.59,6.78,22676800,0
1995-08-29,6.8,6.92,6.5,6.62,17738400,0
1995-08-30,6.65,6.65,6.04,6.05,55896800,0
1995-08-31,6.11,6.44,6.11,6.22,33911200,0
1995-09-01,6.25,6.32,6.08,6.08,11852800,0
1995-09-05,6.13,6.22,5.98,6.22,20939200,0
1995-09-06,6.29,6.56,6.22,6.34,17825600,0
1995-09-07,6.34,6.44,6.22,6.22,9607200,0
1995-09-08,6.29,6.29,5.92,6.11,20090400,0
1995-09-11,6.11,6.22,5.98,5.98,9710400,0
1995-09-12,6.08,6.11,5.83,6.03,13057600,0
1995-09-13,6.03,6.17,5.95,6.12,6974400,0
1995-09-14,6.13,6.17,5.83,5.86,7331200,0
1995-09-15,5.75,6.04,5.53,5.96,40211200,0
1995-09-18,6.04,6.2,6,6.2,11419200,0
1995-09-19,6.2,6.68,6.13,6.59,34483200,0
1995-09-20,6.65,6.68,6.47,6.59,13954400,0
1995-09-21,6.54,6.59,6.22,6.37,16404000,0
1995-09-22,6.3,6.53,6.22,6.38,6614400,0
1995-09-25,6.38,6.44,6.25,6.32,5159200,0
1995-09-26,6.34,6.5,6.22,6.29,9782400,0
1995-09-27,6.32,6.32,6.11,6.22,16009600,0
1995-09-28,6.22,6.53,6.22,6.42,10404800,0
1995-09-29,6.44,6.5,6.29,6.32,7828800,0
1995-10-02,6.37,6.44,6.22,6.32,7085600,0
1995-10-03,6.29,6.39,6.25,6.38,7904000,0
1995-10-04,6.33,6.37,6.05,6.2,10877600,0
1995-10-05,6.2,6.38,6.17,6.38,6768000,0
1995-10-06,6.36,6.45,6.17,6.2,8015200,0
1995-10-09,6.14,6.14,5.89,5.97,13076800,0
1995-10-10,5.8,5.82,5.5,5.56,20320800,0
1995-10-11,5.74,5.74,5.5,5.71,14142400,0
1995-10-12,5.74,6.2,5.68,6.18,16601600,0
1995-10-13,6.23,6.26,6.01,6.01,7453600,0
1995-10-16,5.96,6.01,5.82,5.83,7012000,0
1995-10-17,5.91,6.23,5.87,6.14,12191200,0
1995-10-18,6.21,6.38,6.2,6.36,11813600,0
1995-10-19,6.33,6.5,6.29,6.45,7924000,0
1995-10-20,6.5,6.54,6.38,6.4,7356000,0
1995-10-23,6.33,6.46,6.28,6.36,8231200,0
1995-10-24,6.45,6.75,6.42,6.69,12287200,0
1995-10-25,6.69,6.93,6.63,6.91,10484000,0
1995-10-26,6.89,6.92,6.33,6.57,11108000,0
1995-10-27,6.54,6.72,6.45,6.63,6588800,0
1995-10-30,6.66,7.17,6.63,7.12,14852000,0
1995-10-31,7.14,7.22,6.96,6.96,6984800,0
1995-11-01,6.96,7.05,6.91,6.98,6284800,0
1995-11-02,6.96,7.46,6.96,7.42,19736000,0
1995-11-03,7.54,7.79,7.3,7.79,12407200,0
1995-11-06,7.73,7.79,7.61,7.61,7920800,0
1995-11-07,7.49,7.61,7.24,7.44,9344000,0
1995-11-08,7.49,7.54,7.29,7.39,7471200,0
1995-11-09,7.44,7.63,7.38,7.53,10459200,0
1995-11-10,7.51,8.49,7.46,8.15,26337600,0
1995-11-13,8.06,8.34,7.51,7.67,20784000,0
1995-11-14,7.5,8.19,7.42,7.42,30665600,0
1995-11-15,7.54,7.82,7.34,7.75,25357600,0
1995-11-16,7.7,8.04,7.68,7.79,17186400,0
1995-11-17,7.68,7.8,7.42,7.54,17299200,0
1995-11-20,7.62,7.67,7.18,7.21,12960800,0
1995-11-21,7.18,7.36,6.92,7.1,16832800,0
1995-11-22,7.22,7.49,7.21,7.46,12387200,0
1995-11-24,7.47,7.58,7.47,7.54,1593600,0
1995-11-27,7.88,8.15,7.78,7.94,18155200,0
1995-11-28,7.94,8.55,7.88,8.4,20864000,0
1995-11-29,8.4,8.47,8.19,8.36,13920800,0
1995-11-30,8.37,8.59,8.19,8.26,13681600,0
1995-12-01,8.34,8.36,8.1,8.19,6965600,0
1995-12-04,8.24,8.62,8.12,8.52,11694400,0
1995-12-05,8.57,8.92,8.55,8.81,16420800,0
1995-12-06,8.85,9.07,8.38,8.62,14357600,0
1995-12-07,8.68,8.73,8.24,8.37,13200000,0
1995-12-08,8.43,8.79,8.28,8.79,14559200,0
1995-12-11,8.85,8.92,8.59,8.79,12775200,0
1995-12-12,8.78,8.81,8.64,8.73,6988800,0
1995-12-13,8.77,9.04,8.76,8.79,11942400,0
1995-12-14,8.82,8.82,8.02,8.08,19576800,0
1995-12-15,8.06,8.08,7.5,7.61,23587200,0
1995-12-18,7.63,7.63,6.96,7,22541600,0
1995-12-19,7.07,7.88,7.05,7.79,30795200,0
1995-12-20,7.85,8.05,7.61,7.76,16561600,0
1995-12-21,7.79,8.02,7.73,7.94,8092000,0
1995-12-22,7.88,7.94,7.75,7.82,4990400,0
1995-12-26,7.79,7.91,7.73,7.85,3197600,0
1995-12-27,7.88,7.96,7.79,7.85,3848000,0
1995-12-28,7.79,7.82,7.49,7.49,11456800,0
1995-12-29,7.49,7.63,7.14,7.58,16416000,0
1996-01-02,7.58,7.83,7.49,7.83,9114400,0
1996-01-03,7.79,7.85,7.34,7.38,12487200,0
1996-01-04,7.39,7.39,6.91,7.14,33856000,0
1996-01-05,4.55,5.3,4.4,5.16,175513600,0
1996-01-08,5.32,5.37,5.04,5.12,10344800,0
1996-01-09,5.05,5.05,4.64,4.64,37637600,0
1996-01-10,4.61,4.76,4.49,4.71,33356800,0
1996-01-11,4.88,4.95,4.67,4.79,16643200,0
1996-01-12,4.95,4.96,4.71,4.87,12908800,0
