Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.8341,4.8504,4.5936,4.6105,1681641,0
1995-01-04,4.5273,4.5604,4.4197,4.4943,2521017,0
1995-01-05,4.4859,4.6105,4.4859,4.5356,822973,0
1995-01-06,4.5604,4.6934,4.5356,4.6599,889058,0
1995-01-09,4.6105,4.7429,4.6105,4.718,519061,0
1995-01-10,4.7678,4.8424,4.6934,4.7429,825385,0
1995-01-11,4.7678,4.7678,4.5604,4.5856,601066,0
1995-01-12,4.5856,4.6599,4.5109,4.6105,770391,0
1995-01-13,4.6105,4.6353,4.5604,4.5856,735659,0
1995-01-16,4.6353,4.7927,4.5856,4.7927,957078,0
1995-01-17,4.7927,4.8424,4.7678,4.7927,800301,0
1995-01-18,4.7429,4.7927,4.5109,4.6105,1570208,0
1995-01-19,4.6105,4.6934,4.5604,4.6934,952255,0
1995-01-20,4.6353,4.6353,4.5356,4.5604,1037640,0
1995-01-23,4.4859,4.5356,4.4276,4.5356,1082984,0
1995-01-24,4.5604,4.6353,4.5356,4.5856,1905961,0
1995-01-25,4.4609,4.5604,4.4609,4.5109,602519,0
1995-01-26,4.4859,4.5109,4.3781,4.4859,418243,0
1995-01-27,4.4859,4.5109,4.403,4.5109,593348,0
1995-01-30,4.4609,4.4609,4.1461,4.3036,1984591,0
1995-01-31,4.3036,4.5109,4.1957,4.4609,2203115,0
1995-02-01,4.4609,4.5604,4.4276,4.5356,2303939,0
1995-02-02,4.5109,4.5356,4.4609,4.4859,999048,0
1995-02-03,4.5356,4.6599,4.5109,4.6105,2339150,0
1995-02-06,4.6599,4.6934,4.6105,4.6353,1229635,0
1995-02-07,4.6599,4.6599,4.5356,4.6105,916558,0
1995-02-08,4.5856,4.6934,4.5856,4.6353,936337,0
1995-02-09,4.6105,4.6934,4.6105,4.6934,1013038,0
1995-02-10,4.718,4.7927,4.6934,4.7678,724562,0
1995-02-13,4.7678,4.7927,4.6934,4.6934,582255,0
1995-02-14,4.718,4.7678,4.6934,4.7678,754473,0
1995-02-15,4.7927,4.8175,4.6934,4.7678,1617966,0
1995-02-16,4.7927,5,4.7927,5,2835541,0
1995-02-17,4.9254,4.9254,4.6599,4.7678,2097956,0
1995-02-21,4.8759,4.9917,4.7927,4.9504,1415358,0
1995-02-22,4.9005,5.1576,4.9005,5.1576,3142346,0
1995-02-23,5.1576,5.3649,5.1576,5.2322,4365712,0
1995-02-24,5.2072,5.2072,5.0747,5.1576,1173192,0
1995-02-27,5.1324,5.2902,5.1078,5.2072,608306,0
1995-02-28,5.2322,5.2322,5.1324,5.2072,644003,0
1995-03-01,5.1576,5.3397,5.1078,5.1324,729870,0
1995-03-02,5.1324,5.1576,5.0747,5.1576,1314055,0
1995-03-03,5.1576,5.4396,5.1576,5.3898,756883,0
1995-03-06,5.4146,5.4146,5.3152,5.3649,1340586,0
1995-03-07,5.3898,5.3898,5.3397,5.3649,670054,0
1995-03-08,5.3397,5.3649,5.2902,5.2902,551380,0
1995-03-09,5.3397,5.3898,5.2322,5.2902,435606,0
1995-03-10,5.3152,5.4146,5.257,5.257,282202,0
1995-03-13,5.2902,5.4396,5.2322,5.4146,518097,0
1995-03-14,5.4146,5.5224,5.3649,5.4396,650756,0
1995-03-15,5.4146,5.6219,5.4146,5.597,1734222,0
1995-03-16,5.597,5.6467,5.5224,5.6467,857704,0
1995-03-17,5.597,5.6219,5.5719,5.597,1130742,0
1995-03-20,5.597,5.7047,5.5719,5.6467,1016414,0
1995-03-21,5.6717,5.6717,5.5719,5.597,581288,0
1995-03-22,5.597,5.597,5.3397,5.3898,650756,0
1995-03-23,5.3649,5.4396,5.3152,5.3898,1916087,0
1995-03-24,5.4645,5.7296,5.4645,5.6467,893885,0
1995-03-27,5.7546,5.8293,5.7296,5.7296,1658005,0
1995-03-28,5.7047,5.7296,5.5719,5.5719,815734,0
1995-03-29,5.6219,5.6467,5.5224,5.5472,1508943,0
1995-03-30,5.5224,5.5472,5.3397,5.4146,1975905,0
1995-03-31,5.3397,5.3397,5.1824,5.2902,1273532,0
1995-04-03,5.2902,5.3397,5.257,5.2902,2848082,0
1995-04-04,5.3152,5.3397,5.1324,5.257,1689843,0
1995-04-05,5.2322,5.2902,5.2072,5.2322,782936,0
1995-04-06,5.2902,5.2902,5.2322,5.2322,411487,0
1995-04-07,5.2322,5.3397,5.2322,5.3397,404732,0
1995-04-10,5.3397,5.597,5.3397,5.5472,816222,0
1995-04-11,5.5719,5.597,5.257,5.257,1010629,0
1995-04-12,5.3152,5.3649,5.257,5.3397,720704,0
