Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.9935,9.0308,8.8756,9.0308,1416171,0
1995-01-04,9.0167,9.0667,8.9728,8.9935,1284082,0
1995-01-05,9.0449,9.0667,8.9935,9.0449,1208689,0
1995-01-06,9.0449,9.082,8.9935,9.0449,2138729,0
1995-01-09,9.0308,9.0667,9.0167,9.0449,648977,0
1995-01-10,9.082,9.2222,9.0449,9.1865,1617619,0
1995-01-11,9.2603,9.3191,9.2222,9.2967,2069368,0
1995-01-12,9.2222,9.4373,9.2222,9.4006,2527150,0
1995-01-13,9.4155,9.4155,9.2967,9.3561,2986741,0
1995-01-16,9.3561,9.512,9.3561,9.4006,2153807,0
1995-01-17,9.3191,9.3191,9.2077,9.2603,2147169,0
1995-01-18,9.2222,9.2603,9.1865,9.2222,1006637,0
1995-01-19,9.1865,9.2603,9.1276,9.2458,1074788,0
1995-01-20,9.2603,9.2603,9.0308,9.0667,1724374,0
1995-01-23,9.0308,9.1276,9.0167,9.082,1703260,0
1995-01-24,9.1276,9.163,9.1058,9.1058,758749,0
1995-01-25,9.0667,9.1058,9.0308,9.0308,1181545,0
1995-01-26,9.0308,9.1496,9.0308,9.1058,766592,0
1995-01-27,9.1496,9.2222,9.0308,9.082,1123646,0
1995-01-30,9.082,9.082,9.0308,9.0449,826297,0
1995-01-31,9.0667,9.1865,9.0449,9.1496,1972260,0
1995-02-01,9.1496,9.163,9.0308,9.1058,1344999,0
1995-02-02,9.082,9.2222,9.0667,9.2222,960196,0
1995-02-03,9.2458,9.3407,9.2222,9.3407,2461411,0
1995-02-06,9.3561,9.512,9.3561,9.4155,1513877,0
1995-02-07,9.3778,9.4155,9.3191,9.4155,1572983,0
1995-02-08,9.4155,9.4877,9.4155,9.4588,1506639,0
1995-02-09,9.4588,9.512,9.4006,9.4738,765380,0
1995-02-10,9.4588,9.4738,9.3561,9.4373,653802,0
1995-02-13,9.4373,9.607,9.4155,9.607,952356,0
1995-02-14,9.607,9.607,9.4877,9.532,864293,0
1995-02-15,9.512,9.548,9.4588,9.4877,1406516,0
