Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.72,9.85,9.23,9.26,2272400,0
1995-01-04,9.23,9.66,9.23,9.54,2409200,0
1995-01-05,9.48,9.66,9.41,9.54,1403200,0
1995-01-06,9.66,9.72,9.48,9.63,525600,0
1995-01-09,9.66,9.91,9.54,9.91,1254400,0
1995-01-10,9.85,10.16,9.54,9.6,1932400,0
1995-01-11,9.79,9.79,9.29,9.54,1415600,0
1995-01-12,9.6,9.6,8.98,9.29,2695600,0
1995-01-13,9.23,9.36,8.46,8.95,7333200,0
1995-01-16,8.98,9.36,8.98,9.11,2034400,0
1995-01-17,9.04,9.41,8.92,9.29,1886800,0
1995-01-18,9.17,9.57,9.17,9.29,1408800,0
1995-01-19,9.36,9.36,8.67,8.73,2900800,0
1995-01-20,8.73,8.79,8.18,8.34,5606800,0
1995-01-23,8.12,8.48,8.12,8.37,2637600,0
1995-01-24,8.48,8.55,8.37,8.39,1153200,0
1995-01-25,7.99,8.48,7.99,8.39,2442000,0
1995-01-26,8.48,8.48,8.05,8.24,1052000,0
1995-01-27,8.48,8.48,8.12,8.39,1347600,0
1995-01-30,8.37,8.43,7.99,8.09,1495200,0
1995-01-31,8.24,8.43,8.18,8.21,2084400,0
1995-02-01,8.3,8.61,8.24,8.43,2765600,0
1995-02-02,8.43,8.48,8.3,8.37,578000,0
1995-02-03,8.61,8.73,8.48,8.67,2627600,0
1995-02-06,8.73,9.11,8.61,8.92,2296400,0
1995-02-07,8.92,8.98,8.55,8.61,1444400,0
1995-02-08,8.67,8.79,8.55,8.67,1452000,0
1995-02-09,8.67,8.92,8.67,8.73,1240000,0
1995-02-10,8.73,8.79,8.43,8.67,942000,0
1995-02-13,8.55,8.67,8.43,8.67,296400,0
1995-02-14,8.55,8.79,8.55,8.64,880800,0
1995-02-15,8.73,9.14,8.67,9.02,2760000,0
1995-02-16,9.23,9.36,8.79,8.92,2242000,0
1995-02-17,8.92,8.98,8.73,8.89,1410800,0
1995-02-21,8.86,9.04,8.79,8.79,1236400,0
1995-02-22,8.67,8.86,8.61,8.86,1498800,0
1995-02-23,9.29,9.54,9.17,9.45,14285600,0
1995-02-24,9.36,9.79,9.36,9.66,4923600,0
1995-02-27,9.66,9.91,9.6,9.6,4533600,0
1995-02-28,9.6,9.72,9.41,9.72,2770000,0
1995-03-01,9.66,9.79,9.66,9.72,2046800,0
1995-03-02,9.66,9.79,9.54,9.66,2338000,0
1995-03-03,9.66,9.95,9.6,9.89,2320800,0
