Date,Open,High,Low,Close,Volume,OpenInt
1998-01-02,27.258,27.293,26.859,27.138,592774,0
1998-01-05,27.293,27.339,26.664,26.941,753383,0
1998-01-06,26.704,26.739,26.463,26.544,338574,0
1998-01-07,26.544,26.544,25.906,26.306,478092,0
1998-01-08,26.342,26.342,25.833,25.991,434031,0
1998-01-09,25.947,26.501,25.947,26.224,409331,0
1998-01-12,26.065,26.501,25.991,26.463,358202,0
1998-01-13,26.463,26.463,26.112,26.268,258068,0
1998-01-14,26.268,26.268,26.065,26.148,186241,0
1998-01-15,26.112,26.112,25.513,25.555,207472,0
1998-01-16,25.752,25.872,25.631,25.669,335239,0
1998-01-20,23.772,23.849,23.137,23.489,1403829,0
1998-01-21,23.377,23.377,22.657,23.333,1370181,0
1998-01-22,23.054,23.213,22.897,23.054,657790,0
1998-01-23,22.897,23.054,22.582,22.823,431895,0
1998-01-26,22.861,22.981,22.546,22.935,364474,0
1998-01-27,22.935,23.101,22.703,22.981,752580,0
1998-01-28,22.861,23.137,22.861,23.137,379160,0
1998-01-29,23.137,23.453,23.054,23.294,512397,0
1998-01-30,23.294,23.377,23.174,23.213,649512,0
1998-02-02,23.294,23.377,23.137,23.256,311072,0
1998-02-03,23.213,23.333,23.054,23.213,252596,0
1998-02-04,23.213,23.213,22.981,23.137,744702,0
1998-02-05,23.414,23.534,23.213,23.414,280363,0
1998-02-06,23.453,23.812,23.294,23.812,335239,0
1998-02-09,23.73,24.052,23.73,24.005,362738,0
1998-02-10,23.97,24.282,23.97,24.052,476889,0
1998-02-11,23.97,24.005,23.849,23.93,374622,0
1998-02-12,23.772,24.052,23.692,23.97,662328,0
1998-02-13,23.849,24.005,23.73,23.772,242719,0
1998-02-17,23.73,24.09,23.534,24.09,481429,0
1998-02-18,24.09,24.246,24.052,24.09,357263,0
1998-02-19,24.09,24.209,24.09,24.209,515736,0
1998-02-20,24.165,24.282,23.97,24.282,1066191,0
1998-02-23,24.282,24.485,24.125,24.485,463405,0
1998-02-24,24.365,24.402,24.165,24.402,305064,0
1998-02-25,24.44,24.56,24.33,24.33,457261,0
1998-02-26,24.246,24.365,24.125,24.209,204001,0
1998-02-27,24.165,24.395,24.125,24.365,292115,0
1998-03-02,24.209,24.402,24.209,24.365,293317,0
1998-03-03,24.365,24.402,24.33,24.365,555789,0
1998-03-04,24.33,24.402,24.246,24.33,195853,0
1998-03-05,24.209,24.365,24.165,24.282,391978,0
1998-03-06,23.692,24.165,23.692,24.165,4732698,0
1998-03-09,24.09,24.125,23.93,23.97,412538,0
1998-03-10,23.97,24.246,23.93,24.165,387171,0
1998-03-11,24.125,24.642,24.125,24.56,726014,0
1998-03-12,24.56,24.56,24.365,24.44,322685,0
1998-03-13,24.365,24.56,24.33,24.524,567406,0
1998-03-16,24.524,25.161,24.485,25.039,527888,0
1998-03-17,25.039,25.555,25.039,25.555,469277,0
1998-03-18,25.436,25.991,25.436,25.906,892897,0
1998-03-19,25.833,26.306,25.752,26.306,576085,0
1998-03-20,26.463,26.898,26.388,26.823,695975,0
