Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.2763,9.2763,8.8313,8.8313,65132,0
1995-01-04,8.5854,8.8128,8.3669,8.4761,311940,0
1995-01-05,8.4761,8.704,8.3669,8.704,65025,0
1995-01-06,8.5854,8.5854,8.2576,8.2576,89517,0
1995-01-09,8.3669,8.4761,8.1393,8.3669,58105,0
1995-01-10,8.0302,8.3669,8.0302,8.2576,101382,0
1995-01-11,8.2576,9.0315,8.2576,9.0315,135429,0
1995-01-12,9.596,9.596,9.15,9.15,149931,0
1995-01-13,9.0315,9.15,8.9225,9.0315,75792,0
1995-01-16,8.9225,8.9225,8.704,8.704,35916,0
1995-01-17,8.8128,9.0315,8.8128,8.8128,73809,0
1995-01-18,9.15,9.15,8.8128,8.8128,58434,0
1995-01-19,8.9225,8.9225,8.704,8.9225,23064,0
1995-01-20,8.8128,9.0315,8.8128,9.0315,41411,0
1995-01-23,8.9225,8.9225,8.704,8.704,35700,0
1995-01-24,8.704,8.9225,8.704,8.9225,17465,0
1995-01-25,8.9225,8.9225,8.5854,8.5854,27239,0
1995-01-26,8.704,8.704,8.4761,8.5854,34050,0
1995-01-27,8.4761,8.5854,8.1393,8.1393,71177,0
1995-01-30,8.1393,8.2576,8.0302,8.1393,34488,0
1995-01-31,8.1393,8.2576,7.9209,8.0302,102152,0
1995-02-01,8.1393,8.3669,8.0302,8.2576,38226,0
1995-02-02,8.1393,8.4761,8.1393,8.4761,66232,0
1995-02-03,8.2576,8.3669,8.1393,8.2576,38333,0
1995-02-06,8.1393,8.3669,8.1393,8.2576,42179,0
1995-02-07,8.2576,8.3669,8.1393,8.2576,58874,0
1995-02-08,8.1393,8.4761,8.1393,8.4761,59313,0
1995-02-09,8.3669,8.5854,8.3669,8.5854,26361,0
1995-02-10,8.5854,8.5854,8.4761,8.4761,23614,0
1995-02-13,8.4761,8.4761,8.2576,8.3669,13839,0
1995-02-14,8.4761,8.5854,8.3669,8.3669,55470,0
1995-02-15,8.4761,8.5854,8.4761,8.4761,80840,0
1995-02-16,8.4761,8.5854,8.3669,8.3669,34820,0
1995-02-17,8.4761,8.704,8.4761,8.5854,86112,0
1995-02-21,8.5854,8.704,8.4761,8.5854,41740,0
1995-02-22,8.5854,8.8128,8.4761,8.8128,112255,0
1995-02-23,8.704,8.8128,8.5854,8.704,40200,0
1995-02-24,8.704,8.704,8.4761,8.4761,55578,0
1995-02-27,8.4761,8.5854,8.2576,8.3669,70189,0
1995-02-28,8.3669,8.5854,8.3669,8.5854,42506,0
1995-03-01,8.4761,8.4761,8.2576,8.2576,39653,0
1995-03-02,8.2576,8.5854,8.2576,8.4761,52503,0
1995-03-03,8.4761,8.4761,8.3669,8.3669,33610,0
1995-03-06,8.4761,8.704,8.4761,8.4761,75459,0
1995-03-07,8.704,9.2576,8.5854,9.15,324682,0
1995-03-08,8.9225,9.3674,8.9225,9.2576,408047,0
1995-03-09,9.3674,9.596,9.3674,9.596,257790,0
1995-03-10,9.596,9.815,9.477,9.596,117417,0
1995-03-13,10.041,10.151,9.924,10.041,187602,0
1995-03-14,9.924,10.041,9.815,10.041,45583,0
