Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,15,15.112,15,15.057,180468,0
1995-01-04,15.057,15.228,15.057,15.228,133910,0
1995-01-05,15.174,15.287,15.174,15.228,189519,0
1995-01-06,15.228,15.339,15.228,15.339,275291,0
1995-01-09,15.287,15.455,15.228,15.287,158567,0
1995-01-10,15.287,15.631,15.287,15.569,947196,0
1995-01-11,15.516,15.569,15.403,15.455,281195,0
1995-01-12,15.455,15.516,15.455,15.516,176796,0
1995-01-13,15.569,15.569,15.455,15.455,151351,0
1995-01-16,15.516,15.745,15.516,15.745,398712,0
1995-01-17,15.684,15.745,15.631,15.684,268342,0
1995-01-18,15.631,15.799,15.631,15.745,682002,0
1995-01-19,15.684,15.684,15.569,15.569,313852,0
1995-01-20,15.631,15.684,15.455,15.631,798206,0
1995-01-23,15.516,15.631,15.516,15.569,259816,0
1995-01-24,15.569,15.631,15.569,15.569,353462,0
1995-01-25,15.631,15.745,15.569,15.684,198304,0
1995-01-26,15.631,15.684,15.569,15.631,318047,0
1995-01-27,15.745,15.974,15.684,15.912,398183,0
1995-01-30,15.859,15.912,15.745,15.859,209976,0
1995-01-31,15.859,16.088,15.859,16.026,498913,0
1995-02-01,16.026,16.088,15.912,15.974,236468,0
1995-02-02,15.912,16.026,15.859,16.026,213129,0
1995-02-03,16.142,16.377,16.142,16.377,1669727,0
1995-02-06,16.3,16.364,16.186,16.25,512158,0
1995-02-07,16.25,16.423,16.25,16.364,849617,0
1995-02-08,16.364,16.478,16.072,16.127,1286494,0
1995-02-09,16.072,16.072,15.783,15.897,506518,0
1995-02-10,15.897,15.897,15.486,15.607,802535,0
1995-02-13,15.607,15.658,15.486,15.486,197781,0
1995-02-14,15.607,15.783,15.545,15.721,452352,0
1995-02-15,15.783,15.835,15.658,15.783,457205,0
1995-02-16,15.721,15.897,15.658,15.897,570522,0
1995-02-17,15.897,16.01,15.835,15.835,1836291,0
1995-02-21,15.897,15.897,15.783,15.835,178372,0
1995-02-22,15.897,16.127,15.835,16.127,355560,0
1995-02-23,16.186,16.25,16.127,16.186,455765,0
1995-02-24,16.072,16.072,16.01,16.01,103482,0
1995-02-27,16.01,16.072,15.721,15.897,175877,0
1995-02-28,15.897,15.897,15.658,15.783,376676,0
1995-03-01,15.783,15.783,15.486,15.486,925686,0
1995-03-02,15.545,15.545,15.196,15.257,799779,0
1995-03-03,15.196,15.196,14.908,15.196,601997,0
1995-03-06,15.142,15.196,14.967,15.02,412348,0
1995-03-07,14.967,15.02,14.844,15.02,600033,0
1995-03-08,15.083,15.257,15.02,15.142,438583,0
1995-03-09,15.083,15.083,14.908,14.908,858931,0
1995-03-10,14.967,15.196,14.908,15.083,312411,0
1995-03-13,15.196,15.257,15.02,15.02,206828,0
1995-03-14,15.142,15.257,15.083,15.083,993363,0
1995-03-15,15.083,15.142,15.02,15.142,366839,0
1995-03-16,15.02,15.142,15.02,15.083,379170,0
1995-03-17,15.083,15.112,14.967,15.02,533144,0
1995-03-20,14.967,15.083,14.844,14.908,173647,0
1995-03-21,14.908,15.083,14.793,14.844,143221,0
1995-03-22,14.793,14.844,14.677,14.844,574719,0
1995-03-23,14.793,14.844,14.729,14.793,170762,0
1995-03-24,14.844,15.02,14.844,14.967,272407,0
1995-03-27,15.02,15.083,14.844,14.844,554389,0
1995-03-28,14.844,14.908,14.677,14.729,294311,0
1995-03-29,14.729,14.908,14.677,14.844,621150,0
1995-03-30,14.844,14.844,14.793,14.793,253260,0
1995-03-31,14.729,14.793,14.556,14.793,462056,0
1995-04-03,14.729,14.967,14.729,14.908,274378,0
1995-04-04,14.967,15.196,14.967,15.142,876631,0
1995-04-05,15.142,15.371,15.083,15.371,914800,0
1995-04-06,15.371,15.371,15.318,15.371,561734,0
1995-04-07,15.371,15.433,15.196,15.318,331293,0
1995-04-10,15.318,15.318,15.142,15.318,222568,0
1995-04-11,15.318,15.371,15.196,15.257,276736,0
1995-04-12,15.196,15.196,15.02,15.083,178631,0
1995-04-13,15.083,15.196,15.02,15.083,299163,0
1995-04-17,15.142,15.196,14.677,14.793,429665,0
1995-04-18,14.793,14.908,14.793,14.908,351364,0
1995-04-19,14.908,14.967,14.793,14.908,232142,0
1995-04-20,14.908,14.967,14.844,14.844,125646,0
1995-04-21,14.967,15.02,14.844,15.02,386906,0
1995-04-24,14.967,15.196,14.967,15.196,321201,0
1995-04-25,15.142,15.318,15.142,15.318,444618,0
1995-04-26,15.257,15.318,15.257,15.257,240404,0
1995-04-27,15.257,15.371,15.257,15.318,307817,0
1995-04-28,15.257,15.318,15.196,15.257,322509,0
1995-05-01,15.196,15.196,15.083,15.083,339428,0
1995-05-02,15.083,15.083,14.967,15.02,300871,0
1995-05-03,15.083,15.318,15.083,15.196,1835768,0
1995-05-04,15.24,15.364,15.189,15.24,610525,0
1995-05-05,15.425,15.658,15.364,15.658,897753,0
1995-05-08,15.601,15.658,15.54,15.658,574195,0
1995-05-09,15.658,15.835,15.601,15.721,384807,0
1995-05-10,15.783,15.783,15.54,15.658,283817,0
1995-05-11,15.658,15.658,15.54,15.601,208272,0
1995-05-12,15.601,15.658,15.601,15.658,130234,0
1995-05-15,15.783,15.783,15.721,15.783,236992,0
1995-05-16,15.721,15.783,15.658,15.783,349789,0
1995-05-17,15.658,15.721,15.54,15.54,247620,0
1995-05-18,15.601,15.601,15.364,15.425,236603,0
1995-05-19,15.302,15.425,15.302,15.364,355297,0
1995-05-22,15.364,15.425,15.302,15.364,196601,0
1995-05-23,15.425,15.54,15.364,15.54,244081,0
1995-05-24,15.658,15.783,15.486,15.54,219158,0
1995-05-25,15.601,15.959,15.601,15.835,353722,0
1995-05-26,15.959,15.959,15.658,15.721,267947,0
1995-05-30,15.783,16.072,15.783,16.018,306115,0
1995-05-31,16.018,16.256,15.897,16.256,286575,0
1995-06-01,16.134,16.256,16.072,16.256,372738,0
1995-06-02,16.369,16.606,16.316,16.49,517143,0
1995-06-05,16.555,16.67,16.49,16.49,367623,0
1995-06-06,16.49,16.555,16.49,16.49,209060,0
1995-06-07,16.49,16.555,16.134,16.369,270834,0
1995-06-08,16.316,16.369,16.194,16.256,182697,0
1995-06-09,16.256,16.256,15.959,16.134,1854260,0
1995-06-12,16.256,16.49,16.256,16.316,585867,0
1995-06-13,16.369,16.606,16.369,16.555,424417,0
1995-06-14,16.49,16.555,16.432,16.49,179028,0
1995-06-15,16.49,16.49,16.369,16.432,403693,0
1995-06-16,16.369,16.369,16.256,16.316,701154,0
1995-06-19,16.369,16.432,16.316,16.369,397659,0
1995-06-20,16.369,16.369,16.256,16.316,308608,0
1995-06-21,16.316,16.316,16.256,16.316,169451,0
1995-06-22,16.316,16.728,16.316,16.67,847519,0
1995-06-23,16.67,16.67,16.49,16.555,304148,0
1995-06-26,16.555,16.555,16.432,16.432,121710,0
1995-06-27,16.49,16.606,16.432,16.555,374575,0
1995-06-28,16.49,16.79,16.432,16.67,293526,0
1995-06-29,16.606,16.67,16.49,16.49,398581,0
1995-06-30,16.555,16.67,16.555,16.67,449333,0
1995-07-03,16.606,16.67,16.606,16.67,50233,0
1995-07-05,16.606,16.67,16.606,16.606,212863,0
1995-07-06,16.555,16.728,16.369,16.728,396088,0
1995-07-07,16.67,16.67,16.432,16.555,510192,0
1995-07-10,16.49,16.555,16.316,16.369,312017,0
1995-07-11,16.256,16.49,16.256,16.49,360677,0
1995-07-12,16.432,16.606,16.432,16.555,276865,0
1995-07-13,16.49,16.555,16.369,16.432,157648,0
1995-07-14,16.369,16.432,16.316,16.369,229126,0
1995-07-17,16.316,16.369,16.256,16.316,143221,0
1995-07-18,16.256,16.49,16.194,16.432,214698,0
1995-07-19,16.369,16.432,16.256,16.369,473335,0
1995-07-20,16.432,16.432,16.316,16.369,478584,0
1995-07-21,16.256,16.316,16.134,16.316,489992,0
1995-07-24,16.369,16.369,16.256,16.256,289722,0
1995-07-25,16.194,16.49,16.134,16.369,330115,0
1995-07-26,16.369,16.49,16.369,16.49,299951,0
1995-07-27,16.49,16.67,16.49,16.67,191617,0
1995-07-28,16.606,16.606,16.369,16.369,97580,0
1995-07-31,16.369,16.369,16.256,16.369,205915,0
1995-08-01,16.369,16.49,16.369,16.432,167353,0
1995-08-02,16.49,16.606,16.369,16.49,696693,0
1995-08-03,16.369,16.432,16.369,16.369,312279,0
1995-08-04,16.369,16.555,16.369,16.49,270179,0
1995-08-07,16.432,16.728,16.432,16.67,1440338,0
1995-08-08,16.662,16.721,16.478,16.598,984576,0
1995-08-09,16.538,16.598,16.415,16.415,925030,0
1995-08-10,16.415,16.538,16.415,16.478,139679,0
1995-08-11,16.478,16.478,16.234,16.357,222698,0
1995-08-14,16.357,16.538,16.292,16.538,154765,0
1995-08-15,16.415,16.478,16.357,16.415,251818,0
1995-08-16,16.415,16.662,16.415,16.598,271621,0
1995-08-17,16.538,16.662,16.538,16.598,331558,0
1995-08-18,16.598,16.598,16.478,16.538,400679,0
1995-08-21,16.598,16.721,16.598,16.662,179942,0
1995-08-22,16.662,16.662,16.538,16.538,142168,0
1995-08-23,16.538,16.538,16.357,16.415,361856,0
1995-08-24,16.357,16.478,16.357,16.415,218898,0
1995-08-25,16.415,16.721,16.415,16.662,192930,0
1995-08-28,16.721,16.721,16.538,16.598,248143,0
1995-08-29,16.598,16.598,16.478,16.478,218766,0
1995-08-30,16.538,16.598,16.415,16.415,149649,0
1995-08-31,16.415,16.538,16.415,16.478,193454,0
1995-09-01,16.478,16.538,16.415,16.478,131022,0
1995-09-05,16.478,16.538,16.415,16.478,307948,0
1995-09-06,16.415,16.478,16.415,16.415,190434,0
1995-09-07,16.415,16.478,16.357,16.415,120268,0
1995-09-08,16.415,16.538,16.415,16.478,182041,0
1995-09-11,16.598,16.598,16.538,16.598,282114,0
1995-09-12,16.662,16.721,16.598,16.721,145580,0
1995-09-13,16.662,16.721,16.538,16.598,654720,0
