Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.8033,4.8033,4.7665,4.8033,1077103,0
1995-01-04,4.7939,4.8306,4.7665,4.8033,769610,0
1995-01-05,4.8033,4.8217,4.7665,4.7665,541815,0
1995-01-06,4.7665,4.8033,4.7573,4.8033,357147,0
1995-01-09,4.7939,4.8306,4.7847,4.8217,662901,0
1995-01-10,4.8401,4.9317,4.8306,4.9044,1096702,0
1995-01-11,4.9044,4.9317,4.8676,4.9044,1313602,0
1995-01-12,4.9227,5.0696,4.9044,5.0602,2038346,0
1995-01-13,5.088,5.1246,5.0513,5.0602,3215191,0
1995-01-16,5.0602,5.1338,5.0602,5.1338,2120668,0
1995-01-17,5.1157,5.1338,5.0969,5.1338,726051,0
1995-01-18,5.1338,5.1706,5.1157,5.1706,834069,0
1995-01-19,5.1613,5.1706,5.1157,5.1246,1558381,0
1995-01-20,5.1157,5.1157,5.0602,5.0602,1002624,0
1995-01-23,5.0419,5.0419,4.9777,5.0239,1209071,0
1995-01-24,5.0239,5.0419,4.9777,4.9777,809677,0
1995-01-25,4.9501,5.0787,4.9501,5.0602,1812302,0
1995-01-26,5.0513,5.0513,4.9869,5.0419,532669,0
1995-01-27,5.0602,5.1157,5.0513,5.1061,627185,0
1995-01-30,5.1061,5.1246,5.088,5.088,633718,0
1995-01-31,5.1061,5.1246,5.0602,5.1061,687291,0
1995-02-01,5.1157,5.1157,5.0513,5.0513,983461,0
1995-02-02,5.0602,5.0787,5.0419,5.0787,504362,0
1995-02-03,5.1427,5.2349,5.1157,5.2075,3028341,0
1995-02-06,5.2349,5.3542,5.2349,5.3361,2709524,0
1995-02-07,5.3542,5.4367,5.3542,5.4093,3254393,0
1995-02-08,5.4093,5.4734,5.4001,5.4644,3530528,0
1995-02-09,5.4555,5.4734,5.4555,5.4644,1641568,0
1995-02-10,5.4644,5.5011,5.4555,5.4734,1620662,0
1995-02-13,5.4734,5.4734,5.4644,5.4734,823181,0
1995-02-14,5.4921,5.5196,5.3909,5.4001,1291827,0
1995-02-15,5.3542,5.3635,5.2623,5.3361,1949933,0
1995-02-16,5.3082,5.3635,5.2992,5.3635,1133722,0
1995-02-17,5.3542,5.3726,5.3542,5.3542,1380243,0
1995-02-21,5.3542,5.3909,5.3542,5.3635,1198184,0
1995-02-22,5.3635,5.5285,5.3542,5.4734,2782697,0
1995-02-23,5.4644,5.5011,5.4555,5.4734,1151581,0
1995-02-24,5.4734,5.547,5.4734,5.5196,2318842,0
1995-02-27,5.5011,5.5196,5.4921,5.4921,1099751,0
1995-02-28,5.4921,5.547,5.4921,5.547,1212127,0
1995-03-01,5.5196,5.5928,5.5196,5.5656,2270932,0
1995-03-02,5.5928,5.6573,5.5656,5.6479,3137229,0
1995-03-03,5.6479,5.7765,5.5841,5.5928,3639849,0
1995-03-06,5.5841,5.5928,5.5011,5.5928,1562297,0
1995-03-07,5.6115,5.6115,5.4734,5.4734,1087988,0
1995-03-08,5.4921,5.5656,5.4921,5.547,672917,0
1995-03-09,5.547,5.5562,5.5011,5.5285,1003495,0
1995-03-10,5.5562,5.6941,5.547,5.6668,1637649,0
1995-03-13,5.6845,5.6941,5.6573,5.6573,580580,0
1995-03-14,5.6845,5.7675,5.6668,5.7491,1283985,0
1995-03-15,5.7675,5.7858,5.7491,5.7491,2773984,0
1995-03-16,5.7675,5.8227,5.7491,5.8041,1460817,0
1995-03-17,5.8132,5.8132,5.7765,5.8041,1878502,0
1995-03-20,5.7858,5.8041,5.7122,5.7216,1687735,0
1995-03-21,5.6941,5.7675,5.6573,5.6941,1426407,0
1995-03-22,5.6845,5.7858,5.6668,5.7765,1875020,0
1995-03-23,5.7675,5.7858,5.7216,5.7491,2031381,0
1995-03-24,5.7675,5.8041,5.7675,5.7765,2721282,0
1995-03-27,5.7765,5.8041,5.7675,5.8041,806190,0
1995-03-28,5.8041,5.896,5.7858,5.8777,849749,0
1995-03-29,5.8227,5.9052,5.8227,5.8593,1688609,0
1995-03-30,5.896,5.896,5.8501,5.8593,1013077,0
1995-03-31,5.8593,5.8777,5.841,5.8777,1561866,0
1995-04-03,5.8593,5.9968,5.8593,5.9968,2146800,0
1995-04-04,6.0155,6.0705,6.0155,6.043,1575366,0
1995-04-05,6.043,6.0705,6.0338,6.0611,2338873,0
1995-04-06,6.0611,6.0797,6.043,6.043,1330590,0
1995-04-07,6.043,6.0611,6.0155,6.0338,1554021,0
1995-04-10,6.0063,6.0797,6.0063,6.0705,1253062,0
1995-04-11,6.0705,6.0797,6.0338,6.0338,1678588,0
1995-04-12,6.0338,6.0705,6.0063,6.0611,1451671,0
1995-04-13,6.0705,6.0705,6.0063,6.0063,694698,0
1995-04-17,6.0063,6.0155,5.9327,5.9603,1323184,0
1995-04-18,5.9603,6.0063,5.9327,5.9419,1911606,0
1995-04-19,5.9419,5.9695,5.841,5.8593,3290105,0
1995-04-20,5.8593,5.8593,5.5656,5.6206,6642497,0
1995-04-21,5.6941,5.896,5.6941,5.8501,3867639,0
1995-04-24,5.8593,5.9787,5.8593,5.9603,4593690,0
1995-04-25,5.9787,5.9787,5.9145,5.9787,2180341,0
1995-04-26,5.9603,6.0525,5.9603,6.043,1195571,0
1995-04-27,6.0338,6.0525,5.9603,5.988,1862828,0
1995-04-28,6.043,6.0705,5.9237,5.9514,1545748,0
1995-05-01,5.9237,6.0063,5.9145,5.9327,1452979,0
1995-05-02,5.9327,5.9514,5.8869,5.896,722567,0
1995-05-03,5.9145,5.9787,5.9145,5.9787,1278761,0
1995-05-04,6.0155,6.0797,5.988,6.0525,1250013,0
1995-05-05,6.0889,6.1441,6.0525,6.1164,1590174,0
1995-05-08,6.1349,6.2909,6.1349,6.2359,3058396,0
1995-05-09,6.2359,6.2451,6.1899,6.1994,1298359,0
1995-05-10,6.1899,6.2359,6.1899,6.1994,1234334,0
1995-05-11,6.2267,6.2724,6.2267,6.2359,1307506,0
1995-05-12,6.2451,6.2451,6.2359,6.2451,1821887,0
1995-05-15,6.2359,6.2909,6.2359,6.2909,684675,0
1995-05-16,6.2909,6.2909,6.1994,6.2081,1323184,0
1995-05-17,6.2081,6.2724,6.1994,6.2451,2943847,0
