Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.2165,4.2671,4.1996,4.2165,1637680,0
1995-01-04,4.2165,4.3518,4.1996,4.3518,1709966,0
1995-01-05,4.3353,4.3518,4.3353,4.3353,749749,0
1995-01-06,4.3353,4.3518,4.301,4.3183,1335799,0
1995-01-09,4.2671,4.301,4.2335,4.2503,493928,0
1995-01-10,4.2503,4.301,4.2335,4.2335,1541307,0
1995-01-11,4.2335,4.2671,4.2335,4.2503,1027536,0
1995-01-12,4.2335,4.301,4.2335,4.301,1252889,0
1995-01-13,4.2842,4.3353,4.2842,4.3183,1213203,0
1995-01-16,4.3183,4.4705,4.3183,4.4366,690928,0
1995-01-17,4.4366,4.4366,4.4028,4.4366,600931,0
1995-01-18,4.4197,4.4705,4.4028,4.4366,1516507,0
1995-01-19,4.4366,4.4537,4.386,4.386,664002,0
1995-01-20,4.4197,4.4197,4.3353,4.386,2422157,0
1995-01-23,4.3353,4.3518,4.2503,4.3518,1378320,0
1995-01-24,4.3518,4.386,4.3183,4.386,573296,0
1995-01-25,4.3518,4.4537,4.301,4.4366,1733352,0
1995-01-26,4.4366,4.4875,4.4028,4.4875,1066514,0
1995-01-27,4.4705,4.5128,4.4537,4.4705,691639,0
1995-01-30,4.4875,4.4875,4.4366,4.4366,1019745,0
1995-01-31,4.4537,4.6144,4.4537,4.5637,1773744,0
1995-02-01,4.5976,4.6312,4.5637,4.6144,954547,0
1995-02-02,4.5807,4.6144,4.5468,4.5468,490383,0
1995-02-03,4.5637,4.8599,4.5637,4.843,2225152,0
1995-02-06,4.8008,4.9277,4.7837,4.8939,2459006,0
1995-02-07,4.877,4.9445,4.843,4.9277,805732,0
1995-02-08,4.9109,4.9277,4.877,4.8939,643450,0
1995-02-09,4.877,4.9277,4.8599,4.9109,714318,0
1995-02-10,4.9109,4.9277,4.9109,4.9277,994232,0
1995-02-13,4.9277,4.9277,4.8599,4.8599,818489,0
1995-02-14,4.843,4.877,4.7329,4.7923,1590912,0
1995-02-15,4.7923,4.843,4.7414,4.843,1500913,0
1995-02-16,4.8092,4.843,4.7583,4.8092,861005,0
1995-02-17,4.7583,4.7923,4.7414,4.7755,609434,0
1995-02-21,4.7755,4.8599,4.7414,4.8599,963054,0
1995-02-22,4.8092,4.843,4.7755,4.7923,625737,0
1995-02-23,4.843,4.9615,4.8259,4.9277,1070055,0
1995-02-24,4.9277,4.9615,4.877,4.8939,1194777,0
1995-02-27,4.8939,4.9784,4.8939,4.9784,619359,0
