Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.884,12.944,12.507,12.766,16245,0
1995-01-04,12.389,12.389,10.655,11.457,573103,0
1995-01-05,11.893,12.27,11.646,11.893,238625,0
1995-01-06,11.646,11.893,11.646,11.774,14327,0
1995-01-09,11.893,11.893,11.516,11.774,31682,0
1995-01-10,11.646,11.893,10.406,10.655,173343,0
1995-01-11,10.655,10.783,9.911,10.406,494806,0
1995-01-12,11.15,11.279,10.526,10.962,745032,0
1995-01-13,10.902,11.279,10.783,10.902,192614,0
1995-01-16,10.783,11.646,10.783,11.516,277975,0
1995-01-17,11.397,11.397,10.902,11.279,276360,0
1995-01-18,11.397,11.397,11.021,11.15,77288,0
1995-01-19,11.15,11.397,11.021,11.397,67803,0
1995-01-20,11.397,11.397,11.15,11.397,68208,0
1995-01-23,11.397,11.397,11.021,11.021,29563,0
1995-01-24,11.279,11.516,11.021,11.15,64877,0
1995-01-25,11.397,12.637,11.397,12.448,816267,0
1995-01-26,12.637,12.766,12.27,12.507,171931,0
1995-01-27,12.766,12.766,12.507,12.696,131167,0
1995-01-30,12.766,12.766,12.389,12.507,80114,0
1995-01-31,12.27,12.507,12.141,12.27,54283,0
1995-02-01,12.389,12.507,12.141,12.33,128241,0
1995-02-02,12.389,12.766,12.389,12.507,108164,0
1995-02-03,12.507,12.884,12.507,12.637,138534,0
1995-02-06,12.637,12.884,12.637,12.637,36929,0
1995-02-07,12.637,12.884,12.27,12.507,49239,0
1995-02-08,12.507,12.766,12.141,12.766,156191,0
1995-02-09,12.766,12.766,12.507,12.637,60539,0
1995-02-10,12.766,12.766,12.507,12.766,98779,0
1995-02-13,12.507,13.498,12.507,13.321,224196,0
1995-02-14,13.131,13.994,13.131,13.965,339322,0
1995-02-15,13.994,14.123,13.628,13.757,187973,0
1995-02-16,13.628,14.123,13.628,13.994,257795,0
1995-02-17,13.875,13.994,13.498,13.498,226214,0
1995-02-21,13.498,13.757,13.498,13.628,110282,0
1995-02-22,13.498,13.757,13.498,13.498,86167,0
1995-02-23,13.38,13.628,13.131,13.131,139543,0
1995-02-24,13.38,13.38,12.884,13.003,18968,0
1995-02-27,13.131,13.131,12.766,13.003,14832,0
1995-02-28,13.261,13.38,12.766,12.795,68611,0
1995-03-01,13.003,13.003,12.389,12.637,104229,0
1995-03-02,12.884,13.757,12.637,13.568,215619,0
1995-03-03,13.498,14.371,13.261,14.123,151650,0
1995-03-06,14.252,14.371,13.757,14.182,147311,0
1995-03-07,14.371,14.49,13.875,13.875,118353,0
1995-03-08,13.628,13.875,13.38,13.498,57915,0
1995-03-09,13.875,13.875,13.498,13.498,19070,0
1995-03-10,13.757,13.757,13.38,13.44,19474,0
1995-03-13,13.628,13.628,13.261,13.261,20180,0
1995-03-14,13.498,14.282,13.38,14.064,147211,0
1995-03-15,14.252,14.252,13.757,13.994,29462,0
1995-03-16,14.123,14.123,13.875,14.123,19978,0
1995-03-17,13.875,14.252,13.757,13.815,86772,0
1995-03-20,13.875,14.747,13.757,14.708,198064,0
1995-03-21,14.747,15.243,14.371,14.866,277168,0
1995-03-22,15.114,15.858,14.866,15.362,291092,0
1995-03-23,15.362,15.481,15.114,15.362,55999,0
1995-03-24,15.243,15.481,15.114,15.362,34608,0
1995-03-27,15.114,16.235,15.114,15.976,202905,0
1995-03-28,16.235,16.472,15.976,16.353,145092,0
1995-03-29,16.353,16.472,15.858,16.105,165373,0
1995-03-30,15.976,16.353,15.114,15.243,1586020,0
1995-03-31,14.985,15.114,14.252,14.619,357786,0
1995-04-03,14.49,14.49,14.123,14.371,337202,0
1995-04-04,14.123,15.114,13.994,14.896,380286,0
1995-04-05,14.985,15.243,14.49,14.866,126426,0
1995-04-06,14.866,14.866,14.371,14.559,58421,0
1995-04-07,14.49,14.619,14.252,14.49,299870,0
1995-04-10,14.49,14.49,14.252,14.49,58824,0
1995-04-11,14.252,14.985,14.252,14.49,353548,0
1995-04-12,14.866,14.866,14.371,14.559,459793,0
1995-04-13,14.747,14.985,14.619,14.866,345778,0
1995-04-17,14.985,15.362,14.747,14.985,311472,0
1995-04-18,14.985,15.362,14.985,15.114,215115,0
1995-04-19,15.055,15.243,14.866,15.114,252650,0
1995-04-20,15.114,15.114,14.619,14.866,108870,0
1995-04-21,14.747,15.114,14.747,15.114,134397,0
1995-04-24,14.866,15.114,14.747,14.926,51055,0
1995-04-25,14.747,15.114,14.747,15.114,157401,0
1995-04-26,15.114,15.243,14.866,14.926,331349,0
1995-04-27,14.866,15.481,14.866,15.481,216729,0
1995-04-28,15.243,15.481,15.243,15.421,576735,0
1995-05-01,15.481,15.61,15.243,15.481,54485,0
1995-05-02,15.481,16.105,15.362,15.738,543639,0
1995-05-03,15.738,15.976,15.738,15.917,148421,0
1995-05-04,15.976,16.353,15.738,15.976,196247,0
1995-05-05,16.105,16.105,15.738,15.976,120977,0
1995-05-08,15.976,16.105,15.858,15.858,81425,0
1995-05-09,16.235,16.235,15.858,16.105,110988,0
1995-05-10,15.976,16.353,15.976,16.105,52064,0
1995-05-11,16.235,16.353,15.858,16.105,127535,0
1995-05-12,16.105,16.602,16.105,16.572,341440,0
1995-05-15,16.602,17.463,16.353,17.343,397842,0
1995-05-16,17.343,17.463,16.849,16.849,449502,0
1995-05-17,16.849,17.096,16.729,16.909,113108,0
1995-05-18,16.967,16.967,16.602,16.602,75976,0
1995-05-19,16.472,16.729,16.472,16.472,251035,0
1995-05-22,16.729,16.729,16.353,16.382,131873,0
1995-05-23,16.472,16.602,16.353,16.472,212794,0
1995-05-24,16.602,16.729,16.353,16.602,207749,0
1995-05-25,16.729,18.217,16.602,18.027,723945,0
1995-05-26,17.84,18.087,17.343,17.652,327214,0
1995-05-30,17.72,17.84,17.463,17.622,110887,0
1995-05-31,17.72,18.584,17.593,18.217,384120,0
1995-06-01,18.087,18.584,18.087,18.335,366664,0
1995-06-02,18.584,18.584,18.217,18.276,143881,0
1995-06-05,18.454,18.454,18.087,18.147,128342,0
1995-06-06,18.087,18.335,17.72,18.027,297246,0
1995-06-07,18.087,18.454,17.84,18.335,158814,0
