Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,282.01,284.62,278.81,284.62,116234,0
1995-01-04,284.62,286.69,280.67,281.45,159841,0
1995-01-05,281.06,281.06,278.45,281.06,177692,0
1995-01-06,280.67,282.38,279.95,281.06,146574,0
1995-01-09,282.38,282.38,279.55,281.45,168748,0
1995-01-10,282.38,286.14,279.95,284.23,200405,0
1995-01-11,285.37,290.08,284.98,288.55,272867,0
1995-01-12,288.92,291.18,287.84,288.92,235406,0
1995-01-13,291.58,297,290.08,296.25,332201,0
1995-01-16,296.62,306,296.25,304.89,325821,0
1995-01-17,302.07,304.89,300.58,303.38,307596,0
1995-01-18,302.63,303.01,297.56,299.42,163112,0
1995-01-19,297.56,298.31,289.7,292.86,257206,0
1995-01-20,292.14,292.86,289.31,290.08,296256,0
1995-01-23,288.92,289.31,286.69,288.19,284274,0
1995-01-24,288.92,291.18,288.55,289.31,234628,0
1995-01-25,288.92,294.37,288.55,291.18,161729,0
1995-01-26,291.96,296.62,291.58,294.37,207155,0
1995-01-27,296.25,305.63,294.76,304.89,341446,0
1995-01-30,304.89,304.89,302.44,303.38,134964,0
1995-01-31,303.38,307.13,299.82,301.7,174151,0
1995-02-01,302.07,303.01,294.76,295.51,205808,0
1995-02-02,295.51,296.25,292.14,295.88,221838,0
1995-02-03,297.56,309.57,296.25,306.75,363046,0
1995-02-06,305.63,307.52,303.01,303.38,227303,0
1995-02-07,304.13,307.52,304.13,305.63,198549,0
1995-02-08,305.24,309.57,304.51,309.2,277457,0
1995-02-09,307.52,308.06,301.3,303.75,208911,0
1995-02-10,302.07,302.63,299.82,301.3,187782,0
1995-02-13,300.92,301.7,297.2,300.19,137024,0
1995-02-14,300.58,304.13,299.07,303.01,119608,0
1995-02-15,303.38,305.24,301.7,301.7,144991,0
1995-02-16,301.7,302.07,298.31,302.07,135471,0
1995-02-17,302.07,303.75,298.71,299.07,167703,0
1995-02-21,299.82,300.58,291.96,292.48,198316,0
1995-02-22,291.96,299.07,289.7,295.51,238239,0
1995-02-23,300.19,303.75,300.19,300.58,349780,0
1995-02-24,300.92,302.44,299.42,302.44,188593,0
1995-02-27,301.88,303.01,299.42,301.3,108574,0
1995-02-28,301.3,302.24,297.2,300.92,105402,0
1995-03-01,299.42,300.19,297.93,298.71,99969,0
1995-03-02,299.07,300.92,297.93,299.07,137126,0
1995-03-03,298.31,299.07,295.88,297.56,94971,0
1995-03-06,296.43,297.2,294,296.43,134020,0
1995-03-07,295.88,295.88,291.38,293.63,284308,0
1995-03-08,294.37,295.51,290.99,292.48,195143,0
1995-03-09,292.48,292.48,290.43,291.77,247622,0
1995-03-10,292.86,296.81,292.14,296.25,241007,0
1995-03-13,297.2,301.3,296.43,300.58,166757,0
1995-03-14,301.88,304.13,301.88,302.63,141613,0
1995-03-15,301.88,303.75,300.58,303.38,131829,0
1995-03-16,303.75,306,303.01,305.24,137362,0
1995-03-17,305.63,306.75,302.24,304.13,235674,0
1995-03-20,303.75,305.63,303.75,304.89,122138,0
1995-03-21,303.75,307.68,303.01,306.75,191023,0
1995-03-22,306.75,307.33,303.38,304.13,165882,0
1995-03-23,303.38,304.51,301.88,303.01,138271,0
1995-03-24,303.38,307.13,303.38,307.13,134930,0
1995-03-27,309.57,313.13,308.43,312.75,169121,0
1995-03-28,312.18,312.18,307.33,311.45,108168,0
1995-03-29,311.45,313.87,309.57,309.92,186905,0
1995-03-30,311.08,311.45,302.24,303.38,165104,0
1995-03-31,299.42,303.75,297.93,301.88,159637,0
1995-04-03,301.88,303.38,299.42,301.88,95814,0
1995-04-04,303.75,304.13,301.7,304.13,99628,0
1995-04-05,303.38,303.38,301.7,302.63,68309,0
1995-04-06,303.75,310.31,303.01,308.81,212896,0
1995-04-07,309.2,311.08,305.63,305.63,174151,0
1995-04-10,304.89,307.33,304.51,307.33,120217,0
1995-04-11,307.33,308.81,302.63,304.89,100608,0
1995-04-12,304.13,304.89,298.71,300.58,119103,0
1995-04-13,301.88,303.38,301.7,302.63,124873,0
1995-04-17,304.51,307.13,301.88,301.88,158690,0
1995-04-18,301.7,304.13,300.58,301.88,144112,0
1995-04-19,301.7,302.63,299.42,302.24,136485,0
1995-04-20,301.88,301.88,299.42,301.7,102937,0
1995-04-21,301.7,301.7,292.86,299.82,344520,0
1995-04-24,299.82,306.75,299.82,305.24,158524,0
1995-04-25,304.51,305.24,303.38,304.51,182957,0
1995-04-26,304.13,304.13,302.24,302.63,95208,0
1995-04-27,305.24,312.56,305.24,311.08,221905,0
1995-04-28,311.45,311.45,307.13,309.57,164295,0
1995-05-01,309.57,311.45,308.06,309.92,138778,0
1995-05-02,309.92,310.69,306.38,308.81,90382,0
1995-05-03,309.2,312.18,307.13,311.45,162136,0
1995-05-04,311.81,317.62,310.31,314.25,219574,0
1995-05-05,313.87,318.01,311.45,314.62,210060,0
1995-05-08,313.87,327.38,313.87,325.49,192610,0
1995-05-09,325.13,327.38,324.76,326.63,159267,0
1995-05-10,326.63,329.8,325.13,329.8,170201,0
1995-05-11,329.07,331.33,327,327,186232,0
1995-05-12,326.25,330.55,325.49,330.17,163720,0
1995-05-15,329.07,337.5,329.07,335.62,186669,0
1995-05-16,333.94,334.5,331.33,332.07,122984,0
1995-05-17,331.33,332.45,327,328.14,90751,0
1995-05-18,327.76,329.8,327,327.38,145056,0
1995-05-19,325.49,327.38,322.68,323.64,227980,0
1995-05-22,324.38,327,323.07,324.76,122679,0
1995-05-23,326.25,331.68,325.49,329.07,134866,0
1995-05-24,330.17,338.99,330.17,338.99,172057,0
1995-05-25,337.89,338.26,330.55,331.68,165037,0
1995-05-26,332.07,333.2,325.87,327,104489,0
1995-05-30,327,328.14,324.01,325.87,174282,0
1995-05-31,324.76,330.17,323.64,330.17,219340,0
1995-06-01,329.8,332.07,327,329.8,130984,0
1995-06-02,329.45,340.33,329.07,337.5,243236,0
1995-06-05,338.99,340.33,337.5,338.63,120893,0
1995-06-06,338.99,346.88,338.63,345.19,303276,0
1995-06-07,344.07,344.07,337.5,340.14,177287,0
1995-06-08,338.99,342.56,335.25,336.01,139960,0
1995-06-09,331.68,332.07,323.45,328.88,233919,0
1995-06-12,329.8,329.8,324.76,325.49,161562,0
1995-06-13,328.14,332.07,327,330.55,147656,0
1995-06-14,330.55,332.82,328.5,332.07,106786,0
1995-06-15,330.55,330.55,326.25,326.63,100099,0
1995-06-16,328.14,330.17,327.38,329.07,292543,0
1995-06-19,329.07,335.62,328.14,335.62,154911,0
1995-06-20,335.62,335.62,328.88,330.17,175532,0
1995-06-21,331.68,334.87,330.95,333.56,181673,0
1995-06-22,334.69,342.56,334.69,340.33,165104,0
