Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.9074,7.9074,7.8497,7.9074,11569,0
1995-01-04,7.9074,7.9074,7.8497,7.8497,17660,0
1995-01-05,7.9074,7.9074,7.8497,7.9074,5725,0
1995-01-06,7.9074,7.9074,7.8497,7.8497,13395,0
1995-01-09,7.9074,7.9646,7.8497,7.9074,12178,0
1995-01-10,7.9074,8.0223,7.8497,8.0223,63816,0
1995-01-11,8.0223,8.0223,7.9074,7.9646,11569,0
1995-01-12,7.9646,8.0796,7.9074,7.9074,22653,0
1995-01-13,7.9646,7.9646,7.7923,7.8497,12790,0
1995-01-16,7.9074,7.9646,7.8497,7.9646,6452,0
1995-01-17,7.9074,7.9646,7.8497,7.9074,25697,0
1995-01-18,7.9074,7.9646,7.8497,7.9074,44574,0
1995-01-19,7.9074,7.9646,7.9074,7.9646,9863,0
1995-01-20,7.9646,7.9646,7.8497,7.9074,24968,0
1995-01-23,7.8497,7.8497,7.7923,7.7923,8405,0
1995-01-24,7.8497,7.8497,7.7923,7.8497,14248,0
1995-01-25,7.7923,7.8497,7.7923,7.8497,4996,0
1995-01-26,7.8497,7.8497,7.7923,7.8497,9135,0
1995-01-27,7.8497,7.9646,7.8497,7.9646,70635,0
1995-01-30,8.0223,8.1374,7.9646,8.1374,24356,0
1995-01-31,8.1947,8.2523,8.1374,8.1374,212151,0
1995-02-01,8.211,8.2685,8.1533,8.211,31910,0
1995-02-02,8.1533,8.211,8.1533,8.211,9379,0
1995-02-03,8.211,8.2685,8.1533,8.2685,74167,0
1995-02-06,8.211,8.3259,8.211,8.2685,17295,0
1995-02-07,8.3835,8.5068,8.3259,8.4494,57365,0
1995-02-08,8.5068,8.6215,8.5068,8.5642,81716,0
1995-02-09,8.5642,8.5642,8.4494,8.5068,23871,0
1995-02-10,8.5642,8.5642,8.3259,8.3835,38605,0
1995-02-13,8.3835,8.3835,8.3259,8.3259,17051,0
1995-02-14,8.3835,8.5068,8.3835,8.4494,12058,0
1995-02-15,8.4494,8.5068,8.3259,8.3835,26548,0
1995-02-16,8.3835,8.3835,8.2685,8.2685,24600,0
1995-02-17,8.2685,8.3259,8.2685,8.3259,26914,0
1995-02-21,8.3259,8.3835,8.211,8.2685,34832,0
1995-02-22,8.3835,8.3835,8.3259,8.3259,18754,0
1995-02-23,8.3835,8.4494,8.2685,8.3259,27649,0
1995-02-24,8.2685,8.4494,8.2685,8.4494,42870,0
1995-02-27,8.3835,8.4494,8.3835,8.3835,14615,0
1995-02-28,8.4494,8.4494,8.3835,8.3835,16685,0
1995-03-01,8.5068,8.5068,8.4494,8.4494,28621,0
1995-03-02,8.4494,8.5068,8.3835,8.3835,20462,0
1995-03-03,8.3835,8.5068,8.3835,8.3835,33978,0
1995-03-06,8.4494,8.5068,8.3835,8.4494,11691,0
1995-03-07,8.3835,8.3835,8.3259,8.3835,11204,0
1995-03-08,8.4494,8.4494,8.2685,8.3259,51762,0
1995-03-09,8.3835,8.4494,8.3835,8.3835,70880,0
1995-03-10,8.3835,8.5068,8.3835,8.3835,62599,0
1995-03-13,8.4494,8.5068,8.3835,8.4494,31786,0
1995-03-14,8.4494,8.5642,8.4494,8.5068,46890,0
1995-03-15,8.5642,8.737,8.5068,8.5068,47131,0
1995-03-16,8.5068,8.5642,8.5068,8.5068,29716,0
1995-03-17,8.5642,8.6215,8.5068,8.5642,15953,0
1995-03-20,8.5642,8.6215,8.5642,8.5642,26914,0
1995-03-21,8.6215,8.6215,8.5068,8.5068,50906,0
1995-03-22,8.5642,8.5642,8.4494,8.4494,28010,0
1995-03-23,8.5642,8.5642,8.5068,8.5068,27278,0
1995-03-24,8.5068,8.6215,8.3835,8.5068,35196,0
1995-03-27,8.5068,8.5642,8.4494,8.5068,19365,0
1995-03-28,8.5642,8.6215,8.5068,8.6215,31910,0
1995-03-29,8.6215,8.6215,8.5068,8.5642,21922,0
1995-03-30,8.5642,8.5642,8.5068,8.5642,7673,0
1995-03-31,8.5068,8.5642,8.5068,8.5068,25941,0
1995-04-03,8.5642,8.5642,8.4494,8.4494,11081,0
1995-04-04,8.4494,8.5068,8.3835,8.3835,24846,0
1995-04-05,8.3835,8.3835,8.3259,8.3259,10230,0
1995-04-06,8.3259,8.3835,8.3259,8.3835,15222,0
1995-04-07,8.5068,8.5642,8.3835,8.3835,46890,0
1995-04-10,8.4494,8.5068,8.3835,8.5068,13153,0
1995-04-11,8.5642,8.5642,8.4494,8.5642,28865,0
1995-04-12,8.5642,8.6215,8.3835,8.6215,27526,0
1995-04-13,8.5068,8.5642,8.4494,8.4494,80620,0
1995-04-17,8.5068,8.5642,8.4494,8.5068,19240,0
1995-04-18,8.5068,8.5068,8.3835,8.3835,12790,0
1995-04-19,8.4494,8.5068,8.3835,8.5068,15467,0
1995-04-20,8.4494,8.5068,8.4494,8.5068,15834,0
1995-04-21,8.5068,8.5642,8.4494,8.5642,32272,0
1995-04-24,8.5642,8.5642,8.5068,8.5642,27404,0
1995-04-25,8.5642,8.5642,8.4494,8.5642,46159,0
1995-04-26,8.5068,8.5642,8.4494,8.5642,96209,0
1995-04-27,8.5068,8.6215,8.5068,8.6215,35073,0
1995-04-28,8.5068,8.737,8.5068,8.6795,40189,0
