Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.1623,9.4573,9.1623,9.4573,291165,0
1995-01-04,9.4051,9.509,9.3611,9.4051,184507,0
1995-01-05,9.4051,9.509,9.4051,9.4051,272888,0
1995-01-06,9.4051,9.553,9.4051,9.509,141014,0
1995-01-09,9.4573,9.655,9.4573,9.655,273583,0
1995-01-10,9.604,9.698,9.604,9.655,198968,0
1995-01-11,9.655,9.805,9.655,9.752,220484,0
1995-01-12,9.655,9.698,9.509,9.553,209383,0
1995-01-13,9.553,9.553,9.4051,9.553,383249,0
1995-01-16,9.509,9.604,9.4573,9.553,224305,0
1995-01-17,9.553,9.604,9.4573,9.509,274394,0
1995-01-18,9.3611,9.509,9.3611,9.509,232748,0
1995-01-19,9.4051,9.4573,9.4051,9.4573,257505,0
1995-01-20,9.3611,9.3611,9.2675,9.2675,197350,0
1995-01-23,9.3091,9.4051,9.2675,9.4051,596332,0
1995-01-24,9.509,9.509,9.4051,9.4573,220023,0
1995-01-25,9.4051,9.509,9.3611,9.4573,205331,0
1995-01-26,9.4573,9.509,9.3091,9.3091,379087,0
1995-01-27,9.4051,9.4051,9.3091,9.3091,198623,0
1995-01-30,9.2675,9.4573,9.2675,9.3611,341374,0
1995-01-31,9.3091,9.4573,9.3091,9.4051,301231,0
1995-02-01,9.4051,9.553,9.4051,9.509,257967,0
1995-02-02,9.553,9.604,9.553,9.604,169124,0
1995-02-03,9.553,9.994,9.553,9.994,406039,0
1995-02-06,10.044,10.044,9.951,10.044,135348,0
1995-02-07,9.994,10.044,9.896,9.896,280991,0
1995-02-08,9.951,10.235,9.896,10.235,1072470,0
1995-02-09,10.286,10.484,10.286,10.383,536294,0
1995-02-10,10.383,10.434,10.286,10.286,274626,0
1995-02-13,10.339,10.339,10.235,10.339,547977,0
1995-02-14,10.339,10.434,10.286,10.383,173754,0
1995-02-15,10.339,10.339,10.14,10.235,334317,0
1995-02-16,10.194,10.194,9.994,10.044,362310,0
1995-02-17,10.044,10.14,10.044,10.087,876973,0
1995-02-21,10.194,10.286,10.14,10.286,463185,0
1995-02-22,10.286,10.339,10.235,10.339,587424,0
1995-02-23,10.339,10.529,10.339,10.383,919658,0
1995-02-24,10.383,10.529,10.383,10.529,715022,0
1995-02-27,10.529,10.529,10.434,10.529,540343,0
1995-02-28,10.434,10.727,10.434,10.727,514431,0
1995-03-01,10.727,10.727,10.583,10.625,555727,0
1995-03-02,10.625,10.625,10.484,10.529,666322,0
1995-03-03,10.434,10.484,10.339,10.434,356756,0
1995-03-06,10.383,10.434,10.286,10.339,234831,0
1995-03-07,10.383,10.383,10.235,10.286,320897,0
1995-03-08,10.235,10.286,10.194,10.286,192380,0
1995-03-09,10.235,10.383,10.235,10.339,194803,0
1995-03-10,10.339,10.434,10.339,10.383,235531,0
1995-03-13,10.383,10.583,10.339,10.583,308405,0
1995-03-14,10.529,10.674,10.529,10.674,297760,0
1995-03-15,10.625,10.625,10.583,10.583,378854,0
1995-03-16,10.529,10.583,10.484,10.529,272888,0
1995-03-17,10.484,10.674,10.484,10.674,453003,0
1995-03-20,10.625,10.824,10.583,10.824,302738,0
1995-03-21,10.824,11.116,10.824,10.917,768465,0
1995-03-22,10.771,10.824,10.727,10.727,441900,0
1995-03-23,10.771,10.971,10.771,10.971,211695,0
1995-03-24,10.917,11.116,10.917,11.116,411013,0
1995-03-27,11.065,11.168,11.065,11.116,494764,0
1995-03-28,11.168,11.263,11.168,11.263,316502,0
1995-03-29,11.214,11.307,11.116,11.168,593672,0
1995-03-30,11.116,11.307,11.116,11.307,295448,0
1995-03-31,11.263,11.263,11.116,11.214,341258,0
1995-04-03,11.214,11.263,11.116,11.214,229856,0
1995-04-04,11.168,11.168,10.971,11.023,160451,0
1995-04-05,11.065,11.263,11.065,11.263,305164,0
1995-04-06,11.214,11.263,11.214,11.214,147605,0
1995-04-07,11.168,11.214,11.065,11.065,305396,0
1995-04-10,11.065,11.412,11.023,11.359,498584,0
1995-04-11,11.307,11.412,11.263,11.307,640987,0
1995-04-12,11.307,11.307,11.214,11.263,178611,0
1995-04-13,11.214,11.263,11.168,11.214,120658,0
1995-04-17,11.168,11.263,11.168,11.263,82016,0
1995-04-18,11.214,11.214,10.971,10.971,82829,0
1995-04-19,11.023,11.214,11.023,11.214,360920,0
1995-04-20,11.454,11.558,11.307,11.558,877550,0
1995-04-21,11.601,11.842,11.601,11.704,1062870,0
1995-04-24,11.704,11.802,11.651,11.802,630918,0
1995-04-25,11.802,11.842,11.747,11.842,337672,0
1995-04-26,11.842,11.894,11.802,11.802,378968,0
1995-04-27,11.802,11.894,11.802,11.842,297990,0
1995-04-28,11.842,11.842,11.747,11.842,386834,0
1995-05-01,11.802,11.842,11.651,11.747,163688,0
1995-05-02,11.651,11.704,11.558,11.651,143906,0
1995-05-03,11.651,12.093,11.651,11.991,503095,0
1995-05-04,11.991,12.241,11.947,12.093,383828,0
1995-05-05,12.189,12.189,11.991,12.093,292786,0
1995-05-08,12.043,12.138,12.043,12.043,318701,0
1995-05-09,12.093,12.189,12.043,12.189,469199,0
1995-05-10,12.189,12.189,12.043,12.093,542424,0
1995-05-11,12.043,12.283,12.043,12.283,425240,0
1995-05-12,12.189,12.301,12.138,12.301,573892,0
1995-05-15,12.189,12.336,12.138,12.283,221990,0
1995-05-16,12.189,12.189,12.138,12.138,200473,0
1995-05-17,12.138,12.283,12.093,12.093,336631,0
1995-05-18,12.093,12.138,11.747,11.747,179653,0
1995-05-19,11.704,11.704,11.558,11.601,327490,0
1995-05-22,11.651,11.991,11.601,11.947,512117,0
1995-05-23,11.947,12.093,11.894,11.947,398401,0
1995-05-24,11.947,12.043,11.842,11.894,393313,0
1995-05-25,11.947,11.947,11.842,11.842,441206,0
1995-05-26,11.842,11.894,11.651,11.704,107580,0
1995-05-30,11.747,11.747,11.307,11.454,143212,0
1995-05-31,11.454,11.747,11.454,11.747,188098,0
1995-06-01,11.651,11.747,11.454,11.601,517901,0
1995-06-02,11.601,11.894,11.558,11.894,535138,0
1995-06-05,11.991,12.043,11.802,11.894,418069,0
1995-06-06,11.894,11.947,11.842,11.947,181846,0
1995-06-07,11.894,11.894,11.747,11.802,334197,0
1995-06-08,11.747,11.802,11.601,11.601,322748,0
1995-06-09,11.651,11.651,11.263,11.307,209845,0
1995-06-12,11.307,11.454,11.307,11.412,207300,0
1995-06-13,11.412,11.747,11.412,11.704,336746,0
1995-06-14,11.704,11.842,11.704,11.747,284225,0
1995-06-15,11.802,11.802,11.704,11.704,233790,0
1995-06-16,11.704,11.747,11.651,11.704,606397,0
1995-06-19,11.747,11.991,11.747,11.991,749378,0
1995-06-20,12.043,12.241,11.991,11.991,1081726,0
1995-06-21,12.043,12.241,12.043,12.189,872231,0
1995-06-22,12.283,12.431,12.241,12.387,631960,0
1995-06-23,12.336,12.336,12.189,12.189,539765,0
1995-06-26,12.241,12.283,11.894,11.894,451616,0
1995-06-27,11.894,11.894,11.454,11.558,523686,0
1995-06-28,11.601,11.651,11.558,11.601,595406,0
1995-06-29,11.651,11.651,11.412,11.454,502747,0
1995-06-30,11.505,11.651,11.505,11.558,704147,0
1995-07-03,11.601,11.601,11.412,11.505,422350,0
1995-07-05,11.454,11.627,11.412,11.601,663658,0
1995-07-06,11.651,12.093,11.651,12.093,896292,0
1995-07-07,11.991,12.336,11.947,12.283,911211,0
1995-07-10,12.241,12.431,12.138,12.387,845507,0
1995-07-11,12.283,12.387,12.241,12.387,563133,0
1995-07-12,12.336,12.968,12.336,12.968,4872573,0
1995-07-13,12.82,13.019,12.527,12.727,3119201,0
1995-07-14,12.578,12.578,11.747,12.241,3914509,0
1995-07-17,12.093,12.189,11.704,11.947,2873616,0
1995-07-18,11.894,11.894,11.601,11.802,4858229,0
1995-07-19,11.601,11.747,11.454,11.651,3368264,0
1995-07-20,11.454,11.894,11.412,11.894,3577298,0
1995-07-21,11.894,12.043,11.704,11.894,3173571,0
1995-07-24,11.802,11.894,11.558,11.704,2850943,0
1995-07-25,11.601,11.894,11.601,11.894,3223781,0
1995-07-26,11.947,11.991,11.704,11.704,2953435,0
1995-07-27,11.802,11.894,11.704,11.842,1350453,0
1995-07-28,12.138,12.431,12.043,12.189,4369363,0
1995-07-31,12.189,12.387,12.189,12.189,1698184,0
1995-08-01,12.189,12.189,11.747,11.802,2889002,0
1995-08-02,11.991,12.189,11.842,11.947,2728439,0
1995-08-03,11.802,11.894,11.747,11.802,1219384,0
1995-08-04,11.894,12.043,11.842,11.947,1279076,0
1995-08-07,11.947,12.241,11.947,12.093,1031524,0
1995-08-08,12.093,12.283,12.093,12.241,1544220,0
1995-08-09,12.283,12.283,11.704,11.704,1214528,0
1995-08-10,11.802,11.947,11.651,11.651,1673087,0
1995-08-11,11.704,11.842,11.704,11.747,993694,0
1995-08-14,12.093,12.241,11.991,12.043,1086817,0
1995-08-15,11.947,12.093,11.947,11.947,661923,0
1995-08-16,12.043,12.189,11.947,12.043,930878,0
1995-08-17,11.947,11.991,11.802,11.947,1492280,0
1995-08-18,12.093,12.283,12.093,12.283,1357162,0
1995-08-21,12.283,12.431,12.283,12.283,1224709,0
1995-08-22,12.387,12.578,12.283,12.527,911678,0
1995-08-23,12.431,12.482,12.387,12.431,1163976,0
1995-08-24,12.336,12.431,12.336,12.387,570416,0
1995-08-25,12.431,12.727,12.431,12.727,882526,0
1995-08-28,12.82,13.168,12.778,13.168,901268,0
1995-08-29,13.168,13.211,12.968,13.168,1350916,0
1995-08-30,13.259,13.459,13.211,13.357,1783330,0
1995-08-31,13.357,13.357,13.168,13.211,1382957,0
1995-09-01,13.211,13.7,13.112,13.608,1435937,0
1995-09-05,13.501,13.501,12.968,13.019,1598587,0
1995-09-06,13.168,13.459,13.112,13.211,1937415,0
1995-09-07,13.211,13.311,13.112,13.112,784774,0
1995-09-08,13.211,13.211,13.112,13.211,664005,0
1995-09-11,13.112,13.211,13.112,13.168,556774,0
1995-09-12,13.168,13.168,12.968,13.112,3316554,0
1995-09-13,13.059,13.848,13.059,13.848,2229392,0
1995-09-14,13.746,14.038,13.7,13.89,900685,0
1995-09-15,14.332,14.531,13.997,14.089,1875411,0
1995-09-18,13.848,13.89,13.7,13.746,959104,0
1995-09-19,13.746,13.798,13.357,13.7,1088552,0
1995-09-20,13.7,13.798,13.608,13.648,503671,0
1995-09-21,13.648,13.648,13.259,13.259,1581121,0
1995-09-22,13.019,13.357,12.968,13.311,2058878,0
1995-09-25,13.259,13.648,13.259,13.608,1052924,0
1995-09-26,13.608,13.7,13.357,13.357,1145238,0
1995-09-27,13.409,13.608,13.357,13.357,2298919,0
1995-09-28,13.555,13.944,13.501,13.89,1944360,0
1995-09-29,13.944,13.997,13.798,13.798,1119788,0
1995-10-02,13.746,13.824,13.555,13.555,928102,0
1995-10-03,13.555,13.7,13.459,13.648,1138987,0
1995-10-04,13.648,13.648,13.112,13.168,1899935,0
1995-10-05,13.259,13.848,13.259,13.555,2178263,0
1995-10-06,13.608,13.7,13.501,13.501,1289605,0
1995-10-09,13.501,13.555,13.357,13.555,590780,0
1995-10-10,13.555,13.555,13.259,13.357,892243,0
1995-10-11,13.459,13.746,13.459,13.746,1258024,0
1995-10-12,13.746,13.944,13.501,13.848,993233,0
1995-10-13,13.944,14.089,13.944,13.944,1378448,0
1995-10-16,13.848,14.574,13.848,14.574,1903869,0
1995-10-17,14.574,14.722,14.385,14.722,1318868,0
1995-10-18,14.627,14.772,14.574,14.722,1116314,0
1995-10-19,14.574,15.405,14.187,15.214,3345939,0
1995-10-20,15.405,15.604,15.259,15.309,2693153,0
1995-10-23,14.964,15.458,14.869,14.921,3016364,0
1995-10-24,14.964,15.015,14.28,14.627,1868928,0
1995-10-25,14.627,14.772,14.332,14.385,1042279,0
1995-10-26,14.385,14.627,14.038,14.332,1820230,0
