Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.2575,2.2661,2.1621,2.18,21397118,0
1995-01-04,2.2055,2.2055,2.0239,2.1621,80601290,0
1995-01-05,2.18,2.2312,2.1364,2.1884,36199544,0
1995-01-06,2.2055,2.2312,2.18,2.2055,19156958,0
1995-01-09,2.2403,2.2575,2.2143,2.2575,12408737,0
1995-01-10,2.2661,2.3526,2.2661,2.3265,48347455,0
1995-01-11,2.3784,2.4219,2.2834,2.3179,49818080,0
1995-01-12,2.3265,2.3784,2.3095,2.3526,14312224,0
1995-01-13,2.3614,2.3959,2.3007,2.3265,25250338,0
1995-01-16,2.3526,2.4045,2.3356,2.4045,27638476,0
1995-01-17,2.3959,2.4304,2.3614,2.3959,28247079,0
1995-01-18,2.3959,2.4304,2.3526,2.3784,29303335,0
1995-01-19,2.3614,2.3784,2.3356,2.3439,12682513,0
1995-01-20,2.3356,2.3526,2.2403,2.2834,30733267,0
1995-01-23,2.2575,2.2575,2.1884,2.249,25035756,0
1995-01-24,2.2575,2.3265,2.2312,2.3179,13159774,0
1995-01-25,2.2575,2.2575,2.1621,2.1884,68259149,0
1995-01-26,2.2055,2.2312,2.0933,2.1105,50778145,0
1995-01-27,2.1364,2.2055,2.1191,2.18,26473082,0
1995-01-30,2.1884,2.1884,2.0587,2.0844,27614432,0
1995-01-31,2.1105,2.1105,1.998,2.0844,55241813,0
1995-02-01,2.0933,2.145,2.0844,2.1105,29273740,0
1995-02-02,2.1105,2.1884,2.0933,2.1884,29192346,0
1995-02-03,2.2143,2.2834,2.2055,2.2143,55743123,0
1995-02-06,2.2312,2.3265,2.2143,2.3007,42951467,0
1995-02-07,2.3265,2.3614,2.2834,2.3007,29771350,0
1995-02-08,2.3265,2.3356,2.2575,2.2834,33722605,0
1995-02-09,2.2834,2.3959,2.2661,2.3614,67415618,0
1995-02-10,2.3784,2.4478,2.3614,2.4045,69363502,0
1995-02-13,2.3959,2.491,2.3784,2.4304,28143485,0
