Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.62,12.75,12.44,12.5,1206800,0
1995-01-04,12.62,12.88,12.5,12.81,2366800,0
1995-01-05,12.75,12.88,12.69,12.75,1339400,0
1995-01-06,12.81,13.94,12.5,13.94,9028800,0
1995-01-09,14.38,14.56,14.25,14.44,5683200,0
1995-01-10,14.38,14.69,14.38,14.56,3645400,0
1995-01-11,14.62,14.62,14.06,14.31,2169000,0
1995-01-12,14.88,16,14.75,15.88,11510000,0
1995-01-13,15.75,15.88,15.5,15.75,3676800,0
1995-01-16,15.69,16.07,15.62,15.94,2420000,0
1995-01-17,15.94,16.12,15.62,15.75,3159400,0
1995-01-18,15.88,16.12,15.75,16.07,4681800,0
1995-01-19,15.94,16.07,15.81,16,3270400,0
1995-01-20,15.94,16,15.62,15.69,2084400,0
1995-01-23,15.25,15.44,15.19,15.38,2494400,0
1995-01-24,15.31,15.62,15.31,15.62,1067600,0
1995-01-25,15.25,15.38,15,15.25,3691000,0
1995-01-26,15.25,15.38,15.06,15.06,2051000,0
1995-01-27,15.12,15.25,14.75,15.12,1654400,0
1995-01-30,15.19,15.19,14.81,14.88,1472400,0
1995-01-31,14.94,14.94,14.62,14.69,1109000,0
1995-02-01,14.94,15.19,14.81,15.12,1454600,0
1995-02-02,15.06,15.5,14.88,15.44,2030000,0
1995-02-03,15.75,16,15.62,15.69,4351600,0
1995-02-06,15.56,15.88,15.44,15.81,3121800,0
1995-02-07,15.69,15.69,15.25,15.25,1963200,0
1995-02-08,15.44,15.56,15.19,15.31,2716000,0
1995-02-09,15.62,15.75,15.44,15.62,3957800,0
1995-02-10,15.62,16.07,15.5,15.75,3295400,0
1995-02-13,15.81,15.81,15.44,15.5,961800,0
1995-02-14,15.62,15.62,15.38,15.38,1597800,0
1995-02-15,15.44,15.62,15.31,15.38,1577400,0
1995-02-16,15.38,15.56,15.19,15.56,1972200,0
1995-02-17,15.5,15.5,15.25,15.38,1225000,0
1995-02-21,15.31,15.38,14.81,14.81,3056800,0
1995-02-22,14.94,15.06,14.81,15,1688400,0
