Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.4392,6.4654,6.343,6.3691,8583402,0
1995-01-04,6.3691,6.413,6.2907,6.404,10504539,0
1995-01-05,6.4216,6.6842,6.3958,6.5617,24475544,0
1995-01-06,6.5617,6.588,6.3605,6.413,12947795,0
1995-01-09,6.3958,6.413,6.2991,6.3256,10909613,0
1995-01-10,6.3691,6.4392,6.2031,6.2206,12240974,0
1995-01-11,6.2468,6.2991,6.1418,6.2732,13246804,0
1995-01-12,6.2991,6.2991,6.1505,6.1767,8574259,0
1995-01-13,6.2206,6.343,6.2031,6.3343,12611301,0
1995-01-16,6.343,6.457,6.3256,6.413,10216506,0
1995-01-17,6.413,6.4216,6.3605,6.4216,7922294,0
1995-01-18,6.4392,6.483,6.343,6.3958,5269643,0
1995-01-19,6.4216,6.4216,6.343,6.343,5906975,0
1995-01-20,6.343,6.3605,6.2732,6.3167,8075915,0
1995-01-23,6.2991,6.3865,6.2732,6.3605,8413324,0
1995-01-24,6.3958,6.457,6.3691,6.457,8258794,0
1995-01-25,6.3958,6.6143,6.3958,6.5269,13818296,0
1995-01-26,6.5617,6.7276,6.5617,6.7103,15134108,0
1995-01-27,6.7367,6.7541,6.6317,6.7103,9146669,0
1995-01-30,6.7276,6.7367,6.6143,6.6317,8317312,0
1995-01-31,6.658,6.9728,6.6406,6.9555,24570638,0
1995-02-01,6.9555,6.9817,6.7541,6.7805,30924751,0
1995-02-02,6.6317,6.7805,6.6317,6.7633,21575088,0
1995-02-03,6.9203,6.9203,6.8242,6.8765,20639664,0
1995-02-06,6.9029,7.218,6.8592,7.2003,35611927,0
1995-02-07,7.244,7.2706,7.1389,7.1481,20457700,0
1995-02-08,7.1654,8.3289,7.0518,7.7341,56750850,0
1995-02-09,7.7077,8.0752,7.174,7.2966,91812311,0
1995-02-10,7.2706,7.6028,7.2615,7.4806,40666688,0
1995-02-13,7.3665,7.3929,7.1041,7.1654,16490154,0
1995-02-14,7.1216,7.279,7.0518,7.2003,17436549,0
1995-02-15,7.2355,7.244,7.0955,7.1918,12537235,0
1995-02-16,7.174,7.4542,7.1041,7.3141,21776253,0
1995-02-17,7.2615,7.3405,7.218,7.244,12704567,0
1995-02-21,7.2615,7.3141,7.2003,7.218,8756222,0
1995-02-22,7.0518,7.2706,7.0254,7.174,19323857,0
1995-02-23,7.174,7.2879,7.0955,7.1481,14543411,0
1995-02-24,7.0955,7.3316,7.0955,7.2879,11665819,0
1995-02-27,7.218,7.2966,7.0693,7.1389,9121063,0
1995-02-28,7.2615,7.5415,7.218,7.5415,24469140,0
1995-03-01,7.5854,7.6289,7.3665,7.4367,25358842,0
1995-03-02,7.4367,7.5329,7.4191,7.5065,8682155,0
1995-03-03,7.4889,7.5415,7.4628,7.5329,6195921,0
1995-03-06,7.4889,7.4889,7.4104,7.4277,4439377,0
1995-03-07,7.4191,7.4542,7.1918,7.2879,14947574,0
1995-03-08,7.3141,7.4104,7.2966,7.3316,8315487,0
1995-03-09,7.3405,7.3579,7.174,7.2879,10211936,0
1995-03-10,7.2879,7.5153,7.2706,7.3405,7064594,0
1995-03-13,7.3405,7.3929,7.3405,7.3665,7212725,0
1995-03-14,7.3579,7.3665,7.218,7.218,12219025,0
1995-03-15,7.218,7.2355,7.0779,7.1564,25229916,0
1995-03-16,7.174,7.174,7.1216,7.1481,10870296,0
1995-03-17,7.1481,7.2355,7.1216,7.2003,10310689,0
1995-03-20,7.1654,7.2706,7.1654,7.244,6889032,0
1995-03-21,7.2706,7.4628,7.218,7.323,17568220,0
1995-03-22,7.3316,7.4367,7.3316,7.4191,14620220,0
1995-03-23,7.4191,7.4191,7.2966,7.3843,7853717,0
1995-03-24,7.3843,7.3929,7.2879,7.3843,9749251,0
1995-03-27,7.3929,7.4542,7.3579,7.4367,7740332,0
1995-03-28,7.4191,7.6818,7.4104,7.5854,26122364,0
1995-03-29,7.6289,7.6379,7.4191,7.4542,15306931,0
1995-03-30,7.4628,7.4806,7.3579,7.3929,8934525,0
1995-03-31,7.3316,7.4104,7.3141,7.3665,14490382,0
1995-04-03,7.3579,7.3665,7.2615,7.2966,6078881,0
1995-04-04,7.2706,7.3405,7.2003,7.2355,8119805,0
1995-04-05,7.2003,7.244,7.1389,7.2355,9408185,0
1995-04-06,7.2706,7.3665,7.2531,7.3405,7450468,0
1995-04-07,7.3316,7.3579,7.174,7.2355,7988133,0
1995-04-10,7.218,7.4542,7.1918,7.3929,12170562,0
1995-04-11,7.4806,7.6028,7.4367,7.4806,18057422,0
1995-04-12,7.4889,7.5153,7.3929,7.4806,5698493,0
1995-04-13,7.4542,7.5153,7.4367,7.4889,3639282,0
1995-04-17,7.5415,7.6028,7.4191,7.4277,9640439,0
1995-04-18,7.4542,7.4806,7.3579,7.3843,8602605,0
1995-04-19,7.4367,7.5767,7.4191,7.4628,16258812,0
1995-04-20,7.4542,7.4806,7.3665,7.3929,8871435,0
1995-04-21,7.4191,7.5153,7.3929,7.5153,11279027,0
1995-04-24,7.4806,7.6556,7.4191,7.4628,4982526,0
1995-04-25,7.4628,7.4628,7.3929,7.4191,2955314,0
1995-04-26,7.4191,7.874,7.4191,7.6993,26119621,0
1995-04-27,7.7692,8.0405,7.7254,8.0141,33154043,0
1995-04-28,7.9792,8.049,7.8043,7.9528,14316643,0
1995-05-01,7.9441,7.9792,7.7341,7.7341,7272160,0
1995-05-02,7.7515,7.874,7.6818,7.8566,10417672,0
1995-05-03,7.8566,8.1188,7.8566,8.0926,17982440,0
1995-05-04,8.0926,8.2067,8.0141,8.1364,21789056,0
1995-05-05,8.1717,8.2151,8.1364,8.2067,14016722,0
1995-05-08,8.1892,8.233,8.1627,8.1892,6213298,0
1995-05-09,8.1892,8.1892,8.023,8.023,11685936,0
1995-05-10,8.023,8.0405,7.9001,7.9528,9037856,0
1995-05-11,7.9179,8.0405,7.9179,7.9265,6182206,0
1995-05-12,7.9001,7.9792,7.8479,7.9001,12288519,0
1995-05-15,7.9001,7.9265,7.8479,7.874,6219698,0
1995-05-16,7.8917,8.0141,7.8917,7.9702,6878975,0
1995-05-17,8.0141,8.0405,7.8917,7.9001,6637574,0
1995-05-18,7.9001,7.9179,7.7953,7.8218,7797943,0
1995-05-19,7.7777,7.9265,7.6818,7.9179,6676893,0
1995-05-22,7.9179,7.9441,7.7953,7.8218,8724216,0
1995-05-23,7.7953,7.8043,7.6379,7.6993,15039015,0
1995-05-24,7.7077,7.7515,7.6556,7.6731,10137867,0
1995-05-25,7.6993,7.7515,7.6116,7.7077,10726737,0
1995-05-26,7.6993,7.7341,7.6556,7.7077,7192610,0
1995-05-30,7.7254,7.7515,7.6289,7.6731,4631396,0
1995-05-31,7.6731,7.9441,7.6116,7.9265,14663195,0
1995-06-01,7.9441,7.9792,7.8479,7.9441,12928594,0
1995-06-02,7.9001,8.1717,7.8917,8.0752,15741264,0
1995-06-05,8.1104,8.3115,8.0752,8.2588,15354476,0
1995-06-06,8.2151,8.233,8.023,8.0405,13295267,0
1995-06-07,8.0405,8.0666,7.9792,8.0405,12184279,0
1995-06-08,8.023,8.0405,7.9528,7.9792,6166662,0
1995-06-09,7.9001,7.9265,7.7254,7.7777,25277463,0
1995-06-12,7.8218,8.0405,7.8218,7.9441,15816243,0
1995-06-13,7.9528,8.0141,7.9179,7.9966,7188953,0
1995-06-14,7.9702,8.023,7.9179,7.9792,5743295,0
