Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.7,1.8,1.69,1.8,9200,0
1995-01-04,1.75,1.91,1.75,1.75,42400,0
1995-01-05,1.75,1.83,1.75,1.83,24800,0
1995-01-06,1.83,1.83,1.75,1.77,7600,0
1995-01-09,1.8,1.8,1.75,1.75,1200,0
1995-01-10,1.75,1.8,1.69,1.8,37300,0
1995-01-11,1.8,1.8,1.75,1.75,10000,0
1995-01-12,1.69,1.69,1.69,1.69,400,0
1995-01-16,1.69,1.69,1.69,1.69,1000,0
1995-01-17,1.75,1.8,1.75,1.8,4500,0
1995-01-18,1.69,1.8,1.69,1.75,7600,0
1995-01-19,1.8,1.8,1.69,1.72,22000,0
1995-01-20,1.69,1.72,1.67,1.69,18700,0
1995-01-23,1.69,1.69,1.58,1.58,27500,0
1995-01-24,1.61,1.69,1.61,1.69,1200,0
1995-01-25,1.63,1.69,1.58,1.58,8000,0
1995-01-26,1.69,1.69,1.58,1.58,3500,0
1995-01-27,1.63,1.69,1.58,1.58,5800,0
1995-01-30,1.58,1.58,1.58,1.58,1500,0
1995-01-31,1.58,1.63,1.58,1.61,13900,0
1995-02-01,1.58,1.58,1.58,1.58,3200,0
1995-02-02,1.58,1.58,1.55,1.58,44100,0
1995-02-03,1.63,1.63,1.58,1.58,46200,0
1995-02-06,1.63,1.63,1.52,1.63,4700,0
1995-02-07,1.52,1.58,1.52,1.58,1400,0
1995-02-08,1.52,1.63,1.52,1.63,1300,0
1995-02-09,1.63,1.63,1.55,1.55,7300,0
1995-02-10,1.63,1.63,1.63,1.63,200,0
1995-02-13,1.52,1.55,1.52,1.55,2400,0
1995-02-14,1.52,1.75,1.52,1.58,32500,0
1995-02-15,1.61,1.63,1.61,1.61,9500,0
1995-02-16,1.58,1.58,1.58,1.58,700,0
1995-02-17,1.58,1.63,1.58,1.58,19500,0
1995-02-21,1.58,1.58,1.52,1.52,6000,0
1995-02-22,1.63,1.63,1.52,1.61,101300,0
1995-02-23,1.56,1.56,1.52,1.52,20900,0
1995-02-24,1.61,1.61,1.52,1.61,3900,0
1995-02-28,1.46,1.49,1.46,1.49,7000,0
1995-03-01,1.49,1.49,1.41,1.41,27500,0
1995-03-02,1.49,1.58,1.41,1.41,7600,0
1995-03-03,1.41,1.46,1.41,1.46,7800,0
1995-03-06,1.52,1.52,1.44,1.44,5400,0
1995-03-07,1.44,1.48,1.44,1.46,14700,0
1995-03-08,1.44,1.52,1.44,1.52,8600,0
1995-03-09,1.44,1.44,1.44,1.44,5000,0
1995-03-10,1.52,1.52,1.44,1.44,7000,0
1995-03-13,1.49,1.49,1.49,1.49,3700,0
1995-03-14,1.44,1.46,1.44,1.44,24900,0
1995-03-15,1.44,1.44,1.44,1.44,1100,0
1995-03-16,1.44,1.44,1.44,1.44,400,0
1995-03-17,1.46,1.49,1.44,1.44,7000,0
1995-03-20,1.52,1.52,1.44,1.49,12000,0
1995-03-21,1.44,1.44,1.44,1.44,500,0
1995-03-22,1.44,1.49,1.44,1.49,125900,0
1995-03-23,1.52,1.52,1.44,1.52,2000,0
1995-03-24,1.52,1.52,1.44,1.44,1100,0
1995-03-27,1.44,1.44,1.44,1.44,2000,0
1995-03-28,1.44,1.58,1.44,1.52,8100,0
1995-03-29,1.44,1.51,1.44,1.51,6500,0
1995-03-30,1.58,1.58,1.44,1.52,8700,0
1995-03-31,1.46,1.46,1.46,1.46,200,0
1995-04-03,1.44,1.44,1.44,1.44,200,0
1995-04-04,1.44,1.44,1.44,1.44,500,0
1995-04-05,1.52,1.52,1.44,1.46,10500,0
1995-04-06,1.52,1.52,1.52,1.52,200,0
1995-04-07,1.44,1.52,1.44,1.49,8000,0
1995-04-10,1.46,1.52,1.46,1.52,37100,0
1995-04-11,1.49,1.58,1.49,1.55,6700,0
1995-04-12,1.55,1.55,1.52,1.52,1800,0
1995-04-13,1.58,1.58,1.52,1.52,9900,0
1995-04-17,1.52,1.54,1.52,1.52,8800,0
1995-04-18,1.52,1.52,1.49,1.49,1900,0
1995-04-19,1.52,1.52,1.49,1.52,9300,0
1995-04-20,1.49,1.52,1.49,1.52,49000,0
1995-04-21,1.49,1.58,1.49,1.58,12300,0
1995-04-24,1.58,1.58,1.49,1.58,37300,0
1995-04-25,1.55,1.55,1.49,1.49,10200,0
1995-04-26,1.58,1.61,1.58,1.58,7300,0
1995-04-27,1.46,1.52,1.35,1.44,82400,0
1995-04-28,1.52,1.52,1.44,1.52,103500,0
1995-05-01,1.52,1.63,1.52,1.63,36000,0
1995-05-02,1.63,1.69,1.55,1.58,103100,0
1995-05-03,1.69,1.69,1.58,1.69,8500,0
