Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.0213,7.0213,6.9322,6.959,121369,0
1995-01-04,6.9322,6.959,6.8966,6.9322,144068,0
1995-01-05,6.959,6.959,6.7808,6.8433,170361,0
1995-01-06,6.8433,6.8697,6.7808,6.7808,115973,0
1995-01-09,6.8165,6.8697,6.7184,6.7454,104060,0
1995-01-10,6.7454,6.7808,6.6293,6.6293,85631,0
1995-01-11,6.665,6.6917,6.5673,6.6917,244529,0
1995-01-12,6.665,6.7454,6.6293,6.7184,220032,0
1995-01-13,6.7184,6.7184,6.5139,6.5139,330162,0
1995-01-16,6.5673,6.6293,6.5673,6.6028,135750,0
1995-01-17,6.5673,6.665,6.5673,6.6028,168113,0
1995-01-18,6.6028,6.6917,6.6028,6.6917,56862,0
1995-01-19,6.7184,6.7184,6.6028,6.665,99342,0
1995-01-20,6.6293,6.665,6.6028,6.665,110808,0
1995-01-23,6.665,6.7184,6.6028,6.665,180924,0
1995-01-24,6.665,6.7184,6.665,6.665,46749,0
1995-01-25,6.665,6.6917,6.6293,6.665,63831,0
1995-01-26,6.665,6.665,6.6028,6.6293,69448,0
1995-01-27,6.6028,6.6917,6.6028,6.6293,96421,0
1995-01-30,6.5673,6.6293,6.5673,6.6028,91253,0
1995-01-31,6.6028,6.6293,6.5406,6.6293,40454,0
1995-02-01,6.6293,6.665,6.4873,6.5406,258917,0
1995-02-02,6.5406,6.5673,6.5139,6.5406,48325,0
1995-02-03,6.6028,6.6917,6.5673,6.6917,131930,0
1995-02-06,6.6293,6.7808,6.6293,6.6917,191266,0
1995-02-07,6.7184,6.8433,6.7184,6.8433,155307,0
1995-02-08,6.8165,7.1721,6.8165,7.0835,257117,0
1995-02-09,7.0475,7.1992,7.0475,7.1454,159125,0
1995-02-10,7.1454,7.1721,7.0213,7.0475,161149,0
1995-02-13,7.0835,7.1101,7.0475,7.0835,55739,0
1995-02-14,7.0835,7.1101,6.8697,6.8697,134179,0
1995-02-15,7.6172,7.9553,7.6172,7.8309,1960072,0
1995-02-16,7.8309,8.0086,7.8309,7.9196,473552,0
1995-02-17,7.8933,8.0086,7.8933,7.9823,549069,0
1995-02-21,7.9823,8.0442,7.9196,8.0086,176430,0
1995-02-22,8.0086,8.0708,7.9823,8.0442,126537,0
1995-02-23,8.0086,8.0086,7.9553,7.9553,157776,0
1995-02-24,7.9553,7.9553,7.9196,7.9196,119570,0
1995-02-27,7.8933,7.9823,7.8666,7.8666,197331,0
1995-02-28,7.8666,7.9196,7.8309,7.8933,315553,0
1995-03-01,7.8666,7.8666,7.7687,7.8041,255319,0
1995-03-02,7.7687,7.8041,7.6172,7.6794,317575,0
1995-03-03,7.6526,7.7063,7.5906,7.6172,360729,0
1995-03-06,7.6172,7.6172,7.5906,7.5906,108553,0
1995-03-07,7.6526,7.6526,7.555,7.5906,197331,0
1995-03-08,7.555,7.5906,7.2616,7.4659,591327,0
1995-03-09,7.4392,7.7063,7.4127,7.5279,542555,0
1995-03-10,7.5279,7.555,7.4392,7.4659,112602,0
1995-03-13,7.4392,7.4392,7.3769,7.4127,47871,0
1995-03-14,7.4127,7.4392,7.3769,7.4392,94396,0
1995-03-15,7.4127,7.4392,7.3769,7.4392,151933,0
1995-03-16,7.4392,7.5017,7.4392,7.4659,60009,0
1995-03-17,7.4392,7.4392,7.2616,7.3146,207674,0
1995-03-20,7.2966,7.5279,7.2616,7.5017,162046,0
1995-03-21,7.4659,7.555,7.4392,7.5017,164292,0
1995-03-22,7.5279,7.5279,7.4127,7.4127,155756,0
1995-03-23,7.4392,7.5017,7.4392,7.5017,235539,0
1995-03-24,7.5279,7.5279,7.4392,7.4392,588404,0
1995-03-27,8.1066,8.6408,8.0442,8.1066,3490641,0
1995-03-28,7.8933,8.4627,7.8041,8.2492,3359608,0
1995-03-29,8.3648,8.4,8.2222,8.3648,1045328,0
1995-03-30,8.6408,8.881,8.5517,8.5784,2007270,0
1995-03-31,8.5784,8.5784,8.3468,8.4,488390,0
1995-04-03,8.2492,8.2492,7.9196,8.1066,1548771,0
1995-04-04,8.1066,8.1957,8.0708,8.1066,444338,0
1995-04-05,8.1066,8.1066,7.9823,8.0086,313755,0
1995-04-06,8.0086,8.0708,7.9823,8.0086,231494,0
1995-04-07,8.0086,8.0442,7.9196,7.9196,244529,0
1995-04-10,7.8933,7.9196,7.8666,7.9196,224979,0
1995-04-11,7.9553,7.9553,7.8666,7.9196,299824,0
1995-04-12,7.9553,7.9553,7.7419,7.8309,173961,0
1995-04-13,7.8309,7.8933,7.8309,7.8309,149911,0
1995-04-17,7.8666,7.8933,7.7063,7.8933,300492,0
1995-04-18,7.8666,7.9196,7.8041,7.8309,108553,0
1995-04-19,7.7687,7.7687,7.2966,7.4659,1020379,0
1995-04-20,7.4392,7.4392,7.1454,7.2255,630881,0
1995-04-21,7.2255,7.2616,7.1721,7.2255,402531,0
1995-04-24,7.2255,7.2255,7.0835,7.1454,143616,0
1995-04-25,7.1454,7.1721,6.8966,6.9322,474903,0
1995-04-26,6.9322,6.959,6.7808,6.8165,270153,0
1995-04-27,6.8433,6.8966,6.665,6.6917,909799,0
1995-04-28,6.7184,6.7184,6.6293,6.6917,153506,0
1995-05-01,6.665,6.959,6.5673,6.959,235317,0
1995-05-02,6.959,7.0835,6.959,7.0475,235091,0
1995-05-03,7.1454,7.1992,7.0835,7.1992,685944,0
1995-05-04,7.1454,7.1454,6.959,6.9946,314430,0
1995-05-05,6.959,6.9946,6.8697,6.8697,296897,0
1995-05-08,6.8966,6.9946,6.8966,6.9946,166990,0
1995-05-09,7.0213,7.0835,6.9946,7.0213,241161,0
1995-05-10,7.0835,7.2616,7.0213,7.1454,319600,0
1995-05-11,7.1721,7.1992,7.1454,7.1992,247454,0
1995-05-12,7.1721,7.1721,7.1101,7.1101,75966,0
1995-05-15,7.1101,7.1721,7.1101,7.1454,104060,0
1995-05-16,7.1101,7.1454,7.0835,7.1454,64279,0
1995-05-17,7.1101,7.1101,7.0835,7.1101,193962,0
1995-05-18,7.1101,7.1101,7.0213,7.0213,191041,0
1995-05-19,7.0213,7.0475,7.0213,7.0213,52817,0
1995-05-22,7.0475,7.0475,6.9322,6.959,58435,0
1995-05-23,6.959,6.9946,6.8966,6.959,75519,0
1995-05-24,6.9322,7.1454,6.9322,7.0475,178902,0
1995-05-25,7.0213,7.0213,6.9322,6.9322,159801,0
1995-05-26,6.9322,6.9322,6.8433,6.8433,96194,0
1995-05-30,6.8433,6.959,6.8433,6.959,92821,0
1995-05-31,6.9322,7.0213,6.9322,6.959,44726,0
1995-06-01,6.9322,7.0213,6.9322,6.9322,75741,0
1995-06-02,6.959,7.0213,6.9322,6.9946,197559,0
1995-06-05,6.9946,6.9946,6.9322,6.9946,144290,0
1995-06-06,6.959,7.0475,6.959,7.0475,180924,0
1995-06-07,7.1992,7.2966,7.1992,7.1992,401634,0
1995-06-08,7.1992,7.1992,7.1454,7.1721,101813,0
1995-06-09,7.1721,7.1992,7.1454,7.1721,166990,0
1995-06-12,7.1992,7.2255,7.1721,7.1721,233744,0
1995-06-13,7.1992,7.1992,7.1101,7.1721,392645,0
1995-06-14,7.1992,7.1992,7.0835,7.1992,466585,0
1995-06-15,7.1992,7.1992,7.1454,7.1454,44276,0
1995-06-16,7.1454,7.2616,7.1454,7.2255,215761,0
1995-06-19,7.2616,7.4127,7.1992,7.2255,244756,0
1995-06-20,7.1992,7.2255,7.1454,7.1721,95745,0
1995-06-21,7.1101,7.1454,7.0213,7.0213,80685,0
1995-06-22,7.0475,7.1101,7.0213,7.0475,261613,0
1995-06-23,7.0213,7.0475,6.959,7.0475,327915,0
1995-06-26,7.0213,7.0475,6.9946,7.0213,120243,0
1995-06-27,6.959,6.959,6.7454,6.8433,1307166,0
1995-06-28,6.8433,6.8433,6.6028,6.7184,1025324,0
1995-06-29,6.7184,6.7454,6.6917,6.7454,571773,0
1995-06-30,6.7184,6.7808,6.7184,6.7808,323194,0
1995-07-03,6.8165,6.8697,6.7454,6.8697,69900,0
1995-07-05,6.8433,6.8433,6.7184,6.7808,212617,0
1995-07-06,6.7454,6.8433,6.7184,6.8433,144068,0
1995-07-07,6.7808,6.8165,6.7454,6.7808,156203,0
1995-07-10,6.7808,6.8433,6.7454,6.7454,219810,0
1995-07-11,6.7454,6.7808,6.7184,6.7808,89452,0
1995-07-12,6.7808,6.8433,6.7454,6.8433,331509,0
1995-07-13,6.8433,6.8433,6.7454,6.7454,70794,0
1995-07-14,6.7454,6.7808,6.7454,6.7454,83382,0
1995-07-17,6.7808,6.8697,6.7184,6.8165,106757,0
1995-07-18,6.7808,6.8165,6.7184,6.7808,241161,0
1995-07-19,6.7454,6.7454,6.6917,6.7454,400284,0
1995-07-20,6.8165,6.8165,6.7454,6.7454,136876,0
1995-07-21,6.7184,6.8165,6.7184,6.7454,90801,0
1995-07-24,6.7454,6.8433,6.7454,6.8165,57313,0
1995-07-25,6.8165,6.8433,6.7808,6.8165,170361,0
1995-07-26,6.7454,6.8966,6.7454,6.8697,1442017,0
1995-07-27,6.8697,6.9322,6.8165,6.9322,275097,0
1995-07-28,6.8966,6.9142,6.8697,6.8966,218683,0
1995-07-31,6.8966,6.9322,6.8433,6.9322,93723,0
1995-08-01,6.8966,6.959,6.8433,6.9322,72594,0
1995-08-02,6.9322,6.959,6.8966,6.8966,43825,0
1995-08-03,6.8433,6.959,6.8433,6.959,142941,0
1995-08-04,6.959,6.959,6.8697,6.8697,64056,0
1995-08-07,6.8697,6.959,6.8697,6.8966,70348,0
1995-08-08,6.9322,6.9946,6.9322,6.9322,57535,0
1995-08-09,6.959,6.959,6.8697,6.8697,207898,0
1995-08-10,6.8966,6.8966,6.8165,6.8697,311957,0
1995-08-11,6.8697,6.8966,6.8433,6.8697,166990,0
1995-08-14,6.8433,6.9322,6.8433,6.8966,75519,0
1995-08-15,6.8966,6.959,6.8697,6.8966,115747,0
1995-08-16,6.9322,7.0213,6.9322,6.9946,77088,0
1995-08-17,6.9946,6.9946,6.959,6.959,74618,0
1995-08-18,6.959,6.9946,6.959,6.959,175979,0
1995-08-21,6.959,6.9946,6.959,6.9946,87877,0
1995-08-22,7.0475,7.0475,6.959,6.959,134179,0
1995-08-23,6.959,6.9946,6.959,6.9946,117771,0
1995-08-24,6.9946,7.2616,6.9946,7.2616,325666,0
1995-08-25,7.3769,7.3769,7.1101,7.2255,195537,0
1995-08-28,7.1992,7.2255,7.1101,7.1454,52139,0
1995-08-29,7.1101,7.1992,7.1101,7.1992,84283,0
1995-08-30,7.1721,7.1992,7.0835,7.0835,93723,0
1995-08-31,7.1101,7.1454,7.1101,7.1454,57761,0
1995-09-01,7.1101,7.1992,7.1101,7.1992,48996,0
1995-09-05,7.1992,7.1992,7.1101,7.1454,60231,0
1995-09-06,7.1454,7.2616,7.1454,7.2616,55516,0
1995-09-07,7.2255,7.2255,7.1721,7.2255,60009,0
1995-09-08,7.2966,7.4127,7.2255,7.3505,467036,0
1995-09-11,7.3769,7.4392,7.1721,7.2255,146766,0
1995-09-12,7.2255,7.2966,7.1992,7.2255,66529,0
1995-09-13,7.2255,7.2255,7.1992,7.1992,84955,0
1995-09-14,7.2255,7.2616,7.2255,7.2255,64279,0
1995-09-15,7.1992,7.2616,7.1992,7.2255,33037,0
1995-09-18,7.1992,7.2255,7.1721,7.1992,65405,0
1995-09-19,7.2255,7.2255,7.1721,7.1992,45178,0
1995-09-20,7.1721,7.2616,7.1721,7.2616,134404,0
1995-09-21,7.2255,7.2966,7.2255,7.2616,35961,0
1995-09-22,7.2255,7.2616,7.2255,7.2255,79336,0
1995-09-25,7.2255,7.2616,7.2255,7.2255,66751,0
1995-09-26,7.2616,7.2966,7.2255,7.2616,122038,0
1995-09-27,7.2255,7.2255,7.1721,7.1992,67201,0
1995-09-28,7.1992,7.3146,7.1992,7.3146,115073,0
1995-09-29,7.3505,7.3505,7.2616,7.2966,33488,0
1995-10-02,7.3146,7.3505,7.2966,7.2966,45625,0
1995-10-03,7.2616,7.2966,7.2616,7.2616,33262,0
1995-10-04,7.2616,7.2616,7.2255,7.2616,15959,0
1995-10-05,7.2255,7.2255,7.1992,7.2255,68102,0
1995-10-06,7.2255,7.2616,7.1992,7.1992,119794,0
1995-10-09,7.1992,7.1992,7.1101,7.1454,38881,0
1995-10-10,7.1101,7.1454,6.9946,7.0835,110581,0
1995-10-11,7.0835,7.1721,7.0835,7.1721,62030,0
1995-10-12,7.1721,7.1992,7.1454,7.1992,31690,0
1995-10-13,7.1721,7.1992,7.1454,7.1721,18431,0
1995-10-16,7.1721,7.1992,7.1721,7.1992,30117,0
1995-10-17,7.1721,7.3505,7.1721,7.3146,78665,0
1995-10-18,7.3146,7.3769,7.3146,7.3505,144967,0
1995-10-19,7.3146,7.3505,7.3146,7.3505,22027,0
1995-10-20,7.3146,7.3505,7.2966,7.3146,153955,0
1995-10-23,7.3146,7.3769,7.3146,7.3505,40907,0
1995-10-24,7.3505,7.4659,7.3505,7.4659,90576,0
1995-10-25,7.5017,7.5906,7.4659,7.5017,175309,0
1995-10-26,7.5017,7.5279,7.4127,7.5017,56413,0
1995-10-27,7.4659,7.4659,7.3769,7.4659,40007,0
1995-10-30,7.4392,7.4392,7.3769,7.3769,39106,0
1995-10-31,7.3505,7.3769,7.2966,7.3146,672234,0
1995-11-01,7.3505,7.4659,7.3146,7.4659,45852,0
1995-11-02,7.5017,7.555,7.4659,7.5017,113948,0
1995-11-03,7.5017,7.5906,7.1992,7.5017,303640,0
1995-11-06,7.5017,7.5279,7.4392,7.5017,195761,0
1995-11-07,7.5279,7.6794,7.5279,7.6794,212617,0
1995-11-08,7.6794,7.6794,7.555,7.6172,224528,0
1995-11-09,7.6172,7.7063,7.6172,7.6526,46972,0
1995-11-10,7.5906,7.7419,7.5906,7.7419,71474,0
1995-11-13,7.7063,7.8041,7.6172,7.8041,187895,0
1995-11-14,7.8041,7.8309,7.7063,7.8041,82484,0
1995-11-15,7.8041,7.9196,7.8041,7.8666,213065,0
1995-11-16,7.8309,7.8309,7.4127,7.4127,1115001,0
1995-11-17,7.4659,7.6172,7.4127,7.5906,590651,0
1995-11-20,7.5906,7.5906,7.4392,7.4659,100688,0
1995-11-21,7.4392,7.4659,7.4127,7.4392,118671,0
1995-11-22,7.4127,7.4659,7.4127,7.4392,195310,0
1995-11-24,7.4127,7.4392,7.3769,7.4392,63831,0
1995-11-27,7.3505,7.3769,7.1454,7.1721,214189,0
1995-11-28,7.1721,7.3146,7.1721,7.2966,133501,0
1995-11-29,7.2966,7.4392,7.2966,7.3505,127208,0
1995-11-30,7.3505,7.5017,7.3505,7.4392,222731,0
1995-12-01,7.4127,7.4659,7.3769,7.4392,159801,0
1995-12-04,7.4392,7.555,7.4392,7.5279,262513,0
1995-12-05,7.555,7.6794,7.5279,7.6794,293529,0
1995-12-06,7.6794,7.7419,7.6172,7.6794,237116,0
1995-12-07,7.6794,7.7063,7.6794,7.7063,181150,0
1995-12-08,7.6794,7.7419,7.6794,7.7063,166315,0
1995-12-11,7.7063,7.8933,7.7063,7.8309,153506,0
1995-12-12,7.8666,7.8933,7.8309,7.8666,189695,0
1995-12-13,7.8666,7.8933,7.8309,7.8309,82259,0
1995-12-14,7.8309,8.0086,7.8309,7.9823,372642,0
1995-12-15,7.9553,7.9553,7.7687,7.8309,521427,0
1995-12-18,7.8309,7.8309,7.6526,7.6526,191041,0
1995-12-19,7.6794,7.6794,7.5906,7.5906,141146,0
1995-12-20,7.5906,7.7063,7.5906,7.6794,94622,0
1995-12-21,7.6794,7.6794,7.6172,7.6526,81138,0
1995-12-22,7.6172,7.6526,7.6172,7.6172,41803,0
1995-12-26,7.6172,7.6172,7.555,7.555,84059,0
1995-12-27,7.5279,7.5906,7.5279,7.555,38433,0
1995-12-28,7.555,7.7063,7.555,7.7063,205651,0
1995-12-29,7.7419,7.7419,7.6526,7.7063,127659,0
1996-01-02,7.6526,7.7063,7.6526,7.7063,206771,0
1996-01-03,7.7419,7.8041,7.7419,7.8041,208348,0
1996-01-04,7.8041,7.9553,7.8041,7.8666,356682,0
1996-01-05,7.8041,7.8041,7.7063,7.7419,61808,0
1996-01-08,7.7419,7.8309,7.7419,7.7419,40227,0
1996-01-09,7.8041,7.8933,7.8041,7.8666,49670,0
1996-01-10,7.8041,7.8666,7.7419,7.8309,139348,0
1996-01-11,7.8041,7.8933,7.7687,7.8933,84059,0
1996-01-12,7.9553,8.1243,7.9553,8.0442,121369,0
1996-01-15,8.0442,8.1243,8.0442,8.1243,41361,0
1996-01-16,8.1066,8.2758,8.1066,8.2492,90801,0
1996-01-17,8.2222,8.2222,8.16,8.16,45852,0
1996-01-18,8.16,8.3468,8.16,8.3468,73268,0
1996-01-19,8.2758,8.3648,8.2758,8.3468,49447,0
1996-01-22,8.3468,8.3648,8.2758,8.2758,33711,0
1996-01-23,8.2758,8.3468,8.2492,8.3113,31466,0
1996-01-24,8.3113,8.4269,8.2758,8.2758,264534,0
1996-01-25,8.2758,8.2758,8.1957,8.2492,129235,0
1996-01-26,8.2492,8.4,8.2222,8.4,225876,0
1996-01-29,8.3648,8.6408,8.3648,8.4892,282514,0
1996-01-30,8.4892,8.5162,8.4,8.4,97317,0
1996-01-31,8.3648,8.4627,8.3468,8.4269,111254,0
1996-02-01,8.4,8.4269,8.3113,8.4269,187443,0
1996-02-02,8.4,8.4627,8.4,8.4269,204527,0
1996-02-05,8.4,8.4627,8.3113,8.3468,81138,0
1996-02-06,8.3468,8.4,8.3113,8.3468,124965,0
1996-02-07,8.3468,8.4269,8.3468,8.3648,135302,0
1996-02-08,8.3648,8.4627,8.3468,8.4269,173060,0
1996-02-09,8.4,8.4627,8.3468,8.3648,186318,0
1996-02-12,8.3468,8.4269,8.3468,8.4,144068,0
1996-02-13,8.3648,8.5162,8.3648,8.4892,235765,0
1996-02-14,8.4269,8.4627,8.3468,8.3468,101140,0
1996-02-15,8.3648,8.3648,8.3113,8.3648,137328,0
1996-02-16,8.3468,8.3648,8.2758,8.3113,64056,0
1996-02-20,8.2492,8.2758,8.2222,8.2492,66751,0
1996-02-21,8.2758,8.3113,8.0708,8.16,274421,0
1996-02-22,8.16,8.16,7.9823,8.1066,160023,0
1996-02-23,8.16,8.2222,8.0708,8.1066,139122,0
1996-02-26,8.0708,8.0708,7.9196,8.0086,167441,0
1996-02-27,7.9823,8.0442,7.8309,7.9553,371068,0
1996-02-28,8.0442,8.1066,8.0086,8.0708,182500,0
1996-02-29,7.9553,8.2222,7.9196,8.1243,190141,0
1996-03-01,8.1066,8.16,8.0442,8.16,74393,0
1996-03-04,8.16,8.16,8.0708,8.0708,145638,0
1996-03-05,8.0086,8.0442,7.9196,8.0086,79111,0
1996-03-06,7.9823,8.0442,7.9553,8.0442,287909,0
1996-03-07,8.0086,8.2222,8.0086,8.1957,227678,0
1996-03-08,8.1243,8.16,7.9823,8.0086,264760,0
1996-03-11,7.9823,8.0708,7.9196,7.9553,382080,0
1996-03-12,7.9823,8.1243,7.9196,8.1066,329711,0
1996-03-13,8.1243,8.1957,8.0708,8.16,540754,0
1996-03-14,8.1243,8.2222,8.1243,8.16,440739,0
1996-03-15,8.1066,8.16,8.0086,8.0708,303867,0
1996-03-18,8.1243,8.16,8.1066,8.16,300943,0
1996-03-19,8.16,8.1957,8.0708,8.1957,338705,0
1996-03-20,8.16,8.2222,8.16,8.1957,652235,0
1996-03-21,8.1957,8.3113,8.1957,8.2758,233967,0
1996-03-22,8.2758,8.4,8.2758,8.4,262285,0
1996-03-25,8.4,8.4,8.3113,8.3648,175309,0
1996-03-26,8.3648,8.4,8.3113,8.4,154179,0
1996-03-27,8.3468,8.4,8.3113,8.3468,124066,0
1996-03-28,8.3468,8.3468,8.1243,8.2222,161149,0
