Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.3595,9.4615,9.2225,9.2683,1013753,0
1995-01-04,9.2683,9.3145,9.2225,9.2225,1315132,0
1995-01-05,9.2225,9.2683,9.0316,9.0316,264280,0
1995-01-06,8.8945,8.9414,8.6665,8.7119,1768767,0
1995-01-09,8.7575,8.8945,8.5752,8.6208,1903195,0
1995-01-10,8.5752,8.6208,8.255,8.3011,1892356,0
1995-01-11,8.3011,8.429,8.255,8.429,1926804,0
1995-01-12,8.4836,8.5752,8.3923,8.5292,752845,0
1995-01-13,8.5752,8.6208,8.3375,8.4836,1127946,0
1995-01-16,8.3375,8.7575,8.3375,8.7575,946057,0
1995-01-17,8.7119,8.9414,8.7119,8.8945,886551,0
1995-01-18,8.9945,9.1777,8.9945,9.1325,1428845,0
1995-01-19,9.1325,9.2683,9.0316,9.1325,710449,0
1995-01-20,9.1777,9.1777,9.087,9.087,284274,0
1995-01-23,9.087,9.2225,9.087,9.1777,668047,0
1995-01-24,9.1777,9.2225,9.087,9.1777,695511,0
1995-01-25,9.2225,9.3595,9.1777,9.3595,757903,0
1995-01-26,9.3595,9.3595,8.9945,9.087,1461847,0
1995-01-27,9.087,9.087,8.8579,8.8945,726587,0
1995-01-30,8.9414,8.9414,8.6665,8.7119,781516,0
1995-01-31,8.7119,8.7119,8.5292,8.6208,781034,0
1995-02-01,8.7119,8.7119,8.4836,8.5292,1199979,0
1995-02-02,8.6665,8.7119,8.4836,8.5292,1817434,0
1995-02-03,8.6208,8.7119,8.5752,8.6208,1634343,0
1995-02-06,8.6665,9.1325,8.6665,9.1325,2968746,0
1995-02-07,9.1325,9.1325,8.6665,8.6665,1612659,0
1995-02-08,8.7119,8.7575,8.6208,8.7119,880288,0
1995-02-09,8.7119,8.7119,8.3375,8.4836,2284078,0
1995-02-10,8.5292,8.6208,8.5292,8.5752,419908,0
1995-02-13,8.6208,8.6665,8.5292,8.6208,478691,0
1995-02-14,8.6665,8.6665,8.4836,8.5752,723937,0
1995-02-15,8.6665,8.7575,8.6208,8.7575,704183,0
1995-02-16,8.7575,8.8032,8.6665,8.6665,1084580,0
1995-02-17,8.7119,9.1325,8.7119,8.8579,1732873,0
1995-02-21,8.8945,9.0316,8.8579,8.9945,610470,0
1995-02-22,9.0316,9.1325,8.9414,9.087,902210,0
1995-02-23,9.1777,9.599,9.1777,9.3595,2163142,0
1995-02-24,9.3145,9.3145,9.2225,9.2683,429064,0
1995-02-27,9.2683,9.3595,9.1777,9.2683,349082,0
1995-02-28,9.2225,9.2683,9.2225,9.2683,272951,0
1995-03-01,9.2683,9.2683,9.1325,9.2225,1005081,0
1995-03-02,9.2225,9.2683,9.2225,9.2225,501577,0
1995-03-03,9.2225,9.2225,9.087,9.087,720327,0
1995-03-06,9.087,9.1777,9.087,9.1777,502780,0
1995-03-07,9.1777,9.3145,9.1325,9.2225,1356570,0
1995-03-08,9.4081,9.691,9.3595,9.55,1821048,0
1995-03-09,9.55,9.55,9.3145,9.4081,695511,0
1995-03-10,9.2683,9.4973,9.2683,9.4973,603241,0
1995-03-13,9.4615,9.691,9.4081,9.634,586862,0
