Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.1385,9.2244,9.1385,9.1862,199806,0
1995-01-04,9.1862,9.3671,9.1577,9.3091,312301,0
1995-01-05,9.2723,9.2723,9.0434,9.1385,443057,0
1995-01-06,9.1004,9.1004,8.7763,8.7763,546735,0
1995-01-09,8.843,8.9003,8.6905,8.6905,505602,0
1995-01-10,8.6905,8.6905,8.3666,8.4335,1097670,0
1995-01-11,8.481,8.567,8.4335,8.5191,1385836,0
1995-01-12,8.5382,8.8051,8.5191,8.8051,2446359,0
1995-01-13,8.8051,8.9289,8.8051,8.9289,1279638,0
1995-01-16,8.843,8.9573,8.6905,8.7763,1132305,0
1995-01-17,8.7481,8.862,8.6621,8.6621,614948,0
1995-01-18,8.7481,9.0719,8.7194,9.0148,1035339,0
1995-01-19,9.0148,9.0148,8.8051,8.8051,187210,0
1995-01-20,8.843,8.9862,8.843,8.9573,303065,0
1995-01-23,8.9003,9.0719,8.862,9.0719,574232,0
1995-01-24,9.0148,9.1004,8.6905,8.862,809717,0
1995-01-25,8.862,8.862,8.6905,8.7763,653143,0
1995-01-26,8.843,8.9862,8.8051,8.9862,427314,0
1995-01-27,8.9862,8.9862,8.9003,8.9289,320066,0
1995-01-30,8.9289,9.0148,8.9289,8.9862,533513,0
1995-01-31,8.9573,9.0434,8.843,8.9862,890100,0
1995-02-01,8.9862,9.0719,8.8051,9.0148,526377,0
1995-02-02,9.0148,9.0148,8.8051,9.0148,465726,0
1995-02-03,9.0148,9.4233,9.0148,9.3945,758505,0
1995-02-06,9.3945,10.045,9.3945,10.045,1483637,0
1995-02-07,9.978,9.978,9.509,9.509,848335,0
1995-02-08,9.548,9.654,9.3945,9.4233,426266,0
1995-02-09,9.453,9.509,9.3945,9.453,279980,0
1995-02-10,9.509,9.596,9.4805,9.548,410523,0
1995-02-13,9.548,9.548,9.4233,9.453,90249,0
1995-02-14,9.453,9.453,9.3091,9.3671,472855,0
1995-02-15,9.3945,9.596,9.3945,9.596,456488,0
1995-02-16,9.548,9.567,9.453,9.453,300336,0
1995-02-17,9.3945,9.775,9.3945,9.681,699739,0
1995-02-21,9.681,9.834,9.654,9.747,546735,0
1995-02-22,9.719,10.015,9.719,10.015,758925,0
1995-02-23,10.015,10.129,9.958,9.958,947816,0
1995-02-24,9.978,10.158,9.958,10.158,724504,0
1995-02-27,10.158,10.217,9.978,10.073,661124,0
1995-02-28,10.073,10.3,10.045,10.3,341687,0
1995-03-01,10.339,10.339,10.073,10.101,342105,0
