Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,27500,27500,25625,25625,0,0
1995-01-04,27500,27500,27500,27500,0,0
1995-01-05,27500,27500,26875,26875,0,0
1995-01-09,27500,27500,26250,26250,0,0
1995-01-10,25625,27500,24375,25625,0,0
1995-01-11,24375,26250,24375,26250,0,0
1995-01-18,25000,25000,25000,25000,0,0
1995-01-19,25625,25625,24375,25000,1,0
1995-01-20,25000,25000,24375,24375,0,0
1995-01-23,22500,22500,22500,22500,0,0
1995-01-24,22500,23125,22500,22500,0,0
1995-01-26,21250,21875,20625,20625,0,0
1995-01-27,19375,20000,19375,20000,0,0
1995-01-30,20000,21875,20000,21875,0,0
1995-01-31,19375,20000,19375,20000,0,0
1995-02-02,21875,21875,21875,21875,0,0
1995-02-06,20000,21250,20000,21250,1,0
1995-02-09,20000,20000,20000,20000,0,0
1995-02-10,21875,21875,21875,21875,0,0
1995-02-14,21250,21250,21250,21250,0,0
1995-02-23,20000,21250,20000,20000,0,0
1995-02-24,21875,21875,21875,21875,0,0
1995-02-27,20000,20000,20000,20000,0,0
1995-03-03,21250,22500,21250,22500,0,0
1995-03-07,22500,22500,22500,22500,0,0
1995-03-08,22500,30000,22500,27500,2,0
1995-03-09,28125,28125,26875,28125,1,0
1995-03-10,29375,31250,27500,28125,1,0
1995-03-13,29375,31875,29375,31250,1,0
1995-03-14,31250,31250,30000,30000,0,0
1995-03-15,31250,31250,28750,28750,0,0
1995-03-16,30000,30000,28750,30000,0,0
1995-03-17,28750,29375,26875,28125,0,0
1995-03-20,28125,28750,28125,28125,0,0
1995-03-21,29375,29375,27500,28125,1,0
1995-03-22,28125,29375,28125,29375,0,0
1995-03-24,28125,28125,28125,28125,0,0
1995-03-27,28125,28750,28125,28750,0,0
1995-03-28,29375,29375,27500,27500,0,0
1995-03-29,29375,29375,27500,29375,0,0
1995-03-31,29375,29375,29375,29375,0,0
1995-04-03,28125,28125,27500,27500,0,0
1995-04-04,26875,27500,24375,24375,0,0
1995-04-05,25625,26250,24375,25625,1,0
1995-04-07,26250,26250,25625,25625,0,0
1995-04-10,25000,25000,24375,25000,3,0
1995-04-11,26250,26250,24375,24375,0,0
1995-04-17,23750,23750,23750,23750,0,0
1995-04-18,23750,24375,23750,24375,0,0
1995-04-20,22500,22500,21875,21875,0,0
1995-04-21,24375,24375,24375,24375,0,0
1995-04-26,23125,23125,21875,22500,0,0
1995-04-27,22500,23750,22500,23750,0,0
1995-04-28,22500,23125,21250,22500,0,0
1995-05-08,20625,21250,20000,20000,0,0
1995-05-09,21250,21250,18125,19375,0,0
1995-05-10,19375,19375,17500,19375,0,0
1995-05-12,20000,20000,18750,20000,0,0
1995-05-16,20000,20000,20000,20000,0,0
1995-05-19,20000,20000,18750,19375,0,0
1995-05-24,18750,21875,18750,21250,0,0
1995-05-25,21250,21250,21250,21250,0,0
1995-05-26,21250,21250,20625,21250,0,0
1995-06-01,20000,21875,20000,21250,0,0
1995-06-02,20625,21875,20625,20625,0,0
1995-06-07,20000,20000,20000,20000,0,0
1995-06-08,20000,20000,20000,20000,0,0
1995-06-09,21250,21250,18750,18750,0,0
1995-06-13,20000,20000,18750,18750,0,0
1995-06-14,18750,18750,18750,18750,0,0
1995-06-15,20625,20625,19375,19375,0,0
1995-06-19,18750,18750,18750,18750,0,0
1995-06-26,19375,20000,19375,20000,0,0
1995-06-30,19375,19375,19375,19375,0,0
1995-07-03,20625,20625,20000,20000,0,0
