Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.778,9.811,9.739,9.811,210598,0
1995-01-04,9.846,9.882,9.739,9.811,627346,0
1995-01-05,9.811,9.811,9.63,9.671,527808,0
1995-01-06,9.671,9.671,9.4559,9.4559,824057,0
1995-01-09,9.492,9.563,9.492,9.563,1269086,0
1995-01-10,9.563,9.563,9.4199,9.4559,181262,0
1995-01-11,9.4559,9.492,9.1375,9.492,1092801,0
1995-01-12,9.4559,9.524,9.3479,9.4559,714040,0
1995-01-13,9.524,9.6,9.3838,9.4199,882201,0
1995-01-16,9.492,9.492,9.3838,9.4199,622099,0
1995-01-17,9.4199,9.524,9.4199,9.524,249626,0
1995-01-18,9.4199,9.4559,9.3479,9.3838,672913,0
1995-01-19,9.2765,9.4199,9.2449,9.4199,852345,0
1995-01-20,9.4199,9.524,9.3838,9.492,543786,0
1995-01-23,9.3479,9.3479,9.1686,9.2449,1500119,0
1995-01-24,9.1686,9.2765,9.1375,9.2449,669513,0
1995-01-25,9.2765,9.4559,9.2765,9.3838,295461,0
1995-01-26,9.4559,9.4559,9.3838,9.4199,649342,0
1995-01-27,9.4559,9.524,9.4199,9.4199,368279,0
1995-01-30,9.3479,9.3838,9.2765,9.3479,413338,0
1995-01-31,9.3115,9.3479,9.2449,9.3115,519425,0
1995-02-01,9.2449,9.3838,9.2041,9.3838,280269,0
1995-02-02,9.3115,9.4559,9.3115,9.3838,653275,0
1995-02-03,9.4559,9.492,9.4199,9.4199,368279,0
1995-02-06,9.4559,9.524,9.4199,9.492,209028,0
1995-02-07,9.4559,9.492,9.3479,9.3479,895299,0
1995-02-08,9.3838,9.4559,9.3115,9.4199,449485,0
1995-02-09,9.4199,9.4199,9.3115,9.3479,469656,0
1995-02-10,9.3479,9.3479,9.2765,9.3115,281056,0
1995-02-13,9.3115,9.3838,9.2765,9.3115,442667,0
1995-02-14,9.3115,9.3479,9.1686,9.2449,1137076,0
1995-02-15,9.2041,9.3838,9.1686,9.3115,1017890,0
1995-02-16,9.1419,9.2857,9.1061,9.2449,631262,0
1995-02-17,9.2449,9.3207,9.2134,9.2449,712471,0
1995-02-21,9.2857,9.3566,9.2857,9.3207,573116,0
1995-02-22,9.3207,9.3931,9.2857,9.2857,412814,0
1995-02-23,9.2857,9.3566,9.2857,9.3207,709068,0
1995-02-24,9.3207,9.501,9.2857,9.501,1011860,0
1995-02-27,9.501,9.501,9.2857,9.3566,173143,0
1995-02-28,9.2857,9.3207,9.2449,9.3207,356239,0
1995-03-01,9.4247,9.4651,9.2134,9.3566,1860281,0
1995-03-02,9.3931,9.3931,9.3207,9.3207,413597,0
1995-03-03,9.3931,9.4651,9.3207,9.4247,393694,0
1995-03-06,9.4651,9.609,9.4247,9.573,544562,0
1995-03-07,9.573,9.68,9.536,9.609,1088878,0
1995-03-08,9.643,9.643,9.501,9.573,331615,0
1995-03-09,9.573,9.573,9.3566,9.3931,307255,0
1995-03-10,9.3931,9.4247,9.3207,9.3931,492708,0
1995-03-13,9.4247,9.501,9.3931,9.501,258008,0
1995-03-14,9.4651,9.536,9.4247,9.4247,908138,0
1995-03-15,9.4651,9.4651,9.3566,9.3931,344707,0
1995-03-16,9.3566,9.4247,9.3566,9.3566,231554,0
1995-03-17,9.3931,9.3931,9.2857,9.2857,634934,0
1995-03-20,9.2857,9.3566,9.2857,9.2857,227625,0
1995-03-21,9.2134,9.4247,9.2134,9.3566,575214,0
1995-03-22,9.3566,9.501,9.3566,9.4651,781364,0
1995-03-23,9.501,9.68,9.4651,9.643,702258,0
1995-03-24,9.68,9.895,9.68,9.86,633364,0
1995-03-27,9.787,10.074,9.787,10.074,895299,0
1995-03-28,10.04,10.04,9.967,10.003,369074,0
1995-03-29,9.967,10.111,9.967,10.074,665845,0
1995-03-30,10.074,10.147,10.003,10.147,915205,0
1995-03-31,10.147,10.253,10.074,10.253,229195,0
1995-04-03,10.183,10.235,10.074,10.074,400763,0
1995-04-04,10.111,10.147,9.967,10.147,451319,0
1995-04-05,10.147,10.147,9.93,10.003,407312,0
1995-04-06,10.074,10.111,9.895,9.895,380329,0
1995-04-07,9.895,9.895,9.752,9.86,550332,0
1995-04-10,9.895,9.895,9.716,9.716,304106,0
1995-04-11,9.752,9.86,9.643,9.86,777693,0
1995-04-12,9.93,9.93,9.752,9.86,924373,0
1995-04-13,9.895,9.895,9.643,9.752,403118,0
1995-04-17,9.824,9.86,9.787,9.86,266917,0
1995-04-18,9.895,9.967,9.824,9.967,284724,0
1995-04-19,10.003,10.074,9.93,10.074,379550,0
1995-04-20,10.04,10.433,10.04,10.433,1336141,0
1995-04-21,10.545,10.936,10.473,10.905,1993611,0
1995-04-24,10.864,10.905,10.756,10.905,1361556,0
1995-04-25,10.833,10.833,10.724,10.756,487208,0
1995-04-26,10.685,10.685,10.613,10.613,536707,0
1995-04-27,10.655,10.655,10.545,10.655,247792,0
1995-04-28,10.655,10.655,10.473,10.655,513396,0
1995-05-01,10.577,10.864,10.577,10.864,2228303,0
1995-05-02,10.905,11.011,10.864,10.977,771671,0
1995-05-03,10.936,10.977,10.833,10.905,631004,0
1995-05-04,10.864,11.011,10.864,10.864,827985,0
1995-05-05,10.864,10.864,10.797,10.833,543263,0
1995-05-08,10.797,11.048,10.797,10.977,209551,0
1995-05-09,10.977,11.011,10.905,10.936,610839,0
1995-05-10,11.011,11.011,10.724,10.864,196449,0
1995-05-11,10.797,10.864,10.756,10.833,332138,0
1995-05-12,10.833,10.833,10.756,10.797,335806,0
1995-05-15,10.685,10.797,10.685,10.797,303850,0
1995-05-16,10.724,10.797,10.655,10.756,345757,0
1995-05-17,10.797,10.833,10.685,10.797,259317,0
1995-05-18,10.797,10.797,10.545,10.545,197500,0
1995-05-19,10.473,10.545,10.473,10.473,595126,0
1995-05-22,10.577,10.655,10.545,10.613,410980,0
1995-05-23,10.655,10.685,10.577,10.577,338952,0
1995-05-24,10.577,10.756,10.577,10.756,344970,0
1995-05-25,10.694,10.729,10.55,10.586,539592,0
1995-05-26,10.586,10.623,10.442,10.55,423819,0
1995-05-30,10.55,10.623,10.515,10.515,189905,0
1995-05-31,10.515,10.764,10.515,10.729,410455,0
1995-06-01,10.694,10.694,10.55,10.623,365407,0
1995-06-02,10.623,10.729,10.55,10.586,471486,0
1995-06-05,10.659,10.659,10.442,10.442,1368360,0
1995-06-06,10.442,10.442,10.187,10.222,1077870,0
1995-06-07,10.222,10.222,10.115,10.151,980695,0
1995-06-08,10.115,10.222,10.115,10.151,620537,0
1995-06-09,10.115,10.187,10.04,10.187,1588390,0
1995-06-12,10.151,10.222,10.151,10.222,763805,0
1995-06-13,10.222,10.222,10.151,10.151,425385,0
1995-06-14,10.151,10.164,10.115,10.151,490342,0
1995-06-15,10.115,10.222,10.115,10.187,937742,0
1995-06-16,10.222,10.258,10.187,10.258,837943,0
1995-06-19,10.258,10.258,10.222,10.222,289703,0
1995-06-20,10.332,10.372,10.295,10.332,351001,0
1995-06-21,10.332,10.442,10.332,10.332,709068,0
1995-06-22,10.222,10.332,10.04,10.332,873827,0
1995-06-23,10.332,10.372,10.258,10.332,659294,0
1995-06-26,10.372,10.372,10.295,10.295,493228,0
1995-06-27,10.295,10.295,10.151,10.187,267963,0
1995-06-28,10.187,10.258,10.187,10.187,253300,0
1995-06-29,10.258,10.295,10.151,10.187,243341,0
1995-06-30,10.187,10.222,10.151,10.187,213483,0
1995-07-03,10.151,10.222,10.151,10.222,52126,0
1995-07-05,10.187,10.222,10.079,10.115,439523,0
1995-07-06,10.222,10.258,10.079,10.222,324546,0
1995-07-07,10.187,10.258,10.115,10.151,243341,0
1995-07-10,10.115,10.222,10.115,10.187,471486,0
1995-07-11,10.187,10.187,10.115,10.187,462320,0
1995-07-12,10.151,10.187,10.079,10.151,277391,0
1995-07-13,10.187,10.187,10.04,10.151,246744,0
1995-07-14,10.079,10.115,10.04,10.079,198286,0
1995-07-17,10.079,10.151,10.04,10.04,386877,0
1995-07-18,10.115,10.115,10.04,10.079,284199,0
1995-07-19,10.04,10.115,9.967,10.115,238886,0
1995-07-20,10.115,10.115,9.934,10.008,722681,0
1995-07-21,10.008,10.04,9.895,10.008,555832,0
1995-07-24,10.079,10.115,9.967,10.04,1373864,0
1995-07-25,9.967,10.04,9.967,9.967,159780,0
1995-07-26,10.04,10.04,9.86,9.967,242033,0
1995-07-27,10.008,10.008,9.934,10.008,179947,0
1995-07-28,10.008,10.008,9.787,9.895,198286,0
1995-07-31,10.008,10.008,9.824,9.967,933285,0
1995-08-01,9.967,10.04,9.752,9.787,237312,0
1995-08-02,9.787,9.934,9.787,9.86,453417,0
1995-08-03,9.824,9.86,9.752,9.787,538280,0
1995-08-04,9.824,9.824,9.716,9.716,491915,0
1995-08-07,9.752,9.895,9.752,9.86,932758,0
1995-08-08,9.895,9.895,9.752,9.787,296777,0
1995-08-09,9.752,9.787,9.716,9.787,160831,0
1995-08-10,9.86,9.86,9.716,9.752,201170,0
1995-08-11,9.752,9.934,9.716,9.787,690990,0
1995-08-14,9.787,9.824,9.752,9.787,632840,0
1995-08-15,9.787,9.895,9.68,9.86,741023,0
1995-08-16,9.895,9.895,9.752,9.787,406262,0
1995-08-17,9.787,9.824,9.716,9.752,210071,0
1995-08-18,9.787,9.934,9.787,9.934,273202,0
1995-08-21,9.934,9.934,9.824,9.824,150349,0
1995-08-22,9.869,9.869,9.721,9.721,404959,0
1995-08-23,9.684,9.721,9.577,9.684,439003,0
1995-08-24,9.647,9.647,9.536,9.612,160831,0
1995-08-25,9.577,9.577,9.3566,9.536,633629,0
1995-08-28,9.4651,9.577,9.4291,9.577,230768,0
1995-08-29,9.577,9.577,9.4651,9.577,705130,0
1995-08-30,9.536,9.577,9.501,9.536,526490,0
1995-08-31,9.536,9.612,9.4651,9.577,602717,0
1995-09-01,9.647,9.757,9.612,9.721,156634,0
1995-09-05,9.721,9.904,9.721,9.869,493749,0
1995-09-06,9.869,9.904,9.757,9.796,395786,0
1995-09-07,9.796,9.796,9.684,9.757,197238,0
1995-09-08,9.721,9.796,9.612,9.757,205100,0
1995-09-11,9.796,9.796,9.721,9.796,124157,0
1995-09-12,9.796,9.869,9.647,9.869,182833,0
1995-09-13,9.869,9.869,9.721,9.796,147998,0
1995-09-14,9.721,9.832,9.647,9.832,487208,0
1995-09-15,9.832,10.012,9.832,9.939,832693,0
1995-09-18,9.976,10.012,9.904,9.904,333180,0
1995-09-19,9.904,9.904,9.796,9.869,100578,0
1995-09-20,9.904,9.904,9.832,9.869,491136,0
1995-09-21,9.832,9.904,9.832,9.904,117871,0
1995-09-22,9.832,9.869,9.796,9.832,236532,0
1995-09-25,9.869,9.904,9.577,9.684,267963,0
1995-09-26,9.721,9.796,9.684,9.796,209028,0
1995-09-27,9.721,9.757,9.612,9.684,470965,0
1995-09-28,9.721,9.721,9.612,9.721,375880,0
1995-09-29,9.684,9.757,9.647,9.757,267963,0
1995-10-02,9.796,9.832,9.684,9.721,255655,0
1995-10-03,9.757,9.757,9.684,9.721,200906,0
1995-10-04,9.796,9.796,9.536,9.577,425902,0
1995-10-05,9.612,9.612,9.4651,9.501,479345,0
1995-10-06,9.4291,9.4651,9.2809,9.2809,441625,0
1995-10-09,9.0608,9.2449,8.9175,9.2449,805460,0
1995-10-10,9.2085,9.3566,9.0608,9.3566,388713,0
1995-10-11,9.3207,9.3566,9.2449,9.2809,395001,0
1995-10-12,9.2809,9.4291,9.2449,9.4291,708804,0
1995-10-13,9.4291,9.721,9.4291,9.684,765907,0
1995-10-16,9.647,9.684,9.612,9.647,411244,0
1995-10-17,9.612,9.721,9.612,9.684,298085,0
1995-10-18,9.647,9.721,9.612,9.612,397095,0
1995-10-19,9.684,9.721,9.577,9.612,546665,0
1995-10-20,9.612,9.721,9.536,9.721,385046,0
1995-10-23,9.647,9.721,9.647,9.684,244648,0
1995-10-24,9.721,9.757,9.647,9.647,264821,0
1995-10-25,9.684,9.721,9.501,9.536,228141,0
1995-10-26,9.536,9.536,9.3566,9.4651,308819,0
1995-10-27,9.3566,9.3931,9.173,9.3566,502657,0
1995-10-30,9.4291,9.4291,9.2809,9.2809,259845,0
1995-10-31,9.3566,9.3566,9.2449,9.2449,425651,0
1995-11-01,9.3207,9.3566,9.1017,9.1375,458656,0
1995-11-02,9.2085,9.3207,9.1017,9.1017,599051,0
1995-11-03,9.1375,9.1375,8.8815,9.0249,816987,0
1995-11-06,9.0249,9.0249,8.9534,9.0249,577833,0
1995-11-07,9.0249,9.2449,9.0249,9.2449,544833,0
1995-11-08,9.2809,9.3931,9.2809,9.3566,712471,0
1995-11-09,9.3931,9.3931,9.2449,9.2449,192001,0
1995-11-10,9.2085,9.2085,9.1017,9.1017,287345,0
1995-11-13,9.1017,9.3566,8.989,9.2809,225788,0
1995-11-14,9.3207,9.3931,9.2809,9.3931,263250,0
1995-11-15,9.3566,9.4291,9.3207,9.4291,181262,0
1995-11-16,9.3931,9.501,9.3207,9.3931,412814,0
1995-11-17,9.4291,9.684,9.3566,9.684,431141,0
1995-11-20,9.721,9.721,9.501,9.536,217667,0
1995-11-21,9.536,9.684,9.536,9.647,180217,0
1995-11-22,9.582,9.806,9.582,9.806,256957,0
1995-11-24,9.765,9.878,9.765,9.878,181000,0
1995-11-27,9.912,10.061,9.912,10.061,813843,0
1995-11-28,10.026,10.138,10.026,10.098,295990,0
1995-11-29,10.098,10.138,10.061,10.098,167379,0
1995-11-30,10.098,10.393,10.098,10.281,802311,0
1995-12-01,10.322,10.322,10.244,10.281,180217,0
1995-12-04,10.322,10.358,10.322,10.322,210598,0
1995-12-05,10.322,10.501,10.322,10.428,340258,0
1995-12-06,10.469,10.577,10.428,10.469,166072,0
1995-12-07,10.358,10.428,10.281,10.393,412026,0
1995-12-08,10.393,10.54,10.393,10.501,215046,0
1995-12-11,10.54,10.724,10.501,10.724,223956,0
1995-12-12,10.761,10.761,10.577,10.613,243078,0
1995-12-13,10.655,10.655,10.54,10.613,220547,0
1995-12-14,10.655,10.685,10.469,10.577,293101,0
1995-12-15,10.613,10.613,10.54,10.54,483540,0
1995-12-18,10.577,10.577,10.358,10.393,235742,0
1995-12-19,10.393,10.577,10.358,10.501,183096,0
1995-12-20,10.393,10.54,10.358,10.501,138044,0
1995-12-21,10.613,10.655,10.54,10.577,397360,0
1995-12-22,10.577,10.613,10.54,10.613,114989,0
1995-12-26,10.655,10.685,10.54,10.613,79891,0
1995-12-27,10.655,10.655,10.428,10.54,134107,0
1995-12-28,10.577,10.577,10.501,10.54,273727,0
1995-12-29,10.613,10.613,10.358,10.358,472275,0
1996-01-02,10.469,10.685,10.428,10.613,433766,0
1996-01-03,10.655,10.724,10.613,10.685,233648,0
1996-01-04,10.655,10.833,10.655,10.724,249101,0
1996-01-05,10.655,10.685,10.577,10.613,226570,0
1996-01-08,10.613,10.685,10.501,10.655,139354,0
1996-01-09,10.613,10.613,10.428,10.501,235478,0
1996-01-10,10.358,10.613,10.322,10.54,634934,0
1996-01-11,10.469,10.501,10.428,10.428,447905,0
1996-01-12,10.428,10.501,10.393,10.428,164495,0
1996-01-15,10.428,10.501,10.358,10.393,109487,0
1996-01-16,10.358,10.428,10.098,10.244,924112,0
1996-01-17,10.209,10.358,10.209,10.358,119446,0
1996-01-18,10.428,10.501,10.393,10.469,339998,0
1996-01-19,10.428,10.613,10.428,10.501,295461,0
1996-01-22,10.54,10.613,10.469,10.577,316944,0
1996-01-23,10.469,10.501,10.322,10.322,430097,0
1996-01-24,10.322,10.428,10.281,10.358,203259,0
1996-01-25,10.428,10.577,10.244,10.577,497685,0
1996-01-26,10.613,10.873,10.577,10.797,1474442,0
1996-01-29,10.873,10.945,10.685,10.724,434289,0
1996-01-30,10.797,10.833,10.655,10.724,222647,0
1996-01-31,10.655,10.833,10.655,10.833,173405,0
1996-02-01,10.833,10.909,10.761,10.909,363307,0
1996-02-02,10.873,11.015,10.833,10.909,356489,0
1996-02-05,10.909,11.165,10.909,11.129,430890,0
1996-02-06,11.129,11.129,10.986,11.057,596692,0
1996-02-07,11.093,11.242,11.057,11.206,913639,0
1996-02-08,11.206,11.206,11.093,11.206,461270,0
1996-02-09,11.165,11.421,11.165,11.348,469125,0
1996-02-12,11.316,11.348,11.206,11.348,383737,0
1996-02-13,11.348,11.533,11.348,11.421,320091,0
1996-02-14,11.421,11.421,11.348,11.39,187023,0
1996-02-15,11.421,11.421,11.316,11.39,254869,0
1996-02-16,11.348,11.421,11.316,11.348,380078,0
1996-02-20,11.316,11.39,11.316,11.348,958690,0
1996-02-21,11.399,11.47,11.286,11.434,233914,0
1996-02-22,11.434,11.731,11.434,11.653,1028628,0
1996-02-23,11.653,11.694,11.399,11.547,322969,0
1996-02-26,11.547,11.547,11.025,11.025,246480,0
1996-02-27,11.025,11.173,10.838,10.986,509467,0
1996-02-28,11.098,11.173,11.061,11.098,343923,0
1996-02-29,11.098,11.139,10.838,10.877,289703,0
1996-03-01,10.909,10.909,10.577,10.877,422761,0
1996-03-04,10.877,10.949,10.655,10.802,304893,0
1996-03-05,10.729,10.909,10.689,10.877,660347,0
1996-03-06,10.877,10.909,10.689,10.877,316682,0
1996-03-07,10.877,10.877,10.689,10.802,328209,0
1996-03-08,10.764,10.764,10.506,10.506,515754,0
1996-03-11,10.506,10.909,10.506,10.802,316165,0
1996-03-12,10.802,10.949,10.802,10.909,292322,0
1996-03-13,11.025,11.286,11.025,11.286,706439,0
1996-03-14,11.246,11.434,11.246,11.316,353874,0
1996-03-15,11.286,11.399,11.209,11.286,413338,0
1996-03-18,11.246,11.578,11.209,11.578,665585,0
1996-03-19,11.578,11.578,11.316,11.434,241246,0
1996-03-20,11.357,11.506,11.357,11.506,541686,0
1996-03-21,11.506,11.578,11.506,11.578,216096,0
1996-03-22,11.618,11.618,11.547,11.578,263765,0
1996-03-25,11.578,11.653,11.434,11.47,716661,0
1996-03-26,11.434,11.547,11.434,11.506,343923,0
1996-03-27,11.47,11.547,11.399,11.47,221601,0
1996-03-28,11.506,11.578,11.47,11.506,200906,0
1996-03-29,11.547,11.578,11.399,11.399,216878,0
1996-04-01,11.399,11.547,11.316,11.547,403905,0
1996-04-02,11.547,11.547,11.434,11.47,698061,0
1996-04-03,11.434,11.506,11.357,11.434,230240,0
1996-04-04,11.399,11.47,11.316,11.434,305680,0
1996-04-08,11.357,11.506,11.316,11.47,572334,0
1996-04-09,11.506,11.694,11.506,11.694,1213295,0
1996-04-10,11.731,11.879,11.694,11.842,1158023,0
1996-04-11,11.765,11.954,11.765,11.954,835580,0
1996-04-12,11.914,12.026,11.806,11.806,515754,0
1996-04-15,12.026,12.174,11.986,11.986,1501428,0
1996-04-16,12.062,12.138,11.879,11.914,2608377,0
1996-04-17,11.954,12.026,11.879,11.954,779266,0
1996-04-18,11.914,11.986,11.879,11.879,414126,0
1996-04-19,11.879,12.026,11.842,11.914,1044079,0
1996-04-22,11.986,12.026,11.806,12.026,1022604,0
1996-04-23,12.102,12.363,12.026,12.363,969167,0
1996-04-24,12.363,12.546,12.363,12.474,971269,0
1996-04-25,12.474,12.474,12.323,12.398,1083369,0
1996-04-26,12.398,12.398,12.285,12.363,424072,0
1996-04-29,12.323,12.323,12.245,12.323,465199,0
1996-04-30,12.285,12.285,12.174,12.215,633102,0
1996-05-01,12.215,12.245,12.138,12.138,348114,0
1996-05-02,12.062,12.215,12.026,12.138,559765,0
1996-05-03,12.174,12.245,12.138,12.174,828244,0
1996-05-06,12.215,12.245,12.138,12.174,391333,0
1996-05-07,12.174,12.174,11.806,11.879,1315454,0
1996-05-08,11.914,12.102,11.842,12.102,489042,0
1996-05-09,12.026,12.174,11.954,12.174,281056,0
1996-05-10,12.215,12.285,12.138,12.174,509207,0
1996-05-13,12.174,12.174,12.026,12.102,507371,0
1996-05-14,12.174,12.245,12.102,12.174,659294,0
1996-05-15,12.245,12.285,12.138,12.285,408098,0
1996-05-16,12.245,12.285,12.102,12.215,752542,0
1996-05-17,12.323,12.474,12.245,12.398,524662,0
1996-05-20,12.474,12.805,12.435,12.731,965504,0
1996-05-21,12.654,12.841,12.582,12.805,968120,0
1996-05-22,12.805,13.031,12.771,13.031,701209,0
1996-05-23,13.031,13.102,12.805,12.841,851296,0
1996-05-24,12.851,12.887,12.809,12.887,467824,0
1996-05-28,12.887,12.959,12.809,12.851,747568,0
1996-05-29,12.776,12.809,12.74,12.74,306205,0
1996-05-30,12.703,12.851,12.703,12.851,461527,0
1996-05-31,12.809,12.809,12.74,12.776,307255,0
1996-06-03,12.74,12.74,12.474,12.551,379550,0
1996-06-04,12.627,12.74,12.474,12.74,177330,0
1996-06-05,12.703,12.74,12.627,12.627,202741,0
1996-06-06,12.587,12.587,12.368,12.403,332138,0
1996-06-07,12.368,12.368,12.215,12.25,951618,0
1996-06-10,12.25,12.29,12.102,12.138,463890,0
1996-06-11,12.102,12.138,11.806,11.842,1446946,0
1996-06-12,11.882,11.954,11.806,11.882,666896,0
1996-06-13,11.914,11.954,11.806,11.806,291533,0
1996-06-14,11.842,11.882,11.731,11.882,273982,0
1996-06-17,11.806,11.914,11.765,11.842,184146,0
1996-06-18,11.842,11.882,11.765,11.765,302538,0
1996-06-19,11.731,11.806,11.731,11.806,187288,0
1996-06-20,11.806,11.842,11.694,11.842,300702,0
1996-06-21,11.842,11.882,11.806,11.842,358588,0
1996-06-24,11.765,11.99,11.694,11.954,431932,0
1996-06-25,11.99,11.99,11.914,11.954,293633,0
1996-06-26,11.954,12.03,11.896,11.954,207720,0
1996-06-27,11.882,11.914,11.806,11.882,143278,0
1996-06-28,11.954,11.954,11.842,11.842,360943,0
1996-07-01,11.99,12.067,11.914,12.03,297558,0
1996-07-02,12.067,12.067,11.914,12.03,587526,0
1996-07-03,11.99,12.03,11.914,11.954,484847,0
1996-07-05,11.842,11.842,11.731,11.765,83818,0
1996-07-08,11.731,11.882,11.731,11.765,122847,0
1996-07-09,11.731,11.882,11.653,11.882,397622,0
1996-07-10,11.882,11.882,11.578,11.653,392902,0
1996-07-11,11.694,11.694,11.282,11.47,805977,0
1996-07-12,11.429,11.47,11.316,11.394,702258,0
1996-07-15,11.429,11.429,11.057,11.093,592243,0
1996-07-16,11.134,11.134,10.46,10.797,1150168,0
1996-07-17,10.909,10.945,10.797,10.869,429581,0
