Date,Open,High,Low,Close,Volume,OpenInt
1999-11-30,19.295,19.822,19.25,19.25,244836,0
1999-12-01,19.25,19.25,17.768,17.955,915789,0
1999-12-02,18.534,18.626,18.151,18.479,381689,0
1999-12-03,19.008,19.008,18.579,18.866,476245,0
1999-12-06,18.579,18.866,18.534,18.866,357408,0
1999-12-07,18.579,18.579,18.007,18.096,469865,0
1999-12-08,18.194,18.241,17.525,17.525,630105,0
1999-12-09,17.722,17.768,17.292,17.338,460021,0
1999-12-10,16.952,17.382,16.952,17.382,626416,0
1999-12-13,17.096,17.292,16.764,16.998,378109,0
1999-12-14,16.908,16.908,16.336,16.523,587137,0
1999-12-15,15.952,16.621,15.765,16.14,1252379,0
1999-12-16,16.14,16.57,15.62,16.57,2565637,0
1999-12-17,16.57,16.855,16.427,16.764,762933,0
1999-12-20,16.621,16.711,16.193,16.478,715823,0
1999-12-21,16.427,16.478,15.523,15.523,474121,0
1999-12-22,15.569,16.049,15.468,15.852,350357,0
1999-12-23,15.952,16.14,15.952,16.094,361883,0
1999-12-27,16.193,16.238,15.62,15.62,277626,0
1999-12-28,15.569,16.282,15.569,16.238,263972,0
1999-12-29,16.14,16.855,16.14,16.809,179600,0
1999-12-30,16.711,17.338,16.711,16.809,344428,0
1999-12-31,16.998,17.194,16.809,17.148,111901,0
2000-01-03,17.051,17.194,16.908,16.952,449614,0
2000-01-04,17.148,18.007,17.051,17.479,640180,0
2000-01-05,17.479,18.151,17.382,18.051,506682,0
2000-01-06,17.955,18.096,17.863,17.955,566325,0
2000-01-07,17.908,18.151,17.809,17.955,221336,0
2000-01-10,17.908,18.151,17.722,17.809,373858,0
2000-01-11,17.579,17.623,17.436,17.436,440773,0
2000-01-12,17.525,17.525,17.292,17.436,437975,0
2000-01-13,17.579,17.666,17.338,17.436,417721,0
2000-01-14,17.24,17.955,17.24,17.908,583108,0
2000-01-18,17.623,17.908,17.194,17.863,386725,0
2000-01-19,17.768,17.809,17.382,17.382,264418,0
2000-01-20,17.382,17.579,17.194,17.194,430258,0
2000-01-21,17.479,17.479,16.855,16.855,400714,0
2000-01-24,17.382,17.382,16.381,16.427,232417,0
2000-01-25,16.336,16.523,16.193,16.523,420517,0
2000-01-26,16.427,16.523,16.282,16.523,211378,0
2000-01-27,16.336,16.621,16.282,16.381,285791,0
2000-01-28,16.282,16.478,16.14,16.14,193473,0
2000-01-31,16.094,16.238,15.852,15.952,338499,0
2000-02-01,15.908,15.908,15.425,15.852,425329,0
2000-02-02,15.765,15.809,14.896,14.896,665579,0
2000-02-03,14.949,14.949,14.138,14.424,729361,0
2000-02-04,14.567,14.567,14.138,14.236,442901,0
2000-02-07,14.183,14.324,13.754,14.183,353270,0
2000-02-08,14.522,14.665,13.61,13.896,507914,0
2000-02-09,13.896,14.324,13.754,13.996,691092,0
2000-02-10,13.896,13.941,13.61,13.654,290717,0
2000-02-11,13.369,13.654,12.708,13.226,422086,0
2000-02-14,13.037,13.421,12.995,13.226,371061,0
2000-02-15,13.28,13.566,13.182,13.467,353155,0
2000-02-16,13.369,13.513,13.226,13.369,237114,0
2000-02-17,13.654,13.654,13.182,13.421,289596,0
2000-02-18,13.226,13.325,12.895,13.28,371618,0
2000-02-22,13.182,13.896,12.995,13.513,332676,0
2000-02-23,13.566,13.754,12.94,13.61,489448,0
2000-02-24,13.619,13.619,12.457,12.995,610528,0
2000-02-25,12.798,13.235,12.7,12.895,331448,0
2000-02-28,12.895,13.43,12.852,13.235,270796,0
2000-02-29,13.138,13.191,12.895,13.093,461699,0
2000-03-01,12.895,13.334,12.556,13.191,351366,0
2000-03-02,13.191,13.672,13.093,13.619,341631,0
2000-03-03,13.718,14.399,13.718,14.102,534993,0
2000-03-06,14.057,14.057,13.718,13.915,803104,0
2000-03-07,13.86,13.915,13.619,13.672,505787,0
2000-03-08,13.575,13.575,12.94,13.093,474905,0
2000-03-09,13.093,13.093,12.7,12.852,493477,0
2000-03-10,12.798,13.672,12.798,13.672,225029,0
2000-03-13,13.86,14.004,13.138,13.191,582775,0
2000-03-14,13.138,13.477,13.093,13.43,349241,0
2000-03-15,13.334,14.004,13.28,13.86,609181,0
2000-03-16,14.057,14.485,13.959,14.44,649801,0
2000-03-17,14.155,14.399,13.816,14.004,561291,0
2000-03-20,14.202,14.639,14.155,14.399,332118,0
2000-03-21,14.004,14.202,14.004,14.202,529846,0
2000-03-22,14.202,14.202,13.816,13.915,336146,0
2000-03-23,14.102,14.584,14.004,14.399,366024,0
2000-03-24,14.202,14.399,14.102,14.297,457109,0
2000-03-27,14.297,14.682,13.959,13.959,361660,0
2000-03-28,14.057,14.639,13.915,14.004,272701,0
2000-03-29,13.915,14.44,13.915,14.155,194370,0
2000-03-30,14.297,15.603,14.245,15.066,336369,0
2000-03-31,14.88,15.889,14.88,15.506,509255,0
2000-04-03,15.506,15.703,15.362,15.647,411230,0
2000-04-04,15.944,15.987,15.12,15.407,282994,0
2000-04-05,15.703,15.746,15.407,15.703,329880,0
2000-04-06,15.79,15.843,15.407,15.551,405413,0
2000-04-07,15.603,15.603,15.362,15.407,188663,0
2000-04-10,15.647,15.647,15.407,15.459,275721,0
2000-04-11,15.459,15.703,15.264,15.459,281537,0
2000-04-12,15.551,16.327,15.506,16.184,379113,0
2000-04-13,16.711,16.711,16.23,16.469,274490,0
2000-04-14,16.57,16.57,15.024,15.264,264977,0
2000-04-17,15.308,15.746,14.88,15.703,291500,0
2000-04-18,15.603,16.032,15.603,15.889,596537,0
2000-04-19,15.889,16.469,15.889,16.131,358417,0
2000-04-20,16.032,16.612,16.032,16.086,227043,0
2000-04-24,15.944,16.131,15.433,15.459,207124,0
2000-04-25,16.032,16.131,15.889,16.032,256923,0
2000-04-26,16.427,17.819,16.184,17.819,831636,0
2000-04-27,17.872,18.302,17.731,18.115,785983,0
2000-04-28,18.115,18.935,18.115,18.694,589152,0
2000-05-01,18.74,19.32,18.74,19.223,273259,0
2000-05-02,19.419,19.659,19.125,19.268,620596,0
2000-05-03,19.365,19.606,19.176,19.517,215183,0
2000-05-04,19.464,19.706,19.268,19.659,341406,0
2000-05-05,19.706,19.847,19.32,19.563,458117,0
2000-05-08,19.32,19.563,19.125,19.464,197839,0
2000-05-09,19.419,19.464,19.081,19.081,261060,0
2000-05-10,19.176,19.268,18.884,19.081,355504,0
2000-05-11,19.027,20.187,18.98,19.805,377102,0
2000-05-12,19.901,20.331,19.659,19.659,302241,0
2000-05-15,19.758,20,19.706,19.706,215854,0
2000-05-16,19.706,19.758,19.027,19.563,389521,0
2000-05-17,18.785,19.027,18.257,18.935,1220938,0
2000-05-18,18.98,20,18.98,19.268,276169,0
2000-05-19,18.98,20.724,18.935,20.286,492472,0
2000-05-22,20.187,20.67,20.187,20.385,403623,0
2000-05-23,20.089,20.187,18.544,18.935,615560,0
2000-05-24,19.32,19.419,19.125,19.223,264418,0
2000-05-25,19.186,19.232,18.497,18.497,706422,0
2000-05-26,18.694,18.892,18.016,18.16,386166,0
2000-05-30,18.06,18.411,18.06,18.411,512051,0
2000-05-31,18.31,18.597,17.338,17.623,559834,0
2000-06-01,17.872,18.016,17.185,17.579,383705,0
2000-06-02,17.525,17.819,17.525,17.675,305037,0
2000-06-05,17.972,17.972,17.24,17.479,238904,0
2000-06-06,17.436,17.819,17.283,17.283,200186,0
2000-06-07,17.24,17.24,16.409,16.409,320258,0
2000-06-08,16.505,16.747,16.46,16.46,172215,0
2000-06-09,16.46,16.648,16.362,16.46,152522,0
2000-06-12,16.561,16.747,16.561,16.561,164717,0
2000-06-13,16.702,16.747,16.561,16.648,228051,0
2000-06-14,16.561,16.747,16.561,16.648,151514,0
2000-06-15,16.846,16.846,16.165,16.165,193587,0
2000-06-16,15.775,16.212,15.775,15.775,339502,0
2000-06-19,15.775,15.775,15.335,15.335,219995,0
2000-06-20,15.139,15.389,14.854,14.896,259270,0
2000-06-21,14.8,15.532,14.8,15.433,236667,0
2000-06-22,15.487,15.585,15.139,15.139,192466,0
2000-06-23,15.236,15.585,15.193,15.487,139877,0
2000-06-26,15.389,15.87,15.389,15.826,260951,0
2000-06-27,15.629,15.87,15.629,15.775,230514,0
2000-06-28,15.826,15.826,14.997,15.102,254572,0
2000-06-29,15.291,15.487,15.139,15.193,259048,0
2000-06-30,15.094,15.193,14.013,14.021,500414,0
2000-07-03,14.119,15.389,14.119,15.335,277064,0
2000-07-05,15.629,15.629,15.094,15.236,206456,0
2000-07-06,15.193,15.389,15.139,15.236,91535,0
2000-07-07,15.433,15.585,15.049,15.193,257259,0
2000-07-10,15.193,15.969,15.193,15.532,159793,0
2000-07-11,15.585,16.112,15.585,15.775,110113,0
2000-07-12,15.775,15.969,15.629,15.629,90527,0
2000-07-13,15.728,15.969,15.728,15.87,69490,0
2000-07-14,15.826,16.068,15.487,15.532,167850,0
2000-07-17,15.585,15.674,15.433,15.487,78998,0
2000-07-18,15.193,15.728,15.193,15.629,149386,0
2000-07-19,15.629,15.826,15.389,15.487,129581,0
2000-07-20,15.389,15.674,15.389,15.487,151514,0
2000-07-21,15.487,15.629,15.487,15.585,134279,0
2000-07-24,15.585,16.023,15.585,15.87,162926,0
2000-07-25,15.969,15.969,15.585,15.629,97466,0
2000-07-26,15.629,15.674,15.291,15.585,349910,0
2000-07-27,15.775,16.561,15.775,16.46,349688,0
2000-07-28,16.505,16.648,15.674,15.775,317348,0
2000-07-31,15.674,16.46,15.674,16.112,545845,0
2000-08-01,16.212,16.648,16.165,16.46,431709,0
2000-08-02,16.505,17.043,16.505,16.8,437639,0
2000-08-03,16.8,16.943,16.46,16.505,311418,0
2000-08-04,16.702,16.702,16.308,16.362,276504,0
2000-08-07,16.308,16.46,16.264,16.362,451626,0
2000-08-08,16.362,16.747,16.362,16.702,91759,0
2000-08-09,16.604,16.604,16.264,16.505,171543,0
2000-08-10,16.409,16.8,16.409,16.648,115705,0
2000-08-11,16.648,17.185,16.648,16.998,144686,0
2000-08-14,16.8,17.185,16.747,17.043,99255,0
2000-08-15,16.943,17.139,16.943,16.943,87620,0
2000-08-16,16.846,17.185,16.846,16.998,69044,0
2000-08-17,16.9,17.185,16.9,16.943,138083,0
2000-08-18,17.139,17.185,16.943,16.943,121301,0
2000-08-21,16.943,17.043,16.846,16.9,88737,0
2000-08-22,16.846,17.382,16.846,17.338,206569,0
2000-08-23,17.24,17.283,16.9,17.043,193142,0
2000-08-24,17.006,17.301,17.006,17.301,105298,0
2000-08-25,17.301,17.445,17.301,17.347,59643,0
2000-08-28,17.347,17.445,17.248,17.301,68928,0
2000-08-29,17.301,17.301,16.908,16.952,128574,0
2000-08-30,17.006,17.106,16.855,16.952,53040,0
2000-08-31,17.006,17.445,16.952,17.114,155094,0
2000-09-01,17.106,17.106,16.711,17.051,123313,0
2000-09-05,17.051,17.793,17.051,17.74,141778,0
2000-09-06,17.793,17.793,17.204,17.641,113914,0
2000-09-07,17.498,17.596,16.756,16.809,308619,0
2000-09-08,16.756,16.756,16.122,16.612,278405,0
2000-09-11,16.222,16.419,16.122,16.122,183180,0
2000-09-12,16.023,16.122,15.775,15.775,217084,0
2000-09-13,15.577,16.362,15.577,16.318,253899,0
2000-09-14,16.318,16.419,15.926,16.068,764498,0
2000-09-15,15.969,15.969,15.478,15.532,526713,0
2000-09-18,15.433,15.532,15.139,15.139,510040,0
2000-09-19,15.084,15.084,14.648,14.79,523018,0
2000-09-20,14.79,14.941,14.593,14.648,492248,0
2000-09-21,14.549,14.549,14.202,14.399,321489,0
2000-09-22,14.448,14.549,14.155,14.353,339840,0
2000-09-25,14.448,14.448,14.102,14.102,228499,0
2000-09-26,14.155,14.255,13.61,13.763,233981,0
2000-09-27,13.566,14.057,13.467,13.806,261175,0
2000-09-28,13.709,14.102,13.413,13.905,281203,0
2000-09-29,13.806,14.448,13.806,14.255,301568,0
2000-10-02,14.353,14.495,14.202,14.297,261619,0
2000-10-03,14.202,14.399,14.155,14.202,125553,0
2000-10-04,14.057,14.399,14.057,14.155,165162,0
2000-10-05,14.202,14.255,14.004,14.004,219098,0
2000-10-06,14.004,14.004,13.663,13.959,257706,0
2000-10-09,14.057,14.549,14.057,14.353,95340,0
2000-10-10,14.448,14.691,14.399,14.549,170537,0
2000-10-11,14.549,14.744,14.399,14.549,114250,0
2000-10-12,14.549,14.691,14.399,14.495,135622,0
2000-10-13,14.691,14.744,14.495,14.648,185866,0
2000-10-16,14.593,14.845,14.549,14.691,156325,0
2000-10-17,14.845,14.987,14.744,14.744,185082,0
2000-10-18,14.79,14.888,14.549,14.691,125440,0
2000-10-19,14.691,15.335,14.648,15.139,175459,0
2000-10-20,15.282,15.282,14.845,14.888,155541,0
2000-10-23,14.888,15.184,14.648,14.888,158116,0
2000-10-24,14.987,15.282,14.987,15.236,178033,0
2000-10-25,15.335,15.335,14.941,14.941,142000,0
2000-10-26,15.041,15.335,14.987,15.236,78663,0
2000-10-27,15.282,15.282,14.888,15.041,164492,0
2000-10-30,15.139,16.165,15.139,15.728,169640,0
2000-10-31,15.577,16.122,15.577,15.926,225367,0
2000-11-01,15.728,16.068,15.478,15.775,137079,0
2000-11-02,15.728,16.023,15.629,15.826,101714,0
2000-11-03,15.87,15.87,15.674,15.826,82246,0
2000-11-06,15.728,15.775,15.629,15.629,137415,0
2000-11-07,15.433,15.577,15.381,15.433,71727,0
2000-11-08,15.381,15.532,15.139,15.335,134056,0
2000-11-09,15.335,15.826,15.139,15.728,158672,0
2000-11-10,15.775,15.775,15.084,15.236,128013,0
2000-11-13,15.282,15.282,15.041,15.282,167626,0
2000-11-14,15.084,15.926,15.041,15.335,341854,0
2000-11-15,15.282,15.282,14.845,15.184,222348,0
2000-11-16,15.236,15.236,14.297,14.648,225253,0
2000-11-17,14.448,14.845,14.155,14.399,249759,0
2000-11-20,14.399,15.184,14.297,14.987,340064,0
2000-11-21,15.381,16.46,15.184,15.87,448605,0
2000-11-22,15.834,15.978,15.585,15.738,135622,0
2000-11-24,15.629,15.934,15.585,15.738,36367,0
2000-11-27,15.834,16.478,15.834,16.184,143341,0
2000-11-28,16.078,16.523,16.078,16.282,114137,0
2000-11-29,16.131,16.131,15.629,15.834,140212,0
2000-11-30,15.88,15.88,15.585,15.782,169305,0
2000-12-01,15.782,16.032,15.738,15.934,307613,0
2000-12-04,16.032,16.63,15.934,16.523,188102,0
2000-12-05,16.478,16.523,15.978,16.282,247522,0
2000-12-06,16.381,16.677,15.738,15.834,193364,0
2000-12-07,15.834,15.834,14.941,14.941,236442,0
2000-12-08,15.389,15.389,14.541,14.888,436744,0
2000-12-11,14.888,14.941,14.541,14.735,330886,0
2000-12-12,14.888,15.084,14.541,14.639,200302,0
2000-12-13,14.987,14.987,14.541,14.691,272474,0
2000-12-14,14.691,14.691,13.797,13.996,174339,0
2000-12-15,13.701,14.192,12.959,12.959,709668,0
2000-12-18,13.252,13.353,12.305,12.609,550099,0
2000-12-19,12.609,12.752,12.359,12.359,707766,0
2000-12-20,10.322,10.625,9.93,10.322,2067572,0
2000-12-21,10.52,11.313,10.418,11.018,446255,0
2000-12-22,11.072,12.261,11.018,11.662,656740,0
