Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.2357,0.26517,0.2357,0.2357,136610,0
1995-01-04,0.2357,0.24278,0.2357,0.2357,162914,0
1995-01-06,0.2357,0.2357,0.2357,0.2357,5941,0
1995-01-09,0.2357,0.2357,0.2357,0.2357,3395,0
1995-01-10,0.24985,0.24985,0.2357,0.2357,174792,0
1995-01-11,0.2357,0.26517,0.2357,0.26517,53457,0
1995-01-12,0.2357,0.2357,0.2357,0.2357,11879,0
1995-01-13,0.2357,0.26517,0.2357,0.26517,62789,0
1995-01-16,0.24985,0.26517,0.2357,0.26517,114549,0
1995-01-17,0.24777,0.27696,0.24777,0.27696,77872,0
1995-01-18,0.24749,0.24749,0.24749,0.24749,6853,0
1995-01-19,0.27931,0.29464,0.26517,0.29464,53457,0
1995-01-20,0.26517,0.27931,0.26517,0.26517,25455,0
1995-01-23,0.27696,0.29214,0.27696,0.27696,104399,0
1995-01-24,0.27834,0.32999,0.27834,0.32999,509222,0
1995-01-25,0.3216,0.33686,0.30642,0.30642,422390,0
1995-01-26,0.29242,0.30642,0.29242,0.30642,8549,0
1995-01-27,0.30878,0.32409,0.29464,0.29464,189217,0
1995-01-30,0.3216,0.3216,0.29242,0.30642,91490,0
1995-01-31,0.29464,0.29464,0.29464,0.29464,79760,0
1995-02-01,0.29242,0.3216,0.29242,0.30642,57288,0
1995-02-02,0.29464,0.29464,0.29464,0.29464,24607,0
1995-02-03,0.29214,0.29214,0.27696,0.27696,130927,0
1995-02-06,0.27696,0.27696,0.27696,0.27696,35083,0
1995-02-07,0.28514,0.29214,0.27696,0.27696,142052,0
1995-02-08,0.30642,0.30642,0.30642,0.30642,5129,0
1995-02-10,0.27696,0.27696,0.27696,0.27696,856,0
1995-02-13,0.30642,0.30642,0.27717,0.30642,76097,0
1995-02-15,0.27696,0.27696,0.27696,0.27696,35083,0
1995-02-17,0.27696,0.27696,0.27696,0.27696,12837,0
1995-02-21,0.27696,0.27696,0.27696,0.27696,49633,0
1995-02-22,0.27696,0.30614,0.27696,0.27696,18827,0
1995-02-23,0.27696,0.27696,0.27696,0.27696,70170,0
1995-02-24,0.30614,0.30614,0.27696,0.27696,47065,0
1995-03-01,0.27696,0.27696,0.27696,0.27696,856,0
1995-03-02,0.30614,0.30614,0.27696,0.27696,123225,0
1995-03-06,0.27931,0.29464,0.27931,0.29464,46669,0
1995-03-07,0.29464,0.29464,0.29464,0.29464,11879,0
1995-03-08,0.27696,0.27696,0.27696,0.27696,9413,0
