Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.5005,5.5607,5.5005,5.5263,2647930,0
1995-01-04,5.5435,5.5435,5.4659,5.5005,1347127,0
1995-01-05,5.4828,5.5005,5.3621,5.3793,2423717,0
1995-01-06,5.3621,5.4312,5.3621,5.3966,2336623,0
1995-01-09,5.3966,5.3966,5.3451,5.3451,2117974,0
1995-01-10,5.3621,5.3621,5.3276,5.3276,4044160,0
1995-01-11,5.3105,5.3105,5.0687,5.1463,9667068,0
1995-01-12,5.1723,5.2153,5.1118,5.1463,8609934,0
1995-01-13,5.1635,5.2325,5.1635,5.1808,4910435,0
1995-01-16,5.1723,5.2153,5.1723,5.2153,6047246,0
1995-01-17,5.198,5.2066,5.1463,5.1635,2786905,0
1995-01-18,5.1723,5.1723,5.103,5.1118,2684064,0
1995-01-19,5.0946,5.1635,5.0771,5.1463,2141135,0
1995-01-20,5.1635,5.1894,5.1463,5.1723,3693944,0
1995-01-23,5.1463,5.1723,5.1378,5.1723,1984557,0
1995-01-24,5.1808,5.2325,5.1808,5.2066,2630325,0
1995-01-25,5.2066,5.2153,5.1808,5.2066,2360713,0
1995-01-26,5.2066,5.2413,5.2066,5.2413,1436996,0
1995-01-27,5.2587,5.293,5.2413,5.2498,1462013,0
1995-01-30,5.2413,5.2413,5.1635,5.1635,1625075,0
1995-01-31,5.1635,5.2413,5.1118,5.2325,2486721,0
1995-02-01,5.2759,5.2759,5.034,5.0946,2633104,0
1995-02-02,5.129,5.2759,5.129,5.2413,4366580,0
1995-02-03,5.2498,5.2587,5.1808,5.198,3192710,0
1995-02-06,5.2153,5.3621,5.2066,5.3621,4003392,0
1995-02-07,5.3621,5.3621,5.3276,5.3621,1475910,0
1995-02-08,5.3276,5.3966,5.3276,5.3793,2309757,0
1995-02-09,5.3621,5.4312,5.3621,5.3966,1364730,0
1995-02-10,5.4312,5.4312,5.3451,5.3793,2231002,0
1995-02-13,5.3793,5.3966,5.3276,5.3451,972822,0
1995-02-14,5.3451,5.3621,5.3276,5.3621,1701047,0
1995-02-15,5.3621,5.3966,5.3276,5.3276,2349597,0
1995-02-16,5.3451,5.3451,5.3105,5.3451,2781343,0
1995-02-17,5.3621,5.3621,5.3276,5.3276,1305436,0
1995-02-21,5.3621,5.3793,5.3276,5.3451,986721,0
1995-02-22,5.3793,5.3966,5.3276,5.3276,4912285,0
1995-02-23,5.3451,5.3451,5.2498,5.2498,4059912,0
1995-02-24,5.2587,5.2759,5.2241,5.2413,4237798,0
1995-02-27,5.2413,5.2845,5.1808,5.2153,3444715,0
1995-02-28,5.1808,5.2153,5.1723,5.1894,3480848,0
1995-03-01,5.2153,5.2153,5.1723,5.2153,3595735,0
1995-03-02,5.2153,5.2498,5.1894,5.2498,3156574,0
1995-03-03,5.2845,5.4312,5.2587,5.3966,2557132,0
1995-03-06,5.3793,5.3793,5.293,5.3276,1634338,0
1995-03-07,5.3276,5.3276,5.2066,5.2241,2751695,0
1995-03-08,5.2241,5.2241,5.1378,5.1463,7259104,0
1995-03-09,5.0771,5.1118,4.9911,5.0857,15194549,0
1995-03-10,5.0598,5.0687,5.0081,5.0425,8302338,0
1995-03-13,5.0598,5.0857,5.0425,5.0687,3269608,0
1995-03-14,5.1118,5.1808,5.1118,5.1549,4567629,0
1995-03-15,5.1118,5.2153,5.1118,5.2153,2764669,0
1995-03-16,5.1894,5.2587,5.1894,5.2498,2502468,0
1995-03-17,5.2498,5.3105,5.2413,5.3105,3012967,0
1995-03-20,5.3276,5.3276,5.2498,5.2498,4158118,0
1995-03-21,5.2498,5.293,5.2413,5.2759,4586162,0
1995-03-22,5.2845,5.3276,5.2587,5.3105,2697036,0
1995-03-23,5.3105,5.3621,5.2587,5.293,2013276,0
1995-03-24,5.3105,5.3276,5.2587,5.293,2101296,0
1995-03-27,5.293,5.3451,5.293,5.3451,2147619,0
1995-03-28,5.3451,5.509,5.3451,5.4828,5154103,0
1995-03-29,5.509,5.5866,5.5005,5.5435,7714014,0
1995-03-30,5.5694,5.6731,5.5348,5.5778,8820249,0
1995-03-31,5.5348,5.6041,5.509,5.5866,3895920,0
1995-04-03,5.5866,5.6041,5.5175,5.5175,2083691,0
1995-04-04,5.5175,5.5866,5.5175,5.5866,1832613,0
1995-04-05,5.5866,5.5866,5.5435,5.5435,828290,0
1995-04-06,5.5348,5.552,5.5175,5.5175,1979000,0
1995-04-07,5.5694,5.5778,5.5348,5.5694,1622298,0
1995-04-10,5.5435,5.621,5.5435,5.5694,1667695,0
1995-04-11,5.5435,5.552,5.509,5.509,1029339,0
1995-04-12,5.509,5.5866,5.509,5.5778,1505556,0
1995-04-13,5.5694,5.621,5.5694,5.621,2498764,0
1995-04-17,5.621,5.7249,5.621,5.7161,2223588,0
1995-04-18,5.7075,5.7249,5.6902,5.7161,1428660,0
1995-04-19,5.7161,5.8545,5.7075,5.8286,2583075,0
1995-04-20,5.8286,5.9752,5.8023,5.9234,4346196,0
1995-04-21,5.9319,5.9667,5.8889,5.9234,5560832,0
1995-04-24,5.8975,6.0357,5.8889,6.0098,3688382,0
1995-04-25,6.0012,6.0012,5.9319,5.9579,2313465,0
1995-04-26,5.9408,5.9579,5.9234,5.9319,1076589,0
1995-04-27,5.9319,5.9319,5.8545,5.8717,1909511,0
1995-04-28,5.8889,5.8889,5.8286,5.837,1812227,0
1995-05-01,5.8286,5.8286,5.7679,5.8286,1094190,0
1995-05-02,5.8023,5.8889,5.7853,5.8889,2158736,0
1995-05-03,5.8975,5.9319,5.8545,5.9234,1143298,0
1995-05-04,5.9319,5.9408,5.8889,5.9408,1554660,0
1995-05-05,5.9579,5.9667,5.863,5.8717,1354538,0
1995-05-08,5.863,5.9667,5.863,5.9667,2088324,0
1995-05-09,5.9924,6.0012,5.9579,5.9667,1025633,0
1995-05-10,5.9667,5.9667,5.906,5.9579,2205062,0
1995-05-11,5.9408,6.0613,5.9408,6.0445,2754475,0
1995-05-12,6.027,6.0445,5.8545,5.8545,4800180,0
1995-05-15,5.863,5.9667,5.863,5.9579,1596355,0
1995-05-16,5.9752,5.9924,5.9234,5.9319,1119208,0
1995-05-17,5.9234,6.0098,5.9234,6.0098,2033661,0
1995-05-18,5.9752,6.027,5.9579,5.9579,2538600,0
1995-05-19,5.906,5.9752,5.8717,5.9234,2207844,0
1995-05-22,5.8975,6.0098,5.8975,6.0098,976527,0
1995-05-23,6.0098,6.0445,5.9924,6.027,2099441,0
1995-05-24,6.0788,6.1307,6.0613,6.096,2046632,0
1995-05-25,6.0788,6.1135,6.027,6.0788,847743,0
1995-05-26,6.096,6.1911,6.0788,6.1478,1899319,0
1995-05-30,6.1911,6.2255,6.1825,6.2255,3427114,0
1995-05-31,6.2255,6.3205,6.1997,6.2688,7279486,0
1995-06-01,6.286,6.3032,6.2688,6.286,3990421,0
