Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.457,12.457,12.194,12.283,138296,0
1995-01-04,12.283,12.283,12.151,12.283,131821,0
1995-01-05,12.283,12.283,11.975,11.975,287615,0
1995-01-06,12.057,12.107,11.975,11.975,339628,0
1995-01-09,12.057,12.107,11.665,11.707,314942,0
1995-01-10,11.842,12.018,11.799,11.975,371027,0
1995-01-11,11.932,12.151,11.881,12.107,205164,0
1995-01-12,12.151,12.194,12.107,12.194,51773,0
1995-01-13,12.232,12.368,12.215,12.368,643297,0
1995-01-16,12.368,12.675,12.368,12.631,302715,0
1995-01-17,12.586,12.675,12.499,12.675,353048,0
1995-01-18,12.675,12.901,12.675,12.901,555818,0
1995-01-19,12.901,12.901,12.675,12.728,340823,0
1995-01-20,12.675,12.675,12.499,12.586,267000,0
1995-01-23,12.457,12.544,12.409,12.544,181914,0
1995-01-24,12.544,12.586,12.409,12.499,755470,0
1995-01-25,12.499,12.766,12.368,12.766,623886,0
1995-01-26,12.766,12.766,12.631,12.675,411532,0
1995-01-27,12.728,12.901,12.631,12.631,405535,0
1995-01-30,12.544,12.544,12.409,12.457,496138,0
1995-01-31,12.326,12.409,12.283,12.409,551263,0
1995-02-01,12.457,12.808,12.457,12.675,530170,0
1995-02-02,12.675,12.728,12.675,12.728,939303,0
1995-02-03,12.675,13.025,12.675,12.984,198213,0
1995-02-06,12.984,13.466,12.984,13.378,238480,0
1995-02-07,13.252,13.378,13.252,13.292,364792,0
1995-02-08,13.333,13.427,13.333,13.333,387561,0
1995-02-09,13.427,13.466,13.403,13.466,441969,0
1995-02-10,13.427,13.643,13.378,13.643,316375,0
1995-02-13,13.643,13.818,13.427,13.427,240877,0
1995-02-14,13.333,13.561,13.292,13.378,450834,0
1995-02-15,13.466,13.466,13.378,13.466,248305,0
1995-02-16,13.466,13.466,13.333,13.378,156271,0
1995-02-17,13.378,13.378,13.333,13.333,160346,0
1995-02-21,13.333,13.333,13.202,13.292,177844,0
1995-02-22,13.292,13.333,13.252,13.292,141893,0
1995-02-23,13.342,13.475,13.261,13.301,228895,0
1995-02-24,13.301,13.301,13.21,13.261,126554,0
1995-02-27,13.261,13.261,13.117,13.167,109294,0
1995-02-28,13.167,13.301,13.117,13.301,330998,0
1995-03-01,13.301,13.301,13.076,13.076,230332,0
1995-03-02,13.034,13.034,12.901,12.942,143088,0
1995-03-03,12.901,12.942,12.808,12.942,302715,0
1995-03-06,12.942,13.076,12.86,13.076,167056,0
1995-03-07,13.076,13.21,12.942,12.993,247830,0
1995-03-08,12.993,13.167,12.993,13.167,568761,0
1995-03-09,13.167,13.386,13.167,13.301,233208,0
1995-03-10,13.342,13.787,13.342,13.518,219064,0
