Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.1972,7.234,7.1071,7.1702,4997010,0
1995-01-04,7.1972,7.234,7.1702,7.1972,4061282,0
1995-01-05,7.1972,7.2879,7.1972,7.234,5152778,0
1995-01-06,7.2613,7.2879,7.234,7.2613,3320627,0
1995-01-09,7.234,7.2613,7.1972,7.234,3068076,0
1995-01-10,7.2613,7.379,7.2613,7.2879,5220453,0
1995-01-11,7.2879,7.3518,7.2613,7.3518,3156166,0
1995-01-12,7.3243,7.3243,7.2613,7.2879,3259001,0
1995-01-13,7.2879,7.3518,7.2613,7.3518,5891156,0
1995-01-16,7.3518,7.4421,7.3518,7.4152,6081708,0
1995-01-17,7.4152,7.5056,7.379,7.4421,6418949,0
1995-01-18,7.5056,7.5056,7.4152,7.4787,3308154,0
1995-01-19,7.4421,7.4421,7.3518,7.4152,3991713,0
1995-01-20,7.4152,7.4152,7.3243,7.379,8619347,0
1995-01-23,7.3243,7.379,7.2879,7.3518,5905147,0
1995-01-24,7.3243,7.379,7.2879,7.3518,4150502,0
1995-01-25,7.3243,7.4421,7.2879,7.3518,19222062,0
1995-01-26,7.379,7.4152,7.2879,7.3243,7558469,0
1995-01-27,7.3518,7.4152,7.3243,7.4152,6398153,0
1995-01-30,7.379,7.533,7.379,7.533,4009859,0
1995-01-31,7.533,7.7233,7.5056,7.7233,9747138,0
1995-02-01,7.7233,7.8138,7.7233,7.7506,13762289,0
1995-02-02,7.7506,7.7777,7.7233,7.7777,3481311,0
1995-02-03,7.7777,8.0225,7.7777,7.9044,14051896,0
1995-02-06,7.9044,7.9682,7.8775,7.8775,6210631,0
1995-02-07,7.8775,7.9317,7.8412,7.9317,7826522,0
1995-02-08,7.9044,7.9317,7.8412,7.8775,6525191,0
1995-02-09,7.8775,7.9044,7.7777,7.8412,4594362,0
1995-02-10,7.8138,7.8412,7.7233,7.7777,8390232,0
1995-02-13,7.7777,7.8775,7.7506,7.8775,4781885,0
1995-02-14,8.1222,8.3031,8.1222,8.213,24506413,0
1995-02-15,8.2672,8.3031,8.1222,8.213,13420512,0
1995-02-16,8.1765,8.213,8.0225,8.0589,7518767,0
1995-02-17,8.0859,8.2672,8.0589,8.2672,12206137,0
1995-02-21,8.24,8.2672,8.0859,8.1491,5629154,0
1995-02-22,8.1491,8.213,8.1222,8.1222,4552016,0
1995-02-23,8.1491,8.3304,8.1491,8.213,9204981,0
1995-02-24,8.213,8.2672,8.1765,8.213,5293800,0
1995-02-27,8.24,8.4573,8.213,8.3304,10293460,0
1995-02-28,8.3031,8.3668,8.24,8.24,6201934,0
1995-03-01,8.1765,8.2672,8.1765,8.213,7316878,0
1995-03-02,8.1765,8.2672,8.1765,8.213,7489276,0
1995-03-03,8.213,8.213,8.1222,8.1765,3991713,0
1995-03-06,8.1491,8.1491,8.0225,8.1222,3952392,0
1995-03-07,8.0589,8.0859,7.8412,8.0225,4489258,0
1995-03-08,8.0589,8.0859,7.9044,8.0589,5009109,0
1995-03-09,7.9953,8.0225,7.8138,7.8412,4785288,0
1995-03-10,7.8775,8.0589,7.8775,7.9953,5657881,0
1995-03-13,8.0225,8.1491,7.9953,8.0859,7442776,0
1995-03-14,8.1765,8.1765,8.0859,8.1222,4761470,0
1995-03-15,8.0589,8.0859,7.9317,7.9682,6373582,0
1995-03-16,7.9682,8.1222,7.9682,8.0859,4599277,0
1995-03-17,8.0859,8.1222,7.9682,7.9682,8299493,0
1995-03-20,7.9953,8.1765,7.9317,8.1765,4130465,0
1995-03-21,8.1491,8.1765,7.9953,8.0225,4362982,0
1995-03-22,8.0225,8.1222,7.9953,8.1222,3102100,0
1995-03-23,8.0589,8.1491,8.0225,8.0589,3434051,0
1995-03-24,8.213,8.3304,8.1765,8.3304,4843134,0
1995-03-27,8.3304,8.7023,8.2672,8.6388,9621997,0
1995-03-28,8.7023,8.8201,8.5208,8.5208,13826942,0
1995-03-29,8.5482,8.5755,8.3304,8.4573,6861673,0
1995-03-30,8.5208,8.6117,8.4214,8.6117,7815177,0
1995-03-31,8.5755,8.6388,8.5208,8.5482,6132372,0
1995-04-03,8.6027,8.6297,8.5394,8.5394,5932366,0
1995-04-04,8.6027,8.7293,8.5755,8.7293,7250337,0
1995-04-05,8.6659,8.7293,8.6027,8.6659,4233300,0
1995-04-06,8.7293,8.8473,8.6659,8.7293,8157334,0
1995-04-07,8.7293,8.7839,8.6297,8.6933,4349749,0
1995-04-10,8.6297,8.7293,8.6297,8.6933,5409866,0
1995-04-11,8.7293,8.7293,8.6027,8.6659,2853327,0
1995-04-12,8.6659,8.6659,8.5755,8.6297,1947837,0
1995-04-13,8.6027,8.6933,8.4485,8.6297,3197379,0
1995-04-17,8.6933,8.6933,8.512,8.512,7342584,0
1995-04-18,8.512,8.5755,8.4485,8.4485,4601924,0
1995-04-19,8.512,8.6027,8.4757,8.6027,4816672,0
1995-04-20,8.6659,8.7568,8.6027,8.6933,7214796,0
1995-04-21,8.6933,8.6933,8.5394,8.6297,5486239,0
1995-04-24,8.5755,8.6297,8.5394,8.6297,3757684,0
1995-04-25,8.6297,8.6659,8.5755,8.5755,3668457,0
1995-04-26,8.6027,8.6297,8.512,8.6027,2118729,0
1995-04-27,8.6297,8.6297,8.5394,8.5755,2676390,0
1995-04-28,8.5755,8.6027,8.512,8.5755,3572049,0
1995-05-01,8.512,8.5755,8.4757,8.512,4831410,0
1995-05-02,8.4485,8.5394,8.4485,8.512,5885486,0
1995-05-03,8.512,8.6297,8.512,8.6297,2917602,0
1995-05-04,8.6659,8.6933,8.5755,8.5755,6687003,0
1995-05-05,8.6297,8.7293,8.5394,8.6659,5182645,0
1995-05-08,8.6933,8.7568,8.6027,8.6027,3539532,0
1995-05-09,8.6933,8.7839,8.6297,8.7568,4310427,0
1995-05-10,8.7839,8.7839,8.6027,8.6933,11689683,0
1995-05-11,8.6659,8.8201,8.6297,8.7839,6381141,0
1995-05-12,8.7568,8.7839,8.6659,8.6933,6875665,0
1995-05-15,8.7293,8.7839,8.6933,8.7293,5176598,0
1995-05-16,8.7568,8.8836,8.7568,8.8201,5211756,0
1995-05-17,8.8201,8.8473,8.6933,8.7568,6467342,0
1995-05-18,8.7568,8.7568,8.6659,8.6659,7376233,0
1995-05-19,8.6297,8.6659,8.512,8.5394,12618615,0
1995-05-22,8.5394,8.6659,8.5394,8.6297,4525554,0
1995-05-23,8.6297,8.7568,8.6027,8.7293,4942943,0
1995-05-24,8.7293,8.7839,8.6659,8.7568,6248816,0
