Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,19.127,19.38,18.965,19.228,1541199,0
1995-01-04,19.329,19.38,19.127,19.179,1456264,0
1995-01-05,19.127,19.329,19.068,19.228,2068853,0
1995-01-06,19.228,19.843,19.179,19.581,2472422,0
1995-01-09,19.533,19.743,19.48,19.581,1398136,0
1995-01-10,19.692,19.843,19.48,19.48,1679757,0
1995-01-11,19.533,19.692,19.38,19.431,1788180,0
1995-01-12,19.431,20.257,19.431,20.207,3009091,0
1995-01-13,20.156,20.46,19.996,20.308,3175876,0
1995-01-16,20.257,20.308,19.896,20.047,2964956,0
1995-01-17,20.096,20.46,19.996,20.409,3338875,0
1995-01-18,20.409,20.46,20.207,20.257,2122946,0
1995-01-19,19.946,20.156,19.793,19.843,1778452,0
1995-01-20,19.692,19.743,19.228,19.581,3293321,0
1995-01-23,19.228,19.581,19.228,19.48,1737646,0
1995-01-24,19.48,19.793,19.48,19.641,1748799,0
1995-01-25,19.533,19.581,19.127,19.179,2520822,0
1995-01-26,19.019,19.019,18.613,18.866,4008641,0
1995-01-27,18.814,18.918,18.562,18.814,2786306,0
1995-01-30,18.714,18.765,18.349,18.453,2773020,0
1995-01-31,18.403,18.453,18.252,18.303,3418828,0
1995-02-01,18.303,19.127,18.252,18.866,4276974,0
1995-02-02,19.127,19.329,19.019,19.019,3596295,0
1995-02-03,19.641,19.843,19.179,19.179,5863252,0
1995-02-06,19.533,19.692,19.38,19.38,3967357,0
1995-02-07,19.38,19.692,19.38,19.641,2772311,0
1995-02-08,19.641,19.793,19.581,19.692,2589388,0
1995-02-09,19.743,19.793,19.533,19.581,3443977,0
1995-02-10,19.533,19.581,19.179,19.228,3216688,0
1995-02-13,19.278,19.38,19.019,19.019,2054621,0
1995-02-14,19.068,19.127,18.814,18.866,3251328,0
1995-02-15,18.918,19.228,18.866,19.127,3833308,0
1995-02-16,19.179,19.228,18.918,19.019,1395528,0
1995-02-17,18.965,19.068,18.814,18.918,2614063,0
1995-02-21,18.918,19.127,18.918,19.127,1681654,0
1995-02-22,19.127,19.228,18.918,19.019,1664575,0
1995-02-23,19.019,19.329,18.965,19.329,2074071,0
1995-02-24,19.329,19.329,18.965,19.127,5764554,0
1995-02-27,19.127,19.278,18.965,19.019,2836846,0
1995-02-28,19.068,19.068,18.918,18.965,2962587,0
1995-03-01,19.019,19.068,18.866,18.965,3004346,0
1995-03-02,19.068,19.068,18.965,18.965,1518189,0
1995-03-03,19.068,19.068,18.918,19.019,1474059,0
1995-03-06,18.866,18.965,18.814,18.866,2747163,0
1995-03-07,18.866,18.965,18.714,18.714,2043230,0
1995-03-08,18.814,18.866,18.714,18.714,1480464,0
1995-03-09,18.814,19.019,18.714,18.965,1586991,0
1995-03-10,19.068,19.278,19.068,19.278,1774659,0
1995-03-13,19.278,19.38,19.179,19.228,1052457,0
