Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.1267,8.2681,8.1267,8.24,1607614,0
1995-01-04,8.2209,8.3342,8.2209,8.3153,1630102,0
1995-01-05,8.3342,8.4,8.3153,8.381,1318253,0
1995-01-06,8.3623,8.4284,8.3153,8.3623,1825696,0
1995-01-09,8.3342,8.381,8.3153,8.3623,1158298,0
1995-01-10,8.3342,8.5227,8.3342,8.4944,2823616,0
1995-01-11,8.5227,8.6545,8.2021,8.381,4634461,0
1995-01-12,8.381,8.4,8.2866,8.3623,2065838,0
1995-01-13,8.4284,8.6545,8.4,8.6262,3423981,0
1995-01-16,8.6262,8.8148,8.5321,8.7392,3921239,0
1995-01-17,8.4284,8.5227,8.3153,8.4,9116184,0
1995-01-18,8.4,8.4284,8.3153,8.4,3793957,0
1995-01-19,8.3623,8.381,8.2866,8.2866,2530859,0
1995-01-20,8.2866,8.2866,8.1549,8.2681,2014927,0
1995-01-23,8.1549,8.2209,8.0417,8.2021,4826238,0
1995-01-24,8.24,8.2866,8.2209,8.24,3514776,0
1995-01-25,8.24,8.5227,8.2021,8.4,2694209,0
1995-01-26,8.4471,8.5227,8.4,8.4944,2350113,0
1995-01-27,8.5321,8.6545,8.5227,8.5321,2439636,0
1995-01-30,8.5605,8.5888,8.3153,8.4663,1934314,0
1995-01-31,8.4284,8.5321,8.381,8.4,3366273,0
1995-02-01,8.4284,8.4471,8.2866,8.3153,3053578,0
1995-02-02,8.2866,8.4471,8.2866,8.381,3175348,0
1995-02-03,8.5605,8.8526,8.5227,8.8337,5765604,0
1995-02-06,8.7867,9.0791,8.7392,9.0412,4710409,0
1995-02-07,9.0601,9.1913,8.9187,8.9187,4542818,0
1995-02-08,8.9375,9.0126,8.8997,8.9656,1610160,0
1995-02-09,8.9187,8.9942,8.7867,8.8337,1394197,0
1995-02-10,8.8337,8.8711,8.7867,8.8148,2211374,0
1995-02-13,8.8337,8.9375,8.8337,8.8526,2042508,0
1995-02-14,8.8997,8.9656,8.8997,8.9375,2538072,0
1995-02-15,8.9942,9.0974,8.8526,9.0601,2817253,0
1995-02-16,9.0601,9.0974,9.0126,9.0601,1805755,0
1995-02-17,9.0791,9.0974,8.9656,9.0126,2812162,0
1995-02-21,9.0126,9.0791,8.9187,8.9375,1837154,0
1995-02-22,8.9187,9.1913,8.8997,9.1264,3134192,0
1995-02-23,9.2198,9.306,9.1454,9.257,4566152,0
1995-02-24,9.2378,9.2378,9.0791,9.1635,2465519,0
1995-02-27,9.1913,9.2198,9.0791,9.0974,1322070,0
1995-02-28,9.0974,9.1454,9.0032,9.0791,2856285,0
1995-03-01,9.0974,9.1454,8.9656,8.9942,3617875,0
1995-03-02,9.0316,9.1264,8.9942,9.0974,4395590,0
1995-03-03,9.0601,9.1264,9.0601,9.1264,2987814,0
1995-03-06,9.0791,9.0791,8.9942,9.0601,1967408,0
1995-03-07,9.0032,9.0316,8.8337,8.8997,3314514,0
1995-03-08,8.9187,8.9656,8.8997,8.9187,1731507,0
1995-03-09,8.9656,8.9656,8.8337,8.8997,2897439,0
1995-03-10,8.9375,9.0316,8.8337,9.0032,4104107,0
1995-03-13,9.0032,9.0316,8.8711,9.0032,2400603,0
1995-03-14,9.0601,9.1454,9.0316,9.1264,2511340,0
1995-03-15,9.0974,9.1635,9.0316,9.0974,2391693,0
1995-03-16,9.0601,9.2198,9.0032,9.1635,3130374,0
1995-03-17,9.1454,9.1454,9.0601,9.0791,2877078,0
1995-03-20,9.1264,9.1264,8.9375,8.9656,3963670,0
1995-03-21,8.9375,8.9656,8.8056,8.8056,2747248,0
1995-03-22,8.8997,8.8997,8.8056,8.8997,3069700,0
1995-03-23,8.8997,8.9656,8.8711,8.9375,3042542,0
1995-03-24,8.9375,8.9656,8.8711,8.8997,1800665,0
1995-03-27,8.9375,9.0601,8.9187,9.0601,2280106,0
1995-03-28,9.0601,9.1454,9.0601,9.1454,2042933,0
1995-03-29,9.1454,9.4187,9.1264,9.257,4586096,0
1995-03-30,9.306,9.3542,9.1913,9.2865,4866969,0
1995-03-31,9.2378,9.257,9.1635,9.2378,3652240,0
1995-04-03,9.2378,9.306,9.1913,9.2198,3830016,0
1995-04-04,9.1913,9.2378,9.1635,9.2198,3085824,0
1995-04-05,9.2378,9.3542,9.1913,9.3542,2571165,0
1995-04-06,9.4,9.579,9.4,9.54,5724447,0
1995-04-07,9.54,9.674,9.4855,9.607,3939485,0
1995-04-10,9.579,9.627,9.549,9.627,3809655,0
1995-04-11,9.607,9.645,9.549,9.607,4460930,0
1995-04-12,9.549,9.579,9.4666,9.4666,2530010,0
1995-04-13,9.512,9.549,9.382,9.4187,3418460,0
1995-04-17,9.4187,9.4187,9.2198,9.2865,4163085,0
1995-04-18,9.306,9.3247,9.1635,9.1635,2351389,0
1995-04-19,9.2198,9.2378,9.1635,9.1913,2331023,0
1995-04-20,9.1454,9.1635,9.0316,9.0601,4108350,0
1995-04-21,9.0974,9.1454,9.0601,9.0974,6229771,0
1995-04-24,9.0974,9.1913,9.0601,9.1264,3963670,0
1995-04-25,9.0974,9.306,9.0974,9.2378,4622584,0
1995-04-26,9.257,9.2865,9.1913,9.257,1243577,0
1995-04-27,9.2865,9.3347,9.2378,9.257,1982684,0
1995-04-28,9.2378,9.2378,9.0791,9.0974,1779449,0
1995-05-01,9.0974,9.0974,9.0316,9.0601,3508836,0
1995-05-02,9.0316,9.1454,9.0316,9.0974,2968296,0
1995-05-03,9.1264,9.1913,9.0974,9.1913,2694630,0
1995-05-04,9.2865,9.512,9.257,9.382,4252605,0
1995-05-05,9.512,9.607,9.4855,9.607,3243660,0
1995-05-08,9.512,9.787,9.512,9.767,3830867,0
1995-05-09,9.805,9.936,9.805,9.897,6394396,0
1995-05-10,9.965,9.965,9.834,9.897,2619534,0
1995-05-11,9.926,9.926,9.767,9.787,2441336,0
1995-05-12,9.737,9.851,9.71,9.834,2038686,0
1995-05-15,9.834,9.993,9.767,9.993,2903809,0
1995-05-16,9.993,10.125,9.965,10.078,3720131,0
1995-05-17,10.059,10.078,9.936,9.993,1605923,0
1995-05-18,9.993,10.031,9.71,9.936,1312735,0
1995-05-19,9.834,9.897,9.71,9.787,2308108,0
1995-05-22,9.767,9.926,9.737,9.926,1994988,0
1995-05-23,10.013,10.078,9.936,10.078,2643294,0
1995-05-24,10.24,10.333,10.191,10.24,3066307,0
1995-05-25,10.24,10.258,10.125,10.24,2423518,0
1995-05-26,10.22,10.258,10.05,10.153,1866005,0
1995-05-30,10.098,10.171,10.013,10.171,1916493,0
1995-05-31,10.171,10.4,10.05,10.4,1693321,0
1995-06-01,10.352,10.418,10.258,10.418,2143060,0
1995-06-02,10.352,10.577,10.313,10.474,4453716,0
1995-06-05,10.512,10.606,10.447,10.492,3681096,0
1995-06-06,10.474,10.474,10.352,10.4,2871135,0
1995-06-07,10.313,10.333,10.22,10.258,3135039,0
1995-06-08,10.258,10.258,10.031,10.05,2395512,0
1995-06-09,10.013,10.031,9.851,9.87,4092232,0
1995-06-12,9.824,9.993,9.824,9.936,1979290,0
1995-06-13,10.013,10.191,10.013,10.191,2716694,0
1995-06-14,10.153,10.171,10.098,10.125,1846911,0
1995-06-15,10.125,10.125,10.013,10.031,3193590,0
1995-06-16,10.078,10.098,10.031,10.098,3673033,0
1995-06-19,10.098,10.284,10.098,10.258,1899097,0
1995-06-20,10.258,10.333,10.191,10.284,2825311,0
1995-06-21,10.333,10.418,10.313,10.381,2888530,0
1995-06-22,10.447,10.558,10.4,10.541,2965752,0
1995-06-23,10.474,10.541,10.284,10.333,4866969,0
1995-06-26,10.333,10.333,10.22,10.258,2149851,0
1995-06-27,10.22,10.313,10.031,10.05,2221557,0
1995-06-28,10.05,10.125,9.936,10.078,3715032,0
1995-06-29,10.05,10.05,9.87,9.917,2502855,0
1995-06-30,9.917,9.965,9.851,9.851,4649314,0
1995-07-03,9.87,9.936,9.87,9.917,1263519,0
1995-07-05,9.965,10.013,9.887,10.013,2642446,0
1995-07-06,10.125,10.171,9.936,10.171,2619955,0
1995-07-07,10.24,10.352,10.22,10.24,3432887,0
1995-07-10,10.22,10.352,10.078,10.098,2656867,0
1995-07-11,10.078,10.24,10.05,10.191,1951711,0
1995-07-12,10.171,10.352,10.125,10.284,1913525,0
1995-07-13,10.284,10.381,10.24,10.352,1270735,0
1995-07-14,10.313,10.352,10.171,10.24,1301705,0
1995-07-17,10.258,10.352,10.125,10.191,4725260,0
1995-07-18,10.258,10.4,10.191,10.381,5575526,0
1995-07-19,10.284,10.352,10.05,10.258,3860568,0
1995-07-20,10.258,10.381,10.191,10.381,2790095,0
1995-07-21,10.381,10.381,10.171,10.191,1972923,0
1995-07-24,10.22,10.22,10.078,10.125,2454488,0
1995-07-25,10.171,10.333,10.098,10.313,1746353,0
1995-07-26,10.333,10.512,10.313,10.447,2884710,0
1995-07-27,10.492,10.558,10.333,10.381,1631373,0
1995-07-28,10.381,10.4,10.284,10.313,1525306,0
1995-07-31,10.258,10.381,10.24,10.313,1386987,0
1995-08-01,10.284,10.333,10.171,10.313,1890610,0
1995-08-02,10.313,10.447,10.313,10.447,3516897,0
1995-08-03,10.418,10.474,10.333,10.447,2661114,0
1995-08-04,10.474,10.558,10.418,10.541,2280954,0
1995-08-07,10.558,10.766,10.541,10.738,2842282,0
1995-08-08,10.766,10.994,10.766,10.926,5568738,0
1995-08-09,10.926,10.955,10.861,10.955,3013271,0
1995-08-10,10.898,10.974,10.833,10.955,2164276,0
1995-08-11,10.955,10.955,10.606,10.673,2267377,0
