Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.2648,6.2648,6.1807,6.2648,3551242,0
1995-01-04,6.2912,6.3493,6.2089,6.3493,1687597,0
1995-01-05,6.3493,6.3756,6.2912,6.3493,1851196,0
1995-01-06,6.2912,6.4312,6.2648,6.4041,2963806,0
1995-01-09,6.3756,6.4312,6.2648,6.2912,3125698,0
1995-01-10,6.3204,6.3204,6.2363,6.2363,3164350,0
1995-01-11,6.2363,6.2363,6.152,6.2089,1650666,0
1995-01-12,6.152,6.1807,6.0964,6.0964,3354146,0
1995-01-13,6.1254,6.1254,6.0169,6.0964,3073308,0
1995-01-16,6.0678,6.152,6.046,6.1254,2912284,0
1995-01-17,6.1254,6.2363,6.1254,6.2363,1754155,0
1995-01-18,6.2089,6.2363,6.1254,6.152,2559307,0
1995-01-19,6.1254,6.152,6.0964,6.152,2157802,0
1995-01-20,6.1254,6.1254,6.046,6.0678,3034666,0
1995-01-23,6.0169,6.0964,6.0169,6.046,2312391,0
1995-01-24,6.0678,6.0678,5.9617,6.046,3112817,0
1995-01-25,6.046,6.152,6.046,6.152,2687270,0
1995-01-26,6.152,6.2089,6.1254,6.152,2096822,0
1995-01-27,6.2089,6.3756,6.2089,6.3204,6267291,0
1995-01-30,6.3493,6.4312,6.3204,6.4312,3056136,0
1995-01-31,6.4312,6.5715,6.3756,6.5715,5752850,0
1995-02-01,6.6549,6.6549,6.488,6.5154,7835501,0
1995-02-02,6.488,6.5442,6.4041,6.5154,2365637,0
1995-02-03,6.5154,6.5442,6.4603,6.5442,2840998,0
1995-02-06,6.5154,6.5154,6.4603,6.5154,3184959,0
1995-02-07,6.488,6.5442,6.488,6.488,2076644,0
1995-02-08,6.488,6.488,6.4041,6.4312,3210726,0
1995-02-09,6.4312,6.4603,6.2912,6.4312,4886723,0
1995-02-10,6.4312,6.488,6.4041,6.4603,3551678,0
1995-02-13,6.5154,6.7119,6.488,6.6833,6091658,0
1995-02-14,6.6833,6.7395,6.6278,6.6549,4277391,0
1995-02-15,6.5997,6.8518,6.5997,6.7677,8257614,0
1995-02-16,6.8518,6.9362,6.8232,6.8783,8514835,0
1995-02-17,6.9069,6.9625,6.8518,6.9069,6836260,0
1995-02-21,6.9069,6.9362,6.8783,6.9362,4329773,0
1995-02-22,6.9069,6.9912,6.9069,6.9625,4761333,0
1995-02-23,6.9625,7.0468,6.9069,7.0182,4342656,0
1995-02-24,6.9625,7.0182,6.9625,7.0182,2370789,0
1995-02-27,6.9069,6.9362,6.8783,6.9069,3475675,0
1995-02-28,6.8783,6.9362,6.8783,6.9362,2962089,0
1995-03-01,6.8783,6.9362,6.8232,6.8518,1666125,0
1995-03-02,6.8518,6.9362,6.8518,6.9362,6047426,0
1995-03-03,6.8783,6.9625,6.8783,6.9625,2275459,0
1995-03-06,6.9069,6.9362,6.8783,6.9069,1911750,0
1995-03-07,6.9069,6.9362,6.8518,6.8783,6419301,0
1995-03-08,6.8783,6.9625,6.8783,6.9362,2867192,0
1995-03-09,6.9069,6.9362,6.8783,6.9069,3325371,0
1995-03-10,6.9069,7.0468,6.9069,7.0468,2402561,0
1995-03-13,7.0753,7.326,7.0753,7.326,4755320,0
1995-03-14,7.326,7.3816,7.2989,7.326,3667620,0
1995-03-15,7.3546,7.4101,7.326,7.3816,4123649,0
1995-03-16,7.4101,7.4388,7.326,7.3546,5421760,0
1995-03-17,7.3816,7.5179,7.3816,7.4388,4217265,0
1995-03-20,7.4101,7.5179,7.4101,7.5179,2462256,0
1995-03-21,7.5179,7.657,7.5179,7.5734,3583018,0
1995-03-22,7.5734,7.5734,7.3546,7.4606,3045399,0
1995-03-23,7.4606,7.4606,7.3546,7.4388,2086945,0
1995-03-24,7.4892,7.6007,7.4606,7.5454,2903690,0
1995-03-27,7.5454,7.7683,7.5454,7.7129,3883611,0
1995-03-28,7.7129,7.7413,7.4892,7.5734,11046225,0
1995-03-29,7.5454,7.629,7.326,7.3546,4617908,0
1995-03-30,7.3816,7.3816,7.326,7.3546,3296177,0
1995-03-31,7.2989,7.2989,7.1313,7.2989,4340080,0
1995-04-03,7.2705,7.3546,7.2705,7.3546,1633059,0
1995-04-04,7.3546,7.4101,7.326,7.4101,1442397,0
1995-04-05,7.4101,7.4606,7.3816,7.4388,1597420,0
1995-04-06,7.4101,7.4388,7.3546,7.4388,1728386,0
1995-04-07,7.4388,7.4892,7.4101,7.4606,2352756,0
1995-04-10,7.4388,7.629,7.4388,7.5734,4529019,0
1995-04-11,7.6007,7.6007,7.4606,7.4606,3428434,0
1995-04-12,7.4606,7.5179,7.4388,7.4606,1025010,0
1995-04-13,7.4892,7.6007,7.4606,7.6007,1817707,0
1995-04-17,7.657,7.7683,7.629,7.7413,2902402,0
1995-04-18,7.7413,7.7413,7.657,7.657,2550284,0
1995-04-19,7.6846,7.7413,7.326,7.3546,3586886,0
1995-04-20,7.3546,7.5179,7.2705,7.4606,3280721,0
1995-04-21,7.4892,7.5454,7.4101,7.5454,2644325,0
1995-04-24,7.5454,7.5734,7.4606,7.5734,1359097,0
1995-04-25,7.5734,7.6007,7.4892,7.4892,1322593,0
1995-04-26,7.4892,7.5179,7.4101,7.4101,3139867,0
1995-04-27,7.4101,7.4388,7.2418,7.326,3840243,0
1995-04-28,7.4101,7.7683,7.3816,7.7413,3594624,0
1995-05-01,7.6846,7.7129,7.6007,7.629,2579057,0
1995-05-02,7.6007,7.657,7.5734,7.657,1988185,0
1995-05-03,7.657,7.7129,7.629,7.629,2010514,0
1995-05-04,7.6846,7.7968,7.629,7.657,6222196,0
1995-05-05,7.7129,7.7968,7.6846,7.7413,3060430,0
1995-05-08,7.7413,7.8812,7.7129,7.8812,2302084,0
1995-05-09,7.852,7.9368,7.852,7.852,3378196,0
1995-05-10,7.852,7.8812,7.7129,7.7683,4803418,0
1995-05-11,7.7968,7.852,7.7683,7.825,6519354,0
1995-05-12,7.825,7.825,7.4892,7.5734,6767125,0
1995-05-15,7.5454,7.6007,7.4101,7.4606,2373800,0
1995-05-16,7.4606,7.629,7.4606,7.5734,1890702,0
1995-05-17,7.5734,7.5734,7.5179,7.5734,1926349,0
