Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.6432,3.6725,3.457,3.467,1833045,0
1995-01-04,3.3984,3.4278,3.369,3.369,26401083,0
1995-01-05,3.3984,3.4278,3.2416,3.32,3201294,0
1995-01-06,3.3103,3.457,3.271,3.3984,2645826,0
1995-01-09,3.4278,3.4473,3.369,3.3984,599579,0
1995-01-10,3.4278,3.457,3.4278,3.4376,2700557,0
1995-01-11,3.457,3.457,3.3591,3.369,524428,0
1995-01-12,3.4278,3.4278,3.3395,3.3395,1592887,0
1995-01-13,3.369,3.3984,3.271,3.271,2422822,0
1995-01-16,3.2809,3.3395,3.271,3.32,1970279,0
1995-01-17,3.3395,3.4278,3.3103,3.3984,7619718,0
1995-01-18,3.4278,3.4278,3.3395,3.369,809513,0
1995-01-19,3.3395,3.3984,3.3395,3.369,892016,0
1995-01-20,3.369,3.3788,3.3103,3.32,1904113,0
1995-01-23,3.271,3.3103,3.1535,3.2319,3727357,0
1995-01-24,3.2124,3.3395,3.2124,3.3298,1856736,0
1995-01-25,3.2906,3.369,3.271,3.32,780923,0
1995-01-26,3.3395,3.457,3.3395,3.3395,3421849,0
1995-01-27,3.3395,3.369,3.2124,3.2319,1547143,0
1995-01-30,3.271,3.271,3.1828,3.1828,1507116,0
1995-01-31,3.2124,3.271,3.1634,3.271,1883690,0
1995-02-01,3.271,3.3103,3.2124,3.271,1098685,0
1995-02-02,3.2416,3.3103,3.2025,3.271,5147884,0
1995-02-03,3.3103,3.5159,3.3103,3.5061,5016369,0
1995-02-06,3.4864,3.6725,3.4864,3.6138,3510071,0
1995-02-07,3.6138,3.6432,3.5453,3.5845,1225298,0
1995-02-08,3.5453,3.5845,3.457,3.4768,1073360,0
1995-02-09,3.457,3.4864,3.3984,3.4278,1003112,0
1995-02-10,3.4278,3.4864,3.3984,3.457,1649251,0
1995-02-13,3.3984,3.457,3.3984,3.3984,952465,0
1995-02-14,3.457,3.4864,3.3984,3.4278,1284111,0
1995-02-15,3.4278,3.4864,3.3984,3.4278,1261240,0
1995-02-16,3.3984,3.4278,3.369,3.4278,1097866,0
1995-02-17,3.369,3.4278,3.369,3.3788,717208,0
1995-02-21,3.369,3.3984,3.3395,3.3395,263849,0
1995-02-22,3.3103,3.3395,3.2124,3.2416,1288197,0
1995-02-23,3.2416,3.3395,3.2124,3.3395,3126144,0
1995-02-24,3.3395,3.3395,3.2124,3.2416,1672122,0
1995-02-27,3.2124,3.2416,3.1241,3.1436,4334287,0
1995-02-28,3.1535,3.1828,2.9381,2.9675,6332339,0
1995-03-01,2.9969,3.0262,2.9381,2.9675,5134814,0
1995-03-02,2.9969,3.0262,2.9086,2.987,6226146,0
1995-03-03,2.9675,2.9969,2.9381,2.9969,6925384,0
1995-03-06,2.9969,3.0556,2.9675,3.0262,2966037,0
1995-03-07,3.0262,3.0262,2.9381,2.987,3453705,0
1995-03-08,2.9969,3.0556,2.9675,3.0457,4045116,0
1995-03-09,2.9969,3.0262,2.9381,2.9675,3248674,0
1995-03-10,2.9675,2.9969,2.9086,2.9086,2194916,0
1995-03-13,2.9086,3.0262,2.9086,3.0262,2698105,0
1995-03-14,3.0262,3.0262,2.605,2.8597,13515036,0
1995-03-15,2.8793,2.8793,2.6735,2.7814,11889473,0
1995-03-16,2.7814,2.9969,2.752,2.9576,9918378,0
1995-03-17,2.9675,2.9969,2.8499,2.8793,5067014,0
1995-03-20,2.8793,3.0262,2.8793,2.9576,3224167,0
1995-03-21,2.9969,2.9969,2.8206,2.8793,3189859,0
1995-03-22,2.8206,2.9086,2.8206,2.9086,3868673,0
1995-03-23,2.9086,2.9969,2.8793,2.9086,1928619,0
1995-03-24,2.9086,3.0262,2.9086,2.9576,4027146,0
1995-03-27,2.9381,2.9381,2.7814,2.8106,2377895,0
1995-03-28,2.8499,2.987,2.7814,2.8499,13856484,0
1995-03-29,2.8597,2.9184,2.8499,2.899,7984858,0
1995-03-30,2.9086,2.987,2.8793,2.987,3938923,0
1995-03-31,2.9675,3.1044,2.9086,3.0262,4444564,0
1995-04-03,3.0262,3.0556,2.9969,3.0262,1679476,0
1995-04-04,3.0556,3.0556,2.9381,2.987,3598291,0
1995-04-05,2.9576,2.9969,2.889,2.9184,2865564,0
1995-04-06,2.889,2.9086,2.8597,2.889,3928304,0
1995-04-07,2.889,2.9086,2.8206,2.8499,4063904,0
1995-04-10,2.8499,2.8499,2.7714,2.801,7115713,0
1995-04-11,2.8499,2.8499,2.7421,2.7421,5054761,0
1995-04-12,2.7227,2.7714,2.7128,2.7227,3608095,0
1995-04-13,2.7421,2.7421,2.4777,2.5365,11209840,0
1995-04-17,2.5561,2.605,2.3993,2.419,10330895,0
1995-04-18,2.4288,2.4288,2.2034,2.2721,17419651,0
1995-04-19,2.2622,2.3406,2.2232,2.2622,9282856,0
1995-04-20,2.2622,2.2918,2.2329,2.2622,9419272,0
1995-04-21,2.2819,2.3993,2.2622,2.37,10512238,0
1995-04-24,2.3308,2.3308,2.2622,2.2819,6489178,0
1995-04-25,2.2622,2.2918,2.2622,2.2819,3353231,0
1995-04-26,2.2819,2.2918,2.2034,2.2329,4186435,0
1995-04-27,2.2526,2.6148,2.2329,2.5365,23609038,0
1995-04-28,2.5561,2.605,2.5071,2.5561,4853812,0
1995-05-01,2.5561,2.605,2.5268,2.566,5307174,0
1995-05-02,2.5561,2.5953,2.5365,2.566,3050174,0
1995-05-03,2.5855,2.605,2.4975,2.5268,2065034,0
1995-05-04,2.4777,2.6735,2.4777,2.4975,5396211,0
1995-05-05,2.4777,2.5268,2.4385,2.5071,3435736,0
1995-05-08,2.4777,2.5561,2.3896,2.5365,4924063,0
1995-05-09,2.5268,2.5855,2.5268,2.5365,1752175,0
1995-05-10,2.566,2.6932,2.5268,2.654,4672468,0
1995-05-11,2.6735,2.7421,2.664,2.7128,4529517,0
1995-05-12,2.7227,3.0262,2.7227,2.9969,12296270,0
1995-05-15,2.9969,3.0164,2.9086,2.9184,4505829,0
1995-05-16,2.9381,2.9576,2.6932,2.7324,4611204,0
1995-05-17,2.752,2.8304,2.6932,2.801,10142200,0
1995-05-18,2.8206,2.889,2.7814,2.8304,5517923,0
1995-05-19,2.8206,2.8304,2.752,2.8206,1086431,0
1995-05-22,2.8206,2.9184,2.801,2.889,4360427,0
1995-05-23,2.9086,2.9576,2.8793,2.9086,1547143,0
1995-05-24,2.9086,2.9381,2.7421,2.7618,2227592,0
1995-05-25,2.7714,2.7814,2.7421,2.7814,4381665,0
1995-05-26,2.7618,2.7814,2.7421,2.7714,1614944,0
1995-05-30,2.7714,2.7814,2.752,2.7618,2907223,0
1995-05-31,2.7714,2.9184,2.7421,2.8499,7279902,0
1995-06-01,2.7421,2.752,2.7128,2.7128,3217632,0
1995-06-02,2.7128,2.7227,2.6735,2.6835,2160609,0
1995-06-05,2.6735,2.6932,2.6345,2.6345,4916711,0
1995-06-06,2.6148,2.6345,2.5268,2.5855,6418926,0
1995-06-07,2.566,2.7421,2.566,2.664,8420246,0
1995-06-08,2.664,2.6932,2.6345,2.6442,4427409,0
1995-06-09,2.664,2.6735,2.6442,2.664,2533916,0
1995-06-12,2.664,2.6735,2.6442,2.6442,3140847,0
1995-06-13,2.664,2.801,2.6442,2.6932,5997424,0
1995-06-14,2.6735,2.7421,2.664,2.7324,5779321,0
1995-06-15,2.7227,2.889,2.7227,2.8597,6557795,0
1995-06-16,2.8499,2.9184,2.8499,2.9184,2816552,0
1995-06-19,2.9086,3.0164,2.9086,2.987,3826196,0
1995-06-20,2.9969,3.0262,2.9381,2.9381,3918503,0
1995-06-21,2.9576,2.9675,2.889,2.889,3372020,0
