Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.3449,6.3449,6.2621,6.3449,59164,0
1995-01-04,6.3036,6.3449,6.3036,6.3449,44010,0
1995-01-05,6.3449,6.3867,6.3449,6.3449,157527,0
1995-01-06,6.4281,6.5112,6.3867,6.4698,42331,0
1995-01-09,6.4118,6.4531,6.3701,6.3701,43289,0
1995-01-10,6.4118,6.4531,6.4118,6.4118,278019,0
1995-01-11,6.4947,6.4947,6.3284,6.3701,177008,0
1995-01-12,6.3284,6.3701,6.2453,6.2869,91871,0
1995-01-13,6.2869,6.4118,6.2869,6.4118,242907,0
1995-01-16,6.4531,6.4947,6.3284,6.3701,136606,0
1995-01-17,6.3284,6.4947,6.3284,6.4947,172681,0
1995-01-18,6.4947,6.5364,6.4531,6.5364,38004,0
1995-01-19,6.5364,6.5364,6.3284,6.4947,84416,0
1995-01-20,6.4947,6.578,6.4118,6.4531,92352,0
1995-01-23,6.3701,6.5364,6.3701,6.5364,32709,0
1995-01-24,6.5364,6.578,6.4531,6.578,76239,0
1995-01-25,6.578,6.7443,6.5364,6.7443,115201,0
1995-01-26,6.6611,6.7857,6.6611,6.7443,77925,0
1995-01-27,6.7857,6.869,6.7443,6.7443,281628,0
1995-01-30,6.7443,6.7857,6.7028,6.7443,82011,0
1995-01-31,6.7443,6.8274,6.6611,6.7443,121452,0
1995-02-01,6.7857,6.7857,6.7443,6.7857,146467,0
1995-02-02,6.7857,6.869,6.7857,6.869,108707,0
1995-02-03,6.869,7.0352,6.869,7.0352,151517,0
1995-02-06,6.9937,7.1184,6.9521,7.1184,114960,0
1995-02-07,7.1184,7.2432,7.1184,7.1184,261907,0
1995-02-08,7.1184,7.16,7.0352,7.16,79128,0
1995-02-09,7.16,7.2017,7.1184,7.1184,126021,0
1995-02-10,7.0768,7.2017,7.0768,7.16,45936,0
1995-02-13,7.16,7.16,7.0768,7.0768,38480,0
1995-02-14,7.0768,7.1184,7.0768,7.0768,29823,0
1995-02-15,7.0768,7.1184,7.0768,7.1184,51228,0
1995-02-16,7.1184,7.16,7.1184,7.16,153921,0
1995-02-17,7.16,7.2432,7.1184,7.2432,83452,0
1995-02-21,7.2848,7.3679,7.2848,7.3261,187832,0
1995-02-22,7.3679,7.4093,7.3261,7.3261,112075,0
1995-02-23,7.3261,7.4093,7.2848,7.3261,114477,0
1995-02-24,7.3261,7.4093,7.2848,7.3261,61328,0
1995-02-27,7.2848,7.3261,7.2017,7.2848,71907,0
1995-02-28,7.2432,7.4509,7.2432,7.4509,90909,0
1995-03-01,7.4929,7.4929,7.2848,7.2848,68062,0
1995-03-02,7.3261,7.3679,7.2017,7.3261,100050,0
1995-03-03,7.3679,7.4093,7.2848,7.3679,605344,0
1995-03-06,7.3261,7.3261,7.0768,7.1184,223185,0
1995-03-07,7.16,7.16,6.9937,6.9937,268400,0
1995-03-08,6.9937,7.0352,6.7857,6.869,195288,0
1995-03-09,6.869,6.9937,6.8274,6.9937,157047,0
1995-03-10,6.9937,7.2848,6.9937,7.2017,236177,0
1995-03-13,7.16,7.16,6.9937,6.9937,179656,0
1995-03-14,6.869,6.869,6.7857,6.869,306882,0
1995-03-15,6.7857,6.869,6.7028,6.869,196971,0
1995-03-16,6.8274,6.869,6.7443,6.7857,52189,0
1995-03-17,6.869,6.869,6.7028,6.7028,639257,0
1995-03-20,6.7028,6.7443,6.7028,6.7443,358591,0
1995-03-21,6.7028,6.7443,6.6611,6.7028,125542,0
1995-03-22,6.7443,6.7857,6.6611,6.7028,53872,0
1995-03-23,6.7443,6.7443,6.6195,6.6611,174124,0
1995-03-24,6.7028,6.7857,6.6195,6.7857,157527,0
1995-03-27,6.8274,6.8274,6.7028,6.7443,83452,0
1995-03-28,6.7028,6.7443,6.6611,6.7443,163784,0
1995-03-29,6.7028,6.8274,6.7028,6.7443,258298,0
1995-03-30,6.7443,6.9937,6.6611,6.9937,314817,0
1995-03-31,6.9937,6.9937,6.6195,6.6195,213324,0
1995-04-03,6.7028,6.8274,6.6611,6.7028,278743,0
1995-04-04,6.7857,6.869,6.7443,6.7857,261428,0
1995-04-05,6.7857,6.869,6.7857,6.869,113760,0
1995-04-06,6.8274,6.9937,6.8274,6.9937,265514,0
1995-04-07,6.9521,6.9521,6.7443,6.869,180616,0
1995-04-10,6.7192,6.8107,6.6361,6.7192,185669,0
1995-04-11,6.7192,6.8107,6.7028,6.8107,217894,0
1995-04-12,6.8107,6.8939,6.7692,6.8939,602942,0
1995-04-13,6.7692,6.9354,6.7192,6.8526,213805,0
1995-04-17,6.8526,6.9354,6.8107,6.8939,221984,0
1995-04-18,6.8526,6.9354,6.8526,6.8939,307124,0
1995-04-19,6.8939,6.9354,6.8107,6.8107,132758,0
1995-04-20,6.8107,6.8939,6.7192,6.8107,716217,0
1995-04-21,6.8526,6.8526,6.7192,6.8107,631319,0
1995-04-24,6.7192,6.8526,6.7192,6.7692,363882,0
1995-04-25,6.7692,6.8526,6.6777,6.6777,212365,0
1995-04-26,6.7692,6.7692,6.7192,6.7192,363882,0
1995-04-27,6.7692,6.7692,6.6777,6.7692,306400,0
1995-04-28,6.7692,6.8939,6.7692,6.8939,145266,0
1995-05-01,6.8939,6.8939,6.7192,6.8526,228959,0
1995-05-02,6.8526,6.8939,6.8107,6.8939,199136,0
1995-05-03,6.9354,6.977,6.8526,6.8939,126984,0
1995-05-04,6.8939,7.1018,6.8939,7.0187,227514,0
1995-05-05,7.1437,7.1437,7.0603,7.1018,113038,0
1995-05-08,7.1437,7.4343,7.1437,7.351,205631,0
1995-05-09,7.351,7.5176,7.268,7.4343,194565,0
1995-05-10,7.4343,7.4343,7.1851,7.268,119288,0
1995-05-11,7.5176,7.5176,7.351,7.4343,365806,0
1995-05-12,7.3927,7.4343,7.2268,7.3927,198654,0
