Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.8278,2.8278,2.7548,2.8115,3798966,0
1995-01-04,2.8115,2.9735,2.8115,2.9492,7898961,0
1995-01-05,2.9573,2.9573,2.8115,2.9413,13499656,0
1995-01-06,3.0139,3.0302,2.9249,2.9413,7825651,0
1995-01-09,2.9413,2.9413,2.8441,2.9088,6772601,0
1995-01-10,2.9088,2.9413,2.8683,2.8765,2595963,0
1995-01-11,2.8683,2.9166,2.8441,2.9166,3132480,0
1995-01-12,2.8925,2.9249,2.8925,2.9088,1619558,0
1995-01-13,2.9249,2.9573,2.9088,2.9573,3622347,0
1995-01-16,2.9492,2.9817,2.9166,2.9735,3054723,0
1995-01-17,2.9573,2.9817,2.9413,2.9573,3554587,0
1995-01-18,2.9492,2.9735,2.9088,2.9249,3653449,0
1995-01-19,2.9249,2.9249,2.8032,2.8357,4579863,0
1995-01-20,2.8278,2.8278,2.7306,2.7467,4814246,0
1995-01-23,2.7143,2.7954,2.698,2.7628,2259385,0
1995-01-24,2.7628,2.9088,2.7143,2.9088,3604575,0
1995-01-25,2.8765,2.8765,2.8115,2.8683,5248570,0
1995-01-26,2.8683,2.8683,2.8278,2.8683,1591791,0
1995-01-27,2.8683,2.9088,2.8441,2.8441,1474045,0
1995-01-30,2.8441,2.8602,2.8032,2.8115,1933921,0
1995-01-31,2.8032,2.8115,2.7628,2.7954,1719532,0
1995-02-01,2.8115,2.8357,2.7306,2.7467,3536813,0
1995-02-02,2.6333,2.6656,2.5442,2.5522,16807645,0
1995-02-03,2.5847,2.6333,2.2928,2.3979,20293364,0
1995-02-06,2.4225,2.4632,2.3904,2.4225,11502424,0
1995-02-07,2.4225,2.4225,2.3658,2.3904,7386879,0
1995-02-08,2.3658,2.4067,2.3497,2.3658,6500453,0
1995-02-09,2.3658,2.4067,2.3497,2.3904,4588753,0
1995-02-10,2.3738,2.5034,2.3738,2.4225,11343578,0
1995-02-13,2.4308,2.4632,2.3979,2.4067,3902271,0
1995-02-14,2.4067,2.4067,2.3497,2.3738,7591267,0
1995-02-15,2.3979,2.4225,2.3497,2.3658,7201376,0
1995-02-16,2.3904,2.3904,2.2364,2.2364,9056425,0
1995-02-17,2.228,2.2524,2.2119,2.228,6498229,0
1995-02-21,2.2364,2.2364,2.1634,2.1958,5184144,0
1995-02-22,2.1958,2.2119,2.1471,2.1797,4998637,0
1995-02-23,2.2037,2.228,2.1958,2.1958,5254125,0
1995-02-24,2.2037,2.2119,2.0823,2.1147,9467421,0
1995-02-27,2.0497,2.058,1.8553,1.9202,29312019,0
1995-02-28,1.9447,1.9932,1.9202,1.9526,10614889,0
1995-03-01,1.9689,2.0659,1.9526,2.058,10589341,0
1995-03-02,2.0659,2.0986,1.8878,1.9121,25453070,0
1995-03-03,1.9039,1.9447,1.8553,1.9121,14129487,0
1995-03-06,1.8878,1.9362,1.88,1.8878,7531282,0
1995-03-07,1.88,1.9039,1.8553,1.8714,5337436,0
1995-03-08,1.8878,1.9121,1.831,1.831,6066125,0
1995-03-09,1.8473,1.8473,1.7903,1.8231,8257753,0
1995-03-10,1.8231,1.88,1.8068,1.8473,7626811,0
1995-03-13,1.8714,1.8714,1.8473,1.8553,4576529,0
1995-03-14,1.8714,1.8714,1.8068,1.8231,6420476,0
1995-03-15,1.8068,1.8714,1.8068,1.8714,13928432,0
1995-03-16,1.8714,1.9447,1.8714,1.9362,13887331,0
1995-03-17,1.9202,1.9932,1.9202,1.9689,12943143,0
1995-03-20,1.9932,2.0012,1.9526,1.9851,5920611,0
1995-03-21,1.9851,1.9851,1.9447,1.9689,5304112,0
1995-03-22,1.9689,1.9689,1.9362,1.9362,2629282,0
1995-03-23,1.9362,1.9362,1.9121,1.9202,3239119,0
1995-03-24,1.9202,1.9447,1.9121,1.9447,3592353,0
1995-03-27,1.9447,1.9689,1.9362,1.9447,8121121,0
1995-03-28,1.9526,1.9851,1.9447,1.9851,4983090,0
1995-03-29,1.9851,2.0175,1.9362,1.9447,7529060,0
1995-03-30,1.9526,1.9689,1.9039,1.9202,5612914,0
1995-03-31,1.9362,1.9526,1.8878,1.9447,4424350,0
1995-04-03,1.9526,2.0012,1.9447,1.9851,3738984,0
1995-04-04,2.0012,2.058,1.9932,2.058,8451033,0
1995-04-05,2.0659,2.2119,2.058,2.2037,18365001,0
1995-04-06,2.2119,2.2119,2.058,2.0986,13688494,0
1995-04-07,2.1308,2.1308,2.0497,2.058,4088888,0
1995-04-10,2.0823,2.1308,2.058,2.1147,3262448,0
1995-04-11,2.1147,2.1711,2.0986,2.1634,5270787,0
1995-04-12,2.1634,2.1797,2.1471,2.1711,5229687,0
1995-04-13,2.1471,2.1958,2.1308,2.1389,5319664,0
1995-04-17,2.1308,2.1634,2.1308,2.1389,2715927,0
1995-04-18,2.1471,2.1634,1.9689,2.0012,17997320,0
1995-04-19,2.0255,2.3414,2.0175,2.3172,26291732,0
1995-04-20,2.3172,2.4548,2.2847,2.3904,22552749,0
1995-04-21,2.3904,2.3904,2.2928,2.3089,5635134,0
1995-04-24,2.3089,2.3255,2.228,2.2524,5452959,0
1995-04-25,2.2606,2.2606,2.2119,2.228,9825105,0
1995-04-26,2.228,2.3255,2.2119,2.3172,11682375,0
1995-04-27,2.3172,2.4387,2.3172,2.4067,13194181,0
1995-04-28,2.3904,2.4711,2.3904,2.4632,7504624,0
1995-05-01,2.4711,2.4711,2.3904,2.4067,6028362,0
1995-05-02,2.4067,2.4225,2.3738,2.3979,3798966,0
1995-05-03,2.4225,2.4387,2.4067,2.4067,5128602,0
1995-05-04,2.2765,2.3414,2.2364,2.2606,11765687,0
1995-05-05,2.2524,2.2524,2.0986,2.1471,11019220,0
1995-05-08,2.1308,2.2928,2.0986,2.2606,8148891,0
1995-05-09,2.2847,2.3089,2.2524,2.2847,4056675,0
1995-05-10,2.2928,2.3089,2.2524,2.2765,2214954,0
1995-05-11,2.2606,2.2847,2.2364,2.2765,1931699,0
1995-05-12,2.2765,2.3979,2.2606,2.3738,7501289,0
1995-05-15,2.4225,2.4548,2.4225,2.4308,6819256,0
1995-05-16,2.4225,2.4225,2.3497,2.3904,2989185,0
1995-05-17,2.3979,2.4225,2.3089,2.3172,3018068,0
1995-05-18,2.3497,2.3979,2.3255,2.3255,2493764,0
1995-05-19,2.3172,2.3497,2.3172,2.3414,2780353,0
1995-05-22,2.3738,2.3904,2.3497,2.3658,2027225,0
1995-05-23,2.3738,2.3979,2.3658,2.3904,2582635,0
1995-05-24,2.3738,2.4387,2.3658,2.3658,3755644,0
1995-05-25,2.3658,2.3738,2.3255,2.3658,2705931,0
1995-05-26,2.3172,2.3255,2.2037,2.2119,9460759,0
1995-05-30,2.2364,2.2765,2.1634,2.1711,6841472,0
1995-05-31,2.1634,2.1958,2.1147,2.1958,8131118,0
1995-06-01,2.2037,2.2847,2.1711,2.1797,7300236,0
1995-06-02,2.1797,2.228,2.1634,2.2119,2409345,0
1995-06-05,2.2606,2.2765,2.228,2.2364,6833696,0
1995-06-06,2.2606,2.2847,2.228,2.2524,5920611,0
1995-06-07,2.2524,2.3658,2.228,2.3497,6541550,0
1995-06-08,2.3497,2.3979,2.3089,2.3738,6850355,0
1995-06-09,2.3738,2.4548,2.3658,2.4387,9833990,0
1995-06-12,2.4872,2.5358,2.4632,2.5034,15044795,0
1995-06-13,2.5196,2.5682,2.4872,2.4872,7003650,0
1995-06-14,2.5358,2.5764,2.4957,2.5196,9605163,0
1995-06-15,2.5358,2.6333,2.5358,2.5847,9566285,0
1995-06-16,2.5847,2.617,2.5522,2.5682,4535434,0
1995-06-19,2.5682,2.5682,2.5196,2.5358,4381030,0
1995-06-20,2.5442,2.5522,2.4957,2.5034,3582358,0
1995-06-21,2.5196,2.5196,2.4872,2.5034,2116092,0
1995-06-22,2.5358,2.5442,2.4957,2.4957,2631509,0
1995-06-23,2.4957,2.5196,2.4872,2.4957,1520697,0
1995-06-26,2.4872,2.4872,2.4308,2.4308,2662610,0
1995-06-27,2.4225,2.4387,2.3904,2.4308,3063612,0
1995-06-28,2.4225,2.4387,2.4067,2.4225,1385177,0
1995-06-29,2.4067,2.4225,2.4067,2.4067,2505984,0
1995-06-30,2.4067,2.4225,2.3979,2.3979,4248842,0
1995-07-03,2.3979,2.4225,2.3979,2.4225,712030,0
1995-07-05,2.4225,2.4957,2.4225,2.4711,5485172,0
1995-07-06,2.4711,2.4711,2.4067,2.4632,5000861,0
1995-07-07,2.4711,2.5682,2.4225,2.4957,6242747,0
1995-07-10,2.4872,2.5522,2.4632,2.4872,3825625,0
1995-07-11,2.5034,2.5034,2.4387,2.4387,2057218,0
1995-07-12,2.4548,2.4632,2.4308,2.4387,1975019,0
1995-07-13,2.4548,2.4632,2.4308,2.4387,1878378,0
1995-07-14,2.4308,2.4632,2.4067,2.4548,3020289,0
1995-07-17,2.4632,2.4872,2.4548,2.4632,3495713,0
1995-07-18,2.4711,2.4711,2.4067,2.4387,3049171,0
1995-07-19,2.4548,2.4548,2.2928,2.3979,6988100,0
1995-07-20,2.4225,2.4872,2.3979,2.4872,4730931,0
1995-07-21,2.4711,2.4872,2.4387,2.4387,2434893,0
1995-07-24,2.4387,2.4632,2.4308,2.4308,3330206,0
1995-07-25,2.4387,2.4387,2.3904,2.3979,5236350,0
1995-07-26,2.3979,2.3979,2.3414,2.3904,4457677,0
1995-07-27,2.3904,2.3979,2.3738,2.3738,4592082,0
1995-07-28,2.3738,2.3738,2.3089,2.3255,4628741,0
1995-07-31,2.3255,2.3738,2.3172,2.3414,3001406,0
1995-08-01,2.3414,2.4387,2.3255,2.4308,5371870,0
1995-08-02,2.4387,2.4548,2.3497,2.3497,5532936,0
1995-08-03,2.2037,2.2364,2.0337,2.0986,46037467,0
1995-08-04,2.1634,2.1797,2.1389,2.1634,12178907,0
1995-08-07,2.1634,2.1797,2.1308,2.1471,4279946,0
1995-08-08,2.1711,2.1797,2.0986,2.0986,4905332,0
1995-08-09,2.1147,2.1634,2.1147,2.1389,3788968,0
1995-08-10,2.1308,2.1308,2.0659,2.0823,7079184,0
1995-08-11,2.0823,2.1471,2.0497,2.058,5818420,0
1995-08-14,2.058,2.058,2.0175,2.058,6609313,0
1995-08-15,2.0659,2.0823,2.0497,2.058,5075284,0
1995-08-16,2.0823,2.0986,2.058,2.0986,5963934,0
