Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.898,15.094,14.898,15.094,99026,0
1995-01-04,15.192,15.192,14.696,15.094,187326,0
1995-01-05,15.094,15.392,15.094,15.392,459279,0
1995-01-06,15.298,15.697,15.192,15.497,168404,0
1995-01-09,15.497,15.895,15.497,15.697,234951,0
1995-01-10,15.59,15.793,15.298,15.298,152636,0
1995-01-11,15.298,15.497,15.192,15.497,288666,0
1995-01-12,15.497,15.497,15.298,15.497,102074,0
1995-01-13,15.497,15.793,15.497,15.697,202045,0
1995-01-16,15.793,16.402,15.793,16.296,182386,0
1995-01-17,16.19,16.296,15.895,16.19,298863,0
1995-01-18,16.19,16.402,16.098,16.296,523718,0
1995-01-19,16.296,16.402,15.991,16.19,910987,0
1995-01-20,16.402,16.494,16.296,16.402,472420,0
1995-01-23,16.19,16.296,15.991,15.991,296654,0
1995-01-24,15.991,16.19,15.991,16.098,332817,0
1995-01-25,16.19,16.19,16.098,16.19,93771,0
1995-01-26,16.296,16.494,16.296,16.494,262070,0
1995-01-27,16.494,16.601,16.19,16.296,165675,0
1995-01-30,16.19,16.296,15.991,16.098,395154,0
1995-01-31,15.991,16.098,15.697,15.697,85359,0
1995-02-01,15.59,15.991,15.59,15.991,140651,0
1995-02-02,15.895,16.098,15.895,16.098,76107,0
1995-02-03,16.098,16.296,15.991,15.991,388636,0
1995-02-06,16.19,16.402,15.793,15.793,230954,0
1995-02-07,15.793,16.098,15.497,15.895,222754,0
1995-02-08,15.991,15.991,15.392,15.392,268796,0
1995-02-09,15.497,15.497,15.094,15.094,262911,0
1995-02-10,15.298,15.298,14.995,15.192,279730,0
1995-02-13,15.298,15.895,15.192,15.59,296234,0
1995-02-14,15.697,15.991,15.59,15.793,196790,0
1995-02-15,15.793,16.098,15.697,16.098,251664,0
1995-02-16,15.895,16.494,15.895,16.494,161572,0
1995-02-17,16.296,16.392,15.895,15.895,222019,0
1995-02-21,16.098,16.098,15.687,15.687,232320,0
1995-02-22,15.793,15.991,15.487,15.487,232320,0
1995-02-23,15.687,16.296,15.687,16.296,226644,0
1995-02-24,15.991,16.296,15.687,15.895,120889,0
1995-02-27,15.895,16.19,15.793,15.895,192270,0
1995-02-28,16.098,16.098,15.895,15.991,108170,0
1995-03-01,15.991,15.991,15.895,15.895,95033,0
1995-03-02,15.991,15.991,15.59,15.59,166725,0
1995-03-03,15.687,15.895,15.59,15.895,207091,0
1995-03-06,15.793,15.895,15.59,15.793,65701,0
1995-03-07,15.895,15.895,15.59,15.793,144648,0
1995-03-08,15.793,15.793,15.59,15.59,76214,0
1995-03-09,15.59,15.793,15.59,15.687,142967,0
1995-03-10,15.793,16.19,15.687,15.991,398205,0
1995-03-13,15.991,16.098,15.793,15.991,212347,0
1995-03-14,16.098,16.19,15.991,15.991,96606,0
1995-03-15,16.098,16.798,15.991,16.696,166304,0
1995-03-16,16.696,17.093,16.494,16.894,193529,0
1995-03-17,17.001,17.001,16.494,16.494,370239,0
1995-03-20,16.392,16.494,16.296,16.494,203831,0
1995-03-21,16.392,16.798,16.392,16.392,257969,0
1995-03-22,16.494,16.494,16.098,16.19,165461,0
1995-03-23,16.19,16.19,15.793,15.793,339333,0
1995-03-24,15.895,16.19,15.895,16.098,318940,0
1995-03-27,16.098,16.098,15.793,15.991,110378,0
1995-03-28,16.098,16.098,15.895,15.991,346800,0
1995-03-29,15.991,16.296,15.793,16.098,435837,0
1995-03-30,16.296,16.296,16.098,16.098,156526,0
1995-03-31,16.098,16.296,15.991,16.19,442881,0
1995-04-03,16.19,16.696,16.19,16.601,334604,0
1995-04-04,16.601,16.696,16.392,16.494,165042,0
1995-04-05,16.494,16.696,16.392,16.494,244409,0
1995-04-06,16.601,16.798,16.494,16.696,294236,0
1995-04-07,16.601,16.696,16.494,16.696,422592,0
1995-04-10,16.696,17.201,16.601,17.001,299806,0
1995-04-11,17.001,17.001,16.696,16.696,245251,0
1995-04-12,16.696,16.798,16.601,16.798,84834,0
1995-04-13,16.894,17.093,16.696,16.798,171770,0
