Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.651,9.694,9.599,9.651,462752,0
1995-01-04,9.599,9.749,9.599,9.749,434514,0
1995-01-05,9.722,9.95,9.722,9.95,1487095,0
1995-01-06,9.977,10.197,9.977,10.045,1455672,0
1995-01-09,10.045,10.045,9.924,9.924,599396,0
1995-01-10,9.95,10.045,9.95,10.045,1311742,0
1995-01-11,10.045,10.045,9.95,10.004,1127277,0
1995-01-12,9.95,10.004,9.749,9.749,741042,0
1995-01-13,9.853,9.898,9.775,9.801,764274,0
1995-01-16,9.853,10.004,9.801,9.977,599396,0
1995-01-17,9.95,10.1,9.95,10.1,302429,0
1995-01-18,10.1,10.274,10.1,10.22,631273,0
1995-01-19,10.197,10.302,10.1,10.302,1070342,0
1995-01-20,10.274,10.346,10.126,10.181,1073079,0
1995-01-23,10.1,10.1,9.977,10.004,967408,0
1995-01-24,10.02,10.197,10.02,10.181,784311,0
1995-01-25,10.181,10.372,10.181,10.372,617156,0
1995-01-26,10.329,10.329,10.197,10.22,613511,0
1995-01-27,10.248,10.302,10.197,10.22,898178,0
1995-01-30,10.197,10.329,10.197,10.274,1036184,0
1995-01-31,10.274,10.549,10.256,10.493,1386437,0
1995-02-01,10.521,10.575,10.449,10.476,1411491,0
1995-02-02,10.476,10.476,10.424,10.424,1058958,0
1995-02-03,10.424,10.493,10.329,10.346,675003,0
1995-02-06,10.346,10.346,10.181,10.274,1144127,0
1995-02-07,10.346,10.424,10.329,10.346,1700711,0
1995-02-08,10.372,10.372,10.329,10.346,924593,0
1995-02-09,10.4,10.4,10.329,10.346,841706,0
1995-02-10,10.302,10.329,10.22,10.329,1653339,0
1995-02-13,10.346,10.372,10.248,10.274,987452,0
1995-02-14,10.274,10.329,10.274,10.302,772925,0
1995-02-15,10.302,10.346,10.274,10.329,519227,0
1995-02-16,10.302,10.302,10.197,10.274,487804,0
1995-02-17,10.329,10.329,10.248,10.274,1929808,0
1995-02-21,10.302,10.329,10.154,10.197,1084009,0
1995-02-22,10.197,10.424,10.197,10.372,883605,0
