Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.4134,3.4134,3.3669,3.3758,2622138,0
1995-01-04,3.3758,3.3758,3.3525,3.3669,749331,0
1995-01-05,3.3525,3.3525,3.2946,3.2946,1136918,0
1995-01-06,3.2946,3.3059,3.2595,3.2713,1837672,0
1995-01-09,3.2827,3.2946,3.2216,3.2481,2311040,0
1995-01-10,3.2336,3.2481,3.1524,3.1988,4074299,0
1995-01-11,3.2102,3.2336,3.1754,3.1869,2937379,0
1995-01-12,3.1636,3.1988,3.1636,3.1869,3335303,0
1995-01-13,3.1636,3.2216,3.1404,3.2102,2825760,0
1995-01-16,3.2336,3.3059,3.1869,3.3059,7050953,0
1995-01-17,3.3059,3.3669,3.2595,3.3525,2423701,0
1995-01-18,3.3293,3.3293,3.2827,3.3059,3772497,0
1995-01-19,3.2946,3.3059,3.2713,3.2827,1113141,0
1995-01-20,3.2827,3.2827,3.2102,3.2713,2256263,0
1995-01-23,3.2595,3.2595,3.2216,3.2481,4453610,0
1995-01-24,3.2595,3.2595,3.1869,3.2102,2801992,0
1995-01-25,3.1988,3.2102,3.1869,3.1869,3531671,0
1995-01-26,3.1869,3.1988,3.1869,3.1988,757600,0
1995-01-27,3.2102,3.2336,3.1754,3.2102,2491915,0
1995-01-30,3.2216,3.2216,3.1988,3.2102,1976176,0
1995-01-31,3.1988,3.2336,3.1988,3.2216,1845936,0
1995-02-01,3.2216,3.3176,3.2216,3.3059,1944126,0
1995-02-02,3.2946,3.3176,3.2827,3.2827,875431,0
1995-02-03,3.2827,3.602,3.2827,3.5323,3341504,0
1995-02-06,3.4946,3.5788,3.4861,3.5674,2532228,0
1995-02-07,3.5441,3.6746,3.5441,3.6399,3086218,0
1995-02-08,3.6136,3.6863,3.6136,3.6631,2222154,0
1995-02-09,3.6514,3.7094,3.6514,3.6863,2123966,0
1995-02-10,3.6746,3.6979,3.6514,3.6979,2213886,0
1995-02-13,3.6863,3.6979,3.5788,3.5788,2890873,0
1995-02-14,3.5788,3.6136,3.5558,3.602,1681600,0
1995-02-15,3.5788,3.6631,3.5788,3.6136,2081592,0
1995-02-16,3.6136,3.6283,3.5788,3.5904,2208721,0
