Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.3316,0.38687,0.32239,0.36844,347189,0
1995-01-04,0.38687,0.38687,0.36844,0.38687,193462,0
1995-01-05,0.36844,0.38687,0.35002,0.35002,210398,0
1995-01-06,0.36844,0.38687,0.35002,0.38687,1130157,0
1995-01-09,0.37766,0.38687,0.36844,0.37766,578432,0
1995-01-10,0.36844,0.40529,0.36844,0.38687,297684,0
1995-01-11,0.38687,0.40529,0.36844,0.38687,323739,0
1995-01-12,0.36844,0.40529,0.36844,0.37766,56671,0
1995-01-13,0.36844,0.40529,0.36844,0.40529,60579,0
1995-01-16,0.37766,0.40529,0.36844,0.40529,95754,0
1995-01-17,0.36844,0.38687,0.36844,0.36844,75561,0
1995-01-18,0.36844,0.36844,0.36844,0.36844,35826,0
1995-01-19,0.35002,0.36844,0.35002,0.35923,585597,0
1995-01-20,0.38687,0.38687,0.35002,0.38687,33872,0
1995-01-23,0.35002,0.38687,0.35002,0.38687,185645,0
1995-01-24,0.38687,0.38687,0.36844,0.38687,769940,0
1995-01-25,0.40529,0.40529,0.38687,0.39608,1132762,0
1995-01-26,0.40529,0.40529,0.39608,0.39608,341978,0
1995-01-27,0.38687,0.40529,0.38687,0.38687,86634,0
1995-01-30,0.38687,0.40529,0.38687,0.38687,1613486,0
1995-01-31,0.40529,0.40529,0.38687,0.39608,2193221,0
1995-02-01,0.40529,0.42371,0.38687,0.40529,904777,0
1995-02-02,0.40529,0.44213,0.40529,0.43292,358914,0
1995-02-03,0.44213,0.44213,0.42371,0.42371,955585,0
1995-02-06,0.42371,0.44213,0.42371,0.44213,65139,0
1995-02-07,0.44213,0.44213,0.42371,0.42371,205187,0
1995-02-08,0.42371,0.43292,0.40529,0.43292,435778,0
1995-02-09,0.44213,0.44213,0.40529,0.40529,254041,0
1995-02-10,0.44213,0.44213,0.40529,0.44213,577129,0
1995-02-13,0.46056,0.5342,0.44213,0.4974,677443,0
1995-02-14,0.4974,0.5527,0.4974,0.5527,680700,0
1995-02-15,0.5342,0.6356,0.5342,0.6171,1747672,0
1995-02-16,0.6171,0.654,0.5711,0.6356,1137973,0
1995-02-17,0.6356,0.6356,0.5987,0.5987,375199,0
1995-02-21,0.6356,0.6356,0.5711,0.5711,291821,0
1995-02-22,0.5711,0.5987,0.5711,0.5711,131580,0
1995-02-23,0.5987,0.5987,0.5711,0.5711,106828,0
1995-02-24,0.5711,0.5987,0.5711,0.5711,210398,0
1995-02-27,0.5987,0.5987,0.5711,0.5711,227986,0
1995-02-28,0.5987,0.5987,0.5711,0.5711,78166,0
1995-03-01,0.5987,0.5987,0.5711,0.5711,182388,0
1995-03-02,0.5711,0.5987,0.5711,0.5711,271628,0
1995-03-03,0.5987,0.654,0.5711,0.6356,1582871,0
1995-03-06,0.6356,0.654,0.6171,0.6356,497660,0
1995-03-07,0.654,0.654,0.6264,0.6356,400603,0
1995-03-08,0.6448,0.6448,0.6171,0.6356,295078,0
1995-03-09,0.6356,0.6448,0.6171,0.6171,203884,0
1995-03-10,0.6356,0.6356,0.5711,0.5711,355657,0
1995-03-13,0.5527,0.5987,0.5342,0.5527,519807,0
1995-03-14,0.5342,0.5711,0.5342,0.5711,94451,0
1995-03-15,0.5527,0.5527,0.5158,0.5527,125066,0
1995-03-16,0.5158,0.7093,0.5158,0.6908,1914427,0
1995-03-17,0.6724,0.6908,0.5987,0.6356,1801737,0
1995-03-20,0.6171,0.6356,0.5987,0.6171,491146,0
1995-03-21,0.6356,0.6356,0.5711,0.5711,355006,0
1995-03-22,0.5711,0.6356,0.5711,0.6356,538697,0
1995-03-23,0.5987,0.6356,0.5711,0.5987,174572,0
1995-03-24,0.6079,0.6171,0.5987,0.6171,461834,0
1995-03-27,0.6171,0.6171,0.5711,0.5987,69047,0
1995-03-28,0.6171,0.6171,0.5711,0.5711,128323,0
1995-03-29,0.6079,0.6079,0.5527,0.6079,175223,0
1995-03-30,0.5527,0.6079,0.5527,0.5711,91194,0
1995-03-31,0.5527,0.6079,0.5527,0.5711,397998,0
1995-04-03,0.6079,0.6079,0.5711,0.5711,91194,0
1995-04-04,0.5711,0.6079,0.5527,0.5527,205838,0
1995-04-05,0.5527,0.5987,0.5527,0.5987,1752232,0
1995-04-06,0.5987,0.5987,0.5527,0.5895,73607,0
1995-04-07,0.5895,0.6079,0.5619,0.5619,199324,0
1995-04-10,0.5895,0.5895,0.5342,0.5711,113993,0
1995-04-11,0.5711,0.5711,0.5342,0.5342,52111,0
1995-04-12,0.5619,0.5619,0.5342,0.5527,59276,0
1995-04-13,0.5342,0.5619,0.5342,0.5342,55368,0
1995-04-17,0.5619,0.5619,0.5342,0.5619,53414,0
1995-04-18,0.5619,0.6171,0.5527,0.6079,835730,0
1995-04-19,0.6171,0.6171,0.5987,0.6079,121809,0
1995-04-20,0.5987,0.6171,0.5987,0.5987,117901,0
1995-04-21,0.5987,0.6171,0.5987,0.6079,95103,0
1995-04-24,0.6171,0.6356,0.5987,0.5987,503522,0
1995-04-25,0.5987,0.6171,0.5987,0.6079,269674,0
1995-04-26,0.6171,0.6171,0.5987,0.5987,137443,0
1995-04-27,0.6171,0.6171,0.6079,0.6171,226031,0
1995-04-28,0.6171,0.6356,0.6171,0.6171,282051,0
1995-05-01,0.6356,0.6356,0.6171,0.6264,177177,0
1995-05-02,0.6356,0.6356,0.6171,0.6264,215609,0
1995-05-03,0.6356,0.7093,0.6356,0.6724,930181,0
1995-05-04,0.6724,0.6908,0.654,0.654,106176,0
1995-05-05,0.654,0.6724,0.654,0.654,166755,0
1995-05-08,0.654,0.6724,0.654,0.654,67744,0
1995-05-09,0.654,0.6908,0.654,0.6724,91194,0
1995-05-10,0.6724,0.6724,0.6356,0.6724,384970,0
1995-05-11,0.6724,0.6724,0.6356,0.6356,235151,0
1995-05-12,0.6356,0.6724,0.6356,0.654,292473,0
1995-05-15,0.6724,0.6724,0.654,0.6632,190856,0
1995-05-16,0.654,0.6724,0.654,0.6724,41037,0
1995-05-17,0.6724,0.6724,0.6356,0.6356,134186,0
1995-05-18,0.6171,0.6171,0.5987,0.5987,140048,0
1995-05-19,0.6171,0.6171,0.5711,0.6171,58625,0
1995-05-22,0.5987,0.654,0.5987,0.654,80772,0
1995-05-23,0.6171,0.654,0.6171,0.654,71001,0
1995-05-24,0.654,0.6724,0.654,0.6724,107479,0
