Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.428,5.428,5.3403,5.3837,2257996,0
1995-01-04,5.4106,5.428,5.3837,5.428,1510188,0
1995-01-05,5.4106,5.4717,5.4106,5.428,1038371,0
1995-01-06,5.4544,5.5247,5.4544,5.4544,687689,0
1995-01-09,5.428,5.4982,5.428,5.4544,830239,0
1995-01-10,5.4544,5.5247,5.428,5.428,1176818,0
1995-01-11,5.428,5.4717,5.3403,5.428,1444602,0
1995-01-12,5.3837,5.4106,5.3139,5.358,758279,0
1995-01-13,5.4453,5.6473,5.4453,5.6299,1947392,0
1995-01-16,5.6299,5.8143,5.6299,5.7879,2526693,0
1995-01-17,5.7703,5.7879,5.5858,5.6473,1813500,0
1995-01-18,5.6299,5.6473,5.4014,5.4453,3808707,0
1995-01-19,5.4453,5.4453,5.3752,5.4014,1320728,0
1995-01-20,5.4014,5.4014,5.3311,5.3487,1720133,0
1995-01-23,5.3311,5.4014,5.261,5.4014,1622678,0
1995-01-24,5.4014,5.5157,5.4014,5.4191,2923821,0
1995-01-25,5.4014,5.6035,5.3752,5.4893,2053509,0
1995-01-26,5.5157,5.6035,5.5157,5.6035,1246040,0
1995-01-27,5.6299,5.7176,5.6035,5.7003,1149491,0
1995-01-30,5.7003,5.7176,5.5858,5.5858,1015597,0
1995-01-31,5.5596,5.6035,5.5157,5.5331,1463732,0
1995-02-01,5.5858,5.6299,5.5331,5.5596,1554363,0
1995-02-02,5.5596,5.6737,5.5157,5.6737,839802,0
1995-02-03,5.7003,5.9547,5.7003,5.8317,4813832,0
1995-02-06,5.8143,5.9547,5.8143,5.9547,2349077,0
1995-02-07,5.9987,6.0427,5.9023,5.9023,3451657,0
1995-02-08,5.9547,5.9987,5.7879,5.8317,3464407,0
1995-02-09,5.8143,5.9023,5.8143,5.8847,1941471,0
1995-02-10,5.8317,5.9547,5.8317,5.9547,995557,0
1995-02-13,5.9023,5.9725,5.9023,5.9547,1455079,0
1995-02-14,5.9987,6.0163,5.9023,5.9725,3232602,0
1995-02-15,5.9987,6.0865,5.9987,6.0691,1417281,0
1995-02-16,6.0865,6.1042,5.9725,5.9987,1814409,0
