Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.6313,1.6761,1.6313,1.6689,1073259,0
1995-01-04,1.6761,1.7208,1.6618,1.709,1092769,0
1995-01-05,1.7208,1.728,1.702,1.709,3416610,0
1995-01-06,1.6807,1.7161,1.6618,1.6949,2402745,0
1995-01-09,1.6761,1.6761,1.6502,1.6572,968049,0
1995-01-10,1.6689,1.6761,1.6618,1.6761,521777,0
1995-01-11,1.6618,1.6761,1.6502,1.6689,2337412,0
1995-01-12,1.6807,1.6901,1.6618,1.6618,668563,0
1995-01-13,1.6689,1.6807,1.6502,1.6761,1458443,0
1995-01-16,1.6761,1.6949,1.6761,1.6901,1540742,0
1995-01-17,1.702,1.7161,1.6949,1.709,1130951,0
1995-01-18,1.6949,1.709,1.6901,1.6901,231629,0
1995-01-19,1.6807,1.7208,1.6689,1.709,1026601,0
1995-01-20,1.7208,1.7396,1.709,1.7208,1203917,0
1995-01-23,1.7161,1.7348,1.7161,1.7208,786494,0
1995-01-24,1.7208,1.7396,1.7208,1.7208,674494,0
1995-01-25,1.728,1.7468,1.6761,1.6761,2427348,0
1995-01-26,1.6761,1.6761,1.5793,1.5793,11387569,0
1995-01-27,1.5841,1.5841,1.5252,1.5605,4584891,0
1995-01-30,1.5605,1.617,1.5605,1.5652,2234751,0
1995-01-31,1.5652,1.5911,1.5652,1.5793,1425355,0
1995-02-01,1.5911,1.603,1.5652,1.5723,3789919,0
1995-02-02,1.5793,1.6618,1.5793,1.6313,1124166,0
1995-02-03,1.6242,1.6689,1.6242,1.6383,2278026,0
1995-02-06,1.643,1.6502,1.643,1.6502,592202,0
1995-02-07,1.6502,1.6618,1.6502,1.6572,616811,0
1995-02-08,1.643,1.702,1.643,1.6572,1365967,0
1995-02-09,1.6572,1.709,1.6572,1.709,1491535,0
1995-02-10,1.709,1.7208,1.6949,1.7208,1853812,0
1995-02-13,1.709,1.709,1.6807,1.6901,600686,0
1995-02-14,1.6949,1.709,1.6807,1.709,742373,0
1995-02-15,1.6949,1.7348,1.6949,1.7208,989266,0
1995-02-16,1.7208,1.7208,1.6761,1.6807,1137734,0
1995-02-17,1.702,1.7396,1.6949,1.7396,1443177,0
1995-02-21,1.7396,1.7396,1.6949,1.7348,731339,0
1995-02-22,1.728,1.754,1.7208,1.7468,480210,0
1995-02-23,1.7492,1.7562,1.7161,1.7562,488695,0
1995-02-24,1.7562,1.7562,1.7161,1.7348,654134,0
1995-02-27,1.7348,1.7492,1.709,1.709,300343,0
1995-02-28,1.7208,1.7208,1.6572,1.702,688069,0
1995-03-01,1.7208,1.742,1.7208,1.7348,783943,0
1995-03-02,1.728,1.7679,1.728,1.7562,1159800,0
1995-03-03,1.7562,1.7609,1.7492,1.7492,696556,0
1995-03-06,1.7161,1.728,1.6901,1.728,486993,0
1995-03-07,1.7208,1.7348,1.6973,1.6973,952781,0
1995-03-08,1.709,1.728,1.702,1.709,1523778,0
1995-03-09,1.709,1.709,1.6831,1.6831,649041,0
1995-03-10,1.6973,1.6973,1.6831,1.6901,729647,0
1995-03-13,1.6973,1.6973,1.6572,1.6642,497178,0
1995-03-14,1.6785,1.6831,1.6313,1.643,921394,0
1995-03-15,1.6785,1.709,1.6502,1.6973,1469478,0
1995-03-16,1.6973,1.728,1.6973,1.7161,786494,0
1995-03-17,1.742,1.7492,1.7348,1.7492,785641,0
1995-03-20,1.728,1.7492,1.7208,1.7208,812789,0
1995-03-21,1.709,1.7161,1.702,1.709,838249,0
1995-03-22,1.709,1.7492,1.709,1.742,968049,0
1995-03-23,1.742,1.7562,1.7348,1.742,798367,0
1995-03-24,1.742,1.7609,1.742,1.7609,576083,0
1995-03-27,1.7492,1.775,1.7492,1.7679,537900,0
1995-03-28,1.7679,1.7798,1.7679,1.775,409790,0
1995-03-29,1.7938,1.827,1.775,1.7868,797525,0
1995-03-30,1.7938,1.8081,1.7798,1.7938,1015567,0
1995-03-31,1.7798,1.7868,1.775,1.7868,559959,0
1995-04-03,1.7868,1.7986,1.7868,1.7938,570144,0
1995-04-04,1.7986,1.8528,1.7986,1.8387,584568,0
1995-04-05,1.827,1.8574,1.827,1.8574,1006239,0
1995-04-06,1.8528,1.9118,1.8528,1.8976,781404,0
1995-04-07,1.8976,1.9046,1.8764,1.9046,1063930,0
1995-04-10,1.9046,1.9046,1.8764,1.8859,525174,0
1995-04-11,1.8859,1.8976,1.8764,1.8859,752552,0
1995-04-12,1.8929,1.9164,1.8718,1.8764,2150762,0
1995-04-13,1.8859,1.8929,1.8718,1.8764,704193,0
1995-04-17,1.8764,1.8929,1.8764,1.8859,424212,0
1995-04-18,1.8976,1.8976,1.8718,1.8764,477666,0
1995-04-19,1.8764,1.9046,1.8764,1.8929,304587,0
1995-04-20,1.8859,1.8929,1.8718,1.8718,416580,0
1995-04-21,1.8859,1.8859,1.8528,1.8574,1393964,0
1995-04-24,1.8718,1.8929,1.8646,1.8764,495480,0
1995-04-25,1.8764,1.8764,1.8459,1.8528,441182,0
1995-04-26,1.8459,1.8859,1.827,1.8459,1208157,0
1995-04-27,1.7798,1.7938,1.7679,1.7679,1714671,0
1995-04-28,1.7938,1.7938,1.775,1.7798,844182,0
1995-05-01,1.7798,1.7986,1.7679,1.7679,564203,0
1995-05-02,1.7609,1.7609,1.709,1.7208,638021,0
1995-05-03,1.7562,1.7562,1.7161,1.7208,1904717,0
1995-05-04,1.7208,1.7208,1.6099,1.6099,2027740,0
1995-05-05,1.6383,1.6785,1.6383,1.6572,782257,0
1995-05-08,1.6572,1.702,1.643,1.6901,1094475,0
1995-05-09,1.6901,1.702,1.643,1.6642,1007083,0
1995-05-10,1.6502,1.6572,1.6242,1.6313,812789,0
1995-05-11,1.6383,1.6572,1.6313,1.6572,1360876,0
1995-05-12,1.6502,1.6973,1.6502,1.6973,569295,0
1995-05-15,1.6901,1.6901,1.6572,1.6642,789040,0
1995-05-16,1.6785,1.6901,1.6642,1.6901,758497,0
1995-05-17,1.6901,1.702,1.6689,1.6901,1076651,0
1995-05-18,1.6785,1.6785,1.6642,1.6642,151023,0
1995-05-19,1.6572,1.6689,1.6383,1.643,386034,0
1995-05-22,1.6572,1.6689,1.6383,1.643,503115,0
1995-05-23,1.7161,1.7679,1.709,1.7679,2114274,0
1995-05-24,1.7562,1.775,1.7208,1.742,989266,0
1995-05-25,1.7609,1.7609,1.6831,1.6831,724559,0
1995-05-26,1.709,1.709,1.6831,1.6973,400459,0
1995-05-30,1.6973,1.7185,1.6973,1.7185,260469,0
1995-05-31,1.709,1.7492,1.709,1.7372,872181,0
1995-06-01,1.7372,1.742,1.6901,1.6973,701648,0
1995-06-02,1.6831,1.7044,1.6713,1.6901,392827,0
