Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.1959,8.3718,8.1122,8.3718,90547,0
1995-01-04,8.3718,8.3718,8.2796,8.3718,24129,0
1995-01-05,8.3298,8.3298,8.1959,8.2796,48023,0
1995-01-06,8.2796,8.3298,8.1122,8.2796,165558,0
1995-01-09,8.1959,8.2463,8.0705,8.2463,79556,0
1995-01-10,8.1959,8.3718,8.1959,8.1959,67848,0
1995-01-11,8.1959,8.1959,7.9364,8.0705,119690,0
1995-01-12,8.0705,8.1122,8.0288,8.0705,95320,0
1995-01-13,8.1541,8.2796,8.0705,8.2796,158390,0
1995-01-16,8.2463,8.2796,8.1959,8.1959,58053,0
1995-01-17,8.1959,8.3718,8.1959,8.3298,275452,0
1995-01-18,8.2796,8.3298,8.1959,8.2796,281424,0
1995-01-19,8.2796,8.4136,8.2796,8.4136,541111,0
1995-01-20,8.4136,8.4136,8.2796,8.2796,429303,0
1995-01-23,8.1959,8.5476,8.1959,8.4973,549947,0
1995-01-24,8.4973,8.5896,8.3718,8.4136,125660,0
1995-01-25,8.4553,8.4973,8.4136,8.4553,88392,0
1995-01-26,8.4553,8.5896,8.3718,8.5896,229582,0
1995-01-27,8.6313,8.6732,8.4553,8.4553,91259,0
1995-01-30,8.4973,8.6732,8.4973,8.6313,154806,0
1995-01-31,8.6313,8.7155,8.6313,8.6732,95559,0
1995-02-01,8.6732,8.7155,8.4553,8.5476,86723,0
1995-02-02,8.6313,8.8922,8.6313,8.8922,120406,0
1995-02-03,8.8068,9.0174,8.6732,8.9312,194225,0
1995-02-06,8.9744,8.9744,8.8922,8.9744,56620,0
1995-02-07,8.9744,9.0586,8.8409,9.0586,77166,0
1995-02-08,9.0335,9.0738,8.8575,8.8575,217639,0
1995-02-09,8.9407,9.1172,8.9005,9.0738,60679,0
1995-02-10,9.0738,9.1597,8.9407,9.0738,221222,0
1995-02-13,9.1172,9.2937,9.0335,9.0738,91020,0
1995-02-14,9.199,9.3335,9.199,9.2428,160299,0
1995-02-15,9.2428,9.2428,9.1597,9.199,157913,0
1995-02-16,9.2428,9.3335,9.1597,9.3335,236750,0
1995-02-17,9.3761,9.51,9.3761,9.46,242722,0
1995-02-21,9.4273,9.4273,9.2428,9.2937,149790,0
1995-02-22,9.2937,9.51,9.2937,9.3761,245350,0
1995-02-23,9.4273,9.4273,9.3335,9.4273,290025,0
1995-02-24,9.4273,9.46,9.4273,9.46,262075,0
1995-02-27,9.46,9.46,9.3335,9.4273,277366,0
1995-02-28,9.3335,9.46,9.3335,9.4273,304597,0
1995-03-01,9.4273,9.552,9.3761,9.552,323470,0
1995-03-02,9.552,9.552,9.3761,9.4273,76689,0
1995-03-03,9.3761,9.4273,9.2428,9.4273,80750,0
1995-03-06,9.4273,9.4273,9.199,9.3335,74299,0
1995-03-07,9.2428,9.2428,9.0335,9.1597,86723,0
1995-03-08,9.199,9.2428,9.0335,9.199,158152,0
1995-03-09,9.1597,9.46,9.1597,9.46,441490,0
1995-03-10,9.552,9.728,9.552,9.636,100815,0
1995-03-13,9.636,9.677,9.51,9.677,185147,0
1995-03-14,9.677,9.988,9.677,9.895,180608,0
1995-03-15,9.895,10.028,9.728,9.988,158390,0
1995-03-16,10.028,10.114,9.988,10.114,175832,0
1995-03-17,10.114,10.114,9.728,9.854,381763,0
1995-03-20,9.811,9.988,9.811,9.988,326576,0
