Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.3461,9.4487,9.3461,9.4487,2695125,0
1995-01-04,9.4487,9.4656,9.3842,9.4656,3072072,0
1995-01-05,9.4895,9.569,9.4656,9.529,4133923,0
1995-01-06,9.529,9.546,9.4487,9.4487,2573639,0
1995-01-09,9.4487,9.546,9.4089,9.4089,2738116,0
1995-01-10,9.4247,9.529,9.4089,9.4895,3575503,0
1995-01-11,9.505,9.529,9.4089,9.505,4879319,0
1995-01-12,9.4656,9.505,9.4247,9.4656,4891814,0
1995-01-13,9.505,9.569,9.4656,9.4895,4262907,0
1995-01-16,9.505,9.61,9.4656,9.505,5249765,0
1995-01-17,9.4895,9.624,9.4487,9.585,4256403,0
1995-01-18,9.546,9.65,9.546,9.61,3916451,0
1995-01-19,9.529,9.61,9.529,9.569,3340535,0
1995-01-20,9.546,9.569,9.4656,9.529,7028022,0
1995-01-23,9.4656,9.569,9.4247,9.546,5052292,0
1995-01-24,9.529,9.624,9.529,9.546,5926171,0
1995-01-25,9.546,9.624,9.546,9.569,4570366,0
1995-01-26,9.569,9.666,9.546,9.666,4458378,0
1995-01-27,9.69,9.754,9.666,9.729,5981166,0
1995-01-30,9.729,9.912,9.714,9.873,7920395,0
1995-01-31,9.852,9.953,9.834,9.953,7399965,0
1995-02-01,9.953,9.971,9.852,9.852,5930172,0
1995-02-02,9.873,9.929,9.834,9.912,5450239,0
1995-02-03,9.912,10.012,9.889,9.995,7415965,0
1995-02-06,10.012,10.098,9.953,10.048,6631074,0
1995-02-07,10.048,10.072,9.995,10.012,3914950,0
1995-02-08,10.012,10.033,9.834,9.852,4974305,0
1995-02-09,9.852,9.971,9.666,9.81,10934475,0
1995-02-10,9.852,9.929,9.81,9.912,4320394,0
1995-02-13,9.889,9.953,9.873,9.912,3137563,0
1995-02-14,9.953,9.971,9.834,9.889,3375031,0
1995-02-15,9.889,9.929,9.834,9.912,3809467,0
1995-02-16,9.912,9.929,9.81,9.873,3825967,0
1995-02-17,9.873,10.033,9.852,9.929,6384608,0
1995-02-21,9.953,9.995,9.889,9.929,4102930,0
1995-02-22,9.929,10.012,9.889,9.929,4150420,0
1995-02-23,9.971,10.033,9.873,9.929,4699344,0
1995-02-24,9.953,9.995,9.929,9.995,3476516,0
1995-02-27,9.971,10.012,9.929,9.995,3548505,0
1995-02-28,9.995,10.072,9.995,10.012,4345893,0
1995-03-01,10.033,10.048,9.971,9.995,2722617,0
1995-03-02,9.995,9.995,9.912,9.971,2176196,0
1995-03-03,9.953,9.971,9.912,9.953,2193693,0
1995-03-06,9.953,10.154,9.912,10.115,5297763,0
1995-03-07,10.072,10.115,9.953,10.012,5162779,0
1995-03-08,10.012,10.033,9.953,9.953,2863103,0
1995-03-09,9.953,9.971,9.889,9.889,2876597,0
1995-03-10,9.912,10.072,9.889,10.033,4638856,0
1995-03-13,10.033,10.191,10.033,10.177,4862320,0
1995-03-14,10.233,10.275,10.217,10.233,3299538,0
1995-03-15,10.259,10.312,10.259,10.275,4540366,0
1995-03-16,10.275,10.379,10.275,10.353,4077930,0
1995-03-17,10.353,10.479,10.298,10.479,8081371,0
1995-03-20,10.497,10.616,10.479,10.578,5665207,0
1995-03-21,10.561,10.659,10.497,10.522,4719840,0
1995-03-22,10.497,10.602,10.353,10.379,4455878,0
1995-03-23,10.353,10.459,10.336,10.418,4155419,0
1995-03-24,10.459,10.497,10.379,10.394,4202911,0
1995-03-27,10.353,10.394,10.298,10.353,7029020,0
1995-03-28,10.353,10.479,10.312,10.441,4273903,0
1995-03-29,10.418,10.497,10.275,10.298,4846822,0
1995-03-30,10.312,10.312,10.048,10.098,5303756,0
1995-03-31,10.033,10.217,9.971,10.177,8083873,0
1995-04-03,10.191,10.275,10.154,10.191,5636215,0
1995-04-04,10.217,10.353,10.154,10.353,6436105,0
1995-04-05,10.312,10.336,10.191,10.191,3651491,0
1995-04-06,10.217,10.259,10.169,10.259,2530148,0
1995-04-07,10.275,10.336,10.217,10.275,3536504,0
1995-04-10,10.298,10.336,10.233,10.312,3858461,0
