Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,20500,20550,20250,20400,270,0
1995-01-04,20400,20550,20350,20550,130,0
1995-01-05,20500,20500,20500,20500,140,0
1995-01-06,20550,20600,20550,20600,40,0
1995-01-09,20700,21200,20700,21200,210,0
1995-01-10,21300,21700,21300,21700,290,0
1995-01-11,21600,21600,21350,21600,390,0
1995-01-12,21700,22050,21650,22050,210,0
1995-01-13,22050,22300,21950,22300,550,0
1995-01-16,22450,23400,22450,23400,490,0
1995-01-17,23900,23950,23550,23750,450,0
1995-01-18,23500,23500,23000,23150,550,0
1995-01-19,23200,23350,23150,23350,220,0
1995-01-20,23250,23350,23250,23350,120,0
1995-01-23,23300,23300,23000,23050,430,0
1995-01-24,23150,23200,23050,23050,230,0
1995-01-25,23075,23450,23075,23450,320,0
1995-01-26,23500,23600,23500,23550,200,0
1995-01-27,23575,23700,23425,23700,200,0
1995-01-30,23850,23900,23850,23900,180,0
1995-01-31,24000,24650,24000,24600,400,0
1995-02-01,24700,25200,24700,24850,520,0
1995-02-02,24900,24900,24450,24455,700,0
1995-02-03,24450,24500,24150,24300,240,0
1995-02-06,24400,24500,24300,24450,190,0
1995-02-07,24600,24600,24500,24600,170,0
1995-02-08,24700,24850,24650,24825,170,0
1995-02-09,24825,24825,24550,24550,110,0
1995-02-10,24500,24500,23800,23800,230,0
1995-02-13,23450,23450,22500,22500,420,0
1995-02-14,22450,22450,21350,21600,670,0
1995-02-15,21700,22950,21700,22950,980,0
1995-02-16,23200,23200,22950,23000,305,0
1995-02-17,23005,23450,23005,23450,230,0
1995-02-21,23550,23550,23400,23405,230,0
1995-02-22,23350,23350,23150,23155,60,0
1995-02-23,23155,23250,22850,22850,250,0
1995-02-24,22800,22800,22550,22555,250,0
1995-02-27,22550,22600,22300,22325,150,0
1995-02-28,22375,22375,22225,22275,280,0
1995-03-01,22175,22325,21800,22000,390,0
1995-03-02,22100,22100,21750,21900,340,0
1995-03-03,21950,22400,21900,22400,360,0
1995-03-06,22400,22400,22050,22150,150,0
1995-03-07,22050,22050,21550,21800,400,0
1995-03-08,21800,22150,21800,22150,320,0
1995-03-09,22150,22150,22050,22100,80,0
1995-03-10,22100,22200,22100,22200,120,0
1995-03-13,22250,22450,22250,22450,170,0
1995-03-14,22450,22450,22200,22200,180,0
1995-03-15,22250,22250,22100,22200,90,0
1995-03-16,22200,22300,22200,22300,100,0
1995-03-17,22300,22300,22200,22200,70,0
1995-03-20,22200,22250,22050,22250,170,0
1995-03-21,22200,22200,22175,22175,70,0
1995-03-22,22175,22175,22175,22175,30,0
1995-03-23,22250,22600,22250,22600,360,0
1995-03-24,22600,22650,22575,22575,420,0
1995-03-27,22675,22900,22675,22900,530,0
1995-03-28,22900,22900,22850,22875,90,0
1995-03-29,22875,22900,22875,22900,110,0
1995-03-30,22900,22900,22900,22900,110,0
1995-03-31,22800,22800,22550,22650,110,0
1995-04-03,22550,22550,22250,22400,150,0
1995-04-04,22400,22600,22400,22500,120,0
1995-04-05,22525,22525,22475,22480,30,0
1995-04-06,22500,22600,22500,22550,120,0
1995-04-07,22600,22600,22600,22600,20,0
1995-04-10,22600,22600,22400,22450,80,0
1995-04-11,22500,22600,22500,22550,90,0
1995-04-12,22600,22600,22550,22600,30,0
1995-04-13,22600,22600,22550,22600,60,0
1995-04-17,22550,22550,22450,22450,30,0
1995-04-18,22500,22600,22450,22450,170,0
1995-04-19,22500,22500,22500,22500,110,0
1995-04-20,22500,22500,22400,22500,100,0
1995-04-21,22500,22500,22500,22500,70,0
1995-04-24,22450,22450,22050,22100,290,0
1995-04-25,22050,22200,21950,22000,340,0
1995-04-26,21950,22000,21900,22000,100,0
1995-04-27,21800,21800,21650,21650,340,0
1995-04-28,21650,21650,21500,21600,130,0
1995-05-01,21650,22200,21650,22200,450,0
1995-05-02,22400,22950,22400,22950,650,0
1995-05-03,23000,23250,23000,23175,300,0
1995-05-04,23150,23150,22950,22950,60,0
1995-05-05,22800,22800,22500,22800,190,0
1995-05-08,22800,23050,22800,23050,90,0
1995-05-09,23050,23050,22950,22955,90,0
1995-05-10,23000,23000,23000,23000,30,0
1995-05-11,23050,23050,23050,23050,10,0
1995-05-12,23000,23050,22950,22950,100,0
1995-05-15,23000,23000,22900,22905,50,0
1995-05-16,22900,22900,22850,22855,30,0
1995-05-17,22800,22850,22800,22800,250,0
