Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.28,4.28,4.16,4.19,91600,0
1995-01-04,4.28,4.56,4.28,4.53,808600,0
1995-01-05,4.5,4.75,4.5,4.72,1374400,0
1995-01-06,4.72,4.78,4.63,4.78,1670400,0
1995-01-09,4.66,4.7,4.63,4.69,2938600,0
1995-01-10,4.72,4.72,4.53,4.6,1324200,0
1995-01-11,4.6,4.6,4.53,4.53,759000,0
1995-01-12,4.56,4.56,4.47,4.53,300200,0
1995-01-13,4.5,4.56,4.5,4.56,598600,0
1995-01-16,4.56,4.6,4.53,4.6,372400,0
1995-01-17,4.6,4.63,4.53,4.6,520200,0
1995-01-18,4.6,4.63,4.56,4.6,395800,0
1995-01-19,4.6,4.69,4.6,4.66,881600,0
1995-01-20,4.66,4.66,4.5,4.56,621000,0
1995-01-23,4.53,4.53,4.5,4.5,910000,0
1995-01-24,4.5,4.56,4.5,4.56,543000,0
1995-01-25,4.53,4.56,4.5,4.56,179000,0
1995-01-26,4.56,4.69,4.56,4.66,221800,0
1995-01-27,4.66,4.66,4.56,4.56,292600,0
1995-01-30,4.53,4.53,4.44,4.47,106800,0
1995-01-31,4.44,4.63,4.44,4.63,705800,0
1995-02-01,4.63,4.66,4.58,4.6,435800,0
1995-02-02,4.6,4.6,4.53,4.53,325600,0
1995-02-03,4.53,4.53,4.47,4.47,141600,0
1995-02-06,4.47,4.5,4.44,4.5,112600,0
1995-02-07,4.47,4.5,4.47,4.5,98600,0
1995-02-08,4.5,4.5,4.47,4.5,290200,0
1995-02-09,4.5,4.5,4.47,4.5,173200,0
1995-02-10,4.47,4.56,4.47,4.56,734400,0
1995-02-13,4.56,4.66,4.56,4.63,334800,0
1995-02-14,4.63,4.63,4.56,4.63,713400,0
1995-02-15,4.63,4.69,4.63,4.69,874600,0
1995-02-16,4.69,4.69,4.63,4.69,377600,0
1995-02-17,4.69,4.78,4.63,4.69,647600,0
1995-02-21,4.72,4.75,4.53,4.6,335400,0
1995-02-22,4.81,4.88,4.78,4.85,3862200,0
1995-02-23,4.88,5.13,4.85,5.13,12806800,0
1995-02-24,5.1,5.22,5.03,5.13,3118200,0
1995-02-27,5.16,5.41,5.16,5.35,3769200,0
1995-02-28,5.31,5.44,5.19,5.41,1690400,0
1995-03-01,5.38,5.75,5.35,5.6,2395200,0
1995-03-02,5.53,5.56,5.41,5.5,1803200,0
1995-03-03,5.44,5.5,5.41,5.5,1693200,0
1995-03-06,5.5,5.5,5.44,5.5,912400,0
1995-03-07,5.44,5.47,5.31,5.38,1367600,0
1995-03-08,5.44,5.5,5.22,5.5,830200,0
1995-03-09,5.47,5.47,5.31,5.47,785800,0
1995-03-10,5.5,5.69,5.5,5.66,1966400,0
1995-03-13,5.63,5.66,5.56,5.66,631000,0
1995-03-14,5.69,5.94,5.69,5.94,1017800,0
1995-03-15,5.94,6.19,5.94,6.16,1744800,0
1995-03-16,6.13,6.19,6.06,6.13,1413000,0
1995-03-17,6.13,6.13,6,6.06,1379400,0
1995-03-20,6.03,6.1,6,6.06,621600,0
1995-03-21,6.13,6.28,6.06,6.19,1176400,0
1995-03-22,6.19,6.25,6.16,6.22,700600,0
1995-03-23,6.19,6.35,6.16,6.35,2018600,0
1995-03-24,6.35,6.44,6.31,6.38,1305200,0
1995-03-27,6.35,6.53,6.31,6.53,1160600,0
1995-03-28,6.5,6.6,6.38,6.47,985000,0
1995-03-29,6.47,6.5,6.35,6.35,1195800,0
1995-03-30,6.35,6.38,6.16,6.22,1342200,0
1995-03-31,6.16,6.16,5.94,6.16,2904400,0
1995-04-03,6.19,6.35,6.16,6.31,1138200,0
1995-04-04,6.35,6.44,6.28,6.44,748000,0
1995-04-05,6.38,6.97,6.38,6.91,2396600,0
1995-04-06,7.03,7.22,7,7,2745000,0
1995-04-07,7.03,7.03,6.63,6.72,1235200,0
1995-04-10,6.63,6.88,6.63,6.88,963600,0
1995-04-11,6.88,6.91,6.72,6.85,1866000,0
1995-04-12,6.81,6.88,6.69,6.81,974400,0
