Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,11.506,11.573,11.181,11.304,961014,0
1995-01-04,11.33,11.718,11.304,11.629,2089394,0
1995-01-05,11.629,11.775,11.597,11.597,1547009,0
1995-01-06,11.662,11.751,11.483,11.597,1264186,0
1995-01-09,11.573,11.629,11.506,11.597,909931,0
1995-01-10,11.662,12.254,11.662,12.165,4003116,0
1995-01-11,12.222,12.287,11.928,12.078,3375178,0
1995-01-12,12.11,12.467,12.078,12.4,2682451,0
1995-01-13,12.52,12.613,12.4,12.52,2183668,0
1995-01-16,12.433,12.613,12.433,12.52,1442351,0
1995-01-17,12.52,12.913,12.52,12.758,2635108,0
1995-01-18,12.936,12.936,12.581,12.67,3739813,0
1995-01-19,12.881,13.094,12.734,12.971,7477552,0
1995-01-20,13.003,13.115,12.556,12.758,4073720,0
1995-01-23,12.491,12.792,12.491,12.758,2090226,0
1995-01-24,12.734,12.823,12.644,12.644,2230181,0
1995-01-25,12.345,12.556,12.345,12.345,3213207,0
1995-01-26,12.287,12.377,12.11,12.11,2489746,0
1995-01-27,12.165,12.4,12.042,12.287,3000573,0
1995-01-30,12.222,12.254,12.078,12.11,1760059,0
1995-01-31,12.131,12.131,11.866,11.895,2658777,0
1995-02-01,11.928,12.199,11.841,12.11,2532524,0
1995-02-02,12.017,12.312,12.017,12.312,2084410,0
1995-02-03,12.377,12.613,12.312,12.556,1872192,0
1995-02-06,12.556,12.792,12.556,12.734,1493848,0
1995-02-07,12.792,12.792,12.52,12.556,1761722,0
1995-02-08,12.52,12.644,12.491,12.581,887502,0
1995-02-09,12.556,12.792,12.556,12.67,998803,0
1995-02-10,12.703,13.181,12.703,13.058,3796711,0
1995-02-13,13.094,13.358,13.094,13.358,2589837,0
1995-02-14,13.295,13.328,13.181,13.236,2833620,0
1995-02-15,13.271,13.295,13.058,13.181,2785862,0
1995-02-16,13.206,13.328,13.181,13.271,1457302,0
1995-02-17,13.271,13.328,13.148,13.181,2369309,0
1995-02-21,13.181,13.394,13.115,13.271,1208950,0
1995-02-22,13.271,13.295,13.148,13.271,1470590,0
1995-02-23,13.417,13.895,13.394,13.596,3305405,0
1995-02-24,13.718,13.895,13.685,13.864,2828633,0
1995-02-27,13.718,13.93,13.571,13.596,2772985,0
1995-02-28,13.54,13.653,13.54,13.653,2333595,0
1995-03-01,13.653,14.221,13.596,14.077,3689560,0
1995-03-02,14.009,14.13,13.956,14.009,2208172,0
1995-03-03,13.983,14.643,13.983,14.548,4524324,0
1995-03-06,14.488,15.181,14.253,15.181,6388626,0
1995-03-07,14.793,14.937,14.488,14.61,5656444,0
1995-03-08,14.578,14.793,14.548,14.671,4135603,0
1995-03-09,14.61,14.643,14.488,14.578,3656755,0
1995-03-10,14.548,14.906,14.548,14.823,3283396,0
1995-03-13,14.846,14.937,14.793,14.793,961014,0
1995-03-14,14.846,15.082,14.823,15.028,1611795,0
1995-03-15,14.937,15.116,14.937,15.082,1807405,0
1995-03-16,15.028,15.295,15.028,15.205,2126358,0
1995-03-17,15.269,15.349,15.116,15.116,2943259,0
1995-03-20,14.879,15.059,14.879,14.967,2271299,0
1995-03-21,15.028,15.327,15.028,15.116,3365208,0
1995-03-22,15.059,15.181,14.937,15.148,1843122,0
1995-03-23,15.148,15.148,14.906,14.937,2347301,0
1995-03-24,15.002,15.148,14.879,14.937,2464416,0
1995-03-27,14.967,15.002,14.846,14.937,1468514,0
1995-03-28,14.906,15.028,14.898,15.002,1527072,0
1995-03-29,15.028,15.237,14.523,14.643,3258060,0
1995-03-30,14.671,14.671,14.166,14.367,3556667,0
1995-03-31,14.314,14.314,14.043,14.166,4031773,0
1995-04-03,14.221,14.4,13.93,14.367,3298345,0
1995-04-04,14.314,14.342,13.956,13.983,3335309,0
1995-04-05,13.93,14.077,13.685,13.832,3798785,0
1995-04-06,13.864,14.166,13.864,13.956,2540002,0
1995-04-07,14.009,14.286,13.685,14.19,3412554,0
1995-04-10,13.983,14.221,13.983,14.077,1493848,0
1995-04-11,14.13,14.286,14.106,14.253,1211443,0
1995-04-12,14.253,14.253,13.832,13.93,2191976,0
1995-04-13,13.895,14.314,13.895,14.314,1925353,0
1995-04-17,14.488,14.523,13.864,13.864,1955667,0
1995-04-18,13.93,13.956,13.358,13.54,4091996,0
1995-04-19,13.475,13.628,13.206,13.295,3882266,0
1995-04-20,13.417,13.475,13.236,13.328,2417072,0
1995-04-21,13.328,14.434,13.295,14.434,5346215,0
1995-04-24,14.434,14.724,14.077,14.578,2794997,0
1995-04-25,14.548,15.327,14.548,15.148,4055031,0
1995-04-26,15.295,15.327,15.028,15.148,2642996,0
1995-04-27,15.205,15.472,15.181,15.327,2512592,0
1995-04-28,15.295,15.447,15.002,15.349,1216839,0
1995-05-01,15.349,15.349,15.082,15.116,1646269,0
1995-05-02,15.237,16.522,15.237,16.367,7231689,0
1995-05-03,16.367,16.545,16.276,16.457,3626023,0
1995-05-04,16.457,16.994,16.424,16.757,3402173,0
1995-05-05,16.814,16.814,15.984,16.276,2962365,0
1995-05-08,16.188,16.602,16.042,16.424,1820694,0
1995-05-09,16.457,16.489,16.245,16.343,1663294,0
1995-05-10,16.367,16.602,16.188,16.522,1907078,0
1995-05-11,16.545,16.635,16.367,16.578,1868038,0
1995-05-12,16.578,16.846,16.545,16.725,2702801,0
1995-05-15,16.667,16.78,16.635,16.725,1547009,0
1995-05-16,16.757,17.471,16.602,17.416,2638012,0
1995-05-17,17.416,17.562,17.236,17.35,1904586,0
1995-05-18,16.936,16.936,16.188,16.399,14192193,0
1995-05-19,16.276,16.457,15.74,15.74,5830042,0
1995-05-22,15.86,16.042,15.327,15.561,8105079,0
1995-05-23,15.627,16.098,15.531,16.042,5777298,0
1995-05-24,16.221,16.245,15.596,15.651,4125631,0
1995-05-25,15.148,17.326,15.148,17.058,14272348,0
1995-05-26,16.522,16.578,16.065,16.522,8373782,0
