Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.991,10.074,9.793,9.793,669856,0
1995-01-04,9.793,9.951,9.793,9.909,492900,0
1995-01-05,9.868,9.868,9.754,9.836,556430,0
1995-01-06,9.836,9.868,9.793,9.836,459064,0
1995-01-09,9.793,9.909,9.793,9.868,626772,0
1995-01-10,9.909,10.074,9.868,9.909,981176,0
1995-01-11,9.951,10.074,9.868,10.033,1083163,0
1995-01-12,9.991,10.147,9.991,10.033,992616,0
1995-01-13,10.033,10.074,9.868,9.909,858498,0
1995-01-16,9.909,9.951,9.868,9.909,467344,0
1995-01-17,9.868,9.909,9.754,9.793,1103122,0
1995-01-18,9.793,9.836,9.713,9.836,836593,0
1995-01-19,9.754,9.868,9.754,9.868,784260,0
1995-01-20,9.868,9.868,9.754,9.793,736553,0
1995-01-23,9.713,9.868,9.67,9.793,738254,0
1995-01-24,9.793,9.836,9.63,9.67,1743526,0
1995-01-25,9.67,9.713,9.514,9.713,1462639,0
1995-01-26,9.67,9.713,9.547,9.67,678864,0
1995-01-27,9.713,9.836,9.63,9.754,1634238,0
1995-01-30,9.739,9.901,9.739,9.818,1831152,0
1995-01-31,9.862,9.983,9.862,9.944,1546857,0
1995-02-01,9.944,9.983,9.818,9.983,845841,0
1995-02-02,9.983,9.983,9.862,9.901,278946,0
1995-02-03,9.901,10.017,9.862,9.901,1134275,0
1995-02-06,9.944,10.098,9.901,10.098,1666856,0
1995-02-07,10.098,10.098,10.017,10.057,714159,0
1995-02-08,10.098,10.262,10.017,10.098,1192210,0
1995-02-09,10.458,10.545,10.304,10.344,1663203,0
1995-02-10,10.42,10.501,10.378,10.42,779145,0
1995-02-13,10.582,10.664,10.545,10.582,1444625,0
1995-02-14,10.623,10.623,10.501,10.582,1359185,0
1995-02-15,10.582,10.582,10.378,10.458,1178578,0
1995-02-16,10.42,10.582,10.42,10.582,904262,0
1995-02-17,10.582,10.664,10.545,10.623,1558535,0
1995-02-21,10.582,10.664,10.582,10.664,1155941,0
1995-02-22,10.582,10.746,10.545,10.708,1151315,0
1995-02-23,10.708,10.778,10.582,10.708,893308,0
1995-02-24,10.623,10.708,10.623,10.708,694439,0
1995-02-27,10.708,10.708,10.545,10.545,1045925,0
1995-02-28,10.545,10.599,10.501,10.545,730710,0
1995-03-01,10.545,10.664,10.545,10.623,2454033,0
1995-03-02,10.664,10.664,10.582,10.623,1033264,0
1995-03-03,10.582,10.623,10.545,10.623,1186124,0
1995-03-06,10.623,10.623,10.458,10.582,1174196,0
1995-03-07,10.545,10.582,10.344,10.344,1576795,0
1995-03-08,10.42,10.42,10.262,10.304,964621,0
1995-03-09,10.304,10.344,10.221,10.344,1910747,0
1995-03-10,10.304,10.458,10.262,10.42,1393505,0
1995-03-13,10.378,10.501,10.378,10.42,766487,0
1995-03-14,10.42,10.582,10.378,10.458,957810,0
1995-03-15,10.501,10.545,10.378,10.42,1091197,0
1995-03-16,10.42,10.545,10.42,10.545,1187102,0
1995-03-17,10.545,10.664,10.501,10.582,1393993,0
1995-03-20,10.582,10.708,10.582,10.623,793020,0
1995-03-21,10.664,10.778,10.623,10.778,1883243,0
1995-03-22,10.778,10.862,10.582,10.623,2324055,0
1995-03-23,10.664,10.664,10.501,10.623,992616,0
1995-03-24,10.708,10.903,10.664,10.862,3195210,0
1995-03-27,10.903,11.026,10.862,11.026,1472617,0
1995-03-28,11.026,11.026,10.822,10.822,1269369,0
1995-03-29,10.822,10.862,10.708,10.708,1290060,0
1995-03-30,10.778,10.822,10.708,10.746,1136715,0
1995-03-31,10.746,10.746,10.582,10.664,922269,0
1995-04-03,10.708,10.778,10.623,10.778,501906,0
1995-04-04,10.746,10.778,10.708,10.778,1236266,0
1995-04-05,10.778,10.943,10.746,10.943,1329005,0
1995-04-06,10.986,11.109,10.986,11.109,1715289,0
1995-04-07,11.069,11.109,10.862,10.943,1296142,0
1995-04-10,11.026,11.026,10.778,10.822,708316,0
1995-04-11,10.822,10.862,10.778,10.822,1200726,0
1995-04-12,10.822,10.943,10.778,10.903,483648,0
1995-04-13,10.903,10.943,10.778,10.903,1206326,0
1995-04-17,10.903,10.903,10.746,10.778,792533,0
1995-04-18,10.822,10.822,10.664,10.708,477809,0
1995-04-19,10.746,10.862,10.708,10.778,746287,0
1995-04-20,10.746,10.746,10.664,10.708,1508884,0
1995-04-21,10.778,10.943,10.623,10.903,901338,0
1995-04-24,10.822,10.943,10.778,10.778,679592,0
1995-04-25,10.778,10.903,10.746,10.903,799108,0
1995-04-26,10.903,10.903,10.778,10.778,451034,0
1995-04-27,10.746,10.778,10.664,10.746,764053,0
1995-04-28,10.708,10.746,10.545,10.692,590996,0
1995-05-01,10.771,10.771,10.648,10.648,615821,0
1995-05-02,10.605,10.771,10.605,10.771,1220445,0
1995-05-03,10.813,10.934,10.692,10.896,1197562,0
1995-05-04,10.978,10.978,10.648,10.73,1134037,0
1995-05-05,10.771,10.771,10.605,10.73,1053710,0
1995-05-08,10.692,10.73,10.605,10.73,1451193,0
1995-05-09,10.73,10.73,10.605,10.648,471238,0
1995-05-10,10.648,10.648,10.484,10.566,518456,0
1995-05-11,10.648,10.771,10.605,10.692,600243,0
1995-05-12,10.692,10.692,10.605,10.648,1180038,0
1995-05-15,10.605,10.692,10.411,10.443,444220,0
1995-05-16,10.528,10.528,10.206,10.328,1847703,0
1995-05-17,10.328,10.37,10.041,10.165,3406486,0
1995-05-18,10.165,10.206,10.041,10.206,2040240,0
1995-05-19,10.083,10.206,9.999,10.165,3846323,0
1995-05-22,10.206,10.411,10.165,10.37,2068473,0
1995-05-23,10.37,10.566,10.328,10.566,5192852,0
1995-05-24,10.566,10.73,10.528,10.648,2466447,0
1995-05-25,10.605,10.648,10.528,10.648,948803,0
1995-05-26,10.605,10.605,10.443,10.443,1409816,0
1995-05-30,10.528,10.648,10.528,10.605,832451,0
1995-05-31,10.605,10.856,10.566,10.813,2681377,0
1995-06-01,10.813,10.896,10.566,10.566,3092490,0
1995-06-02,10.692,10.856,10.648,10.771,2458415,0
1995-06-05,10.771,10.856,10.692,10.856,1438538,0
1995-06-06,10.856,10.934,10.813,10.856,1099232,0
1995-06-07,10.896,10.934,10.73,10.73,1803407,0
1995-06-08,10.813,10.896,10.73,10.813,1871075,0
1995-06-09,10.896,10.978,10.813,10.813,1194399,0
1995-06-12,10.856,10.934,10.856,10.856,484137,0
1995-06-13,10.934,10.934,10.856,10.896,393103,0
1995-06-14,10.934,10.934,10.813,10.896,747747,0
1995-06-15,10.896,10.978,10.856,10.934,637001,0
1995-06-16,10.978,11.008,10.934,10.978,1668558,0
1995-06-19,10.978,11.132,10.934,11.132,1018171,0
1995-06-20,11.132,11.217,11.095,11.174,1734766,0
1995-06-21,11.174,11.256,11.095,11.095,2033915,0
1995-06-22,11.217,11.217,11.132,11.217,675697,0
1995-06-23,11.174,11.217,11.132,11.217,696145,0
1995-06-26,11.132,11.297,11.132,11.217,845107,0
1995-06-27,11.256,11.381,11.174,11.174,815901,0
1995-06-28,11.297,11.34,11.174,11.34,665232,0
1995-06-29,11.381,11.462,11.217,11.34,867017,0
1995-06-30,11.421,11.462,11.217,11.297,841704,0
1995-07-03,11.256,11.381,11.256,11.381,197160,0
1995-07-05,11.462,11.577,11.421,11.502,955131,0
1995-07-06,11.546,11.618,11.462,11.577,1131358,0
1995-07-07,11.661,11.661,11.381,11.421,1792940,0
1995-07-10,11.421,11.462,11.297,11.297,1718458,0
1995-07-11,11.421,11.462,11.34,11.421,920323,0
1995-07-12,11.462,11.661,11.462,11.546,1317807,0
1995-07-13,11.502,11.661,11.502,11.546,676673,0
1995-07-14,11.546,11.618,11.502,11.618,900851,0
1995-07-17,11.618,11.661,11.546,11.546,470020,0
1995-07-18,11.618,11.783,11.502,11.7,1237971,0
1995-07-19,11.783,11.823,11.577,11.7,1290305,0
1995-07-20,11.7,11.906,11.7,11.783,576628,0
1995-07-21,11.823,11.865,11.783,11.823,979226,0
1995-07-24,11.783,11.989,11.783,11.906,1011113,0
1995-07-25,11.947,12.144,11.906,12.071,826609,0
1995-07-26,12.071,12.185,12.029,12.029,1593587,0
1995-07-27,12.144,12.185,12.111,12.144,922027,0
1995-07-28,12.071,12.185,12.071,12.144,986529,0
1995-07-31,12.185,12.229,12.029,12.229,434241,0
1995-08-01,12.185,12.229,12.144,12.185,548397,0
1995-08-02,12.3,12.458,12.22,12.343,1453144,0
1995-08-03,12.374,12.54,12.3,12.458,1470183,0
1995-08-04,12.458,12.54,12.374,12.458,941013,0
1995-08-07,12.458,12.498,12.458,12.498,504826,0
1995-08-08,12.458,12.498,12.415,12.458,943935,0
1995-08-09,12.458,12.498,12.415,12.498,552535,0
1995-08-10,12.458,12.498,12.374,12.415,1217279,0
1995-08-11,12.415,12.415,12.3,12.374,785231,0
1995-08-14,12.3,12.458,12.3,12.374,1329737,0
1995-08-15,12.343,12.498,12.343,12.458,730710,0
1995-08-16,12.415,12.58,12.415,12.54,896224,0
1995-08-17,12.498,12.661,12.498,12.62,1128195,0
1995-08-18,12.62,12.661,12.54,12.58,1601135,0
1995-08-21,12.58,12.661,12.54,12.58,1006003,0
1995-08-22,12.54,12.661,12.54,12.661,1437076,0
1995-08-23,12.661,12.661,12.58,12.62,1314889,0
1995-08-24,12.661,12.785,12.62,12.785,977767,0
1995-08-25,12.745,12.826,12.702,12.826,795943,0
1995-08-28,12.826,12.867,12.54,12.58,2501254,0
1995-08-29,12.54,12.58,12.415,12.58,1687055,0
1995-08-30,12.62,12.661,12.498,12.54,1241623,0
1995-08-31,12.458,12.498,12.3,12.374,1585315,0
1995-09-01,12.374,12.374,12.22,12.3,998214,0
1995-09-05,12.343,12.54,12.22,12.3,930303,0
1995-09-06,12.3,12.3,12.054,12.22,1185880,0
1995-09-07,12.177,12.259,12.094,12.259,1151315,0
1995-09-08,12.22,12.259,12.177,12.22,431560,0
1995-09-11,12.259,12.415,12.259,12.374,558617,0
1995-09-12,12.343,12.62,12.343,12.62,868478,0
1995-09-13,12.62,12.661,12.458,12.661,1354564,0
1995-09-14,12.661,12.661,12.58,12.661,980690,0
1995-09-15,12.702,12.702,12.62,12.702,962921,0
1995-09-18,12.62,12.702,12.62,12.702,396266,0
1995-09-19,12.702,12.785,12.661,12.745,571763,0
1995-09-20,12.661,12.785,12.661,12.785,515535,0
1995-09-21,12.745,12.909,12.745,12.826,581988,0
1995-09-22,12.745,12.826,12.702,12.785,685679,0
1995-09-25,12.867,12.867,12.702,12.745,311804,0
1995-09-26,12.745,12.949,12.745,12.949,899637,0
1995-09-27,12.867,13.032,12.826,13.032,789369,0
1995-09-28,13.032,13.073,12.949,13.032,1187341,0
1995-09-29,12.99,12.99,12.785,12.909,987263,0
1995-10-02,12.785,12.99,12.785,12.99,532575,0
1995-10-03,12.99,13.032,12.949,13.032,647951,0
1995-10-04,13.032,13.154,13.032,13.154,776956,0
1995-10-05,13.115,13.115,12.99,13.073,516753,0
1995-10-06,13.073,13.073,12.949,12.99,300608,0
1995-10-09,12.99,12.99,12.867,12.99,304015,0
1995-10-10,12.909,13.115,12.909,13.115,443488,0
1995-10-11,13.073,13.115,12.99,13.115,816391,0
1995-10-12,13.115,13.115,12.99,13.032,253389,0
1995-10-13,13.115,13.115,12.99,12.99,516268,0
1995-10-16,12.949,12.99,12.867,12.949,932007,0
1995-10-17,12.949,12.949,12.785,12.867,542311,0
1995-10-18,12.826,12.909,12.745,12.745,670344,0
1995-10-19,12.826,13.032,12.785,12.99,755539,0
1995-10-20,12.949,12.99,12.867,12.949,611196,0
1995-10-23,12.867,12.909,12.785,12.867,622879,0
1995-10-24,12.826,13.032,12.826,12.99,556188,0
1995-10-25,12.99,13.032,12.909,12.909,662554,0
1995-10-26,12.949,12.99,12.745,12.745,934195,0
1995-10-27,12.826,12.826,12.745,12.745,591968,0
1995-10-30,12.826,12.826,12.62,12.785,514079,0
1995-10-31,12.785,12.785,12.58,12.702,540851,0
1995-11-01,12.62,12.702,12.458,12.62,602188,0
1995-11-02,12.661,12.909,12.62,12.826,457364,0
1995-11-03,12.785,12.867,12.745,12.785,798133,0
1995-11-06,12.702,12.745,12.58,12.62,582716,0
1995-11-07,12.661,12.702,12.661,12.661,526732,0
1995-11-08,12.745,12.745,12.661,12.745,565920,0
1995-11-09,12.785,12.785,12.458,12.54,588071,0
1995-11-10,12.54,12.62,12.458,12.58,1298334,0
1995-11-13,12.661,12.702,12.54,12.702,313268,0
1995-11-14,12.702,12.702,12.54,12.62,427179,0
1995-11-15,12.62,12.62,12.498,12.58,1081460,0
1995-11-16,12.62,12.702,12.58,12.58,924949,0
1995-11-17,12.702,12.826,12.62,12.826,1036918,0
1995-11-20,12.785,13.032,12.745,12.867,944663,0
1995-11-21,12.867,12.99,12.867,12.909,803487,0
1995-11-22,12.909,12.949,12.826,12.867,931033,0
1995-11-24,12.867,12.949,12.867,12.909,301582,0
1995-11-27,12.99,13.032,12.949,12.99,887463,0
1995-11-28,12.949,13.106,12.949,13.106,828073,0
1995-11-29,13.073,13.106,13.032,13.073,744827,0
1995-11-30,13.032,13.106,13.032,13.073,1389371,0
1995-12-01,13.073,13.23,13.073,13.147,1002107,0
1995-12-04,13.147,13.353,13.147,13.269,1285921,0
1995-12-05,13.23,13.353,13.147,13.147,1242840,0
1995-12-06,13.073,13.269,13.073,13.23,2200889,0
1995-12-07,13.23,13.23,12.99,13.073,1080733,0
1995-12-08,13.106,13.312,13.106,13.269,1145720,0
1995-12-11,13.147,13.269,13.147,13.147,759187,0
1995-12-12,13.147,13.23,13.147,13.186,748234,0
1995-12-13,13.23,13.312,13.186,13.269,574928,0
1995-12-14,13.269,13.312,13.147,13.186,833183,0
1995-12-15,13.186,13.435,13.147,13.312,2965918,0
1995-12-18,13.23,13.269,13.147,13.186,1424175,0
1995-12-19,13.106,13.312,13.073,13.269,1537848,0
1995-12-20,13.353,13.68,13.353,13.353,1388149,0
1995-12-21,13.312,13.6,13.312,13.515,856553,0
1995-12-22,13.435,13.6,13.435,13.515,1007461,0
1995-12-26,13.474,13.639,13.474,13.6,362921,0
1995-12-27,13.558,13.68,13.558,13.6,804217,0
1995-12-28,13.6,13.639,13.474,13.474,1784421,0
1995-12-29,13.394,13.558,13.394,13.515,622879,0
1996-01-02,13.558,13.805,13.558,13.805,1800727,0
1996-01-03,13.844,13.928,13.763,13.928,733141,0
1996-01-04,13.928,14.051,13.928,13.928,1390827,0
1996-01-05,13.928,14.009,13.805,14.009,1429287,0
1996-01-08,13.968,14.173,13.968,14.173,729491,0
1996-01-09,14.257,14.419,14.09,14.173,1344825,0
1996-01-10,14.09,14.132,13.968,14.051,1477728,0
1996-01-11,13.968,14.051,13.928,14.009,887463,0
1996-01-12,14.051,14.09,13.968,14.009,812982,0
1996-01-15,14.009,14.051,13.968,14.051,566167,0
1996-01-16,14.09,14.216,14.051,14.216,1268641,0
1996-01-17,14.173,14.296,14.09,14.257,751638,0
1996-01-18,14.338,14.462,14.296,14.462,912778,0
1996-01-19,14.381,14.403,14.257,14.338,992616,0
1996-01-22,14.381,14.381,14.257,14.381,653791,0
1996-01-23,14.338,14.462,14.338,14.381,897690,0
1996-01-24,14.419,14.584,14.381,14.584,745800,0
1996-01-25,14.584,14.667,14.544,14.544,1110914,0
1996-01-26,14.503,14.873,14.503,14.873,885030,0
1996-01-29,14.873,14.912,14.833,14.912,497282,0
1996-01-30,14.912,15.201,14.912,15.201,1297610,0
1996-01-31,15.154,15.233,14.988,15.11,2577196,0
1996-02-01,15.067,15.067,14.825,15.067,1322674,0
1996-02-02,14.946,14.988,14.864,14.904,1436834,0
1996-02-05,14.825,14.946,14.825,14.904,918617,0
1996-02-06,14.946,15.11,14.904,15.067,781096,0
1996-02-07,15.11,15.193,15.067,15.154,727792,0
1996-02-08,15.154,15.438,15.154,15.398,1482596,0
1996-02-09,15.318,15.521,15.233,15.358,2076263,0
1996-02-12,15.398,15.438,15.318,15.438,744583,0
1996-02-13,15.358,15.48,15.275,15.358,972656,0
1996-02-14,15.275,15.438,15.154,15.233,903771,0
1996-02-15,15.275,15.275,14.988,15.067,1041294,0
1996-02-16,14.739,14.739,14.411,14.617,1902961,0
1996-02-20,14.537,14.575,14.287,14.411,2468639,0
1996-02-21,14.411,14.452,13.835,14.001,2523406,0
1996-02-22,14.123,14.165,13.921,14.001,2353264,0
1996-02-23,14.001,14.329,13.96,14.287,2171923,0
1996-02-26,14.287,14.66,14.165,14.452,1747909,0
1996-02-27,14.496,14.496,14.372,14.452,1673424,0
1996-02-28,14.329,14.7,14.329,14.452,2013468,0
1996-02-29,14.452,14.496,13.796,13.879,1971359,0
1996-03-01,13.96,14.123,13.755,13.96,1582635,0
1996-03-04,14.043,14.287,13.921,14.123,1400079,0
1996-03-05,14.165,14.329,13.879,14.043,1296872,0
1996-03-06,14.123,14.372,14.085,14.248,938337,0
1996-03-07,14.411,14.617,14.329,14.411,1580200,0
1996-03-08,13.921,14.287,13.755,13.835,1315131,0
1996-03-11,13.714,14.043,13.631,14.043,1129895,0
1996-03-12,13.921,14.001,13.796,13.835,876022,0
1996-03-13,14.001,14.043,13.879,14.001,661582,0
1996-03-14,14.001,14.001,13.835,13.879,782555,0
1996-03-15,13.921,13.921,13.755,13.921,1312693,0
