Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.4752,8.4752,8.1805,8.2067,381297,0
1995-01-04,8.2498,8.3194,8.1372,8.2498,258718,0
1995-01-05,8.276,8.4322,8.2498,8.3455,203395,0
1995-01-06,8.3455,8.3628,8.0854,8.0854,226716,0
1995-01-09,8.0854,8.1548,8.0854,8.1548,40679,0
1995-01-10,8.2067,8.224,8.1114,8.1114,332482,0
1995-01-11,8.1114,8.1114,7.9553,8.0422,279867,0
1995-01-12,8.0422,8.1805,8.0422,8.1805,452348,0
1995-01-13,8.224,8.224,8.0854,8.1548,192004,0
1995-01-16,8.1372,8.1805,8.1114,8.1805,189294,0
1995-01-17,8.1805,8.224,8.1114,8.224,370451,0
1995-01-18,8.2067,8.3887,8.2067,8.2931,286382,0
1995-01-19,8.2498,8.276,8.1114,8.1114,369906,0
1995-01-20,8.1548,8.1548,8.0678,8.0854,150243,0
1995-01-23,8.0854,8.2498,8.0678,8.224,249499,0
1995-01-24,8.224,8.4148,8.224,8.3887,1211686,0
1995-01-25,8.3628,8.4752,8.3628,8.4579,513638,0
1995-01-26,8.4148,8.4148,8.3455,8.3628,648689,0
1995-01-27,8.4148,8.4322,8.3628,8.3628,145358,0
1995-01-30,8.4148,8.4322,8.3628,8.4148,194716,0
1995-01-31,8.4148,8.4579,8.3887,8.3887,402448,0
1995-02-01,8.4322,8.5273,8.4148,8.4579,379127,0
1995-02-02,8.501,8.6663,8.501,8.5968,577095,0
1995-02-03,8.5968,8.8389,8.5968,8.7526,1172092,0
1995-02-06,8.7959,8.8827,8.7526,8.8649,157833,0
1995-02-07,8.8649,9.0642,8.7959,9.0471,363396,0
1995-02-08,9.0206,9.0471,8.8129,8.8129,404618,0
1995-02-09,8.8389,8.8827,8.8129,8.8827,458857,0
1995-02-10,8.8827,8.8827,8.8129,8.8389,128001,0
1995-02-13,8.8649,8.8649,8.7959,8.8129,93835,0
1995-02-14,8.8649,9.0035,8.8649,9.0035,330312,0
1995-02-15,9.0035,9.09,8.9523,9.0035,822795,0
1995-02-16,9.0035,9.2542,8.9788,9.2542,979001,0
1995-02-17,9.2542,9.2542,9.0471,9.09,389432,0
1995-02-21,9.09,9.09,9.0471,9.09,176277,0
1995-02-22,9.09,9.1335,9.09,9.1176,194716,0
1995-02-23,9.1176,9.1604,9.0035,9.0642,1115685,0
1995-02-24,9.0642,9.0642,8.9788,8.9788,560281,0
1995-02-27,8.9788,8.9788,8.8129,8.8649,263598,0
1995-02-28,8.8649,9.0035,8.8129,9.0035,415468,0
1995-03-01,9.0035,9.1335,9.0035,9.09,456687,0
1995-03-02,9.09,9.1867,9.09,9.1604,413837,0
1995-03-03,9.1604,9.1604,9.09,9.09,62914,0
1995-03-06,9.0471,9.0471,8.9089,9.0035,290173,0
1995-03-07,8.9523,9.0035,8.9523,8.9788,138851,0
1995-03-08,9.0206,9.0206,8.9788,8.9788,392143,0
1995-03-09,8.9788,8.9788,8.8649,8.8827,97088,0
1995-03-10,8.8827,8.9523,8.8827,8.9523,217494,0
1995-03-13,8.9089,8.9788,8.9089,8.9788,116612,0
1995-03-14,9.0035,9.1604,9.0035,9.1335,307529,0
1995-03-15,9.09,9.09,9.0206,9.09,502249,0
1995-03-16,9.09,9.09,9.0206,9.0471,439329,0
1995-03-17,9.0471,9.1604,9.0471,9.1335,333025,0
1995-03-20,9.1604,9.2542,9.0642,9.0642,367192,0
1995-03-21,9.1335,9.1335,9.0206,9.0206,1028359,0
1995-03-22,9.0471,9.0471,8.9089,8.9089,320550,0
1995-03-23,8.9344,8.9344,8.7265,8.7265,452890,0
1995-03-24,8.7265,8.7526,8.5273,8.7265,937239,0
1995-03-27,8.6831,8.7094,8.6663,8.6831,619945,0
1995-03-28,8.6831,8.6831,8.64,8.6663,320006,0
1995-03-29,8.6663,8.6663,8.5707,8.5968,83526,0
1995-03-30,8.5968,8.7352,8.4838,8.7352,637301,0
