Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.781,9.833,9.738,9.806,2565051,0
1995-01-04,9.633,9.781,9.633,9.781,3145096,0
1995-01-05,9.781,9.915,9.781,9.915,2783837,0
1995-01-06,9.915,10.227,9.847,10.095,3835742,0
1995-01-09,10.03,10.319,10.03,10.296,3790345,0
1995-01-10,10.296,10.495,10.296,10.411,4200386,0
1995-01-11,10.451,10.451,10.137,10.319,3149925,0
1995-01-12,10.296,10.319,10.095,10.122,3015177,0
1995-01-13,10.137,10.253,10.004,10.227,2687724,0
1995-01-16,10.161,10.253,9.965,10.227,3900459,0
1995-01-17,10.253,10.477,10.188,10.437,4203284,0
1995-01-18,10.437,10.503,10.386,10.503,3402521,0
1995-01-19,10.342,10.361,9.781,9.806,16901035,0
1995-01-20,9.673,9.673,9.3594,9.4254,13933670,0
1995-01-23,9.3839,9.4476,9.2407,9.4476,7521766,0
1995-01-24,9.534,9.625,9.4655,9.518,5438721,0
1995-01-25,9.4006,9.716,9.4006,9.61,3554655,0
1995-01-26,9.61,9.647,9.518,9.625,2587748,0
1995-01-27,9.806,9.806,9.4254,9.4476,3422322,0
1995-01-30,9.3839,9.4006,9.2407,9.2407,3151857,0
1995-01-31,9.2931,9.3594,9.2031,9.2031,5026263,0
1995-02-01,9.1763,9.4006,9.1502,9.2271,8167980,0
1995-02-02,9.2271,9.4006,9.1763,9.3594,3050921,0
1995-02-03,9.4924,9.716,9.4254,9.4924,6812287,0
1995-02-06,9.4924,9.647,9.4655,9.625,3439226,0
1995-02-07,9.647,9.673,9.4476,9.582,3294335,0
1995-02-08,9.61,9.61,9.4924,9.534,1891791,0
1995-02-09,9.582,9.625,9.2931,9.4254,3305444,0
1995-02-10,9.4655,9.556,9.3839,9.518,2358343,0
1995-02-13,9.518,9.556,9.4476,9.556,2887191,0
1995-02-14,9.534,9.625,9.518,9.61,2237599,0
1995-02-15,9.647,9.738,9.534,9.534,2592583,0
1995-02-16,9.534,9.534,9.3594,9.534,3020973,0
1995-02-17,9.4924,9.518,9.3839,9.3839,2151147,0
1995-02-21,9.4006,9.4254,9.2659,9.3095,3872931,0
1995-02-22,9.3839,9.4924,9.3594,9.4655,4336583,0
1995-02-23,9.582,9.582,9.4476,9.4924,4320645,0
1995-02-24,9.4254,9.4476,9.2407,9.2659,5423749,0
1995-02-27,9.2031,9.2931,9.0857,9.1502,4893930,0
1995-02-28,9.1353,9.2407,9.1106,9.2407,3268252,0
1995-03-01,9.0695,9.1502,8.9539,9.0027,13884891,0
1995-03-02,8.9773,9.0027,8.6862,8.7291,12748945,0
1995-03-03,8.7036,8.8624,8.6638,8.7802,7116075,0
1995-03-06,8.7036,8.7556,8.6638,8.7291,6359261,0
1995-03-07,8.6862,8.82,8.6393,8.6862,4208111,0
1995-03-08,8.6862,8.7802,8.6638,8.6638,3697614,0
1995-03-09,8.7556,8.8449,8.7291,8.7958,3244107,0
1995-03-10,8.8868,8.9773,8.8449,8.9288,5263885,0
1995-03-13,8.9288,8.9539,8.7036,8.7291,4452982,0
1995-03-14,8.7958,8.9288,8.7802,8.7802,4693981,0
1995-03-15,8.7958,8.9539,8.7958,8.911,4107172,0
1995-03-16,8.911,9.2031,8.911,9.1353,5208342,0
1995-03-17,9.1502,9.2931,9.1106,9.2271,4690117,0
1995-03-20,9.2407,9.2407,9.1106,9.1502,1911592,0
1995-03-21,9.0027,9.1353,8.9773,9.0187,7836663,0
1995-03-22,9.0027,9.0027,8.82,8.8868,7024309,0
1995-03-23,8.8624,8.911,8.7802,8.8624,4903108,0
1995-03-24,8.911,9.1353,8.8868,9.1353,6011039,0
1995-03-27,9.1353,9.3349,9.0857,9.3349,3067821,0
1995-03-28,9.3839,9.3839,9.2031,9.2931,1720822,0
1995-03-29,9.673,9.94,9.61,9.647,8903544,0
1995-03-30,9.781,10.279,9.716,10.095,8188266,0
