Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.5581,3.5828,3.5334,3.5828,416304,0
1995-01-04,3.5828,3.6077,3.5828,3.6077,116114,0
1995-01-05,3.6077,3.6077,3.5828,3.5828,119009,0
1995-01-06,3.5828,3.7568,3.5828,3.7568,300995,0
1995-01-09,3.7818,3.8311,3.7818,3.8065,446092,0
1995-01-10,3.8311,3.9057,3.8311,3.856,322090,0
1995-01-11,3.856,3.8809,3.6575,3.7069,225780,0
1995-01-12,3.6822,3.7319,3.6822,3.7319,137853,0
1995-01-13,3.7319,3.7818,3.6822,3.7568,146710,0
1995-01-16,3.7319,3.7568,3.7069,3.7568,64579,0
1995-01-17,3.7568,3.8311,3.7319,3.8311,41228,0
1995-01-18,3.8065,3.8809,3.8065,3.8311,218378,0
1995-01-19,3.7818,3.8065,3.7568,3.7818,132703,0
1995-01-20,3.7818,3.8311,3.7568,3.7818,54115,0
1995-01-23,3.7568,3.7568,3.7069,3.7319,261052,0
1995-01-24,3.7568,3.7818,3.7319,3.7568,209198,0
1995-01-25,3.7568,3.7568,3.6822,3.7319,38167,0
1995-01-26,3.7319,3.7818,3.7069,3.7818,140753,0
1995-01-27,3.8065,3.9057,3.8065,3.9057,324827,0
1995-01-30,3.8809,3.9306,3.856,3.8809,328534,0
1995-01-31,3.9804,4.2038,3.9804,4.1542,1854914,0
1995-02-01,4.1791,4.2287,4.1045,4.1045,2443695,0
1995-02-02,4.1542,4.2038,4.1293,4.2038,155567,0
1995-02-03,4.1791,4.2785,4.1791,4.2534,658839,0
1995-02-06,4.2534,4.2534,4.2038,4.2038,394721,0
1995-02-07,4.2038,4.2038,4.1293,4.1542,500043,0
1995-02-08,4.1542,4.1542,4.1293,4.1542,188262,0
1995-02-09,4.1542,4.1542,4.1293,4.1542,278606,0
1995-02-10,4.1293,4.1542,4.0796,4.1045,283113,0
1995-02-13,4.1045,4.1045,4.0547,4.0796,70695,0
1995-02-14,4.0547,4.1045,4.03,4.1045,144304,0
1995-02-15,4.0796,4.1045,4.0796,4.1045,224171,0
1995-02-16,4.0796,4.0796,4.005,4.0547,151222,0
1995-02-17,4.005,4.03,3.9306,3.9554,111602,0
1995-02-21,3.9804,4.005,3.9306,4.005,571870,0
1995-02-22,4.005,4.005,3.9804,4.005,194866,0
1995-02-23,4.005,4.03,3.9804,4.005,196634,0
1995-02-24,3.9804,4.005,3.9804,4.005,106126,0
1995-02-27,3.9804,4.03,3.9554,3.9804,449640,0
1995-02-28,3.9804,4.0796,3.9554,4.0796,218378,0
1995-03-01,4.0796,4.1293,4.0547,4.0796,699094,0
1995-03-02,4.0796,4.0796,4.03,4.0547,252682,0
1995-03-03,4.0547,4.1045,4.0547,4.0796,547231,0
1995-03-06,4.0547,4.0547,4.03,4.0547,106772,0
1995-03-07,4.0547,4.0547,3.9804,4.005,512925,0
1995-03-08,4.005,4.0547,3.9804,4.0547,155895,0
1995-03-09,4.03,4.1045,4.03,4.0796,552218,0
1995-03-10,4.0796,4.1791,4.0796,4.1542,68767,0
1995-03-13,4.1791,4.2038,4.1542,4.1542,130125,0
1995-03-14,4.1791,4.2038,4.1542,4.2038,137205,0
1995-03-15,4.2038,4.2038,4.1791,4.2038,161692,0
1995-03-16,4.1791,4.2785,4.1791,4.2785,493440,0
1995-03-17,4.2785,4.3033,4.2287,4.2287,395206,0
1995-03-20,4.2038,4.3033,4.2038,4.2287,171673,0
1995-03-21,4.2534,4.2534,4.1791,4.1791,95497,0
1995-03-22,4.1293,4.2038,4.1293,4.1791,353816,0
1995-03-23,4.1791,4.2287,4.1293,4.1293,207910,0
1995-03-24,4.1293,4.2287,4.1293,4.2287,96947,0
1995-03-27,4.3033,4.3033,4.2534,4.2785,221757,0
1995-03-28,4.2785,4.2785,4.2287,4.2785,78430,0
1995-03-29,4.2785,4.3033,4.2534,4.2785,86480,0
1995-03-30,4.3033,4.328,4.2534,4.2785,187939,0
1995-03-31,4.2287,4.2287,4.1542,4.1542,246236,0
1995-04-03,4.1791,4.2038,4.1542,4.1791,201628,0
1995-04-04,4.2038,4.2785,4.1791,4.2785,304532,0
1995-04-05,4.2785,4.328,4.2785,4.3033,231098,0
1995-04-06,4.2785,4.3528,4.2785,4.3528,95342,0
1995-04-07,4.328,4.3779,4.328,4.3528,189068,0
1995-04-10,4.3779,4.4025,4.328,4.4025,351237,0
1995-04-11,4.3779,4.3779,4.3033,4.328,493440,0
1995-04-12,4.3528,4.3779,4.328,4.3779,126099,0
1995-04-13,4.4025,4.5018,4.4025,4.4771,152345,0
1995-04-17,4.4522,4.5018,4.4148,4.4771,272491,0
1995-04-18,4.5018,4.5765,4.5018,4.5268,456564,0
1995-04-19,4.5515,4.5765,4.4274,4.4771,100490,0
1995-04-20,4.4771,4.5018,4.4274,4.4771,53468,0
1995-04-21,4.4274,4.5018,4.4025,4.4771,88573,0
1995-04-24,4.5018,4.5018,4.4274,4.4771,164264,0
1995-04-25,4.4274,4.5018,4.4274,4.4771,75527,0
1995-04-26,4.5018,4.6261,4.5018,4.5515,107418,0
1995-04-27,4.5765,4.6012,4.4522,4.5018,200985,0
1995-04-28,4.5018,4.5018,4.3779,4.4522,141077,0
1995-05-01,4.4274,4.4522,4.4025,4.4522,51534,0
1995-05-02,4.4522,4.4522,4.3779,4.4522,130125,0
1995-05-03,4.4771,4.5018,4.4274,4.4771,81488,0
1995-05-04,4.4771,4.4771,4.4025,4.4274,203237,0
1995-05-05,4.4522,4.4522,4.3779,4.4522,91314,0
1995-05-08,4.4522,4.4771,4.4274,4.4522,74723,0
1995-05-09,4.4522,4.4522,4.2785,4.3033,229651,0
1995-05-10,4.3779,4.3779,4.328,4.328,157501,0
1995-05-11,4.3528,4.3779,4.3033,4.328,130448,0
1995-05-12,4.3033,4.3779,4.3033,4.3528,58621,0
1995-05-15,4.3528,4.3528,4.2534,4.2785,78430,0
1995-05-16,4.2785,4.2785,4.0547,4.1542,263148,0
1995-05-17,4.1791,4.1791,4.1045,4.1045,110477,0
1995-05-18,4.1542,4.2038,4.1293,4.1791,251390,0
1995-05-19,4.1542,4.1791,4.0547,4.0796,96789,0
1995-05-22,4.0796,4.1045,4.0547,4.0547,96789,0
1995-05-23,4.0547,4.0547,4.03,4.0547,97272,0
1995-05-24,4.0547,4.1293,4.0547,4.0796,199373,0
1995-05-25,4.0796,4.1045,4.03,4.03,164589,0
1995-05-26,4.0547,4.1045,4.005,4.0796,222083,0
1995-05-30,4.0547,4.1293,4.0547,4.1293,215160,0
1995-05-31,4.1293,4.2534,4.1045,4.2534,370240,0
1995-06-01,4.2287,4.2785,4.1791,4.2287,288430,0
1995-06-02,4.2287,4.2785,4.2287,4.2785,157823,0
1995-06-05,4.2287,4.2785,4.2287,4.2785,192126,0
1995-06-06,4.2287,4.3033,4.2287,4.2534,84387,0
1995-06-07,4.2534,4.2534,4.1791,4.2287,134631,0
1995-06-08,4.2038,4.2785,4.2038,4.2534,122071,0
1995-06-09,4.2534,4.2534,4.2287,4.2534,96304,0
1995-06-12,4.2534,4.2534,4.1542,4.1791,91793,0
1995-06-13,4.1542,4.1791,4.1045,4.1542,58943,0
1995-06-14,4.1293,4.2038,4.1045,4.1791,71023,0
1995-06-15,4.2287,4.2785,4.1791,4.1791,52659,0
1995-06-16,4.1791,4.4025,4.1542,4.4025,129155,0
1995-06-19,4.3779,4.4522,4.328,4.3528,175699,0
1995-06-20,4.3528,4.4522,4.3528,4.4522,75368,0
1995-06-21,4.4274,4.4274,4.3033,4.3033,154604,0
1995-06-22,4.328,4.3779,4.3033,4.3779,123037,0
1995-06-23,4.4274,4.4274,4.2785,4.2785,140589,0
1995-06-26,4.3033,4.4025,4.3033,4.3779,67641,0
1995-06-27,4.4025,4.4274,4.328,4.3528,56205,0
1995-06-28,4.3779,4.3779,4.328,4.3528,34464,0
1995-06-29,4.3033,4.4025,4.3033,4.4025,167160,0
1995-06-30,4.4025,4.4025,4.328,4.3528,263148,0
1995-07-03,4.3528,4.3779,4.3528,4.3779,157341,0
1995-07-05,4.3528,4.4522,4.3528,4.3528,173447,0
1995-07-06,4.3528,4.4771,4.3528,4.4771,120302,0
1995-07-07,4.4771,4.5018,4.3779,4.4025,180369,0
1995-07-10,4.3528,4.4274,4.3528,4.3528,95665,0
1995-07-11,4.3779,4.3779,4.3528,4.3779,58298,0
1995-07-12,4.3779,4.4771,4.3779,4.4771,1892918,0
1995-07-13,4.4522,4.4771,4.4522,4.4522,52181,0
1995-07-14,4.4274,4.4771,4.3779,4.4771,142849,0
1995-07-17,4.4771,4.5018,4.4771,4.5018,3154061,0
1995-07-18,4.5515,4.5515,4.4522,4.4522,216764,0
1995-07-19,4.4274,4.4274,4.3033,4.328,257998,0
1995-07-20,4.328,4.3528,4.2038,4.2287,60552,0
1995-07-21,4.2534,4.3033,4.1791,4.2038,141235,0
1995-07-24,4.2287,4.2785,4.2038,4.2534,71664,0
1995-07-25,4.2534,4.2534,4.2287,4.2287,37523,0
1995-07-26,4.2534,4.2534,4.1045,4.1045,328047,0
1995-07-27,4.1791,4.328,4.1791,4.2287,365570,0
1995-07-28,4.2287,4.2287,4.1293,4.1542,109348,0
1995-07-31,4.1791,4.2287,4.1045,4.2038,84548,0
1995-08-01,4.2534,4.3779,4.2534,4.3528,421454,0
1995-08-02,4.328,4.4522,4.328,4.4274,198732,0
1995-08-03,4.3779,4.4025,4.3779,4.3779,101138,0
1995-08-04,4.4025,4.4522,4.3528,4.4274,85514,0
1995-08-07,4.4274,4.4522,4.3779,4.4522,186971,0
1995-08-08,4.4522,4.4522,4.4274,4.4274,141077,0
1995-08-09,4.4522,4.4522,4.4274,4.4522,43640,0
1995-08-10,4.4522,4.4895,4.4522,4.4522,112407,0
1995-08-11,4.5018,4.5268,4.4771,4.5268,229487,0
1995-08-14,4.5268,4.5826,4.5268,4.5826,167006,0
1995-08-15,4.5515,4.5826,4.5018,4.5018,445452,0
1995-08-16,4.5018,4.5268,4.4771,4.5018,147515,0
1995-08-17,4.5018,4.5515,4.5018,4.5515,225626,0
1995-08-18,4.5268,4.5515,4.5018,4.5515,234166,0
1995-08-21,4.5268,4.5515,4.5268,4.5515,118851,0
1995-08-22,4.5268,4.5515,4.5268,4.5515,80199,0
1995-08-23,4.5515,4.5515,4.4771,4.5018,126261,0
1995-08-24,4.5018,4.5268,4.5018,4.5018,38809,0
1995-08-25,4.5268,4.5268,4.5018,4.5268,85195,0
1995-08-28,4.5268,4.5826,4.5268,4.5826,189068,0
1995-08-29,4.5515,4.5826,4.5515,4.5826,147038,0
1995-08-30,4.5826,4.6075,4.5515,4.6075,119814,0
1995-08-31,4.5826,4.6075,4.5826,4.6075,114819,0
1995-09-01,4.5826,4.6075,4.5515,4.5826,107737,0
1995-09-05,4.6075,4.6324,4.5515,4.5826,169096,0
1995-09-06,4.6075,4.6324,4.5826,4.6324,123521,0
1995-09-07,4.6324,4.6324,4.5515,4.5826,94370,0
1995-09-08,4.5826,4.6075,4.5515,4.5515,91147,0
1995-09-11,4.5268,4.6075,4.5268,4.6075,58784,0
1995-09-12,4.6075,4.6324,4.5826,4.6324,117562,0
1995-09-13,4.6075,4.6324,4.6075,4.6324,154922,0
1995-09-14,4.6075,4.7565,4.6075,4.7315,114669,0
1995-09-15,4.7565,4.9552,4.7565,4.9304,243180,0
1995-09-18,4.9304,4.9799,4.9304,4.9799,162975,0
1995-09-19,4.9799,4.9799,4.8806,4.9055,159918,0
1995-09-20,4.9055,4.9055,4.8806,4.9055,98078,0
1995-09-21,4.9304,4.9552,4.8806,4.9304,262985,0
1995-09-22,4.8806,4.9304,4.8806,4.9304,65058,0
1995-09-25,4.9304,5.0297,4.9304,5.005,57817,0
1995-09-26,5.0297,5.0795,4.9799,5.005,138177,0
1995-09-27,5.005,5.0297,4.9552,4.9552,84064,0
1995-09-28,4.9799,4.9799,4.9055,4.9304,78755,0
1995-09-29,4.9304,4.9304,4.8558,4.9055,164264,0
1995-10-02,4.9304,5.005,4.9055,4.9799,236899,0
1995-10-03,5.005,5.0545,4.9552,4.9799,272170,0
1995-10-04,4.9799,5.0297,4.9799,5.0297,168619,0
1995-10-05,5.0297,5.0297,4.9799,5.0297,158949,0
1995-10-06,4.9799,4.9799,4.9552,4.9799,120462,0
1995-10-09,4.9799,4.9799,4.831,4.9055,94692,0
1995-10-10,4.9304,4.9304,4.8061,4.831,68284,0
1995-10-11,4.8558,4.9799,4.8558,4.9799,110477,0
1995-10-12,4.9304,4.9552,4.8806,4.9552,71664,0
1995-10-13,5.0795,5.1042,5.005,5.1042,202917,0
1995-10-16,5.1042,5.5513,5.1042,5.5513,504556,0
1995-10-17,5.5513,5.6756,5.4272,5.4518,703605,0
1995-10-18,5.4518,5.5264,5.3028,5.3278,283280,0
1995-10-19,5.3526,5.3772,5.3278,5.3772,245432,0
1995-10-20,5.3772,5.3772,5.3278,5.3526,160402,0
1995-10-23,5.3526,5.3526,5.3028,5.3278,236093,0
1995-10-24,5.3278,5.3526,5.3028,5.3028,109994,0
1995-10-25,5.3278,5.3278,5.2532,5.2779,339482,0
1995-10-26,5.3028,5.3028,5.2283,5.2532,134476,0
1995-10-27,5.2532,5.3028,5.1538,5.3028,327403,0
1995-10-30,5.3278,5.3772,5.2779,5.3772,208068,0
1995-10-31,5.3772,5.4021,5.3028,5.3028,331591,0
1995-11-01,5.3028,5.4272,5.3028,5.4272,158301,0
1995-11-02,5.4272,5.5264,5.3772,5.5264,99687,0
1995-11-03,5.5264,5.6506,5.5264,5.6506,310335,0
1995-11-06,5.6257,5.6506,5.5763,5.5763,158629,0
1995-11-07,5.6009,5.6257,5.5513,5.5763,137853,0
1995-11-08,5.5763,5.6257,5.5513,5.6257,491023,0
1995-11-09,5.6257,5.6506,5.6009,5.6257,49763,0
1995-11-10,5.5763,5.6756,5.5763,5.6506,107094,0
1995-11-13,5.6506,5.7499,5.6257,5.7499,180211,0
1995-11-14,5.7995,5.9486,5.7995,5.8245,321608,0
1995-11-15,5.8245,5.8494,5.7499,5.8245,534028,0
1995-11-16,5.8245,5.8494,5.7749,5.8245,227880,0
1995-11-17,5.7995,5.8494,5.7749,5.7995,203237,0
1995-11-20,5.7995,5.874,5.7749,5.7995,157019,0
1995-11-21,5.7995,5.7995,5.7251,5.7251,151541,0
1995-11-22,5.7499,5.7499,5.5513,5.6506,167486,0
1995-11-24,5.6506,5.7004,5.6257,5.6756,18038,0
1995-11-27,5.6756,5.7749,5.6756,5.7499,39779,0
1995-11-28,5.7499,5.7995,5.7251,5.7749,129155,0
1995-11-29,5.7499,5.7995,5.7499,5.7749,216764,0
1995-11-30,5.7749,5.7995,5.7749,5.7749,252037,0
1995-12-01,5.7749,5.8245,5.7749,5.7749,107577,0
1995-12-04,5.7995,5.7995,5.7749,5.7995,82775,0
1995-12-05,5.7499,5.8245,5.7499,5.7995,223371,0
1995-12-06,5.7499,5.7995,5.7499,5.7749,93731,0
1995-12-07,5.7251,5.7995,5.7251,5.7995,125128,0
1995-12-08,5.7251,5.7995,5.7004,5.7995,137373,0
1995-12-11,5.7749,5.7749,5.7004,5.7499,66351,0
1995-12-12,5.8245,5.8245,5.7995,5.7995,212260,0
1995-12-13,5.8245,5.874,5.8245,5.874,214032,0
1995-12-14,5.8245,5.8494,5.7995,5.7995,1570025,0
1995-12-15,5.7251,5.874,5.7251,5.874,401969,0
1995-12-18,5.874,5.874,5.7995,5.8245,144450,0
1995-12-19,5.8494,5.8494,5.7499,5.7995,98078,0
1995-12-20,5.7251,5.7251,5.4518,5.4518,343185,0
1995-12-21,5.4768,5.4768,5.2035,5.3028,334168,0
1995-12-22,5.3526,5.3772,5.1292,5.1292,205652,0
1995-12-26,5.2283,5.5513,5.2283,5.5264,149610,0
1995-12-27,5.5763,5.6009,5.4768,5.4768,91957,0
1995-12-28,5.4272,5.4518,5.2035,5.2779,184874,0
1995-12-29,5.2532,5.3772,5.2532,5.3526,270556,0
1996-01-02,5.3526,5.4768,5.3028,5.4768,251555,0
1996-01-03,5.4768,5.5513,5.4768,5.5513,108707,0
1996-01-04,5.5513,5.5513,5.2283,5.3028,467514,0
1996-01-05,5.3278,5.3278,5.0795,5.1292,351883,0
1996-01-08,5.1538,5.3028,5.1538,5.2779,239313,0
1996-01-09,5.3028,5.3028,5.1538,5.2035,199697,0
1996-01-10,5.1787,5.1787,4.9055,4.9055,158789,0
1996-01-11,4.9055,5.005,4.9055,5.005,514699,0
1996-01-12,5.0297,5.0297,4.8682,4.9304,320155,0
1996-01-15,4.9304,5.0795,4.9304,4.9799,326276,0
1996-01-16,4.9799,4.9799,4.9055,4.9304,389729,0
1996-01-17,4.9055,4.9552,4.9055,4.9304,179404,0
1996-01-18,4.9304,4.9304,4.831,4.8558,362993,0
1996-01-19,4.8061,5.1787,4.7812,4.9304,1277085,0
1996-01-22,4.9552,5.0297,4.8806,4.9055,611648,0
1996-01-23,4.8806,4.9055,4.8061,4.8806,438362,0
1996-01-24,4.9055,5.2283,4.8806,5.2035,528063,0
1996-01-25,5.1787,5.1787,5.0795,5.0795,578634,0
1996-01-26,5.0795,5.0795,4.9799,5.005,1542486,0
1996-01-29,5.0297,5.0795,4.9799,5.005,866420,0
1996-01-30,5.0297,5.0795,5.005,5.0795,434015,0
1996-01-31,5.1042,5.1787,5.1042,5.1787,274420,0
1996-02-01,5.1787,5.2532,5.1538,5.1538,336583,0
1996-02-02,5.1538,5.1538,5.1042,5.1292,295360,0
1996-02-05,5.1292,5.1538,5.0795,5.0795,350272,0
1996-02-06,5.1042,5.1538,5.1042,5.1292,184232,0
1996-02-07,5.1538,5.1538,5.0795,5.1292,266692,0
1996-02-08,5.1292,5.1538,5.0795,5.0795,1031170,0
1996-02-09,5.0545,5.1042,5.0297,5.0545,371688,0
1996-02-12,5.0545,5.0795,5.005,5.0297,637740,0
1996-02-13,5.005,5.0545,5.005,5.0297,277157,0
1996-02-14,5.0297,5.0795,5.0297,5.0545,130928,0
1996-02-15,5.0545,5.1042,5.0545,5.1042,256221,0
1996-02-16,5.1042,5.1292,5.0297,5.1292,400520,0
1996-02-20,5.0795,5.1787,5.0795,5.1292,648367,0
1996-02-21,5.1042,5.1292,5.0795,5.1042,416784,0
1996-02-22,5.3772,5.3772,5.2779,5.3028,1764569,0
1996-02-23,5.3028,5.3526,5.2779,5.3278,624369,0
1996-02-26,5.3526,5.3772,5.3028,5.3028,455429,0
1996-02-27,5.3028,5.4272,5.3028,5.3772,606815,0
1996-02-28,5.3772,5.5264,5.3772,5.5014,696678,0
1996-02-29,5.5763,5.7251,5.5513,5.6506,993973,0
1996-03-01,5.6009,5.7004,5.4768,5.4768,350595,0
1996-03-04,5.5264,5.6756,5.5264,5.6756,363963,0
1996-03-05,5.6009,5.7251,5.6009,5.6506,270233,0
1996-03-06,5.9738,5.9738,5.8245,5.8245,892029,0
1996-03-07,5.8494,5.8494,5.7995,5.8245,280217,0
1996-03-08,5.7749,5.7749,5.6756,5.7004,392467,0
1996-03-11,5.6257,5.7499,5.6133,5.7499,292619,0
