Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.8142,7.9055,7.4908,7.5324,1636129,0
1995-01-04,7.4908,7.6732,7.4908,7.5324,1071125,0
1995-01-05,7.5823,7.7646,7.5324,7.7646,1224868,0
1995-01-06,7.6732,7.9551,7.6732,7.6732,1656887,0
1995-01-09,7.6237,7.6237,7.4415,7.5324,444333,0
1995-01-10,7.5823,7.6732,7.5324,7.5823,810220,0
1995-01-11,7.5823,7.6237,7.5823,7.6237,654064,0
1995-01-12,7.6237,7.8142,7.6237,7.6732,852459,0
1995-01-13,7.6237,7.9055,7.6237,7.8558,633793,0
1995-01-16,7.9055,8.3281,7.9055,8.2782,756400,0
1995-01-17,8.3281,8.3281,7.9551,8.1374,602660,0
1995-01-18,8.1374,8.1374,7.9551,7.9966,256799,0
1995-01-19,7.9966,7.9966,7.8558,7.9551,311098,0
1995-01-20,7.8558,7.9551,7.8142,7.9055,409573,0
1995-01-23,7.8142,7.9966,7.7646,7.9551,841598,0
1995-01-24,7.9966,8.0464,7.9055,7.9551,335725,0
1995-01-25,7.9551,8.1374,7.9551,7.9966,585041,0
1995-01-26,7.9966,8.0464,7.8558,7.8558,845217,0
1995-01-27,7.9055,8.0464,7.8142,7.9055,555353,0
1995-01-30,7.9551,7.9966,7.8142,7.8558,871523,0
1995-01-31,7.8142,7.9055,7.7646,7.8142,821325,0
1995-02-01,7.7646,8.0464,7.7646,8.0464,1442807,0
1995-02-02,8.0464,8.1374,7.9055,7.9966,620759,0
1995-02-03,8.0464,8.1872,7.9966,8.0464,1885451,0
1995-02-06,8.0879,8.1374,8.0464,8.0464,514325,0
1995-02-07,8.1374,8.1374,8.0464,8.1374,595176,0
1995-02-08,8.1374,8.3281,8.0879,8.2285,833874,0
1995-02-09,8.2285,8.5102,7.9966,8.0464,842079,0
1995-02-10,8.1374,8.1872,8.0464,8.0879,1046504,0
1995-02-13,8.1872,8.2782,8.1374,8.1872,705234,0
1995-02-14,8.1872,8.3281,8.1872,8.2285,1123257,0
1995-02-15,8.2285,8.2782,8.1872,8.1872,1417222,0
1995-02-16,8.2285,8.2285,8.0879,8.0879,1185041,0
1995-02-17,8.1374,8.2782,8.1374,8.2285,506361,0
1995-02-21,8.2285,8.2285,8.1374,8.2285,326068,0
1995-02-22,8.2617,8.535,8.2617,8.4441,993411,0
1995-02-23,8.4937,8.7753,8.4937,8.7258,1467910,0
1995-02-24,8.6346,8.676,8.535,8.6346,816981,0
1995-02-27,8.5849,8.676,8.5849,8.676,1107569,0
1995-02-28,8.6346,8.8657,8.6346,8.8657,1355679,0
1995-03-01,8.8177,8.8177,8.7258,8.7258,968309,0
1995-03-02,8.676,8.676,8.5849,8.6346,1180216,0
1995-03-03,8.676,8.676,8.5849,8.676,798154,0
1995-03-06,8.6346,8.6346,8.535,8.5849,1660267,0
1995-03-07,8.6346,8.6346,8.4937,8.535,1060744,0
1995-03-08,8.4937,8.535,8.303,8.535,798154,0
1995-03-09,8.5849,8.8657,8.4937,8.8657,313035,0
1995-03-10,8.7753,8.8657,8.7753,8.8177,369029,0
1995-03-13,8.7753,8.7753,8.676,8.676,563560,0
1995-03-14,8.676,8.7753,8.5849,8.7258,635484,0
1995-03-15,8.8177,8.8177,8.5849,8.676,871043,0
1995-03-16,8.5849,8.7258,8.5849,8.676,1758257,0
1995-03-17,8.676,8.676,8.5849,8.6346,549076,0
1995-03-20,8.5849,8.6346,8.535,8.6346,600246,0
1995-03-21,8.4441,8.5849,8.4441,8.4441,759298,0
1995-03-22,8.4441,8.4937,8.4024,8.4024,523492,0
1995-03-23,8.4937,8.4937,8.303,8.303,890834,0
1995-03-24,8.303,8.4937,8.2617,8.4937,772330,0
1995-03-27,8.535,8.7753,8.4937,8.7258,1698160,0
1995-03-28,8.7258,8.8177,8.6346,8.8177,461948,0
1995-03-29,8.8177,9.1481,8.8177,8.9161,1488181,0
1995-03-30,9.0069,9.1481,9.0069,9.0069,554629,0
1995-03-31,9.0489,9.0489,8.7258,8.7258,252697,0
1995-04-03,8.7753,8.8177,8.7258,8.7753,298310,0
1995-04-04,8.7258,8.9586,8.5849,8.9586,626797,0
1995-04-05,8.9161,9.0489,8.8657,8.9161,451813,0
1995-04-06,8.9586,8.9586,8.7753,8.8657,173291,0
1995-04-07,8.8657,8.9161,8.7753,8.7753,280211,0
1995-04-10,8.8177,8.8177,8.676,8.7258,626073,0
1995-04-11,8.6346,8.7753,8.4937,8.7753,448191,0
1995-04-12,8.7258,8.7753,8.6346,8.7258,737090,0
1995-04-13,8.7258,9.0489,8.7258,8.9586,10644387,0
1995-04-17,9.0069,9.2901,9.0069,9.1481,3071938,0
1995-04-18,9.1481,9.1895,8.9586,8.9586,2983602,0
1995-04-19,8.9586,9.0489,8.9586,9.0069,1417708,0
1995-04-20,9.0069,9.0489,8.9586,8.9586,1028162,0
1995-04-21,9.0069,9.0995,8.9586,9.0489,830497,0
1995-04-24,9.0489,9.0489,8.9586,9.0069,1407568,0
1995-04-25,9.0069,9.0489,8.9586,8.9586,806117,0
1995-04-26,9.0069,9.2901,8.9586,9.2406,1354230,0
1995-04-27,9.1481,9.2901,9.1481,9.1895,981823,0
1995-04-28,9.1895,9.3315,9.1895,9.2901,833874,0
1995-05-01,9.2901,9.4722,9.2901,9.4722,1441844,0
1995-05-02,9.4209,9.4722,9.3315,9.4209,1267103,0
1995-05-03,9.4209,9.4722,9.2901,9.3814,2729701,0
1995-05-04,9.4209,9.4209,9.1895,9.2406,2535653,0
1995-05-05,9.2901,9.3315,9.1895,9.2901,1103466,0
1995-05-08,9.2406,9.3814,9.2406,9.3814,416576,0
1995-05-09,9.3814,9.4722,9.3315,9.4209,737090,0
1995-05-10,9.3814,9.523,9.3315,9.523,791155,0
1995-05-11,9.4722,9.613,9.4209,9.523,1592930,0
1995-05-12,9.4209,9.663,9.4209,9.613,1110221,0
1995-05-15,9.561,9.844,9.561,9.754,1131706,0
1995-05-16,9.754,9.895,9.613,9.895,2066463,0
1995-05-17,9.895,9.936,9.561,9.613,2093015,0
1995-05-18,9.561,9.613,9.3315,9.3814,734679,0
1995-05-19,9.2901,9.4209,9.1481,9.2406,1181905,0
1995-05-22,9.2901,9.561,9.2406,9.3315,1402984,0
1995-05-23,9.2901,9.4722,9.2406,9.3315,1762118,0
1995-05-24,9.3639,9.4051,9.1731,9.1731,754469,0
1995-05-25,9.1731,9.3146,9.1242,9.1731,1692126,0
1995-05-26,9.1731,9.1731,8.8009,8.8909,2798005,0
1995-05-30,8.4276,8.7092,8.3281,8.61,6534148,0
1995-05-31,8.61,8.7504,8.61,8.7092,1909827,0
1995-06-01,8.6598,8.6598,8.5187,8.61,3482723,0
1995-06-02,8.61,8.61,8.469,8.5686,1533075,0
