Date,Open,High,Low,Close,Volume,OpenInt
1998-01-29,2.28,2.47,2.28,2.41,2852800,0
1998-01-30,2.41,2.55,2.41,2.5,366400,0
1998-02-02,2.5,2.54,2.44,2.45,73600,0
1998-02-03,2.45,2.45,2.38,2.38,84000,0
1998-02-04,2.38,2.41,2.38,2.38,109600,0
1998-02-05,2.38,2.39,2.34,2.34,100800,0
1998-02-06,2.34,2.34,2.2,2.28,97600,0
1998-02-09,2.27,2.36,2.27,2.31,185600,0
1998-02-10,2.31,2.36,2.31,2.32,6400,0
1998-02-11,2.31,2.5,2.31,2.48,92800,0
1998-02-12,2.48,2.5,2.42,2.44,83200,0
1998-02-13,2.5,2.5,2.44,2.45,76800,0
1998-02-17,2.44,2.56,2.44,2.53,84000,0
1998-02-18,2.53,2.58,2.53,2.55,30400,0
1998-02-19,2.55,2.66,2.55,2.61,19200,0
1998-02-20,2.61,2.67,2.61,2.61,38400,0
1998-02-23,2.66,2.66,2.61,2.62,5600,0
1998-02-24,2.66,2.66,2.59,2.66,4800,0
1998-02-25,2.59,2.73,2.59,2.67,68800,0
1998-02-26,2.67,2.7,2.67,2.67,12800,0
1998-02-27,2.66,2.72,2.64,2.7,12000,0
1998-03-02,2.66,2.69,2.64,2.67,164000,0
1998-03-03,2.67,2.67,2.61,2.62,33600,0
1998-03-04,2.61,2.61,2.59,2.59,10400,0
1998-03-05,2.55,2.59,2.44,2.47,110400,0
1998-03-06,2.47,2.52,2.45,2.52,112800,0
1998-03-09,2.5,2.55,2.5,2.53,94400,0
1998-03-10,2.5,2.58,2.5,2.56,12800,0
1998-03-11,2.57,2.63,2.56,2.59,20000,0
1998-03-12,2.61,2.62,2.59,2.62,97600,0
1998-03-13,2.59,2.66,2.59,2.64,11200,0
1998-03-16,2.59,2.64,2.59,2.62,16800,0
1998-03-17,2.62,2.66,2.62,2.62,1600,0
1998-03-18,2.62,2.66,2.62,2.66,12800,0
1998-03-19,2.62,2.67,2.62,2.67,22400,0
1998-03-20,2.67,2.67,2.62,2.66,20800,0
1998-03-23,2.62,2.67,2.62,2.67,2400,0
1998-03-24,2.67,2.67,2.59,2.59,11200,0
1998-03-25,2.59,2.69,2.57,2.69,200000,0
1998-03-26,2.72,2.73,2.58,2.59,118400,0
1998-03-27,2.59,2.59,2.58,2.58,1600,0
1998-03-30,2.58,2.77,2.58,2.75,49600,0
1998-03-31,2.77,2.77,2.7,2.75,20800,0
1998-04-01,2.75,2.75,2.72,2.72,3200,0
1998-04-02,2.75,2.78,2.69,2.78,43200,0
1998-04-03,2.78,2.78,2.72,2.73,49600,0
1998-04-06,2.77,2.77,2.7,2.74,15200,0
1998-04-07,2.7,2.75,2.7,2.75,225600,0
1998-04-08,2.75,2.94,2.75,2.94,56800,0
1998-04-09,2.94,2.94,2.81,2.83,105600,0
