Date,Open,High,Low,Close,Volume,OpenInt
1997-10-16,4.7801,4.7801,4.5729,4.6764,4309337,0
1997-10-17,4.6506,4.7283,4.4523,4.5989,1964710,0
1997-10-20,4.5214,4.6249,4.4953,4.5471,1777881,0
1997-10-21,4.5729,4.6764,4.5214,4.5989,1380581,0
1997-10-22,4.6764,4.7283,4.5989,4.7024,883841,0
1997-10-23,4.6764,4.6764,4.5471,4.5989,940168,0
1997-10-24,4.6506,4.7024,4.5729,4.7024,471475,0
1997-10-27,4.6506,4.7283,4.4177,4.4608,873409,0
1997-10-28,4.3138,4.6764,4.064,4.5989,1712746,0
1997-10-29,4.6764,4.7024,4.5989,4.6506,1077394,0
1997-10-30,4.5471,4.5729,4.4177,4.5214,496046,0
1997-10-31,4.4695,4.642,4.4695,4.5214,325443,0
1997-11-03,4.6249,4.8059,4.5471,4.711,581808,0
1997-11-04,4.7283,4.8317,4.6764,4.7544,210934,0
1997-11-05,4.7801,4.987,4.7544,4.8578,187988,0
1997-11-06,4.8317,5.1424,4.8317,5.1424,209545,0
1997-11-07,5.0906,5.453,4.9614,5.289,383859,0
1997-11-10,5.1856,5.3496,5.0648,5.0648,154606,0
1997-11-11,4.8835,4.9353,4.7283,4.9353,358129,0
1997-11-12,4.9353,4.9353,4.5729,4.6764,182425,0
1997-11-13,4.5729,4.6249,4.4953,4.5214,289747,0
1997-11-14,4.4695,4.5214,4.3745,4.4695,253818,0
1997-11-17,4.5214,4.8059,4.5214,4.7801,164577,0
1997-11-18,4.8317,4.8317,4.6764,4.7024,828443,0
1997-11-19,4.7024,4.7801,4.5729,4.5729,85997,0
1997-11-20,4.6249,4.6249,4.3745,4.5729,734796,0
1997-11-21,4.5729,4.6249,4.5214,4.5471,371337,0
1997-11-24,4.5214,4.5989,4.5214,4.5471,37320,0
1997-11-25,4.5729,4.6249,4.5214,4.5298,189377,0
1997-11-26,4.5214,4.5471,4.3056,4.3229,268420,0
1997-11-28,4.3487,4.3745,4.3138,4.3138,123317,0
1997-12-01,4.3138,4.4177,4.3138,4.3312,275376,0
1997-12-02,4.4177,4.5214,4.3487,4.3917,742213,0
1997-12-03,4.4695,4.5214,4.3917,4.5214,541478,0
1997-12-04,4.5214,4.6249,4.4523,4.5643,394983,0
1997-12-05,4.5214,4.7283,4.4695,4.6764,163881,0
1997-12-08,4.6764,4.7283,4.6506,4.7024,131894,0
1997-12-09,4.7283,4.7801,4.5989,4.5989,71858,0
1997-12-10,4.642,4.642,4.3833,4.4263,156232,0
1997-12-11,4.3229,4.4263,4.2538,4.3833,232261,0
1997-12-12,4.4263,4.4263,4.2538,4.2538,238984,0
1997-12-15,4.3229,4.4263,4.271,4.3056,167588,0
