Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.7337,6.7337,6.644,6.7237,670712,0
1995-01-04,6.6937,6.7037,6.654,6.6838,251177,0
1995-01-05,6.6838,6.7037,6.6042,6.6739,807143,0
1995-01-06,6.6739,6.6937,6.6241,6.6838,430676,0
1995-01-09,6.6937,6.6937,6.654,6.6838,322255,0
1995-01-10,6.7037,6.7037,6.654,6.654,705347,0
1995-01-11,6.6838,6.7637,6.644,6.7037,645714,0
1995-01-12,6.7337,6.9229,6.7337,6.9029,1258901,0
1995-01-13,6.893,7.1421,6.893,7.1222,1572120,0
1995-01-16,7.1222,7.1421,7.0624,7.1321,727935,0
1995-01-17,7.1023,7.1321,7.0424,7.1321,817984,0
1995-01-18,7.1222,7.1421,7.1023,7.1421,616501,0
1995-01-19,7.1321,7.162,7.1222,7.1421,755341,0
1995-01-20,7.1421,7.1421,7.0923,7.1023,766484,0
1995-01-23,7.0624,7.1222,7.0126,7.1023,701734,0
1995-01-24,7.1023,7.1023,7.0424,7.0824,268646,0
1995-01-25,7.0524,7.1321,7.0224,7.0923,602948,0
1995-01-26,7.1222,7.1222,7.0524,7.1222,383995,0
1995-01-27,7.1321,7.2616,7.1023,7.2118,443627,0
1995-01-30,7.2217,7.2217,7.1421,7.1421,273464,0
1995-01-31,7.1421,7.1719,7.1222,7.1719,974596,0
1995-02-01,7.1719,7.2118,7.162,7.1819,1183909,0
1995-02-02,7.1819,7.2118,7.1719,7.2118,609875,0
1995-02-03,7.2118,7.3214,7.2118,7.2616,1065550,0
1995-02-06,7.2815,7.3015,7.2616,7.2815,521330,0
1995-02-07,7.3314,7.3713,7.2915,7.3713,280092,0
1995-02-08,7.3314,7.4508,7.3314,7.421,554760,0
1995-02-09,7.421,7.4408,7.4111,7.421,246962,0
1995-02-10,7.421,7.5604,7.4111,7.5007,875208,0
1995-02-13,7.5206,7.5604,7.5007,7.5604,561989,0
1995-02-14,7.69,7.929,7.6501,7.889,2860538,0
1995-02-15,7.879,7.899,7.7796,7.8094,2139230,0
1995-02-16,7.879,7.9589,7.8593,7.9589,822201,0
1995-02-17,7.9589,8.0186,7.939,7.9689,755341,0
1995-02-21,7.9789,8.0186,7.899,7.919,774014,0
1995-02-22,7.919,8.0186,7.899,7.9689,1507370,0
1995-02-23,7.9988,7.9988,7.939,7.9988,820696,0
1995-02-24,7.9988,8.0586,7.9988,8.0586,763774,0
1995-02-27,8.0486,8.0486,7.9789,7.9988,583974,0
1995-02-28,7.9988,8.0386,7.9988,8.0386,360804,0
1995-03-01,8.0386,8.0486,7.9988,8.0087,396644,0
1995-03-02,7.9988,7.9988,7.939,7.9689,845694,0
1995-03-03,7.9789,7.9988,7.9689,7.9988,420738,0
1995-03-06,7.9988,8.0186,7.9589,8.0087,192449,0
1995-03-07,7.939,7.939,7.7995,7.8394,312918,0
1995-03-08,7.8394,7.889,7.8194,7.8593,309303,0
1995-03-09,7.879,7.879,7.7697,7.7697,305388,0
1995-03-10,7.7399,7.919,7.7399,7.899,492718,0
1995-03-13,7.899,7.9589,7.8593,7.879,452662,0
1995-03-14,7.889,8.0386,7.889,7.9689,751425,0
1995-03-15,7.9589,7.9789,7.919,7.9689,1287513,0
1995-03-16,7.939,8.0784,7.929,8.0784,701734,0
1995-03-17,8.0983,8.0983,7.9988,8.0486,527053,0
1995-03-20,8.0586,8.0586,8.0087,8.0386,425556,0
1995-03-21,8.0386,8.0784,7.9988,8.0586,613489,0
1995-03-22,8.0486,8.0586,8.0386,8.0386,590601,0
1995-03-23,8.0186,8.0386,7.9589,7.9589,968872,0
1995-03-24,7.9789,7.9988,7.9689,7.9689,387308,0
1995-03-27,7.9689,8.0186,7.9689,8.0087,545425,0
1995-03-28,8.0087,8.0087,7.9689,7.9789,262623,0
1995-03-29,7.9789,8.0087,7.9689,8.0087,1010435,0
1995-03-30,8.0087,8.0087,7.9589,7.9988,733055,0
1995-03-31,7.9689,7.9789,7.889,7.929,521028,0
1995-04-03,7.899,7.919,7.8493,7.8493,794794,0
1995-04-04,7.879,7.889,7.8194,7.8493,768894,0
1995-04-05,7.879,7.879,7.8394,7.8493,525545,0
1995-04-06,7.8493,7.8493,7.7796,7.7995,321953,0
1995-04-07,7.7995,7.8094,7.7598,7.7796,464108,0
1995-04-10,7.7796,7.7995,7.7796,7.7796,436098,0
1995-04-11,7.8094,7.8094,7.7,7.7,443326,0
1995-04-12,7.72,7.7299,7.69,7.7,362311,0
1995-04-13,7.7299,7.8194,7.7299,7.8094,672518,0
1995-04-17,7.8394,7.8394,7.72,7.72,388814,0
1995-04-18,7.72,7.72,7.6202,7.6501,449047,0
1995-04-19,7.6202,7.6501,7.5305,7.5405,1603140,0
1995-04-20,7.5305,7.5405,7.2516,7.2616,2992451,0
1995-04-21,7.2815,7.5305,7.2416,7.5305,2303970,0
1995-04-24,7.5305,7.5305,7.4408,7.5305,534581,0
1995-04-25,7.5206,7.6003,7.4608,7.5604,1031516,0
1995-04-26,7.5803,7.72,7.5604,7.7,451758,0
1995-04-27,7.7299,7.8194,7.7299,7.8094,1076090,0
1995-04-28,7.8394,7.8394,7.68,7.7,434290,0
1995-05-01,7.72,7.7399,7.5704,7.6003,881834,0
1995-05-02,7.6003,7.6003,7.5206,7.5704,816479,0
1995-05-03,7.6003,7.7796,7.6003,7.66,1183909,0
1995-05-04,7.66,7.66,7.5803,7.6003,859850,0
1995-05-05,7.6202,7.7399,7.6003,7.68,497838,0
1995-05-08,7.7,7.7598,7.66,7.7,860751,0
1995-05-09,7.7299,7.879,7.72,7.879,676132,0
1995-05-10,7.919,7.9689,7.8593,7.879,456577,0
1995-05-11,7.879,7.879,7.8493,7.8593,293041,0
