Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.607,10.659,10.449,10.508,344327,0
1995-01-04,10.449,10.659,10.449,10.659,96982,0
1995-01-05,10.659,10.761,10.556,10.714,215154,0
1995-01-06,10.714,10.916,10.714,10.868,105541,0
1995-01-09,10.868,10.916,10.714,10.816,198447,0
1995-01-10,10.816,11.024,10.816,10.868,197632,0
1995-01-11,10.97,10.97,10.714,10.714,86797,0
1995-01-12,10.714,10.868,10.714,10.761,83536,0
1995-01-13,10.761,10.868,10.761,10.761,125098,0
1995-01-16,10.761,10.868,10.761,10.761,88016,0
1995-01-17,10.868,10.868,10.714,10.816,169922,0
1995-01-18,10.816,10.816,10.659,10.761,152809,0
1995-01-19,10.761,10.761,10.659,10.659,20781,0
1995-01-20,10.714,10.714,10.659,10.659,34231,0
1995-01-23,10.659,10.714,10.607,10.659,73754,0
1995-01-24,10.607,10.714,10.607,10.659,43604,0
1995-01-25,10.659,10.816,10.607,10.659,106763,0
1995-01-26,10.659,10.816,10.607,10.607,155660,0
1995-01-27,10.761,10.761,10.607,10.607,39526,0
1995-01-30,10.607,10.761,10.607,10.714,68457,0
1995-01-31,10.714,10.714,10.607,10.639,56232,0
1995-02-01,10.607,10.659,10.556,10.556,205782,0
1995-02-02,10.556,10.761,10.508,10.691,198447,0
1995-02-03,10.714,10.868,10.659,10.761,51755,0
1995-02-06,10.761,11.024,10.659,10.97,316617,0
1995-02-07,11.024,11.069,10.916,11.024,132841,0
1995-02-08,11.069,11.128,11.024,11.069,171142,0
1995-02-09,11.128,11.128,11.024,11.024,149139,0
1995-02-10,11.128,11.225,11.128,11.128,91689,0
1995-02-13,11.128,11.225,11.128,11.176,165032,0
1995-02-14,11.176,11.225,11.128,11.225,115725,0
1995-02-15,11.128,11.332,11.128,11.279,130802,0
1995-02-16,11.279,11.279,11.128,11.225,67643,0
1995-02-17,11.225,11.332,11.176,11.332,176441,0
1995-02-21,11.332,11.332,11.176,11.332,52970,0
1995-02-22,11.176,11.379,11.176,11.332,121838,0
1995-02-23,11.279,11.379,11.279,11.279,117355,0
1995-02-24,11.379,11.379,11.279,11.286,117765,0
1995-02-27,11.363,11.379,11.225,11.279,58272,0
1995-02-28,11.332,11.587,11.176,11.587,244087,0
1995-03-01,11.587,11.689,11.487,11.587,129984,0
1995-03-02,11.534,11.641,11.534,11.587,57045,0
1995-03-03,11.534,11.641,11.487,11.487,86797,0
1995-03-06,11.534,11.587,11.432,11.447,46044,0
1995-03-07,11.432,11.534,11.379,11.487,48898,0
1995-03-08,11.379,11.487,11.379,11.379,99833,0
1995-03-09,11.487,11.487,11.379,11.379,57457,0
1995-03-10,11.487,11.534,11.379,11.413,41561,0
1995-03-13,11.04,11.04,10.832,10.832,98204,0
1995-03-14,10.832,10.984,10.832,10.883,75387,0
1995-03-15,10.832,10.984,10.832,10.832,57045,0
1995-03-16,10.844,10.984,10.832,10.852,107576,0
1995-03-17,10.832,10.984,10.775,10.883,110428,0
1995-03-20,10.832,10.883,10.775,10.775,137326,0
1995-03-21,10.775,10.883,10.775,10.775,39934,0
1995-03-22,10.883,10.883,10.775,10.791,52157,0
1995-03-23,10.775,10.883,10.731,10.883,91689,0
1995-03-24,10.883,10.883,10.775,10.883,37493,0
1995-03-27,10.883,10.883,10.775,10.832,171552,0
1995-03-28,10.775,10.883,10.745,10.799,312133,0
1995-03-29,10.775,10.883,10.775,10.791,137326,0
1995-03-30,10.832,10.832,10.775,10.832,144659,0
1995-03-31,10.832,10.883,10.775,10.775,171552,0
1995-04-03,10.832,10.932,10.832,10.932,111650,0
1995-04-04,10.883,10.883,10.775,10.832,335766,0
1995-04-05,10.799,11.085,10.799,10.832,840241,0
1995-04-06,10.932,10.932,10.832,10.932,226154,0
1995-04-07,10.932,10.932,10.775,10.852,143843,0
1995-04-10,10.883,10.932,10.775,10.832,260790,0
1995-04-11,10.932,10.932,10.832,10.932,308874,0
1995-04-12,10.932,10.984,10.832,10.984,231861,0
1995-04-13,10.883,11.04,10.883,11.04,132432,0
1995-04-17,11.04,11.04,10.883,11.04,127133,0
1995-04-18,10.932,11.04,10.932,11.04,108800,0
1995-04-19,11.04,11.119,10.932,11.04,95759,0
1995-04-20,11.139,11.241,11.04,11.139,194373,0
1995-04-21,11.085,11.241,11.085,11.241,60309,0
1995-04-24,11.139,11.293,11.139,11.193,98612,0
1995-04-25,11.193,11.503,11.193,11.395,228599,0
1995-04-26,11.395,11.602,11.395,11.602,215561,0
1995-04-27,11.503,11.602,11.503,11.602,99427,0
1995-04-28,11.602,11.602,11.503,11.503,155256,0
1995-05-01,11.602,11.602,11.193,11.348,158919,0
1995-05-02,11.293,11.658,11.193,11.602,265274,0
1995-05-03,11.658,11.765,11.55,11.765,151179,0
1995-05-04,11.658,11.822,11.658,11.712,148733,0
1995-05-05,11.822,11.822,11.55,11.55,114099,0
1995-05-08,11.658,11.658,11.447,11.658,113279,0
1995-05-09,11.579,11.658,11.447,11.602,294207,0
1995-05-10,11.602,11.602,11.503,11.55,89239,0
1995-05-11,11.503,11.602,11.503,11.503,136915,0
1995-05-12,11.503,11.602,11.503,11.503,98612,0
1995-05-15,11.602,11.602,11.503,11.602,108389,0
1995-05-16,11.602,11.602,11.503,11.602,113690,0
1995-05-17,11.602,11.602,11.55,11.55,25262,0
1995-05-18,11.602,11.602,11.55,11.602,151179,0
1995-05-19,11.602,11.602,11.395,11.55,180111,0
1995-05-22,11.395,11.55,11.395,11.447,71719,0
1995-05-23,11.447,11.602,11.447,11.602,280757,0
1995-05-24,11.55,11.712,11.55,11.712,102277,0
1995-05-25,11.712,11.712,11.55,11.55,45637,0
1995-05-26,11.712,11.712,11.395,11.503,122246,0
1995-05-30,11.395,11.55,11.293,11.447,59083,0
1995-05-31,11.293,11.503,11.293,11.447,97391,0
1995-06-01,11.348,11.503,11.348,11.348,18338,0
1995-06-02,11.348,11.55,11.348,11.447,160959,0
1995-06-05,11.447,11.55,11.447,11.55,23635,0
1995-06-06,11.55,11.55,11.447,11.503,199264,0
1995-06-07,11.55,11.55,11.395,11.55,43195,0
1995-06-08,11.55,11.658,11.447,11.602,284425,0
1995-06-09,11.55,11.658,11.55,11.55,237564,0
1995-06-12,11.55,11.658,11.55,11.55,45232,0
1995-06-13,11.602,11.658,11.55,11.658,209855,0
1995-06-14,11.627,11.726,11.627,11.674,1525228,0
1995-06-15,11.627,11.78,11.627,11.674,100241,0
1995-06-16,11.726,11.99,11.674,11.935,370814,0
1995-06-19,11.935,11.968,11.78,11.828,140178,0
1995-06-20,11.881,11.935,11.78,11.935,132024,0
1995-06-21,11.935,11.935,11.78,11.881,74975,0
1995-06-22,11.78,12.043,11.78,12.043,137733,0
1995-06-23,11.935,12.144,11.935,12.098,574150,0
1995-06-26,11.99,12.098,11.828,11.935,95759,0
1995-06-27,11.935,11.935,11.674,11.674,105132,0
1995-06-28,11.674,11.78,11.627,11.78,99427,0
1995-06-29,11.78,11.78,11.52,11.52,243677,0
1995-06-30,11.627,11.674,11.52,11.674,121022,0
1995-07-03,11.674,11.674,11.52,11.571,131618,0
1995-07-05,11.571,11.627,11.47,11.571,1962866,0
1995-07-06,11.571,11.627,11.52,11.61,107576,0
1995-07-07,11.627,11.674,11.52,11.627,35043,0
1995-07-10,11.52,11.674,11.52,11.571,182556,0
1995-07-11,11.571,11.674,11.52,11.594,199669,0
1995-07-12,11.627,11.627,11.52,11.627,331694,0
1995-07-13,11.571,11.726,11.42,11.42,489800,0
1995-07-14,11.438,11.52,11.363,11.387,72124,0
1995-07-17,11.363,11.52,11.209,11.234,212302,0
1995-07-18,11.307,11.307,11.052,11.102,145474,0
1995-07-19,11.052,11.052,10.9,11.052,95759,0
