Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.9481,5.9736,5.8879,5.9267,3788722,0
1995-01-04,5.901,5.9139,5.8194,5.8536,5637305,0
1995-01-05,5.8194,5.8194,5.6439,5.6653,7866073,0
1995-01-06,5.6653,5.7725,5.6523,5.6523,5522412,0
1995-01-09,5.6653,5.7255,5.6312,5.6312,7317755,0
1995-01-10,5.6055,5.6055,5.524,5.5497,6528437,0
1995-01-11,5.5111,5.6055,5.5026,5.6055,5972646,0
1995-01-12,5.6181,5.6523,5.537,5.6523,3783115,0
1995-01-13,5.6783,5.7124,5.6055,5.6653,3808333,0
1995-01-16,5.6439,5.6909,5.6181,5.6523,2970444,0
1995-01-17,5.6181,5.6312,5.537,5.6312,2991931,0
1995-01-18,5.6312,5.6312,5.5111,5.537,3486071,0
1995-01-19,5.5497,5.5754,5.5283,5.5625,2073707,0
1995-01-20,5.5625,5.5754,5.5154,5.5625,3185289,0
1995-01-23,5.5497,5.5754,5.5154,5.5754,2151233,0
1995-01-24,5.5754,5.6097,5.5497,5.5625,2270803,0
1995-01-25,5.5411,5.6567,5.5026,5.5884,4611662,0
1995-01-26,5.5625,5.6567,5.5625,5.6097,4128734,0
1995-01-27,5.6483,5.8581,5.6483,5.8581,5793299,0
1995-01-30,5.8581,5.8709,5.7425,5.8366,3359031,0
1995-01-31,5.8366,5.9652,5.8111,5.9652,5964240,0
1995-02-01,5.9309,5.9437,5.8667,5.8709,3006874,0
1995-02-02,5.8709,5.9437,5.8366,5.918,3141385,0
1995-02-03,5.9563,5.9908,5.9563,5.9908,7244898,0
1995-02-06,5.9779,6.0507,5.9652,6.025,5690548,0
1995-02-07,6.0381,6.098,6.0381,6.0848,3580413,0
1995-02-08,6.0848,6.1449,6.0722,6.098,3964328,0
1995-02-09,6.0848,6.098,5.9652,5.9779,4455673,0
1995-02-10,5.9779,5.9779,5.8494,5.918,2480975,0
1995-02-13,5.9309,5.9779,5.9309,5.9779,3532775,0
1995-02-14,5.9779,5.9779,5.8837,5.8837,3021822,0
1995-02-15,5.8837,5.9779,5.8709,5.9652,5262731,0
1995-02-16,5.9779,5.9779,5.9095,5.918,5372953,0
1995-02-17,5.918,5.9437,5.8709,5.8709,3435628,0
1995-02-21,5.8837,5.9779,5.8581,5.9309,3851300,0
1995-02-22,5.9309,5.9309,5.8709,5.8837,3385184,0
1995-02-23,5.9095,6.025,5.8969,5.9652,6345355,0
1995-02-24,5.9437,6.1704,5.9437,6.1578,4323020,0
1995-02-27,6.1107,6.1449,6.0507,6.1191,3740142,0
1995-02-28,6.1449,6.205,6.1107,6.1191,5707360,0
