Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.049,10.091,10.023,10.049,283787,0
1995-01-04,10.023,10.106,10.023,10.065,670635,0
1995-01-05,10.023,10.049,9.835,9.848,787377,0
1995-01-06,9.835,9.876,9.787,9.812,869924,0
1995-01-09,9.812,9.812,9.663,9.68,635958,0
1995-01-10,9.68,9.68,9.571,9.614,609579,0
1995-01-11,9.614,9.701,9.571,9.68,594436,0
1995-01-12,9.718,9.718,9.571,9.599,189518,0
1995-01-13,9.68,9.68,9.571,9.599,379523,0
1995-01-16,9.571,9.663,9.571,9.663,351188,0
1995-01-17,9.614,9.614,9.547,9.599,195379,0
1995-01-18,9.547,9.64,9.4916,9.599,468418,0
1995-01-19,9.532,9.571,9.532,9.547,316025,0
1995-01-20,9.599,9.663,9.532,9.64,300881,0
1995-01-23,9.657,9.746,9.657,9.746,783953,0
1995-01-24,9.693,9.693,9.547,9.614,595415,0
1995-01-25,9.614,9.693,9.614,9.693,464023,0
1995-01-26,9.68,9.787,9.68,9.787,279392,0
1995-01-27,9.828,10.049,9.812,9.935,369264,0
1995-01-30,9.918,10.13,9.918,10.106,1194251,0
1995-01-31,10.106,10.195,10.106,10.13,493821,0
1995-02-01,10.155,10.155,9.935,10.049,830358,0
1995-02-02,10.023,10.065,9.998,10.023,548524,0
1995-02-03,10.023,10.065,9.918,9.959,1262142,0
1995-02-06,9.998,10.106,9.982,10.065,789816,0
1995-02-07,10.106,10.106,9.982,9.998,477208,0
1995-02-08,9.982,10.195,9.982,10.178,688216,0
1995-02-09,10.178,10.178,10.106,10.155,512869,0
1995-02-10,10.155,10.155,9.982,10.065,315047,0
1995-02-13,10.023,10.155,10.023,10.106,305278,0
1995-02-14,10.091,10.155,10.065,10.155,428857,0
1995-02-15,10.155,10.352,10.155,10.352,887017,0
1995-02-16,10.352,10.352,10.285,10.326,509935,0
1995-02-17,10.326,10.326,10.285,10.285,393686,0
1995-02-21,10.326,10.352,10.302,10.352,442533,0
1995-02-22,10.352,10.409,10.326,10.368,1183015,0
1995-02-23,10.409,10.523,10.368,10.458,1340294,0
1995-02-24,10.458,10.458,10.352,10.432,309674,0
1995-02-27,10.409,10.458,10.392,10.409,410783,0
1995-02-28,10.392,10.474,10.352,10.432,203193,0
1995-03-01,10.432,10.523,10.409,10.523,674056,0
1995-03-02,10.474,10.63,10.474,10.605,696036,0
1995-03-03,10.565,10.67,10.565,10.654,496750,0
1995-03-06,10.654,10.761,10.654,10.761,215405,0
1995-03-07,10.711,10.711,10.63,10.63,286229,0
1995-03-08,10.67,10.711,10.63,10.63,556340,0
1995-03-09,10.605,10.63,10.523,10.539,196842,0
1995-03-10,10.588,10.711,10.565,10.695,677963,0
1995-03-13,10.695,10.711,10.63,10.67,130414,0
1995-03-14,10.67,10.695,10.588,10.695,195379,0
1995-03-15,10.588,10.654,10.523,10.539,612027,0
1995-03-16,10.605,10.778,10.565,10.695,755625,0
1995-03-17,10.67,10.695,10.588,10.63,738041,0
1995-03-20,10.67,10.695,10.63,10.654,260343,0
1995-03-21,10.654,10.761,10.565,10.565,512869,0
1995-03-22,10.605,10.605,10.499,10.588,248132,0
1995-03-23,10.565,10.588,10.368,10.539,376100,0
1995-03-24,10.458,10.63,10.458,10.63,1588423,0
1995-03-27,10.63,10.63,10.588,10.605,351681,0
1995-03-28,10.539,10.565,10.474,10.565,731202,0
1995-03-29,10.565,10.737,10.539,10.588,916813,0
1995-03-30,10.63,10.63,10.499,10.523,413712,0
1995-03-31,10.432,10.474,10.368,10.368,383919,0
1995-04-03,10.409,10.474,10.368,10.474,245200,0
1995-04-04,10.499,10.588,10.474,10.588,168022,0
1995-04-05,10.565,10.588,10.409,10.474,201727,0
1995-04-06,10.523,10.588,10.409,10.588,789816,0
1995-04-07,10.588,10.588,10.474,10.499,568552,0
1995-04-10,10.458,10.67,10.458,10.605,407359,0
1995-04-11,10.654,10.654,10.409,10.432,1185946,0
1995-04-12,10.409,10.409,10.195,10.221,1823364,0
1995-04-13,10.195,10.262,10.195,10.221,1613336,0
1995-04-17,10.239,10.302,10.155,10.155,796165,0
1995-04-18,10.178,10.302,10.178,10.178,895808,0
1995-04-19,10.155,10.178,10.106,10.155,951491,0
1995-04-20,10.178,10.178,9.998,10.091,428857,0
1995-04-21,9.959,10.065,9.935,9.982,1006684,0
1995-04-24,10.023,10.106,9.959,10.091,773695,0
1995-04-25,10.065,10.106,9.998,10.023,601277,0
1995-04-26,10.04,10.04,9.828,9.841,643284,0
1995-04-27,9.778,10.091,9.762,10.04,798120,0
1995-04-28,10.065,10.352,10.065,10.239,648658,0
1995-05-01,10.195,10.195,10.065,10.13,858687,0
1995-05-02,10.169,10.195,10.04,10.065,852338,0
1995-05-03,10.106,10.302,10.106,10.239,821077,0
1995-05-04,10.169,10.278,10.091,10.155,654026,0
1995-05-05,10.239,10.239,10.155,10.169,471837,0
1995-05-08,10.13,10.195,10.106,10.155,453276,0
1995-05-09,10.169,10.278,10.169,10.239,435696,0
1995-05-10,10.262,10.278,10.169,10.221,279392,0
1995-05-11,10.239,10.239,10.169,10.239,526541,0
1995-05-12,10.239,10.278,10.169,10.239,728273,0
1995-05-15,10.065,10.169,10.04,10.091,1136614,0
1995-05-16,10.169,10.239,10.155,10.195,555853,0
1995-05-17,10.155,10.155,10.065,10.091,440575,0
1995-05-18,10.091,10.091,9.974,9.998,888972,0
1995-05-19,9.959,10.065,9.959,10.04,910461,0
1995-05-22,10.04,10.065,9.974,10.023,953933,0
1995-05-23,10.04,10.065,9.959,10.023,417620,0
1995-05-24,10.023,10.155,10.023,10.106,1279239,0
1995-05-25,10.13,10.278,10.065,10.239,557804,0
1995-05-26,10.239,10.262,10.106,10.13,348751,0
1995-05-30,10.169,10.262,10.155,10.262,347286,0
1995-05-31,10.262,10.432,10.221,10.432,397105,0
1995-06-01,10.392,10.409,10.221,10.262,366334,0
1995-06-02,10.221,10.409,10.169,10.262,309188,0
1995-06-05,10.302,10.67,10.239,10.67,1446775,0
