Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.2721,2.2721,2.2009,2.2365,639911,0
1995-01-04,2.2186,2.2541,2.1788,2.2186,732198,0
1995-01-05,2.1788,2.2186,2.1432,2.161,1016492,0
1995-01-06,2.161,2.2186,2.1432,2.1432,1089175,0
1995-01-09,2.1788,2.1788,2.09,2.09,544923,0
1995-01-10,2.1079,2.2365,2.1079,2.2009,2179023,0
1995-01-11,2.2009,2.2365,2.1788,2.1788,1080045,0
1995-01-12,2.1788,2.2186,2.1788,2.2186,2331480,0
1995-01-13,2.1788,2.2186,2.1788,2.1919,1844023,0
1995-01-16,2.2186,2.2721,2.1788,2.2541,1553979,0
1995-01-17,2.2721,2.2895,2.2365,2.2365,1212895,0
1995-01-18,2.2365,2.2721,2.2186,2.2186,1300455,0
1995-01-19,2.2186,2.2365,2.161,2.1788,738623,0
1995-01-20,2.2009,2.2009,2.1254,2.1788,774452,0
1995-01-23,2.161,2.161,2.1254,2.161,758567,0
1995-01-24,2.161,2.161,2.1254,2.1432,720702,0
1995-01-25,2.1432,2.1788,2.1079,2.1432,360010,0
1995-01-26,2.1788,2.2541,2.161,2.2186,384692,0
1995-01-27,2.2365,2.2541,2.2009,2.2365,484413,0
1995-01-30,2.2009,2.2365,2.1254,2.161,265362,0
1995-01-31,2.1432,2.1788,2.1254,2.1254,393479,0
1995-02-01,2.161,2.2009,2.1432,2.1432,1336958,0
1995-02-02,2.1432,2.1788,2.1079,2.1432,1053338,0
1995-02-03,2.161,2.2365,2.161,2.2186,803192,0
1995-02-06,2.2009,2.2365,2.2009,2.2186,693322,0
1995-02-07,2.2365,2.2895,2.2186,2.2541,1156783,0
1995-02-08,2.2721,2.3473,2.2541,2.3076,946857,0
1995-02-09,2.3297,2.3473,2.3076,2.3208,615234,0
1995-02-10,2.3076,2.4006,2.3076,2.3297,711242,0
1995-02-13,2.3651,2.3651,2.2895,2.3076,1032386,0
1995-02-14,2.3076,2.3076,2.2721,2.2895,187951,0
1995-02-15,2.3076,2.3473,2.2721,2.3076,379286,0
1995-02-16,2.3297,2.3651,2.3076,2.3208,319117,0
1995-02-17,2.3076,2.3297,2.2895,2.2895,210602,0
1995-02-21,2.3297,2.3297,2.2721,2.3076,164288,0
1995-02-22,2.2721,2.3297,2.2721,2.3076,567232,0
1995-02-23,2.3076,2.3829,2.3076,2.3473,467851,0
1995-02-24,2.3473,2.3651,2.2895,2.3297,568925,0
1995-02-27,2.3473,2.3473,2.3118,2.3118,407677,0
1995-02-28,2.3297,2.3473,2.2941,2.3297,471562,0
1995-03-01,2.3297,2.3473,2.2941,2.303,303227,0
1995-03-02,2.2941,2.3297,2.2763,2.2941,293413,0
1995-03-03,2.3118,2.3297,2.2763,2.3118,124403,0
1995-03-06,2.2941,2.3118,2.2763,2.2941,217016,0
1995-03-07,2.3297,2.3297,2.2408,2.2587,213644,0
1995-03-08,2.2587,2.2941,2.2142,2.2232,324856,0
1995-03-09,2.2408,2.2587,2.1833,2.1833,194709,0
1995-03-10,2.1833,2.2941,2.1833,2.2763,464128,0
1995-03-13,2.2587,2.2941,2.2408,2.2408,191673,0
1995-03-14,2.2763,2.2941,2.2232,2.2408,1434992,0
1995-03-15,2.2587,2.2587,2.2053,2.2053,410721,0
1995-03-16,2.2408,2.2853,2.2232,2.2587,481708,0
1995-03-17,2.3297,2.3297,2.2763,2.3118,322492,0
1995-03-20,2.2763,2.2941,2.2232,2.2232,307617,0
1995-03-21,2.2232,2.2408,2.1833,2.2053,267057,0
1995-03-22,2.2053,2.2763,2.2053,2.2763,1390367,0
1995-03-23,2.3297,2.3829,2.2941,2.3297,1745312,0
1995-03-24,2.3473,2.3829,2.3297,2.3829,2128992,0
1995-03-27,2.3651,2.3829,2.3118,2.3473,1297409,0
1995-03-28,2.3297,2.3473,2.2763,2.2763,375226,0
1995-03-29,2.3118,2.3118,2.2587,2.2587,241364,0
1995-03-30,2.2587,2.2763,2.2053,2.2587,623352,0
1995-03-31,2.2232,2.2763,2.2053,2.2674,306940,0
1995-04-03,2.2763,2.2941,2.1833,2.2053,610503,0
1995-04-04,2.2053,2.2408,2.1833,2.2053,304242,0
1995-04-05,2.2587,2.2763,2.2053,2.232,709885,0
1995-04-06,2.2763,2.3118,2.2587,2.2763,777494,0
1995-04-07,2.2763,2.3297,2.2408,2.3297,1659455,0
1995-04-10,2.2941,2.3473,2.2763,2.2941,435403,0
1995-04-11,2.2763,2.3297,2.2053,2.2142,1013447,0
1995-04-12,2.2408,2.2408,2.1833,2.1833,205194,0
1995-04-13,2.2232,2.2408,2.1655,2.2053,481708,0
1995-04-17,2.2053,2.2053,2.1121,2.13,569940,0
