Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.586,12.586,12.451,12.521,163435,0
1995-01-04,12.521,12.586,12.521,12.521,92249,0
1995-01-05,12.521,12.586,12.521,12.521,124732,0
1995-01-06,12.521,12.657,12.451,12.521,268755,0
1995-01-09,12.521,12.792,12.521,12.727,208991,0
1995-01-10,12.727,12.727,12.586,12.657,311137,0
1995-01-11,12.727,12.792,12.586,12.586,206453,0
1995-01-12,12.586,12.657,12.586,12.657,266091,0
1995-01-13,12.727,12.792,12.586,12.792,148083,0
1995-01-16,12.727,13.004,12.727,12.931,405543,0
1995-01-17,12.863,13.004,12.863,13.004,116990,0
1995-01-18,12.931,13.066,12.863,13.004,197065,0
1995-01-19,12.931,13.066,12.863,12.931,202139,0
1995-01-20,12.931,12.931,12.727,12.792,206071,0
1995-01-23,12.657,12.727,12.586,12.727,71186,0
1995-01-24,12.657,12.863,12.657,12.792,78292,0
1995-01-25,12.792,12.792,12.727,12.792,64969,0
1995-01-26,12.792,12.863,12.727,12.863,254416,0
1995-01-27,12.863,13.004,12.792,12.931,587131,0
1995-01-30,12.931,12.931,12.863,12.863,218504,0
1995-01-31,12.792,13.004,12.792,12.863,293879,0
1995-02-01,12.863,13.066,12.863,13.066,728480,0
1995-02-02,13.041,13.183,13.041,13.115,288933,0
1995-02-03,13.115,13.317,13.115,13.256,320274,0
1995-02-06,13.183,13.317,13.183,13.317,88062,0
1995-02-07,13.256,13.388,13.256,13.388,100879,0
1995-02-08,13.53,13.596,13.256,13.317,194398,0
1995-02-09,13.317,13.462,13.256,13.317,323953,0
1995-02-10,13.256,13.462,13.256,13.388,79434,0
1995-02-13,13.388,13.53,13.317,13.388,66111,0
1995-02-14,13.388,13.53,13.388,13.462,250232,0
1995-02-15,13.388,13.666,13.388,13.666,294643,0
1995-02-16,13.666,13.666,13.53,13.596,472796,0
1995-02-17,13.596,13.666,13.462,13.596,313169,0
1995-02-21,13.596,13.666,13.53,13.53,210638,0
1995-02-22,13.53,13.596,13.462,13.462,549438,0
1995-02-23,13.53,13.53,13.317,13.462,428007,0
1995-02-24,13.462,13.462,13.183,13.256,1094565,0
1995-02-27,13.256,13.256,13.183,13.183,305556,0
1995-02-28,13.183,13.256,13.115,13.256,285884,0
1995-03-01,13.256,13.256,13.115,13.183,125113,0
1995-03-02,13.115,13.115,12.981,12.981,97071,0
1995-03-03,12.981,12.981,12.838,12.838,77532,0
