Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.8846,7.8846,7.824,7.8846,247235,0
1995-01-04,7.8542,7.9075,7.8542,7.9075,236968,0
1995-01-05,7.8846,7.9682,7.8846,7.9075,306477,0
1995-01-06,7.9378,8.0214,7.8846,8.0214,592156,0
1995-01-09,7.9378,7.9682,7.9075,7.9378,264616,0
1995-01-10,7.9682,8.0214,7.9378,7.9682,255923,0
1995-01-11,7.9682,7.9907,7.9075,7.9682,255136,0
1995-01-12,7.9378,7.9907,7.9378,7.9682,142705,0
1995-01-13,8.0442,8.0442,8.0214,8.0442,188520,0
1995-01-16,8.105,8.1583,7.8846,8.0746,613218,0
1995-01-17,8.1277,8.2722,8.1277,8.2117,1158505,0
1995-01-18,8.2117,8.3563,8.2117,8.3247,1616640,0
1995-01-19,8.2951,8.3247,8.2117,8.2722,1638494,0
1995-01-20,8.2411,8.4317,8.1583,8.4317,2731700,0
1995-01-23,8.3791,8.5152,8.3791,8.4928,1140601,0
1995-01-24,8.4928,8.6297,8.4317,8.5982,475776,0
1995-01-25,8.5982,8.6297,8.5152,8.6297,963138,0
1995-01-26,8.6297,8.6297,8.5765,8.5982,1307006,0
1995-01-27,8.6297,8.9029,8.6297,8.7661,5451288,0
1995-01-30,8.7132,8.7974,8.6812,8.7661,1757241,0
1995-01-31,8.7661,8.8808,8.7661,8.8186,1072407,0
1995-02-01,8.8186,8.8808,8.8186,8.8808,864665,0
1995-02-02,8.8493,8.9328,8.8493,8.9029,583990,0
1995-02-03,8.9328,9.0688,8.9328,8.9853,1609791,0
1995-02-06,8.9853,8.9853,8.8808,8.8808,640596,0
1995-02-07,8.9029,8.9853,8.8808,8.9853,1870455,0
1995-02-08,8.9853,8.9853,8.9029,8.9029,1766981,0
1995-02-09,8.8808,8.9029,8.7661,8.7974,3256708,0
1995-02-10,8.8493,8.8493,8.6812,8.8186,1408109,0
1995-02-13,8.7661,8.7974,8.7132,8.7661,752239,0
1995-02-14,8.7661,8.8493,8.7661,8.8186,796207,0
1995-02-15,8.8493,8.9093,8.8186,8.9093,1411268,0
1995-02-16,8.9093,8.9093,8.7974,8.7974,848078,0
1995-02-17,8.8186,8.8186,8.7132,8.7974,705369,0
1995-02-21,8.8493,8.9093,8.8186,8.9093,1002104,0
1995-02-22,8.8808,9.0774,8.8808,9.0774,1156662,0
1995-02-23,9.1605,9.2143,8.6217,8.6522,3135332,0
1995-02-24,8.7661,8.8808,8.6522,8.7974,2920215,0
1995-02-27,8.7661,8.7974,8.6217,8.6812,744603,0
1995-02-28,8.6812,8.6812,8.5684,8.6217,1119010,0
1995-03-01,8.6217,8.6217,8.4848,8.5382,658769,0
1995-03-02,8.5382,8.5382,8.3718,8.4556,696684,0
1995-03-03,8.4317,8.5152,8.3168,8.4848,2166140,0
1995-03-06,8.4848,8.5684,8.4556,8.5684,1153763,0
1995-03-07,8.5382,8.6217,8.4848,8.4848,661137,0
1995-03-08,8.5152,8.5684,8.5152,8.5152,756978,0
1995-03-09,8.4848,8.5382,8.4848,8.4848,795945,0
1995-03-10,8.5152,8.5982,8.5152,8.5982,567665,0
1995-03-13,8.6217,8.6812,8.5684,8.6812,707739,0
1995-03-14,8.7661,8.7974,8.7661,8.7661,857292,0
1995-03-15,8.7661,8.7661,8.6217,8.6812,551608,0
1995-03-16,8.6812,8.7132,8.6522,8.6522,398892,0
1995-03-17,8.6522,8.6522,8.5684,8.6217,765931,0
1995-03-20,8.6217,8.6217,8.4556,8.4556,465770,0
1995-03-21,8.4848,8.4848,8.4317,8.4848,684569,0
1995-03-22,8.4556,8.5152,8.4556,8.4556,555555,0
1995-03-23,8.4848,8.5684,8.4556,8.5152,458923,0
1995-03-24,8.5382,8.6522,8.5152,8.6522,281199,0
1995-03-27,8.6812,8.6812,8.5982,8.6522,417587,0
1995-03-28,8.5684,8.6812,8.5684,8.5684,401001,0
1995-03-29,8.5382,8.7359,8.5152,8.6522,492627,0
1995-03-30,8.7132,8.7132,8.6522,8.6522,462086,0
1995-03-31,8.6217,8.6217,8.5152,8.5982,459980,0
1995-04-03,8.5684,8.5982,8.5382,8.5382,1076878,0
1995-04-04,8.5684,8.7359,8.5684,8.7132,1926275,0
1995-04-05,8.7132,8.8493,8.6217,8.8186,1561346,0
1995-04-06,8.8493,8.8493,8.7974,8.8493,418901,0
1995-04-07,8.8808,8.9328,8.8808,8.9093,901526,0
1995-04-10,8.8808,8.9093,8.8493,8.9093,278302,0
1995-04-11,8.9637,8.9938,8.9093,8.9093,349659,0
1995-04-12,8.9093,8.9328,8.8808,8.9093,605319,0
1995-04-13,8.9093,8.9637,8.8808,8.9328,348604,0
1995-04-17,8.9938,8.9938,8.8493,8.8493,541339,0
1995-04-18,8.8493,8.8493,8.7661,8.8186,406003,0
1995-04-19,8.8493,8.9093,8.6522,8.8808,444709,0
1995-04-20,8.8808,8.9328,8.8186,8.9093,468139,0
1995-04-21,8.9637,8.9637,8.8808,8.9328,411533,0
1995-04-24,8.9093,8.9637,8.9093,8.9637,624010,0
1995-04-25,8.9328,8.9637,8.9093,8.9093,487623,0
1995-04-26,8.9093,8.9328,8.8808,8.9093,535281,0
1995-04-27,8.9093,8.9328,8.8493,8.9093,869668,0
1995-04-28,8.9328,8.9637,8.8493,8.8808,1055554,0
1995-05-01,8.9093,8.9328,8.8493,8.9093,479723,0
1995-05-02,8.9093,8.9637,8.9093,8.9637,322534,0
1995-05-03,8.9637,9.0163,8.9637,9.0163,482359,0
1995-05-04,9.0163,9.1307,8.9938,9.1078,799893,0
