Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.6668,4.6668,4.558,4.6304,34321,0
1995-01-04,4.6304,4.6668,4.5943,4.6668,16665,0
1995-01-05,4.6668,4.7029,4.5943,4.6668,19974,0
1995-01-06,4.5943,4.5943,4.5217,4.558,108147,0
1995-01-09,4.5943,4.5943,4.558,4.558,8831,0
1995-01-10,4.558,4.5943,4.558,4.5943,7064,0
1995-01-11,4.558,4.558,4.558,4.558,3972,0
1995-01-12,4.558,4.558,4.558,4.558,28029,0
1995-01-13,4.558,4.558,4.4853,4.558,31122,0
1995-01-16,4.5943,4.6668,4.5943,4.6304,306899,0
1995-01-17,4.6304,4.6304,4.6304,4.6304,68529,0
1995-01-18,4.6304,4.6304,4.5217,4.558,22403,0
1995-01-19,4.558,4.558,4.5217,4.5217,17878,0
1995-01-20,4.5217,4.5217,4.4853,4.4853,16002,0
1995-01-23,4.5217,4.5217,4.4492,4.4853,42378,0
1995-01-24,4.5217,4.5217,4.5217,4.5217,12910,0
1995-01-25,4.5217,4.7392,4.5217,4.6668,30568,0
1995-01-26,4.6668,4.7029,4.6304,4.6304,33881,0
1995-01-27,4.6668,4.6668,4.6304,4.6668,8939,0
1995-01-30,4.6668,4.6668,4.6304,4.6668,26041,0
1995-01-31,4.6668,4.6849,4.6304,4.6849,130219,0
1995-02-01,4.7029,4.7392,4.6668,4.7392,48997,0
1995-02-02,4.7392,4.8752,4.7392,4.8481,112783,0
1995-02-03,4.8114,4.8481,4.7754,4.8481,102524,0
1995-02-06,4.8481,4.8752,4.8114,4.8481,83535,0
1995-02-07,4.8481,4.8481,4.7754,4.8114,132979,0
1995-02-08,4.8114,4.9474,4.7754,4.9114,181869,0
1995-02-09,4.9839,5.1288,4.9839,5.0201,78796,0
1995-02-10,5.0568,5.0568,4.9114,4.9474,50544,0
1995-02-13,4.9474,4.9474,4.8481,4.8752,189923,0
1995-02-14,4.8481,4.8481,4.7029,4.7392,399047,0
1995-02-15,4.7392,4.9474,4.7392,4.9474,320032,0
1995-02-16,4.9474,4.9474,4.8752,4.9114,127905,0
1995-02-17,4.9114,4.9114,4.8752,4.9114,56722,0
1995-02-21,4.9114,4.9474,4.8752,4.9474,237045,0
1995-02-22,4.9474,5.0568,4.9474,5.0201,321800,0
1995-02-23,5.0568,5.0925,5.0201,5.0201,511940,0
1995-02-24,5.0201,5.0201,4.9114,4.9474,305575,0
1995-02-27,4.9114,4.9474,4.8752,4.9114,114221,0
1995-02-28,4.9839,5.2738,4.9839,5.2738,1165907,0
1995-03-01,5.3101,5.6364,5.2738,5.6002,1198906,0
1995-03-02,5.6364,5.7813,5.6002,5.7451,865522,0
1995-03-03,5.7451,5.7451,5.6002,5.6002,425530,0
1995-03-06,5.4914,5.5638,5.4189,5.4551,517898,0
1995-03-07,5.4189,5.4914,5.4189,5.4914,383709,0
1995-03-08,5.5275,5.6002,5.5275,5.5275,284827,0
1995-03-09,5.5275,5.5275,5.4914,5.5275,176570,0
1995-03-10,5.4914,5.5275,5.4189,5.4551,283395,0
1995-03-13,5.4914,5.4914,5.4551,5.4551,214533,0
1995-03-14,5.5275,5.6002,5.4551,5.6002,432814,0
1995-03-15,5.6002,5.6727,5.5638,5.6002,424757,0
