Date,Open,High,Low,Close,Volume,OpenInt
2001-07-03,20.265,20.265,19.82,20.041,388090,0
2001-07-05,20.21,20.256,18.784,19.347,813389,0
2001-07-06,19.391,19.391,18.578,18.802,865838,0
2001-07-09,18.633,19.219,18.434,18.784,958853,0
2001-07-10,19.042,19.219,18.39,18.399,596425,0
2001-07-11,18.399,18.82,17.749,17.954,1152171,0
2001-07-12,17.749,18.166,17.57,17.971,1099052,0
2001-07-13,17.874,18.087,17.099,17.4,563141,0
2001-07-16,17.14,17.32,16.793,16.838,670055,0
2001-07-17,16.847,17.489,16.446,17.454,1820660,0
2001-07-18,17.283,18.614,17.052,18.147,1372385,0
2001-07-19,18.114,18.695,18.087,18.695,1160688,0
2001-07-20,18.614,19.525,18.614,18.685,579726,0
2001-07-23,18.614,18.649,17.962,17.962,343377,0
2001-07-24,18.267,18.356,17.756,17.818,1347507,0
2001-07-25,17.918,18.747,17.749,18.747,714881,0
2001-07-26,18.695,18.792,18.221,18.614,659071,0
2001-07-27,18.614,19.149,18.221,18.275,397840,0
2001-07-30,18.285,18.588,17.4,17.445,834348,0
2001-07-31,17.489,18.356,17.445,17.918,621306,0
2001-08-01,17.749,18.39,17.705,18.052,1161697,0
2001-08-02,18.184,18.649,18.184,18.302,882198,0
2001-08-03,18.302,18.916,18.275,18.443,411849,0
2001-08-06,18.23,18.543,18.23,18.267,455218,0
2001-08-07,18.184,18.525,18.087,18.221,731918,0
2001-08-08,18.184,18.258,17.962,18.017,497581,0
2001-08-09,18.077,18.258,17.999,18.14,416668,0
2001-08-10,18.043,18.077,17.818,18.043,699531,0
2001-08-13,18.043,18.258,17.311,17.418,495002,0
2001-08-14,17.516,17.596,17.007,17.257,871329,0
2001-08-15,17.302,17.302,16.624,16.829,702445,0
2001-08-16,16.74,17.489,16.74,17.167,542297,0
2001-08-17,16.998,17.302,16.998,17.283,267282,0
2001-08-20,17.221,17.436,16.955,17.033,285549,0
2001-08-21,17.033,17.542,17.007,17.071,269747,0
2001-08-22,17.071,17.587,17.061,17.167,446706,0
2001-08-23,17.123,17.346,17.042,17.266,372736,0
2001-08-24,17.231,17.418,16.971,17.08,419245,0
2001-08-27,16.998,17.195,16.946,16.946,638004,0
2001-08-28,16.955,17.099,16.873,16.955,711745,0
2001-08-29,16.955,17.167,16.783,16.847,355932,0
2001-08-30,16.774,17.275,16.774,17.213,1269952,0
2001-08-31,17.427,17.739,17.4,17.668,967824,0
2001-09-04,17.696,18.157,17.436,17.659,427430,0
2001-09-05,17.516,17.865,17.311,17.454,743683,0
2001-09-06,17.239,17.427,16.99,17.167,503746,0
2001-09-07,17.042,17.149,15.899,16.179,792549,0
2001-09-10,15.831,16.774,15.831,16.561,447263,0
2001-09-17,12.519,15.427,12.519,13.475,1256617,0
2001-09-18,13.562,13.803,12.82,12.867,593964,0
2001-09-19,12.653,12.759,10.262,11.385,1988087,0
