Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.5987,7.6819,7.5632,7.5632,1238796,0
1995-01-04,7.5987,7.5987,7.4502,7.5396,1896908,0
1995-01-05,7.5396,7.5396,7.4502,7.4798,1551862,0
1995-01-06,7.4798,7.5098,7.4206,7.4502,1970291,0
1995-01-09,7.3968,7.3968,7.1887,7.2186,1659248,0
1995-01-10,7.2186,7.3019,7.1592,7.2186,1496656,0
1995-01-11,7.1592,7.1887,6.9572,7.0702,2011025,0
1995-01-12,7.0461,7.0461,6.9274,6.9869,1497666,0
1995-01-13,7.0167,7.1356,6.9572,7.1058,2735112,0
1995-01-16,7.1058,7.1356,7.0461,7.1356,929768,0
1995-01-17,7.1058,7.278,7.0702,7.2186,2343951,0
1995-01-18,7.1887,7.4206,7.1887,7.3968,3064336,0
1995-01-19,7.3019,7.3968,7.3019,7.3612,1806015,0
1995-01-20,7.3612,7.4798,7.3375,7.4206,1419903,0
1995-01-23,7.3612,7.5987,7.3612,7.5987,1290970,0
1995-01-24,7.5632,7.5987,7.4206,7.4206,1142181,0
1995-01-25,7.4206,7.5396,7.3968,7.5098,1747442,0
1995-01-26,7.5098,7.5632,7.4502,7.5632,1146895,0
1995-01-27,7.5987,7.5987,7.5098,7.5396,1189982,0
1995-01-30,7.5753,7.5753,7.3671,7.4325,1142856,0
1995-01-31,7.4325,7.4562,7.3434,7.4562,880285,0
1995-02-01,7.4325,7.486,7.3076,7.3076,1495644,0
1995-02-02,7.2839,7.3671,7.2543,7.3434,933137,0
1995-02-03,7.3671,7.403,7.3076,7.403,1090341,0
1995-02-06,7.486,7.5455,7.486,7.5455,1746768,0
1995-02-07,7.5753,7.6046,7.4325,7.486,1352575,0
1995-02-08,7.4325,7.6585,7.4325,7.6046,1903977,0
1995-02-09,7.6345,7.694,7.6046,7.6585,1103469,0
1995-02-10,7.6345,7.6345,7.5155,7.5155,1421586,0
1995-02-13,7.5753,7.6345,7.5155,7.6345,689081,0
1995-02-14,7.6585,7.7474,7.6345,7.7176,2090804,0
1995-02-15,7.7176,7.7831,7.7176,7.7176,2358087,0
1995-02-16,7.7176,7.7474,7.6585,7.7176,2007655,0
1995-02-17,7.7176,7.7176,7.6345,7.6585,1566336,0
1995-02-21,7.7176,7.8069,7.694,7.7474,2755312,0
1995-02-22,7.7176,7.7176,7.6345,7.7176,2164189,0
1995-02-23,7.7474,7.7474,7.694,7.7176,1339114,0
1995-02-24,7.694,7.8069,7.6585,7.8069,1143870,0
1995-02-27,7.7831,7.8069,7.6585,7.6585,379043,0
1995-02-28,7.694,7.8069,7.6585,7.8069,914285,0
1995-03-01,7.8069,7.896,7.7831,7.896,1478139,0
1995-03-02,7.8365,7.985,7.8069,7.985,2139280,0
1995-03-03,7.9553,7.985,7.896,7.9553,1056004,0
1995-03-06,7.896,8.1573,7.896,8.1573,1582158,0
1995-03-07,8.1334,8.2167,8.0981,8.1872,2202902,0
